,Altria_Group_final_fft,Altria_Group_fft_absolute,Altria_Group_fft_angle,Archer_Daniels_Midland_Co_final_fft,Archer_Daniels_Midland_Co_fft_absolute,Archer_Daniels_Midland_Co_fft_angle,Brown_Forman_final_fft,Brown_Forman_fft_absolute,Brown_Forman_fft_angle,Campbell_Soup_final_fft,Campbell_Soup_fft_absolute,Campbell_Soup_fft_angle,Church_Dwight_final_fft,Church_Dwight_fft_absolute,Church_Dwight_fft_angle,The_Clorox_Company_final_fft,The_Clorox_Company_fft_absolute,The_Clorox_Company_fft_angle,Coca_Cola_Company_final_fft,Coca_Cola_Company_fft_absolute,Coca_Cola_Company_fft_angle,Colgate_Palmolive_final_fft,Colgate_Palmolive_fft_absolute,Colgate_Palmolive_fft_angle,Conagra_Brands_final_fft,Conagra_Brands_fft_absolute,Conagra_Brands_fft_angle,Constellation_Brands_final_fft,Constellation_Brands_fft_absolute,Constellation_Brands_fft_angle,Costco_Wholesale_final_fft,Costco_Wholesale_fft_absolute,Costco_Wholesale_fft_angle,General_Mills_final_fft,General_Mills_fft_absolute,General_Mills_fft_angle,The_Hershey_Company_final_fft,The_Hershey_Company_fft_absolute,The_Hershey_Company_fft_angle,Hormel_Foods_final_fft,Hormel_Foods_fft_absolute,Hormel_Foods_fft_angle,JM_Smucker_final_fft,JM_Smucker_fft_absolute,JM_Smucker_fft_angle,Kellogg_final_fft,Kellogg_fft_absolute,Kellogg_fft_angle,Kimberly_Clark_final_fft,Kimberly_Clark_fft_absolute,Kimberly_Clark_fft_angle,Kroger_final_fft,Kroger_fft_absolute,Kroger_fft_angle,McCormick_final_fft,McCormick_fft_absolute,McCormick_fft_angle,Molson_Coors_Brewing_Company_final_fft,Molson_Coors_Brewing_Company_fft_absolute,Molson_Coors_Brewing_Company_fft_angle,Mondelez_International_final_fft,Mondelez_International_fft_absolute,Mondelez_International_fft_angle,Monster_Beverage_final_fft,Monster_Beverage_fft_absolute,Monster_Beverage_fft_angle,PepsiCo_final_fft,PepsiCo_fft_absolute,PepsiCo_fft_angle,Procter_Gamble_final_fft,Procter_Gamble_fft_absolute,Procter_Gamble_fft_angle,Sysco_final_fft,Sysco_fft_absolute,Sysco_fft_angle,Tyson_Foods_final_fft,Tyson_Foods_fft_absolute,Tyson_Foods_fft_angle,Walmart_final_fft,Walmart_fft_absolute,Walmart_fft_angle,Walgreens_Boots_Alliance_final_fft,Walgreens_Boots_Alliance_fft_absolute,Walgreens_Boots_Alliance_fft_angle
0,(62831.39800000001+0j),62831.39800000001,0.0,(55482.122500000005+0j),55482.122500000005,0.0,(115550.50000000001+0j),115550.50000000001,0.0,(62106.64990000002+0j),62106.64990000002,0.0,(98559.33999999994+0j),98559.33999999994,0.0,(115520.88999999994+0j),115520.88999999994,0.0,(95686.50820000003+0j),95686.50820000003,0.0,(140493.92000000004+0j),140493.92000000004,0.0,(43232.28+0j),43232.28,0.0,(41878.77+0j),41878.77,0.0,(126771.1157+0j),126771.1157,0.0,(89757.13950000002+0j),89757.13950000002,0.0,(93447.66999999998+0j),93447.66999999998,0.0,(63057.270000000026+0j),63057.270000000026,0.0,(114434.51699999999+0j),114434.51699999999,0.0,(92020.8275+0j),92020.8275,0.0,(122300.01999999997+0j),122300.01999999997,0.0,(44488.93000000001+0j),44488.93000000001,0.0,(79269.72999999997+0j),79269.72999999997,0.0,(90220.81000000004+0j),90220.81000000004,0.0,(55450.666199999956+0j),55450.666199999956,0.0,(86735.26559999996+0j),86735.26559999996,0.0,(116674.68499999998+0j),116674.68499999998,0.0,(114060.34239999998+0j),114060.34239999998,0.0,(52314.94+0j),52314.94,0.0,(30454.079999999994+0j),30454.079999999994,0.0,(99682.73609999998+0j),99682.73609999998,0.0,(65468.02000000001+0j),65468.02000000001,0.0
1,(18606.516737714683-4852.238088097533j),19228.798183309354,-0.25510007292248454,(2455.510300324656-1100.578196638018j),2690.8740590959424,-0.42136230377177875,(7061.067257753589+6957.815253662849j),9913.115752508047,0.7780330872543196,(3078.270597516253+517.3029768454353j),3121.4343243749686,0.16649419524005973,(-4523.79511656428+778.8259885906181j),4590.347718545402,2.9711018964318185,(5387.223828154781+6856.6292592869995j),8719.836315777335,0.9048386078172242,(-4250.979330570487+4644.361765263979j),6296.103674145102,2.3119998625229807,(1104.9317707472042+12124.56330490891j),12174.806345595409,1.4799156837321414,(3526.393417388554+2775.4445103232442j),4487.59877485552,0.6667939687338923,(9297.966894623532+3958.3334074850563j),10105.473355480555,0.40248060360704924,(11809.373661070653+15240.57088783752j),19280.464394147508,0.9115710693074434,(-260.80081734266537-11365.023411324786j),11368.015403151383,-1.5937399709485174,(11762.811002964692+13502.171186357862j),17907.32669711422,0.854134408900171,(-446.2612464514163-1807.9208745425012j),1862.1833928727037,-1.8127955700628846,(8518.577636364229+16236.0351141447j),18335.07570681137,1.0876072315474796,(2720.1678611679854+2147.2718797262737j),3465.5576345509558,0.6682375403578313,(10601.572885280799+8013.575524595173j),13289.497369363216,0.6472572181851022,(3641.4407946997976-645.831794659757j),3698.2684824519347,-0.17553085195113918,(7226.543775478293+10480.662938387082j),12730.562853502772,0.9671439659239781,(9791.468021971394-5891.868741181273j),11427.46530463328,-0.541694238949546,(1718.5909636555916+2370.9158628137184j),2928.2754188942636,0.9435774478514234,(1634.870579879337+17286.97141332166j),17364.10615200089,1.4765043615391247,(5568.682292658837+2531.7681239624994j),6117.194807269479,0.4267091809266035,(5309.027140434882+1943.128001755629j),5653.451654439172,0.35086100618546695,(2897.440812166081+778.7894636391925j),3000.279368439056,0.2625793125577751,(3070.487351497244+2552.352448034933j),3992.792956652583,0.6935094022052479,(4426.6639775874655+5652.096266856572j),7179.244123184869,0.9063899038640619,(4947.438011565772+1280.8412638446507j),5110.547643986214,0.2533278801270857
2,(4881.575419865912-12151.986916719186j),13095.822410370161,-1.1888166280022998,(612.7822877897399-3006.5872369975j),3068.3984333696117,-1.3697368926688362,(-4752.720489231393-4966.307822714463j),6874.050148108811,-2.334221824577964,(2550.2772202604315-625.5706897683925j),2625.881297407896,-0.24054571150103363,(3595.196428232708-128.64101964225023j),3597.4971674084495,-0.03576610190779031,(3182.812614784396+1294.0476997712256j),3435.8194932379497,0.38616042848510834,(-5812.53537383789-6586.132119684015j),8784.230402832694,-2.293881727489749,(-3824.2497173460088+4862.682222697061j),6186.320740113226,2.237219437780244,(1979.1852338714987+215.75858565091812j),1990.9108360891162,0.10858505413144774,(4071.1747994927464+2413.199723644329j),4732.652232545919,0.535073537403478,(-1352.8346246248655+4968.029195329547j),5148.929559358008,1.8366581876850219,(2692.429742413196+2018.7628611365851j),3365.201540374003,0.6433681133293874,(4446.321558719994+4440.65488782402j),6284.042587084651,0.7847605258204758,(4468.900774187016-1859.6863090243503j),4840.403629605896,-0.3943418856504994,(3465.7613774661254+4167.37049084633j),5420.191761691894,0.8770568965475638,(1972.8824328069522-685.1889649081837j),2088.480072040484,-0.33427057129133,(3049.477517559251+2887.805006670403j),4199.848912359822,0.7581748387115173,(758.1851557340393+16.93515096101708j),758.3742675707832,0.02233271816099026,(1299.8973324244+3994.370036221584j),4200.562469611527,1.2561734079165994,(5496.868366011485-8732.540464907903j),10318.566993750232,-1.0089894034029547,(-1473.824684730533-1827.5560202407712j),2347.790495005749,-2.2494552316619556,(-6512.0369942883435-3959.850536060588j),7621.485556170745,-2.595251907102808,(1470.1505894453696-1461.6605822624829j),2073.1122529632753,-0.7825023481644887,(794.0800180114652-705.653776149858j),1062.3136668609902,-0.7265050544446006,(1535.8589244354664-1485.1653769315549j),2136.4874988177007,-0.7686194866282151,(1844.057510292046-1126.03572255743j),2160.672244867308,-0.5481985949222712,(-26.557064617687324+6083.0718029483105j),6083.129773192901,1.5751620316159738,(3906.3699327264035-2569.044198272918j),4675.437321148539,-0.581737867983322
3,(-2772.4051498537583-6935.074891073954j),7468.700961997344,-1.9511007149602166,(-832.7532497613689+359.9226350020634j),907.205752944143,2.7336326223382175,(-2992.2412979696164+594.3417240549531j),3050.69665326258,2.9455170514481135,(103.32078192161569+1663.6357007671265j),1666.8410028685466,1.5087705782897667,(-1131.1640936862814+6133.152794171703j),6236.593253010916,1.7531811135013378,(147.4266048269552+2662.674522467902j),2666.752747520938,1.5154849360410148,(-2472.6083476321446-3827.2586451586044j),4556.500935775328,-2.1443911884782025,(-8345.858702625586+1896.4568572894436j),8558.615898365308,2.918153561427646,(-530.3211278124126+825.9181324287044j),981.519872482849,2.1415971061488612,(1160.3008351506369+4405.783658760963j),4556.010060991569,1.3132849533239541,(-1361.510637668002+7549.138735701514j),7670.932594368965,1.7492312708118414,(-1533.389331886804-2401.1882781480685j),2849.0328166344357,-2.139112885891203,(1679.0281819633406+3772.3063437728215j),4129.095637920705,1.152030321386649,(-1323.4982941997707+2490.498355028238j),2820.3244123944432,2.0592621172140686,(137.31042947320583+4847.431696397516j),4849.376063503574,1.5424774704616784,(-462.6246180864181+2041.5773165627613j),2093.336923852252,1.7936346393541245,(-1892.0861522546752+3481.631556885945j),3962.543161336915,2.0685953971760895,(1110.5355663159605+1430.3149672682046j),1810.8258197971875,0.9105951698820431,(-217.68958310617455+4936.649137268614j),4941.446494609437,1.614864406458268,(437.57031219212246-5271.634863384689j),5289.763880454857,-1.4879815004633419,(-743.3100740614151-1280.8860093486512j),1480.9384980971693,-2.0966115381489585,(1128.8653801423397-4489.398366100827j),4629.1505415176,-1.3244521333472405,(-2368.851956174941+3349.7882183617576j),4102.747944749845,2.186314642112236,(-1218.6585875420774+3470.8082639133436j),3678.537584127585,1.9084655924240435,(-627.3545043363528+594.1872824845589j),864.0788162994714,2.383339754657938,(-61.325166180634966+563.1530727533433j),566.4822674705845,1.6792650080873501,(-728.009392674661+4799.4860032685265j),4854.3860138428445,1.7213336567268263,(1477.3090752814003-84.80261819589006j),1479.741054361088,-0.05734051013945007
4,(-1961.7981412096285-1622.0230038413674j),2545.507920208485,-2.4507200115065735,(-49.001611096014415+2043.276345380928j),2043.8638363362777,1.5947736122648006,(3321.0787021943324-94.18514455740888j),3322.4139699357293,-0.028352205658238268,(1063.094213737487+529.261353361003j),1187.555003965562,0.4619260541319465,(-959.7308526276129+269.4065404526474j),996.8265614057386,2.8679252131747597,(172.43441858086976+2334.526816515832j),2340.8863889011927,1.497067528050509,(1641.7655048611955+437.83324846674805j),1699.1444689652146,0.2606189476124502,(-2539.6708816462774+2761.7302601781726j),3751.943791831879,2.314332039048837,(513.0015419859781+1930.9863734054848j),1997.9687075521622,1.3111264088617454,(515.1566024311257+3222.2803963282795j),3263.2004654311254,1.412264603902742,(1270.9264903210922+7273.165074059608j),7383.372152229656,1.397801127724498,(3666.644706412218+2249.65661297884j),4301.771528031232,0.5503205813522533,(557.1072452182657+2360.8548200333244j),2425.696593547772,1.3390587764690507,(808.4211520031968+433.51879156015275j),917.3239894617119,0.49222816982373047,(936.1792812896604+6322.753464426839j),6391.68545992664,1.4237992126031471,(876.2412125283737+3105.7462490826156j),3226.9890650920916,1.2958084925515518,(496.8641663258827+3390.25241537952j),3426.4683625805424,1.4252756104019562,(606.8241326788677+1344.7126358095347j),1475.2923781092636,1.146889450165329,(90.76375961457461+2736.6704130227745j),2738.1751239783066,1.5376427171899372,(-1518.2551499442618-3585.8952272813494j),3894.065135738157,-1.9713079316280773,(1243.1550183454565-774.2015489605117j),1464.5212316830193,-0.5569952126083018,(563.8935289936167+4487.865351986371j),4523.152808561815,1.445802864755424,(717.3728967666777+3282.095906615406j),3359.579945951133,1.3556089031033234,(1541.2923126280025+2853.732467610383j),3243.3579804979627,1.0755879743841574,(621.5177952734884+368.078239058309j),722.3336901390406,0.5346828106011404,(752.1729967403974+1322.4975252099514j),1521.434823188912,1.0536703280799191,(1132.6570261840598+1476.157988377398j),1860.6327809684865,0.9163144168890709,(-408.1879866296799+2756.107860606199j),2786.1708439584377,1.7178305545502244
5,(1953.3145693276874-499.5818959321741j),2016.189444841678,-0.25039348808800055,(2601.5157263987685+308.4279942123639j),2619.735082468068,0.11800620405992915,(1857.4458622723255-432.6655626817719j),1907.1718906284555,-0.22885485434728853,(-687.3098607699981+54.59100563337219j),689.4744539196047,3.0623319843436,(1360.1551039706137-910.2190072261257j),1636.618632416552,-0.5897560305334222,(-638.1155751556657+953.7667272371832j),1147.546276731781,2.160445628406495,(3203.435194305159+8.843364275186559j),3203.4474007238878,0.002760580837212937,(-2621.718950695529-2742.4665385990384j),3794.01277960044,-2.3336883333587233,(-432.3028284089969+452.9965726145806j),626.172204949226,2.332823892055833,(434.14310947207105+1441.6600777455956j),1505.610845891964,1.2782929756677313,(983.3180240082729+1209.6459390469317j),1558.8962871827837,0.8882404507621943,(-2332.2932795214956-3203.542719557866j),3962.6099855692764,-2.200091419421169,(-480.52248685925224+2326.5991354302414j),2375.703137465232,1.774466884555749,(1642.3810769117354+1249.8063434813434j),2063.8390194014546,0.6504864142088524,(-1011.4684605326647+2132.7399087096956j),2360.433850980654,2.0136388911623997,(-1076.8250254000548-196.8605267710317j),1094.6717326798919,-2.9607737206216327,(-85.40679555514453+1187.1504949021428j),1190.2187270722136,1.6426152779233076,(-410.91031885063853+694.5803089636819j),807.0248420823347,2.1050128440965037,(161.83525603419912+771.4447610412544j),788.2370642348994,1.3640128952827173,(-1551.1297334114033-3292.1220068260627j),3639.2404094400513,-2.011110271339536,(810.6029156797522-415.5834507259416j),910.9262821028915,-0.47374354148988373,(-1342.3805723745336+5062.611465337625j),5237.558634522057,1.8299875877818086,(652.5313930690863+543.3927362888497j),849.1601055114199,0.694391398214076,(-389.26466670376885+518.1242239955944j),648.0584018705669,2.2151263717236116,(-291.17047554326723-448.7742361985895j),534.9565972148766,-2.1463365182353957,(-272.9032512171377+704.6283007629804j),755.6303506086884,1.9403075910592076,(320.62238545555874-70.0520723077957j),328.18593341249334,-0.2151074379303349,(658.7935006283565-1363.540623269713j),1514.3486744395827,-1.1207200410564986
6,(2982.672003044122-2400.5599767949925j),3828.7100281861526,-0.6776824025203203,(49.48327320803793+2.7429618342707256j),49.55923896717533,0.05537543043455902,(-1006.451356442914+2692.9545380868785j),2874.8823414339054,1.9284574924359583,(-1000.6625751968442+1076.4080198193828j),1469.6869784178755,2.319743204294979,(-591.2690796311122+3503.5421363248583j),3553.084100543016,1.7379842053995267,(-258.3023536563253+1719.9510323755037j),1739.2388161704414,1.719862370062158,(-408.9783090088294+2204.366867260981j),2241.9849559525846,1.7542414369612571,(-1743.0498408683648-1682.5723782287187j),2422.6581590743417,-2.3738471024047696,(-566.2437827673357+516.7063548627593j),766.56211664693,2.401905662270231,(141.01378492111587+2123.9036914403773j),2128.579756093682,1.5044999453473586,(-493.07702505533194+4177.825644198602j),4206.822086321322,1.6882752760026551,(-55.92927815798862+2436.34416308537j),2436.9860412311405,1.5937485260017183,(-110.78251441508729+2205.985570670338j),2208.765515736305,1.620973230532901,(-1549.6032842608317-188.49861367476583j),1561.0259658151958,-3.0205442263006668,(-1186.462537982858+4278.015715504279j),4439.494545118657,1.8413362048946458,(-923.4955665356614+1776.0253376848411j),2001.7767261884069,2.0502989499003585,(-1066.1474237582486+2436.0480554953933j),2659.1352838600064,1.9833364500773836,(-557.2482602269492+1455.9261516548224j),1558.9248162109623,1.9363396680355154,(-528.5039126405871+2117.849476595962j),2182.7970109916773,1.8153490046300536,(-4216.168027976363-213.27665530905404j),4221.558926727176,-3.0910503090118278,(214.71934288482643+797.6754841798828j),826.0693519738534,1.3078476991821026,(968.1048131169073+1282.2545579277833j),1606.6747276616686,0.9241015880958203,(-113.84344190801431+1918.6117941808798j),1921.9863542791968,1.630063197238474,(-422.1882390494301+2104.068367754919j),2146.0071307846365,1.7688199705101721,(-260.79057202729956+314.80876857776644j),408.798585163618,2.2626216837728212,(-855.2370055159255+656.3736776740118j),1078.080117777503,2.4870005472263577,(-592.1122445934474+1770.3073966029726j),1866.704365630692,1.8935682770765991,(-687.8892614754036+1728.0664176658834j),1859.9476282728435,1.9496367366306593
7,(920.8671684110691-4395.95891302788j),4491.37519106194,-1.3643018517741965,(-1588.2204159282985-952.6200470678295j),1852.0067612314408,-2.6013177053977286,(-742.0780473864427+2197.4386176584826j),2319.3568735297504,1.8964729556483915,(94.4751889373693+795.6491547858052j),801.2385030913815,1.452609936459213,(-2402.074477406291-59.20021099433416j),2402.8038746407246,-3.1169521897401036,(-116.2702440799834+1199.1905139059227j),1204.813951737101,1.6674514812568377,(-1205.2911454012133+428.2472819683161j),1279.1100342409245,2.8001986496790234,(-850.6156050709086-1968.2580379675496j),2144.1983610697066,-1.9787215498230353,(-582.8725618163702+485.46658192897405j),758.5632639985802,2.447118247669825,(833.721337678954+1602.4700067167682j),1806.3779757647687,1.091062431126194,(638.0223057343068+2901.8517019761257j),2971.164041731163,1.3543725968618912,(-591.4026114410083-1037.8343196757885j),1194.5112489701178,-2.088746339892946,(-730.7093471658369+3219.7228039811966j),3301.5982621318517,1.793964038558691,(26.281682994064454-363.00792697859123j),363.958077132923,-1.4985226807212195,(-201.7129009625366+3436.5069545893334j),3442.421842737403,1.6294261286232743,(-227.55868055064326+1168.8163959464919j),1190.7622434925017,1.7630824401274527,(313.54925215243463+1889.9942009260478j),1915.8265091232663,1.4063940925607745,(-153.82327288331263+928.1953015872427j),940.8549926365733,1.735026662897984,(-470.27447147380553+1683.4753732649156j),1747.9266034102845,1.8431997732585454,(-1047.494743069325+1484.1070324689595j),1816.540371305216,2.1854097080948547,(131.45159671525983+821.3104407744698j),831.7634053047448,1.412091291289991,(926.6407130361736+926.9828065341039j),1310.7097827765047,0.7855827173213895,(35.263598082762485+1712.029917344205j),1712.3930504505522,1.5502017028141533,(771.9930089421681-26.045311786088376j),772.4322391780505,-0.033724964244996186,(6.387300826648072+269.7948250684781j),269.87042306555344,1.5471260881691302,(-1214.354114105035+1211.8155270398502j),1715.561944675474,2.3572408251623753,(-159.9747753962476+1450.5625643954595j),1459.3572838714347,1.6806370854243662,(-801.7095067849478+538.8720746824081j),965.9820112931126,2.5498008942021437
8,(-1848.2983516052423-3669.7151841980103j),4108.894782016217,-2.0373697342304475,(-877.518184796887+741.2941666967064j),1148.7189413550157,2.440147289648285,(639.8495097854677-645.9507836032109j),909.208342466294,-0.7901432455516127,(-371.0494543563814-340.3284941008319j),503.48900829621726,-2.3993528196135046,(865.0140022169646-217.15439430422066j),891.8549517702102,-0.24595863801305615,(-693.869405325248-706.9766733590258j),990.591120654838,-2.34683808355306,(-1884.2985110558352-1047.117997611241j),2155.6987219202533,-2.6343783795664715,(-742.4810168815129-2941.3427285676316j),3033.6076060240694,-1.8180600576831618,(403.2552225060814+46.0125755620561j),405.8718166962115,0.11361150998490614,(593.2281741097601+1139.337282760516j),1284.526804097803,1.0907432742716074,(544.1830219127596+2627.285265124048j),2683.0510665427223,1.3665568917764774,(721.8942019918334+130.84645906783476j),733.6566190800819,0.17930764939483135,(-330.4543348007623+964.0229546923946j),1019.0879866637958,1.9010307281897205,(-422.45555699774883+930.5831440908548j),1021.9851690236502,1.9969456645955137,(195.21152964569268+2242.3721593855144j),2250.853269872087,1.4839594436223145,(244.41231267798668-532.7835071281604j),586.1703200063822,-1.1406930583700126,(-1261.659171770014+382.189696957289j),1318.2764619652821,2.8474533818654035,(25.450436625328393+394.0427566468132j),394.86379777112955,1.5062979069120384,(-108.18009379506894+936.4116925147605j),942.6397989539103,1.685812664163091,(134.14933446596342+521.1337356576662j),538.1230476184561,1.3188480592130314,(-225.48627286225326-318.9791405161901j),390.6299416759523,-2.1861379973910093,(-499.89676505252095+2637.454339399424j),2684.4109536594483,1.7581119463234987,(-360.63860940754705-146.89009651761853j),389.40583849033976,-2.7548043219748566,(17.763709915257436-450.4150761265296j),450.76522735457405,-1.5313782221115428,(381.7000456227082-559.0315816854287j),676.9130181567567,-0.9717156963367823,(954.2957804114156+737.9871986319025j),1206.3604527070654,0.658266959170029,(-129.21011263304484+2025.7275322241603j),2029.8441536279652,1.6344945823610408,(521.8808785055655+527.4056171425648j),741.9678809377604,0.7906633484610417
9,(-2089.222780123376-1416.8981227075203j),2524.371627775622,-2.5456520649318115,(903.2809770874492+850.8287441685738j),1240.8972864308832,0.7555045899619489,(-3.389632944755874-1748.357366304413j),1748.3606521317058,-1.5727350772832982,(-630.7618934181907+258.95737826912716j),681.8500494599386,2.7520272642645263,(-1855.1961431246834+1730.4272726107088j),2536.9531480221776,2.3909774371578174,(-898.5739387020355+623.6908710125304j),1093.8123357774214,2.5348443906152087,(-155.18901577122807-2102.808284097293j),2108.527047558139,-1.6444636150365683,(-496.74726670567975-2296.367714414017j),2349.481331439478,-1.7838325760093157,(57.505710329201236+62.44758781290917j),84.8917424966469,0.8265732244290306,(-38.6811781568407+809.0110006533449j),809.935202792006,1.6185728619243653,(-524.2636104053479+1508.2536025460547j),1596.7721386561086,1.9053283036840598,(-1353.1106465078506-540.7561193160279j),1457.1635468507382,-2.7613973094828013,(-629.6687686895802+1651.0307791370897j),1767.0272753755323,1.9351479421476119,(-501.28447044133395-686.7804056326842j),850.2666910250235,-2.2013121247138345,(235.50708147151227+2771.1771067625937j),2781.1663277244547,1.486015548043072,(-352.88550076074813+283.9438497243946j),452.93739792986133,2.4640321762563846,(-987.7720906446076+785.2789979299318j),1261.8862102607575,2.469907821271989,(-113.24916711255705+737.058212044582j),745.7078394344825,1.7232542601269605,(-599.811834263553+548.4414329840129j),812.7498027906038,2.400902545132713,(882.2282148704872-71.936200793144j),885.1561670677769,-0.08135922937490178,(-509.92739178495765-432.47879707230726j),668.628338323855,-2.4381919773630463,(-1190.873406733832-195.33462671819515j),1206.7870927636654,-2.9790140207173805,(-877.8232467546011+324.2375061070094j),935.7903680361762,2.787771062878883,(-809.4556080531015+334.4423700368233j),875.8253708842099,2.749785062460678,(-28.63515196154148-377.5229642630506j),378.6073962217605,-1.646501458719978,(158.7065639659793+463.78020692221105j),490.18348990831623,1.2410852248460231,(-823.7807254310434+871.5025643324698j),1199.221165269262,2.328052149560185,(159.30487601375614-133.81838351745145j),208.05144385219234,-0.6986682441627003
