,Activision_Blizzard_predictions,ATT_predictions,CBS_predictions,CenturyLink_predictions,Comcast_predictions,Discovery_Class_A_predictions,Discovery_Class_C_predictions,Dish_predictions,Electronic_Arts_predictions,Facebook_predictions,Interpublic_Group_predictions,Netflix_predictions,News_Corp_Class_A_predictions,News_Corp_Class_B_predictions,Omnicom_Group_predictions,Take_Two_Interactive_predictions,Twitter_predictions,Advance_Auto_Parts_predictions,Amazon_predictions,AutoZone_predictions,Best_Buy_Co_predictions,BlockHR_predictions,BorgWarner_predictions,Carmax_predictions,Carnival_predictions,Chipotle_Mexican_Grill_predictions,D_R_Horton_predictions,Darden_Restaurants_predictions,Dollar_General_predictions,Dollar_Tree_predictions,eBay_predictions,Expedia_Group_predictions,Ford_Motor_predictions,Gap_predictions,Garmin_predictions,General_Motors_predictions,Genuine_Parts_predictions,Goodyear_Tire_Rubber_predictions,Hanesbrands_predictions,Harley_Davidson_predictions,Hasbro_predictions,Home_Depot_predictions,Kohls_predictions,L_Brands_predictions,Leggett_Platt_predictions,Lennar_predictions,LKQ_predictions,Lowes_Cos_predictions,Macys_predictions,Marriott_Int_predictions,Mattel_predictions,McDonalds_predictions,MGM_Resorts_International_predictions,Mohawk_Industries_predictions,Newell_Brands_predictions,Nike_predictions,Nordstrom_predictions,Norwegian_Cruise_Line_predictions,OReilly_Automotive_predictions,Polo_Ralph_Lauren_predictions,Pulte_Homes_predictions,PVH_Corp_predictions,Ross_Stores_predictions,Starbucks_predictions,Target_predictions,Tiffany_predictions,TJX_Companies_predictions,Tractor_Supply_Company_predictions,Ulta_Beauty_predictions,Under_Armour_Class_A_predictions,V_F_Corp_predictions,Whirlpool_predictions,Wynn_Resorts_predictions,Yum_Brands_predictions,Altria_Group_predictions,Archer_Daniels_Midland_Co_predictions,Brown_Forman_predictions,Campbell_Soup_predictions,Church_Dwight_predictions,The_Clorox_Company_predictions,Coca_Cola_Company_predictions,Colgate_Palmolive_predictions,Constellation_Brands_predictions,Costco_Wholesale_predictions,Coty_predictions,General_Mills_predictions,The_Hershey_Company_predictions,Hormel_Foods_predictions,JM_Smucker_predictions,Kellogg_predictions,Kroger_predictions,McCormick_predictions,Molson_Coors_Brewing_Company_predictions,Mondelez_International_predictions,Monster_Beverage_predictions,PepsiCo_predictions,Philip_Morris_International_predictions,Procter_Gamble_predictions,Sysco_predictions,Tyson_Foods_predictions,Walmart_predictions,Walgreens_Boots_Alliance_predictions,Anadarko_Petroleum_predictions,Apache_Corporation_predictions,Campbell_Soup_predictions,Cabot_Oil_Gas_predictions,Chevron_predictions,Cimarex_Energy_predictions,Concho_Resources_predictions,ConocoPhillips_predictions,Devon_Energy_predictions,Diamondback_Energy_predictions,EOG_Resources_predictions,Exxon_Mobil_predictions,Halliburton_predictions,Helmerich_Payne_predictions,Hess_Corporation_predictions,Kinder_Morgan_predictions,Marathon_Oil_predictions,Marathon_Petroleum_predictions,National_Oilwell_Varco_predictions,Newfield_Exploration_predictions,Noble_Energy_predictions,Occidental_Petroleum_predictions,ONEOK_predictions,Phillips_SixtySix_predictions,Schlumberger_predictions,TechnipFMC_predictions,Valero_Energy_predictions,Williams_Cos_predictions,Affiliated_Managers_Group_predictions,AFLAC_predictions,Allstate_Corp_predictions,American_Express_predictions,American_International_Group_predictions,Ameriprise_Financial_predictions,Aon_predictions,Arthur_J_Gallagher_predictions,Assurant_predictions,Bank_of_America_predictions,The_Bank_of_NewYork_predictions,BBT_predictions,Berkshire_Hathaway_predictions,BlackRock_predictions,Capital_One_Financial_predictions,Cboe_Global_Markets_predictions,Charles_Schwab_Corporation_predictions,Chubb_predictions,Cincinnati_Financial_predictions,Citigroup_predictions,CME_Group_predictions,Comerica_predictions,Discover_Financial_Services_predictions,ETrade_predictions,Everest_Re_Group_predictions,Fifth_Third_Bancorp_predictions,First_Republic_Bank_predictions,Franklin_Resources_predictions,Goldman_Sachs_Group_predictions,Hartford_Financial_predictions,Huntington_Bancshares_predictions,Intercontinental_Exchange_predictions,Invesco_predictions,JPMorgan_Chase_predictions,KeyCorp_predictions,Lincoln_National_predictions,Loews_predictions,MT_Bank_predictions,Marsh_McLennan_predictions,Moodys_predictions,Morgan_Stanley_predictions,MSCI_predictions,Nasdaq_predictions,Northern_Trust_predictions,Peoples_United_Financial_predictions,PNC_Financial_Services_predictions,Principal_Financial_Group_predictions,Progressive_predictions,Prudential_Financial_predictions,Regions_Financial_predictions,State_Street_predictions,SunTrust_Banks_predictions,SVB_Financial_predictions,T_Rowe_Price_Group_predictions,Torchmark_predictions,US_Bancorp_predictions,Unum_Group_predictions,Wells_Fargo_predictions,Zions_Bancorp_predictions,Abbott_Laboratories_predictions,AbbVie_predictions,ABIOMED_predictions,Agilent_predictions,Align_Technology_predictions,Allergan_predictions,AmerisourceBergen_Corp_predictions,Amgen_predictions,Baxter_International_predictions,Becton_Dickinson_predictions,Biogen_predictions,Boston_Scientific_predictions,Bristol_Myers_Squibb_predictions,Cardinal_Health_predictions,Celgene_predictions,Centene_Corporation_predictions,Cerner_predictions,CIGNA_predictions,The_Cooper_Companies_predictions,CVS_Health_predictions,Danaher_predictions,DaVita_predictions,Dentsply_Sirona_predictions,Edwards_Lifesciences_predictions,Gilead_Sciences_predictions,HCA_Holdings_predictions,Henry_Schein_predictions,Hologic_predictions,Humana_predictions,IDEXX_Laboratories_predictions,Illumina_predictions,Incyte_predictions,Intuitive_Surgical_predictions,Johnson_Johnson_predictions,Laboratory_America_Holding_predictions,Lilly_predictions,McKesson_predictions,Medtronic_predictions,Merck_predictions,Mylan_NV_predictions,Nektar_Therapeutics_predictions,PerkinElmer_predictions,Perrigo_predictions,Pfizer_predictions,Quest_Diagnostics_predictions,Regeneron_predictions,ResMed_predictions,Stryker_predictions,Teleflex_predictions,Thermo_Fisher_Scientific_predictions,United_Health_Group_predictions,Universal_Health_Services_predictions,Varian_Medical_Systems_predictions,Vertex_Pharmaceuticals_predictions,Waters_Corporation_predictions,WellCare_predictions,Zimmer_Biomet_Holdings_predictions,Zoetis_predictions,Accenture_predictions,Adobe_Systems_predictions,Advanced_Micro_Devices_predictions,Akamai_Technologies_predictions,Alliance_Data_Systems_predictions,Amphenol_Corp_predictions,Analog_Devices_predictions,ANSYS_predictions,Apple_predictions,Applied_Materials_predictions,Autodesk_predictions,Automatic_Data_Processing_predictions,Broadcom_predictions,Broadridge_Financial_Solutions_predictions,Cadence_Design_Systems_predictions,Cisco_Systems_predictions,Citrix_Systems_predictions,Cognizant_Technology_Solutions_predictions,Corning_predictions,F5_Networks_predictions,Fidelity_National_Information_Services_predictions,Fiserv_predictions,FleetCor_Technologies_predictions,FLIR_Systems_predictions,Fortinet_predictions,Global_Payments_predictions,HP_predictions,Intel_predictions,International_Business_Machines_predictions,Intuit_predictions,IPG_Photonics_predictions,Jack_Henry_Associates_predictions,Juniper_Networks_predictions,Keysight_Technologies_predictions,KLA_Tencor_Corp_predictions,Lam_Research_predictions,Mastercard_predictions,Microchip_Technology_predictions,Micron_Technology_predictions,Microsoft_predictions,Motorola_Solutions_predictions,NetApp_predictions,Nvidia_Corporation_predictions,Oracle_predictions,Paychex_predictions,QUALCOMM_predictions,Red_Hat_predictions,Salesforce_predictions,Rollins_predictions,Seagate_Technology_predictions,Skyworks_Solution_predictions,Symantec_predictions,Synopsys_predictions,TE_Connectivity_predictions,Texas_Instruments_predictions,Total_System_Services_predictions,Verisign_predictions,Visa_predictions,Western_Digital_predictions,Western_Union_predictions,Xerox_predictions,Xilinx_predictions,Air_Products_Chemicals_predictions,Albemarle_Corp_predictions,Avery_Dennison_predictions,Ball_predictions,Celanese_predictions,CF_Industries_Holdings_predictions,Eastman_Chemical_predictions,Ecolab_predictions,FMC_Corporation_predictions,Freeport_McMoRan_predictions,International_Paper_predictions,LyondellBasell_predictions,Martin_Marietta_Materials_predictions,The_Mosaic_Company_predictions,Newmont_Mining_Corporation_predictions,Nucor_predictions,Packaging_Corporation_of_America_predictions,Sealed_Air_predictions,Sherwin_Williams_predictions,Vulcan_Materials_predictions,American_Tower_Corp_predictions,Alexandria_Real_Estate_Equities_predictions,Apartment_Investment_Management_predictions,AvalonBay_Communities_predictions,Boston_Properties_predictions,Crown_Castle_International_predictions,Digital_Realty_Trust_predictions,Duke_Realty_predictions,Equinix_predictions,Equity_Residential_predictions,Essex_Property_Trust_predictions,Extra_Space_Storage_predictions,Federal_Realty_Investment_Trust_predictions,HCP_predictions,Host_Hotels_Resorts_predictions,Iron_Mountain_predictions,Kimco_Realty_predictions,Macerich_predictions,Mid_America_Apartments_predictions,Prologis_predictions,Public_Storage_predictions,Realty_Income_Corporation_predictions,Regency_Centers_Corporation_predictions,SBA_Communications_predictions,Simon_Property_Group_predictions,SL_Green_Realty_predictions,UDR_predictions,Ventas_predictions,Vornado_Realty_Trust_predictions,Weyerhaeuser_predictions,AES_predictions,Alliant_Energy_Corp_predictions,Ameren_Corp_predictions,American_Electric_Power_predictions,American_Water_Works_Company_predictions,CMS_Energy_predictions,Consolidated_Edison_predictions,DTE_Energy_predictions,Duke_Energy_predictions,Dominion_Energy_predictions,Edison_Int_predictions,Entergy_predictions,Evergy_predictions,Eversource_Energy_predictions,Exelon_predictions,FirstEnergy_predictions,NextEra_Energy_predictions,NiSource_predictions,NRG_Energy_predictions,Pinnacle_West_Capital_predictions,PPL_Corp_predictions,Public_Serv_Enterprise_predictions,Southern_predictions,Sempra_Energy_predictions,Wec_Energy_Group_predictions,Xcel_Energy_predictions,Conagra_Brands_predictions,Kimberly_Clark_predictions,MetLife_predictions,Raymond_James_Financial_predictions,Flowserve_Corporation_predictions,TripAdvisor_predictions,TwentyFirst_Century_Fox_A_predictions,TwentyFirst_Century_Fox_B_predictions,Verizon_Communications_predictions,Viacom_predictions,The_Walt_Disney_predictions
0,[43.83753345],[39.04767452],[55.67050863],[27.83023714],[65.8282945],[26.94767086],[26.32409811],[55.99343916],[84.91906409],[130.32483074],[22.67659141],[102.87485064],[13.93864189],[14.27531014],[82.69416899],[43.94294232],[17.65805808],[148.29322121],[842.0580439],[764.63301518],[38.88448907],[22.79078074],[36.09514968],[52.71185492],[47.59260137],[437.65120293],[29.6790674],[62.30563656],[69.49978216],[77.97234464],[31.93449581],[118.90158283],[12.09146722],[26.63463359],[48.67036552],[32.10467957],[98.56863086],[32.49711087],[25.56846276],[50.45591852],[79.90633811],[127.29758285],[46.14080656],[71.74706721],[45.93594831],[41.77698091],[33.57915626],[70.98392128],[37.53911868],[67.38068286],[30.28644908],[114.76296841],[26.8293186],[198.15896771],[51.39159629],[51.75338235],[54.26093173],[38.51832039],[277.94792204],[103.72030774],[19.93300481],[113.84647476],[64.18264662],[53.26523195],[68.81749206],[73.78389242],[74.79324018],[68.46345743],[240.04583591],[38.23393261],[55.08960022],[161.65938026],[98.36470139],[87.53985226],[61.66954089],[43.23454624],[46.71955273],[54.05668049],[46.97911264],[122.04064258],[41.72304724],[72.61029458],[170.89674791],[150.36053859],[22.95043452],[62.44264164],[95.53524935],[37.68043983],[134.2989292],[76.4740204],[29.04464422],[95.37569486],[109.92452819],[42.98269934],[146.27689754],[106.32871091],[96.22980011],[89.05033726],[48.30175858],[70.20341419],[68.04015522],[79.73766821],[64.40271743],[64.17163069],[54.05668049],[24.17607079],[103.91456243],[140.97167273],[141.79989933],[44.3648061],[44.29381164],[104.66917291],[97.24001486],[88.29263599],[47.17763352],[69.61192149],[54.00969291],[21.36902222],[15.65431168],[42.35192924],[37.47355479],[43.69743265],[36.00312343],[74.6449954],[50.39440715],[81.24266731],[82.17536482],[32.04605578],[54.69718141],[30.58295215],[150.89353996],[71.66660822],[68.49052077],[61.86636078],[60.37060477],[101.54437206],[111.94930239],[50.50678109],[90.76137089],[16.29563952],[40.68049182],[39.16483925],[145.05811205],[358.90699585],[73.25342332],[66.86100929],[32.45034973],[124.70519488],[75.47612301],[49.48717764],[104.14062786],[49.47152269],[56.44964158],[29.41151012],[190.79699661],[20.67495485],[78.6338933],[36.27530042],[170.67852544],[43.63000696],[10.15076166],[268.34937716],[31.21671642],[68.56063557],[12.76689004],[49.23942108],[41.49077901],[117.75481997],[66.45045738],[109.3237663],[32.54299071],[83.04009233],[66.50899517],[71.91725937],[15.89003143],[91.59198947],[52.81418748],[31.36666729],[84.79081186],[10.36245193],[71.74807054],[46.09517877],[119.9535215],[66.72054351],[64.76635014],[43.73745846],[36.50217548],[45.54562279],[31.77764363],[43.47889143],[63.27589498],[131.61333773],[47.65466002],[91.09999578],[242.64104222],[79.70604204],[168.37410402],[48.29290751],[179.32197224],[304.8860236],[23.74571514],[49.69509588],[76.4836582],[104.16986704],[63.06173834],[61.7747374],[127.78280187],[182.02202066],[86.7989639],[78.19033943],[63.75025591],[59.81524144],[121.4818161],[75.53392229],[75.90055618],[163.18734822],[40.02718639],[178.68552755],[117.06912342],[184.73239106],[95.45274578],[725.28212605],[119.75178195],[139.06509361],[82.97837084],[165.41439503],[86.22028954],[63.85636123],[38.85596664],[17.1836876],[55.45555489],[92.79432883],[33.60763808],[84.85845555],[394.27782613],[65.1947931],[117.90349077],[168.94206911],[159.12171392],[138.21889363],[122.33903312],[98.93800965],[86.01005416],[158.86657267],[119.7093096],[132.67280012],[52.57658017],[117.69652479],[109.29641599],[6.82774846],[55.34887303],[208.58916833],[64.82384615],[63.42834494],[91.58626479],[115.39923929],[29.38148762],[72.22722107],[87.79214285],[174.70266478],[66.69881165],[26.24836959],[31.44530157],[84.79468077],[50.35578621],[23.836663],[123.32161295],[77.44405724],[100.6000197],[174.64317836],[30.44985694],[35.03596174],[75.43857658],[15.57748453],[38.04273855],[157.01325573],[108.32060946],[85.45888303],[83.26108682],[24.57174169],[11.01328255],[73.50250097],[102.07860748],[101.57977056],[61.35089565],[17.48897873],[58.06569199],[74.72138952],[34.69403683],[67.11099999],[38.62843359],[56.6793135],[67.15058166],[78.07299242],[74.81564639],[28.47917791],[37.98575957],[80.1746255],[25.25169559],[60.39089956],[63.73992056],[69.96533356],[47.44834091],[76.56928552],[82.91915736],[59.38605951],[20.29554073],[9.95570949],[52.25892382],[135.55221397],[83.73227927],[76.2546164],[79.32848352],[66.40307553],[23.58109335],[66.15115069],[119.16643699],[47.77666302],[10.15224337],[46.80589747],[82.01296275],[172.18425604],[24.82635893],[34.02064991],[47.73254372],[81.36144399],[44.75990189],[270.87796973],[107.76995791],[109.5912957],[104.32265039],[42.43029845],[167.17692252],[128.94381715],[88.73103252],[92.60483521],[25.59631427],[356.95313252],[60.87689771],[212.444003],[75.86428721],[145.87569705],[36.05482639],[15.69604957],[33.89755775],[28.11188843],[76.65971172],[87.1775639],[50.07444091],[211.49678406],[62.11642632],[74.76088806],[110.19161318],[197.43746293],[106.02841283],[33.78343631],[66.68757487],[96.62881534],[31.08209599],[11.69245828],[36.85182283],[47.66603584],[62.20258754],[71.23874115],[40.59326942],[72.17863443],[92.31380056],[76.9713519],[72.20726573],[70.17484121],[73.82300716],[22.34636986],[52.77027839],[32.49791724],[31.64525869],[122.77342993],[22.88688106],[11.41695149],[73.77972523],[32.53447522],[40.85196389],[49.75420978],[104.22221556],[57.28306703],[39.85376617],[47.40454632],[122.17312526],[47.55115506],[58.96444786],[46.17578672],[64.60646139],[24.70200141],[24.99918104],[50.19221339],[36.16280801],[92.51437536]
1,[42.97795152],[39.091038],[55.35384135],[27.61064775],[64.98314088],[26.312826],[25.741915],[55.29464489],[83.45556825],[128.91807197],[22.51883672],[100.31383101],[13.63058902],[13.94697235],[81.92049095],[42.46139697],[17.95185794],[146.62711437],[832.03556411],[761.3813738],[38.30462184],[22.81621037],[35.51010493],[51.09373939],[46.91700001],[422.77689106],[29.20410102],[62.36076083],[68.88575387],[77.4558041],[31.42402192],[117.84401566],[11.9680371],[26.60616067],[48.05524641],[31.86101101],[97.23082489],[32.1078385],[25.83384606],[50.0587636],[78.7625702],[126.1110403],[45.91612684],[70.61629137],[45.6560112],[41.56959201],[33.134803],[70.18925768],[37.24546041],[66.65256343],[29.34865632],[113.6688129],[26.46684208],[191.95748738],[50.33242097],[51.78294868],[54.12733065],[37.91849749],[274.85855019],[102.2677381],[19.68241881],[112.74000585],[63.74095812],[52.89193002],[68.38664634],[73.41683546],[74.27021618],[68.24427587],[237.04207034],[38.03905653],[54.26923407],[161.20513813],[97.62296998],[88.32972193],[61.98782996],[42.34884447],[46.33925663],[53.89693637],[46.95771833],[120.98089056],[41.53823089],[72.26824755],[169.88328271],[150.98945534],[23.06389783],[61.92535102],[94.66083096],[37.76531152],[132.25644727],[76.10090001],[30.08639858],[94.24385133],[109.92042827],[42.37376259],[143.43891933],[105.59381675],[95.52208717],[88.56118747],[48.01834641],[71.67791001],[67.50093447],[78.21628857],[63.62213747],[62.83471162],[53.89693637],[23.62154973],[103.05229895],[139.41305546],[140.13209097],[43.22564536],[44.20571524],[104.72067152],[95.85456787],[87.73261585],[46.58911591],[69.19086479],[52.46319172],[20.73405826],[15.04748562],[41.93344349],[36.83376369],[43.11632856],[35.71011006],[73.7027728],[49.86473925],[80.59102307],[81.64720322],[31.31035429],[54.22332359],[30.27671608],[146.11591103],[70.96768805],[68.20421159],[60.78784734],[59.87331847],[99.54633277],[109.74426882],[49.7817152],[90.63773942],[16.06905688],[39.93703452],[38.7110659],[144.09015605],[352.02103815],[72.11312551],[67.14892244],[31.91229674],[123.93901096],[74.65957712],[48.89489006],[103.98157526],[48.56061792],[55.50490346],[28.9423031],[190.71442766],[20.3738084],[77.52576923],[34.72610839],[168.88825104],[43.23596238],[10.02312631],[265.72134474],[30.5106626],[68.24964649],[12.70390085],[48.64384489],[41.15679656],[116.02508347],[65.58472909],[107.47250109],[32.14187956],[80.037747],[66.00087744],[71.00158216],[15.77275207],[90.46557481],[52.42359027],[31.15438369],[84.26532047],[10.25132193],[70.29749648],[45.5328094],[118.26547261],[66.00042119],[64.19824549],[43.24504883],[36.58997107],[45.39358124],[31.26635986],[41.12406451],[62.45082106],[127.86954981],[45.70525698],[89.71346865],[237.74958441],[79.5265331],[164.53832588],[46.90421592],[174.0626729],[298.37063516],[23.21945444],[49.82345403],[75.37257471],[101.60434774],[61.7272645],[60.80694077],[125.13225105],[179.59188145],[86.44674392],[76.45477434],[61.9924597],[57.83496968],[118.17297769],[73.9493145],[75.74537706],[158.5646802],[38.71675305],[177.55138177],[112.80750045],[140.81245689],[92.3216769],[711.18678554],[117.92990452],[136.57417735],[81.96213954],[163.63817481],[83.33786289],[61.98288039],[38.28303307],[16.67594288],[53.82574152],[89.05309503],[33.13637237],[83.4972568],[386.03266736],[64.07330804],[113.76668906],[164.87530743],[155.25999609],[135.01906644],[121.11773215],[97.34830172],[81.87338159],[157.08023651],[117.11365847],[126.82626693],[51.23519303],[116.94740913],[107.37093473],[6.51188685],[54.20609646],[208.22443863],[63.95642838],[62.24206757],[91.20937281],[115.63858177],[28.62854269],[70.08499626],[86.13409201],[171.42566843],[65.13664052],[25.66064123],[31.08123438],[83.14954361],[49.81159889],[23.62741181],[121.97656341],[76.48712346],[99.15303765],[171.27786031],[29.8471025],[34.19678906],[73.83051022],[15.42894179],[37.32979695],[154.63949621],[106.9659912],[83.27297469],[81.43484445],[23.96629854],[10.88295813],[72.37579912],[99.62765781],[100.27337497],[59.71064869],[16.8023631],[57.19636731],[73.4524213],[34.07649593],[66.13610955],[38.03949807],[56.03955689],[66.10832727],[76.74676706],[72.26911761],[28.11612515],[34.76926522],[79.41256744],[25.07912348],[59.72010758],[62.68277221],[68.84381888],[46.81048105],[75.45320378],[81.8626073],[56.34571388],[19.92713119],[9.77544421],[50.95895558],[132.55380112],[81.59273093],[75.5992326],[78.37027904],[65.46583489],[23.15988244],[65.19803135],[117.32297649],[47.23174609],[9.82495448],[45.71705318],[80.24146793],[168.73373991],[24.8074437],[33.88188809],[47.34065414],[80.67534612],[44.57547174],[267.51450604],[106.6252931],[108.76596591],[101.84707186],[42.26353328],[166.8841288],[127.50930799],[89.00048882],[91.48680275],[25.34307014],[352.8987141],[60.49966403],[210.21084679],[74.92929406],[144.18760367],[35.7223522],[15.41750431],[33.72678981],[28.01746255],[76.01202944],[85.87411987],[49.68903253],[209.60177923],[60.66428081],[73.80391311],[108.45524354],[195.45779001],[104.49629034],[33.67895134],[66.27559215],[95.20659245],[30.75125064],[11.5356754],[36.35410622],[46.93051288],[61.41139383],[70.5835013],[40.14793395],[71.66819606],[91.65891852],[75.91437776],[71.71808574],[69.44916793],[73.30515189],[21.84378149],[51.9905358],[32.18326692],[31.25760009],[121.19579879],[22.36309386],[11.12625339],[72.9218419],[32.21255359],[40.63028171],[49.38582689],[102.81415636],[56.62458507],[39.48964922],[46.99745948],[121.38494581],[47.22162875],[58.29636796],[44.90001518],[63.4801041],[24.62229481],[24.81099593],[49.84866896],[35.65043459],[91.87027367]
2,[43.41855763],[39.35369975],[55.19679474],[27.55596337],[65.32514513],[26.06042895],[25.42410367],[55.65278842],[82.57995022],[129.05254397],[22.62791213],[99.20617005],[13.4505068],[13.72819642],[82.73655462],[42.63697548],[18.52187006],[148.16945983],[834.60370721],[762.15736584],[39.81153337],[23.005264],[35.57426599],[51.62645887],[46.78654675],[418.633155],[29.50582642],[62.76087979],[69.06701948],[77.34705968],[31.4904023],[118.99660423],[11.95229591],[26.71115267],[48.25788728],[31.65347195],[98.11525193],[31.89527175],[25.15227733],[50.21348516],[77.71551398],[126.75826365],[45.95580422],[72.94613361],[45.79087877],[41.77672672],[33.33227839],[71.32463074],[37.50610819],[66.95378123],[29.623182],[114.74961096],[26.37157969],[195.85225444],[51.68909126],[52.40874355],[54.56827157],[38.16686458],[276.41698321],[101.49820643],[19.77697224],[111.36807629],[64.88381602],[53.11038525],[67.92557029],[73.32903314],[75.30312753],[68.21774072],[238.86471678],[38.48727924],[54.69225624],[160.84363427],[96.30020641],[88.93815888],[62.59585709],[42.38668513],[45.86804873],[54.35992602],[47.7973438],[121.98121995],[41.78758558],[72.48465992],[170.17096027],[150.38663571],[23.35100617],[62.16408286],[94.95719817],[38.09792693],[132.57347374],[76.42545029],[31.13481025],[94.35952218],[110.27181563],[42.43378731],[145.0528456],[106.14669545],[96.05999188],[88.58965171],[48.57317497],[71.62355771],[67.53373465],[78.49919781],[63.94806554],[62.60890681],[54.35992602],[23.84578599],[102.00754679],[139.78192872],[138.87070002],[43.4017067],[44.558488],[104.69466468],[96.24892407],[87.08075326],[46.95445043],[69.03395288],[51.79316376],[20.69721259],[14.89063008],[41.58355756],[36.0640031],[43.30509183],[35.53575788],[73.86038875],[50.16671753],[79.76315414],[81.36481978],[31.3178612],[53.85400804],[29.83507244],[145.88688428],[71.6915014],[68.95898839],[60.81780932],[60.45129789],[100.2490688],[110.92803695],[50.46689374],[91.1736367],[16.04543517],[40.21510844],[38.74858842],[144.85308907],[351.38537669],[72.14079866],[66.82735178],[31.74512832],[124.81025313],[75.38807557],[48.70756987],[104.27841224],[48.69939522],[55.55938148],[28.75307259],[191.92708865],[20.39361176],[77.23317055],[34.76640406],[169.12039582],[43.48151924],[9.98274979],[267.19461684],[30.84723276],[68.1567237],[12.71336205],[48.91813057],[41.39176106],[117.06000077],[66.20480171],[108.52252256],[31.93115138],[82.06156255],[66.53589222],[71.2095825],[15.75961695],[90.48416199],[52.73954729],[31.67327532],[84.49658591],[10.24954873],[70.72994948],[45.76449962],[118.24152948],[66.20270445],[64.38087495],[43.43660682],[36.8752536],[45.32226692],[31.26092247],[41.06624604],[61.2494917],[127.71548579],[45.46593884],[90.39004397],[230.74520955],[80.75389998],[164.02331532],[46.89862217],[173.45868174],[292.18798096],[23.21332411],[49.79580121],[75.85220153],[100.08075133],[60.82245786],[60.95628549],[122.20710529],[179.50031163],[87.41712785],[76.84510052],[62.72146125],[57.81836011],[118.28589934],[72.98808274],[76.85849406],[158.90428995],[38.90757477],[168.30209938],[111.63170147],[137.19233125],[89.47363347],[710.22031322],[117.96508041],[136.61863029],[80.65425623],[162.47309191],[83.86885262],[61.78795575],[37.20979073],[16.23144367],[52.94870725],[88.10204379],[33.10587824],[83.30759287],[373.1038892],[64.06524211],[114.35315293],[165.75942198],[154.15534055],[135.33355425],[121.88039174],[97.32641605],[79.79840862],[155.94282806],[116.03873088],[127.36073399],[51.44672649],[117.76713797],[108.23461712],[6.60148024],[54.22963398],[208.04385],[63.95015228],[61.35714933],[91.8650236],[116.67705876],[28.64459043],[70.35283689],[86.90661974],[170.81472787],[65.44999916],[25.78454292],[30.34816841],[83.42238517],[49.94238064],[23.40849],[118.10175272],[77.34427943],[100.21190832],[171.57069483],[29.50131577],[30.68570645],[74.09910463],[15.33042667],[37.16028833],[154.44725735],[107.71402855],[83.51949848],[82.64054903],[23.54937228],[10.97786675],[72.10381623],[98.71700085],[100.28003003],[59.03907892],[16.78837592],[57.14388649],[73.73918251],[33.85741833],[66.39775972],[38.08335446],[56.18331011],[66.10331321],[77.23288753],[72.3530519],[28.2371079],[35.24060883],[78.98799753],[24.95756718],[59.80900418],[62.18397193],[68.59813566],[47.62716335],[76.26947325],[82.0025851],[56.30523239],[20.08005321],[9.79557768],[50.05590461],[132.82985105],[81.08751293],[76.2021628],[78.78332088],[64.85388026],[22.61039235],[64.32444339],[117.22692379],[46.97902289],[10.02322949],[46.4272228],[79.99147826],[170.31935039],[23.7138587],[34.50582975],[47.2843887],[82.21532993],[44.61266459],[269.39333761],[107.4057861],[111.46186296],[103.250247],[42.72877371],[167.70912676],[128.25480465],[91.54639938],[93.46561652],[25.54859164],[359.94122049],[61.165382],[211.65825615],[75.73855507],[146.38837789],[36.11674571],[15.53521904],[34.62043601],[28.1904611],[76.52584074],[87.04836018],[50.21718601],[212.97453635],[61.7472617],[74.01374789],[110.53239569],[198.82370257],[105.46718779],[33.84708167],[66.49637206],[95.37953614],[31.38207567],[11.66198241],[36.90351518],[47.57326969],[61.99205811],[71.22849899],[40.4057979],[72.1111237],[91.83679011],[76.6676152],[72.17509201],[70.10920882],[74.05092924],[21.10737404],[52.61447068],[32.47071015],[31.33852165],[122.82890199],[22.66992956],[11.07659996],[73.65925496],[32.51324706],[40.80697796],[50.04870948],[103.50278581],[57.41581815],[39.71964684],[47.23235665],[121.91248134],[47.47871335],[58.11745841],[44.57805876],[62.88842775],[24.55635124],[24.77605729],[50.30794665],[35.06918606],[91.4276818]
