,AES_final_fft,AES_fft_absolute,AES_fft_angle,Alliant_Energy_Corp_final_fft,Alliant_Energy_Corp_fft_absolute,Alliant_Energy_Corp_fft_angle,Ameren_Corp_final_fft,Ameren_Corp_fft_absolute,Ameren_Corp_fft_angle,American_Electric_Power_final_fft,American_Electric_Power_fft_absolute,American_Electric_Power_fft_angle,CMS_Energy_final_fft,CMS_Energy_fft_absolute,CMS_Energy_fft_angle,Consolidated_Edison_final_fft,Consolidated_Edison_fft_absolute,Consolidated_Edison_fft_angle,DTE_Energy_final_fft,DTE_Energy_fft_absolute,DTE_Energy_fft_angle,Duke_Energy_final_fft,Duke_Energy_fft_absolute,Duke_Energy_fft_angle,Dominion_Energy_final_fft,Dominion_Energy_fft_absolute,Dominion_Energy_fft_angle,Edison_Int_final_fft,Edison_Int_fft_absolute,Edison_Int_fft_angle,Entergy_final_fft,Entergy_fft_absolute,Entergy_fft_angle,Eversource_Energy_final_fft,Eversource_Energy_fft_absolute,Eversource_Energy_fft_angle,Exelon_final_fft,Exelon_fft_absolute,Exelon_fft_angle,FirstEnergy_final_fft,FirstEnergy_fft_absolute,FirstEnergy_fft_angle,NextEra_Energy_final_fft,NextEra_Energy_fft_absolute,NextEra_Energy_fft_angle,NiSource_final_fft,NiSource_fft_absolute,NiSource_fft_angle,NRG_Energy_final_fft,NRG_Energy_fft_absolute,NRG_Energy_fft_angle,Pinnacle_West_Capital_final_fft,Pinnacle_West_Capital_fft_absolute,Pinnacle_West_Capital_fft_angle,PPL_Corp_final_fft,PPL_Corp_fft_absolute,PPL_Corp_fft_angle,Public_Serv_Enterprise_final_fft,Public_Serv_Enterprise_fft_absolute,Public_Serv_Enterprise_fft_angle,Southern_final_fft,Southern_fft_absolute,Southern_fft_angle,Sempra_Energy_final_fft,Sempra_Energy_fft_absolute,Sempra_Energy_fft_angle,Wec_Energy_Group_final_fft,Wec_Energy_Group_fft_absolute,Wec_Energy_Group_fft_angle,Xcel_Energy_final_fft,Xcel_Energy_fft_absolute,Xcel_Energy_fft_angle
1345,(8.424390484109496-11.052205881108979j),13.896820135094737,-0.9195099872464684,(-5.809975448502056-13.90914367091283j),15.073821425580546,-1.9664753181814403,(7.804095088720041-3.7107351772113613j),8.641380428448807,-0.44384450355470106,(4.949481612892383-18.637510090947984j),19.2835201824394,-1.311222180196495,(-4.9588342133141285-10.327618316285658j),11.456427752227732,-2.018440431557325,(-3.8392509453057837-29.454680615584717j),29.703839111925134,-1.7004099346451504,(4.739008228064496-33.7253967068711j),34.056725943952614,-1.4311928753607415,(13.664163212206901+6.752448183177247j),15.241552176741125,0.4589744262960624,(35.032917568157956-46.97128342516094j),58.59698609949277,-0.929964914803628,(-6.74771226490725-22.66706151524488j),23.650101448955255,-1.8601306752542581,(16.4456271529218-37.28525450240941j),40.75105956613104,-1.1553884198150652,(-2.367156174637913-21.30384756078298j),21.434956245539794,-1.6814564228056232,(15.867376211189168-17.059107468226834j),23.29778477537992,-0.8215760709552348,(5.721180276650465-16.107604019814705j),17.093472760591546,-1.2295097901974543,(-32.82699180886819-52.06724314041375j),61.55167909539481,-2.1333216167101283,(0.2696546219745408-12.006596764742191j),12.009624452341127,-1.5483412295713794,(-31.823150229471267-15.647198911159787j),35.46191935432849,-2.6846132402716867,(-1.515247355585187-26.07536617922819j),26.119354814570848,-1.6288413500761565,(4.201073219162749-12.810853851818674j),13.482098968833592,-1.2539159307565297,(44.68267884422788-35.1427543290113j),56.84676745889472,-0.6664524701100816,(-1.6088414047748447-16.06938661455689j),16.14972311941657,-1.670582213517031,(-12.66971812123997-50.3317221839267j),51.90186909227505,-1.817397211888787,(7.093612965264123-35.02883540173519j),35.73987485292611,-1.3709905721432263,(2.6433479120140744-12.557885581816638j),12.833073617413225,-1.3633319336324252
1346,(-5.3071247394950705+7.454057051366869j),9.150330022769275,2.1895160728182197,(-10.546410089626484+4.6551420141769695j),11.52810101234071,2.72591690637667,(5.110445849746059+14.097513630263926j),14.995217482206249,1.2230232474978007,(-14.659503037519766+8.449797727609203j),16.920405164905503,2.6187037918914386,(-8.223441425100196-4.781257872006347j),9.512382231106812,-2.6149483620805865,(-11.094999051356787+0.3378312679329434j),11.10014116645375,3.1111530907899936,(-29.17513605653201-9.803029109543907j),30.77804320680117,-2.81743837395048,(-25.627896399472853+24.8559062180859j),35.70161267764237,2.37148513740304,(-4.806911747752184-27.851693521793244j),28.263461086402312,-1.7417022336254842,(-7.519809639578715-5.201665784451297j),9.143569540864897,-2.5364397072798766,(-17.76273390588484+23.047744601385048j),29.098337530208568,2.227409913137409,(-18.438172929511097-4.946978423893735j),19.090280681672176,-2.879465145376943,(6.945029054223628+37.4328387735349j),38.07165411706547,1.3873491917428626,(14.97928729204686+21.937731304919275j),26.56394365647751,0.9717011465078716,(-32.37200150860536+8.318855399377146j),33.42379147895843,2.890058386934254,(-5.879267412260806-8.429708946330095j),10.27744025644078,-2.1798061897533625,(-24.035748737366+45.6891433440121j),51.625720691100064,2.0550828108449997,(-4.611419436490376+0.32309095935878196j),4.622723979134013,3.071643726501739,(-8.618486885213173+8.12276150536219j),11.84303891168079,2.3857968566604217,(-4.674825746352608-15.854201113894442j),16.52905589314081,-1.857534129532567,(6.031171358457349-4.778593556989378j),7.6948024235828605,-0.6700379819224229,(-32.26249804251214-20.96094230072685j),38.473755757366604,-2.565428416576544,(8.212946090673912+27.863336173011568j),29.0485453367044,1.2841554578146743,(-5.358046302608272-4.2334306734653815j),6.8286598573901545,-2.472913116426535
1347,(1.527383501188524+0.24740294470462743j),1.5472907214713836,0.160583559907039,(-2.9398146129861686-28.08599112075518j),28.239430008303387,-1.6750884709242637,(16.11899051596069+0.9454527812126958j),16.14669428134234,0.05858746426738638,(-1.151211491114509-14.733934080916987j),14.778839649921139,-1.6487712507033432,(-1.7296696175669695-14.196989182980762j),14.301966957296713,-1.692032382373636,(4.173096558938454-7.097125987643484j),8.23309979137314,-1.03924850046957,(-18.127428714401674-27.948899717078913j),33.31283036895916,-2.1461810017835843,(-49.080847728374835-17.413623293733345j),52.078439780315705,-2.8006528131761703,(-11.998855097323968-18.625507793596693j),22.15585846262583,-2.1430949027146515,(0.14942580191168986-15.633984395481386j),15.63469846682156,-1.5612388622144593,(33.442304666344455-13.837256914148481j),36.19195242460337,-0.39231619306619886,(-4.795188358299697-16.079093216146124j),16.778887628358717,-1.8606239311848314,(36.01591804458053+1.7056069849218014j),36.05628166881543,0.04732167724863224,(15.090430716469001-14.413132826958314j),20.86766630689916,-0.7624457174160976,(-1.8784807917242574-28.813477107754032j),28.87464550646367,-1.6358987150410451,(-1.3833111955090374-11.84552655458493j),11.926024032300008,-1.6870489811708065,(16.093228106701034+31.619638844162605j),35.47948071110383,1.1000040080843156,(-10.354174336965741-23.39225999398589j),25.581375135565185,-1.9875065657309265,(8.022168398097364-0.031558242867284536j),8.022230471017702,-0.0039338590902758,(-34.064787097237144-6.315883485633305j),34.64534751137863,-2.9582664337756883,(-2.974064411961251-20.627917346568076j),20.84120997407153,-1.713986277482081,(-18.49773176756935-47.15547458997867j),50.653774433412835,-1.944622188147934,(-11.601643255351917-14.533365988110026j),18.596151568773735,-2.2444854167460364,(1.3298894385968651-11.53206007237129j),11.608488938344717,-1.4559824381543216
1348,(-3.8373545552124346-1.1833888849741645j),4.01568166510868,-2.8424595621931363,(-30.92495717878304-26.276790321593822j),40.58106314667682,-2.437275518370579,(-13.156628640831649+2.71181934277317j),13.433199222098596,2.938321282931336,(-21.379892012526092-18.24896136002148j),28.10915105773979,-2.4350370569421926,(-15.594150081808571-11.014917668353839j),19.092038341009683,-2.5266180838858263,(-19.74110080381169-12.660998949612988j),23.452333686615404,-2.571320753515937,(-34.76303423638717-18.77892840523821j),39.5109693802783,-2.6463059523344916,(-37.654491483792135-54.25950081339271j),66.04509184959575,-2.177464156141265,(-36.230077500242594+2.941802849357238j),36.34931525734799,3.060572591723384,(-15.125301150145404-15.794439604764737j),21.868677539146045,-2.3345567271831618,(-35.3842133977413-8.88257435740981j),36.48208717976274,-2.8956428128167815,(-18.78629752906935-19.589259650999672j),27.14155611834003,-2.335273752321251,(-12.415845125523383-0.4207541284235212j),12.422972438895941,-3.107717136756217,(-12.697487121279911-3.2114666452555642j),13.097316412481536,-2.8938663016112116,(-58.356292463660964-44.630070292899994j),73.46631911599715,-2.488695526029547,(-8.147414293772934-10.364278140484444j),13.183270498920184,-2.237007299925457,(-4.194020663670253+15.789454456755756j),16.336972833706287,1.8304228103201599,(-16.748122888831563-16.14158147718763j),23.26048737417362,-2.37463408023061,(-19.099440768605795-13.864261359183457j),23.600982621688207,-2.5136955696072807,(-33.230568522945546+32.65240638489739j),46.58809211679168,2.3649698573934064,(-17.75273976034864-7.559227909278779j),19.2951210305373,-2.739039286002223,(-40.173454986929976-27.98856760839797j),48.961887242596696,-2.5330895564006197,(3.323464602190506-27.734874032168978j),27.933289361303196,-1.4515351811730026,(-8.513808819885647-17.124741526482623j),19.124374838681682,-2.032172742081212
1349,(3.822812774469948+4.76553967292449j),6.109358876581722,0.8947285301720175,(-20.89201886685011-5.026385792710212j),21.488159680856338,-2.905491013091866,(5.425732117190579+25.082570264904753j),25.66269471628803,1.3577637621923349,(0.46118363821898134+4.619023897562325j),4.64199010279134,1.4712817428168246,(-8.11980731627302-1.9032281947270508j),8.339877002366693,-2.9113557470138844,(-8.704528231065675+0.9015465070718012j),8.751091236516316,3.038388506433391,(-12.332569194654234-13.951309278190195j),18.620722153467906,-2.2946853739298922,(16.22904425550965-44.35481644082334j),47.23062162354444,-1.220035125188671,(2.909175367520586+33.90280476495669j),34.02739296875032,1.4851967294731845,(1.6994253752587847+9.60307014005511j),9.752281923780275,1.3956428641840222,(2.5862365293852854+54.987355434288375j),55.04814144948665,1.5237976667407862,(-16.12529036733943-5.873156809065983j),17.161554717882876,-2.7923060777563506,(-7.987307873852064+24.553966282430228j),25.82042500173883,1.8852959560584708,(-16.365976841969413+22.600420818087077j),27.903838788713333,2.197543723299253,(-6.220458144488813-4.557308140214218j),7.7112357642728036,-2.5092998889339646,(-5.162286935828126-5.736435728946186j),7.717247001369861,-2.3035627678044794,(-3.238435370326494+52.57510309259945j),52.674746594978906,1.6323149699516688,(0.5763955398090981-7.660990455507651j),7.682643202550223,-1.4957000819428883,(-11.96414423411673+0.32578020764220916j),11.968578862941081,3.114369668000081,(21.797319471830548+71.56658869845025j),74.81243047843179,1.2751485374030176,(-1.5258230792480014-4.8435469901369075j),5.078196876336142,-1.875977018757433,(-9.636640528951677-11.875761140141215j),15.293741966632044,-2.252482835444999,(-0.6065796959201042+32.663770804585575j),32.66940253665499,1.589364604951477,(-8.51669644700871+0.1135092609530961j),8.517452830677309,3.1282655916907074
1350,(6.9011652939357475+12.83793077883407j),14.575271836105095,1.0775536833761419,(0.18942899625017162-7.604208590162083j),7.606567664020031,-1.5458904047032342,(25.04043718023553+19.597228224920237j),31.79740316876415,0.6640551863088886,(4.135316398014396-3.544131574524718j),5.446256542730044,-0.7085669762191456,(-0.7334959140689818-5.480431408981305j),5.52929875160537,-1.7038447417133522,(2.996181613971004-9.480533967389873j),9.942717363514415,-1.2646941073615903,(-3.298313364865095-2.540544899076239j),4.163320722340521,-2.485253386957262,(31.846683733661223-8.51379092070943j),32.965070918676886,-0.2612279421996156,(60.829399759479145+20.477202268824072j),64.18357802317392,0.324717588557472,(7.121457565310919-5.3393053405210695j),8.900749371476591,-0.6433404181911611,(37.20296290242226+13.855526580386455j),39.69932071885868,0.3565162579034385,(0.452715330243592-17.41798922450575j),17.423871550124442,-1.544810926155479,(23.948684253327684+36.957837731470065j),44.038860648877574,0.9958282637773308,(14.581554506151036+37.54288825246041j),40.27518082085521,1.20033216362557,(11.288561323918486-34.14110875272096j),35.9589616594944,-1.2514678959616907,(-7.261125104510526+1.6938359836461157j),7.456072566897897,2.912416431003167,(50.034624272046756+55.19084670672027j),74.49492053992397,0.8343606564754624,(2.2279692018735773-11.33297530765737j),11.54989939733108,-1.376680088967252,(9.060876130081454+15.138143775381222j),17.64264360034496,1.0314465947070255,(75.08810754952196+36.1182768091095j),83.3231889393825,0.44834210408907693,(-3.272546781546879-9.893684897773866j),10.420871522759098,-1.8902392603322768,(-22.288922449706433-27.559988197840088j),35.445013943206625,-2.2508451265052623,(-16.23319457099612-18.316141268007964j),24.474428224770488,-2.2959783251400125,(-1.1965214986730501-1.1411303600944218j),1.6534334566338091,-2.379885261414565
1351,(9.666762546042243-0.7723839553189795j),9.69757057700532,-0.079731610513429,(4.248467542500871-7.798206068302949j),8.880399447288411,-1.071953720304321,(22.545245615350716+3.1169966016681645j),22.759696124318125,0.13738423720428436,(8.67108332654142-7.557885539554406j),11.502578836279724,-0.7169121843868541,(-2.3096750003180153-4.405514677296822j),4.974249509119114,-2.0536701437767024,(4.98328967504075-14.625311415394245j),15.45098411049047,-1.2424031610335506,(0.5175824225252299-14.074684999386793j),14.084198571309292,-1.5340388932793716,(1.0381437501851636+19.694630168106798j),19.721972515561188,1.5181330461325697,(53.430857551999765-10.95750430924238j),54.54285873906093,-0.20227364582806842,(16.49624928779033-0.9676768970858758j),16.52460707980909,-0.05859327331778064,(44.89833299722531+0.8062685301429653j),44.90557175754953,0.017955719630492917,(4.022250846347376-11.939520870720514j),12.59883568006635,-1.2458522824878402,(58.16208639317337+19.730523383287746j),61.41760209081292,0.3270511988689853,(57.98279167618423+15.600491271149544j),60.044812086182695,0.2628297292456285,(2.0652424511041128-31.515240024847458j),31.58283679794438,-1.5053583441238336,(5.349324324794983-7.496903521761388j),9.209714064315005,-0.9510422318962747,(63.218676781819944-4.516395885197312j),63.379799035939264,-0.07131967913020398,(1.1810364897735455-5.835606003276536j),5.953918425344251,-1.3711089862090742,(31.19010646264729+7.211500691324056j),32.012942435400085,0.22721839176563025,(63.93091610328512-23.745514392241354j),68.19832466826016,-0.355632386792192,(1.709109685785267-11.101785541666917j),11.232573085950058,-1.4180464522516587,(2.9075600005547058-7.683218180206801j),8.214970892309113,-1.2090219585720101,(40.566230922609506+8.915997083945761j),41.534492837488806,0.2163487020496352,(8.710958886161613-4.5073364284958615j),9.80800114172321,-0.47749644085582627
