,American_Tower_Corp_final_fft,American_Tower_Corp_fft_absolute,American_Tower_Corp_fft_angle,Alexandria_Real_Estate_Equities_final_fft,Alexandria_Real_Estate_Equities_fft_absolute,Alexandria_Real_Estate_Equities_fft_angle,Apartment_Investment_Management_final_fft,Apartment_Investment_Management_fft_absolute,Apartment_Investment_Management_fft_angle,AvalonBay_Communities_final_fft,AvalonBay_Communities_fft_absolute,AvalonBay_Communities_fft_angle,Boston_Properties_final_fft,Boston_Properties_fft_absolute,Boston_Properties_fft_angle,Crown_Castle_International_final_fft,Crown_Castle_International_fft_absolute,Crown_Castle_International_fft_angle,Digital_Realty_Trust_final_fft,Digital_Realty_Trust_fft_absolute,Digital_Realty_Trust_fft_angle,Duke_Realty_final_fft,Duke_Realty_fft_absolute,Duke_Realty_fft_angle,Equinix_final_fft,Equinix_fft_absolute,Equinix_fft_angle,Equity_Residential_final_fft,Equity_Residential_fft_absolute,Equity_Residential_fft_angle,Essex_Property_Trust_final_fft,Essex_Property_Trust_fft_absolute,Essex_Property_Trust_fft_angle,Extra_Space_Storage_final_fft,Extra_Space_Storage_fft_absolute,Extra_Space_Storage_fft_angle,Federal_Realty_Investment_Trust_final_fft,Federal_Realty_Investment_Trust_fft_absolute,Federal_Realty_Investment_Trust_fft_angle,HCP_final_fft,HCP_fft_absolute,HCP_fft_angle,Host_Hotels_Resorts_final_fft,Host_Hotels_Resorts_fft_absolute,Host_Hotels_Resorts_fft_angle,Iron_Mountain_final_fft,Iron_Mountain_fft_absolute,Iron_Mountain_fft_angle,Kimco_Realty_final_fft,Kimco_Realty_fft_absolute,Kimco_Realty_fft_angle,Macerich_final_fft,Macerich_fft_absolute,Macerich_fft_angle,Mid_America_Apartments_final_fft,Mid_America_Apartments_fft_absolute,Mid_America_Apartments_fft_angle,Prologis_final_fft,Prologis_fft_absolute,Prologis_fft_angle,Public_Storage_final_fft,Public_Storage_fft_absolute,Public_Storage_fft_angle,Realty_Income_Corporation_final_fft,Realty_Income_Corporation_fft_absolute,Realty_Income_Corporation_fft_angle,Regency_Centers_Corporation_final_fft,Regency_Centers_Corporation_fft_absolute,Regency_Centers_Corporation_fft_angle,SBA_Communications_final_fft,SBA_Communications_fft_absolute,SBA_Communications_fft_angle,Simon_Property_Group_final_fft,Simon_Property_Group_fft_absolute,Simon_Property_Group_fft_angle,SL_Green_Realty_final_fft,SL_Green_Realty_fft_absolute,SL_Green_Realty_fft_angle,UDR_final_fft,UDR_fft_absolute,UDR_fft_angle,Ventas_final_fft,Ventas_fft_absolute,Ventas_fft_angle,Vornado_Realty_Trust_final_fft,Vornado_Realty_Trust_fft_absolute,Vornado_Realty_Trust_fft_angle,Weyerhaeuser_final_fft,Weyerhaeuser_fft_absolute,Weyerhaeuser_fft_angle
0,(87539.0851+0j),87539.0851,0.0,(132577.96+0j),132577.96,0.0,(49605.830000000016+0j),49605.830000000016,0.0,(191691.93499999994+0j),191691.93499999994,0.0,(160270.74999999988+0j),160270.74999999988,0.0,(75445.26000000001+0j),75445.26000000001,0.0,(90209.23+0j),90209.23,0.0,(32034.617499999997+0j),32034.617499999997,0.0,(192404.62000000002+0j),192404.62000000002,0.0,(81477.76000000001+0j),81477.76000000001,0.0,(207695.61250000005+0j),207695.61250000005,0.0,(35966.44500000001+0j),35966.44500000001,0.0,(144819.59999999998+0j),144819.59999999998,0.0,(62093.940100000014+0j),62093.940100000014,0.0,(27604.0185+0j),27604.0185,0.0,(50805.789999999986+0j),50805.789999999986,0.0,(41782.41+0j),41782.41,0.0,(94330.04000000007+0j),94330.04000000007,0.0,(97622.23000000013+0j),97622.23000000013,0.0,(64690.09249999998+0j),64690.09249999998,0.0,(183374.67000000004+0j),183374.67000000004,0.0,(55264.39000000003+0j),55264.39000000003,0.0,(87293.90000000005+0j),87293.90000000005,0.0,(71174.21020000006+0j),71174.21020000006,0.0,(186517.74989999994+0j),186517.74989999994,0.0,(133593.36999999997+0j),133593.36999999997,0.0,(39282.649999999994+0j),39282.649999999994,0.0,(85799.45999999993+0j),85799.45999999993,0.0,(147258.08000000002+0j),147258.08000000002,0.0,(68942.88000000002+0j),68942.88000000002,0.0
1,(8057.577053865039+13820.971052868948j),15998.243304288562,1.042973268888213,(12290.616309003304-4398.2903003764295j),13053.896231452256,-0.34365767531300295,(11788.35238614985-1781.8511221232593j),11922.258401890844,-0.1500179067764886,(20591.07975733693+23615.31174559047j),31331.701428655833,0.8537033820215179,(18587.308549958645+11454.437966967718j),21833.28166516608,0.5522827762699053,(9461.865413150179+11517.480610126178j),14905.67867294878,0.8830691980574144,(343.8584329144422+14857.973114235929j),14861.951543631276,1.5476574329600155,(8105.405534691629-4177.1989415740745j),9118.475194861105,-0.47585968709902854,(29103.562846831814+32318.40842636226j),43491.342743040856,0.8376907653683481,(6341.44358390743+12037.32058323176j),13605.550101020382,1.0859273910583902,(23017.284403168193+23352.1356151725j),32788.986246691704,0.7926194180823227,(7954.342026964843+7687.726807903416j),11062.219513049631,0.768355059506678,(13591.225022199562+13287.787611015658j),19007.543165794064,0.774109634085949,(4674.025771958939+6096.693370335014j),7682.199357529279,0.916724533240864,(3973.313641637553+777.3803838715178j),4048.646879644025,0.19320977062328845,(3322.9302222314795+1832.7743023930034j),3794.8553207377367,0.504035252041835,(9716.560339562722-5761.826891155441j),11296.468207187821,-0.535249431818508,(20244.435293212602+895.722518588081j),20264.241391460422,0.04421653094681087,(5008.693176057522+10781.517384085368j),11888.150589356621,1.1358980899519344,(12290.250925679436-4181.65363377228j),12982.160641780903,-0.32795498257882205,(17177.650544806464+28855.254935496498j),33581.20628613547,1.0338368748147122,(3371.5560326295035+7354.722139035039j),8090.693902476631,1.1409619446016925,(13752.111784795039-5600.447523669466j),14848.757220955364,-0.38673447308638037,(9837.499384613173+11901.017958413313j),15440.55123979519,0.8800391153434622,(26727.561514695397+30078.462257361483j),40237.74889689215,0.8443183618508439,(28977.58669454204+2360.031651731553j),29073.532293769786,0.08126398863848826,(4522.866172686749+2649.8773291040743j),5241.962254283583,0.5299758196364627,(5486.052943353777+11036.148805404897j),12324.502316617923,1.1094726160725246,(14324.038318539013+1750.9027389720213j),14430.652589273766,0.12163188225165851,(10960.322269363265-17142.393996501254j),20346.75247255892,-1.0019306203804386
2,(798.183214203181+4124.301518346668j),4200.828425164774,1.3796279214085798,(-2137.5208117089514-14271.460556339202j),14430.647304664975,-1.7194670959330134,(2261.9488248765056-8596.133367663953j),8888.752519956095,-1.3134934503672366,(1063.4934781767777-9115.7158570329j),9177.542915415082,-1.4546554255962971,(295.6460104406749-9610.535690884273j),9615.082050052924,-1.5400433269662697,(2915.835835186004+3875.433198272644j),4849.853718621686,0.925767594181058,(-405.8080583908314+2977.684931858577j),3005.210098091738,1.7062449490920022,(2204.4473268704173-5707.164665997926j),6118.113805885057,-1.202190922292307,(7849.48608442297+24400.514801601985j),25632.002543163642,1.2595579788074098,(-586.2738423444713-3327.0190037585503j),3378.2795132415977,-1.7452215753689635,(-1439.0252012770297-3835.1220061391123j),4096.21219321984,-1.9297623105583388,(1415.327418085335+2840.6090683729276j),3173.6747753521645,1.1085514038752176,(1225.2515843557715-633.2702962189686j),1379.2290284936685,-0.4770359274179334,(660.4082846343773+567.2913840729575j),870.6081879106885,0.7096964600884781,(1901.90125801143-3528.0895390754663j),4008.0723784581533,-1.0763802991493452,(-615.8954452960181-12.436324734210112j),616.0209912894813,-3.1214031311123067,(79.53889249855868-7016.156805807274j),7016.607638958846,-1.559460279497692,(2304.020666941546-12762.391464632j),12968.698744677722,-1.3921880858884472,(1106.165758542471-2524.86056612744j),2756.5419575542865,-1.1578743003161556,(374.9217041179053-8628.86712858278j),8637.008406094967,-1.5273739365643189,(1612.0786018543695+6989.367856675129j),7172.869750279885,1.3441132778568892,(1521.888083288061+1234.987921605588j),1959.933290845864,0.6817042964429978,(1524.6567644069103-8046.454297807799j),8189.627892399101,-1.3835345580959155,(3601.763450767455+5721.2738603265425j),6760.597202920764,1.0089398650023038,(576.1041629403695+3133.620744977225j),3186.137941130114,1.3889804402473496,(7000.566715955585-21031.147095833894j),22165.673518103336,-1.249465878867745,(154.45849554657664-3223.5925790050674j),3227.2908983020193,-1.5229179271931321,(1618.8551159563908+1387.5490090662768j),2132.131360638689,0.7086116397738377,(4059.134775882154-15245.768825894085j),15776.88315927388,-1.310586113946156,(3990.7093325035935-8673.537847073922j),9547.566169509117,-1.1395736674652803
3,(-2993.5203878610337+5066.760276449709j),5884.999916019405,2.1044351292251466,(-4804.7350858984855+2751.0015224766535j),5536.559276512155,2.62159365552185,(-993.8819288455579-1077.8905775112123j),1466.1682664596249,-2.3156675257401527,(-3292.128437677082+1359.3633435618995j),3561.7381080003524,2.7500039962532488,(-3212.447726820535+1965.5060562412193j),3766.036969371827,2.5925122647700922,(-4135.6135895328025+5838.238120287323j),7154.601603940253,2.1871154960793935,(-4580.657739186154+2245.6971974688236j),5101.527342501002,2.68577018907045,(-251.89661604139403-2427.916465014155j),2440.94864064362,-1.6741765707379708,(-14400.70230611565+12761.91996239007j),19241.798981275497,2.4164537052196584,(-565.7785565939519+2398.7272344749426j),2464.548177762679,1.8024289484827014,(-1770.555880511417+6054.078412416706j),6307.672593730872,1.8553183891668654,(-187.59662587155822+3558.281648630328j),3563.223370070667,1.6234686906782976,(-4111.349866808956+3699.0193208116493j),5530.455827782001,2.408938235166987,(-1472.9830078132777+2833.957506075707j),3193.899511185268,2.050128143104073,(-677.416036122834-434.64140805129983j),804.8637397654272,-2.5711334182424768,(-216.7704468425604-332.00739256291763j),396.50767374762194,-2.1492134666619456,(-1061.7638674171817-612.3986079021668j),1225.7139001876426,-2.618425611725971,(-5177.523389372368-861.1611956832907j),5248.651927156973,-2.9767746193872338,(-1151.778725535981+2756.580101549262j),2987.528759502514,1.966577310283,(-2739.275130076962+324.25336458085917j),2758.399623459256,3.023768964926395,(-206.5622848060807+8608.041818610185j),8610.51984077884,1.5947881538195992,(-1229.8096372750365+2680.0873950748173j),2948.7794405776567,2.001001379751305,(-1256.188873370405-546.9960108381505j),1370.1150030024696,-2.73091181368101,(-2836.472636946461+6710.876796493661j),7285.701366228445,1.9706900623403443,(-6508.672397849029+8340.270945916354j),10579.36367811497,2.233465674318292,(-4187.238405307487-2704.256882011988j),4984.573276298703,-2.5681523388951217,(-339.9450464310335+400.8794295614966j),525.6110269377427,2.2741271114301433,(-2873.4159055955847+5620.331607429393j),6312.2615871016915,2.043406392049128,(-1775.347159713725-340.2323349440748j),1807.654717927372,-2.95224571471728,(-4800.5103840724805-5372.600418031702j),7204.841094668372,-2.300018152247513
4,(-261.5741252194464+3202.6608190840693j),3213.3249672388506,1.6522894458945354,(4198.985059072327-1090.9744053554605j),4338.398400268622,-0.2541981340741345,(1887.130830568005-1632.0209703794822j),2494.945935173481,-0.7130328876255637,(3358.329176700815-940.5750355705668j),3487.5573481476326,-0.2730757618580183,(3241.641548842161+659.4393887600318j),3308.0357069759702,0.2006891546017699,(-10.814594728584098+4349.47432170507j),4349.487766465257,1.573282735873921,(1200.8459243412801+811.2614472274652j),1449.1984231859572,0.5941445589224156,(850.27722076308-1919.476772969935j),2099.371914197116,-1.1538010357530162,(-4355.767704242073+11076.291735052728j),11901.972563122283,1.945471478231905,(2164.387218171656-166.25282907996734j),2170.7630071847852,-0.07666234780380739,(5810.831002481851+1438.3644211283354j),5986.2049035571845,0.2426541376070085,(813.2180492511936+2006.6862244836775j),2165.205117110264,1.1857686770923843,(1051.8220223900685+1412.9206095457305j),1761.4409486735035,0.9308688610569957,(971.5816315733675+1171.4854499252551j),1521.9556584202262,0.8784083349240451,(98.86149708815924-501.1641176632211j),510.82195375655795,-1.3760331866260422,(-646.4855616315876+2303.32310990288j),2392.329603129716,1.844430987375184,(1397.5212532235848-1388.5569681300212j),1970.065000692631,-0.7821806463547343,(1984.1095350598075-17.838089983452846j),1984.189719903191,-0.008990234199216419,(1552.652460133109+1588.1380702830108j),2221.0160270109805,0.7966959879384559,(862.1278568077183+1029.831833411114j),1343.0629347096012,0.8738074532662753,(5034.863034957732+4249.500028078761j),6588.4820914551465,0.7010091971775294,(-89.05379301367066+1161.3817909913162j),1164.7910724659246,1.6473257424209704,(578.4962730028235-1727.1708102743942j),1821.476583912641,-1.247601676845692,(-412.53552866664063+4316.459722500779j),4336.1284688514215,1.6660795780752327,(3153.6247561088567+5145.955523817177j),6035.412774238988,1.0209923026195014,(3341.486409832114-1257.3457537738377j),3570.217048251522,-0.35989533807146745,(1617.5946598077853-645.1310215675267j),1741.4954833209947,-0.37948974571579497,(1093.5415265539373+3372.639916598183j),3545.4947577636203,1.257252844494366,(3370.2303122603685-2618.275096014676j),4267.764852483005,-0.6604854968465012,(979.6720856127081-242.87522323778103j),1009.3293661593103,-0.24301517463706027
5,(162.02257309394554+1339.4599796660668j),1349.2236105697984,1.4504200370250309,(-56.16480490622689-7493.435065493767j),7493.64554579957,-1.5782913878327036,(399.046453416423-3899.5061506264497j),3919.870698219233,-1.4688187447045915,(711.659065519425-4382.56212061748j),4439.9672708936905,-1.4098171958825585,(701.9538625011573-6171.668157517319j),6211.459335099403,-1.457544898595919,(934.6353343610826+934.9108303051089j),1321.968785129982,0.7855455231937662,(-362.4141263165813+473.6665966994724j),596.4092921666056,2.2239073315519557,(33.337914907953746-3135.1364695790176j),3135.313716273827,-1.5601630868186782,(-1107.4094556569962+1538.501834874829j),1895.6116686683854,2.1946858663892135,(133.7300079672118-2102.2118398655784j),2106.461092615273,-1.5072679743279138,(327.2477338379449-3393.9230968012125j),3409.663482853228,-1.4746718158242889,(357.8399775535986+616.3120183422252j),712.6639835775534,1.0447524948217672,(-206.07183960754355-894.3311015656254j),917.7656140359707,-1.7972636477898691,(121.48451358192688-966.3033328871825j),973.9099641081378,-1.4457315974196172,(498.5839326625828-1080.3579186151667j),1189.8567855938722,-1.1384212104145925,(696.9774793751997-548.2195839334032j),886.7481711085288,-0.6664963369730345,(204.4351196480975-3269.7857405702093j),3276.1704026777675,-1.5083551224491918,(789.5154139723654-4774.082654470982j),4838.925477894927,-1.4069043639590355,(1020.6913042745732-2243.3433002730626j),2464.6297696615134,-1.143803227219136,(1581.9077538567099-3433.8983473393173j),3780.7525707948244,-1.1391014232450738,(1106.4478401969845+833.5194734602246j),1385.2730906626252,0.645628398273218,(62.980557889870624+784.4501256520375j),786.9743009194244,1.4906819191922043,(665.67337326902-4158.691281714334j),4211.630826234199,-1.4120747680082917,(841.4587657365664+1919.0703534477952j),2095.443598839432,1.1575702684149818,(974.2459087521638-1905.1374923684634j),2139.790633578044,-1.0980875934780543,(856.0666661258729-8925.644539528941j),8966.60362583708,-1.4751778985642872,(291.67383735787143-1903.8326457820735j),1926.0457862015212,-1.4187748472840114,(675.568145106452-203.36966402599046j),705.515087669014,-0.29240607519583184,(-93.84949839292312-7016.969092313817j),7017.596666297943,-1.5841701783520967,(-1550.391812860953-5449.012436929669j),5665.284751113618,-1.8479980731917374
6,(-1573.833886581447+1892.355536502093j),2461.2928673935144,2.2645579572303327,(-2468.4744997488756-135.11118516001827j),2472.1693688470873,-3.0869125257308454,(-1647.7008970065897-1378.1082682324452j),2148.045773480386,-2.445057539638033,(-1648.3185545883507+377.6094012647179j),1691.0183078026473,2.9163909628221925,(-2313.550218104103-162.46797259081222j),2319.247820696898,-3.071483222052224,(-1230.6532871466009+1929.5564162727087j),2288.601205265765,2.138540676535103,(-1221.5822874770392+1264.6182675550974j),1758.2726317928318,2.338886279711867,(-1173.2870396255219-948.5038345977662j),1508.7286043552988,-2.4617411231515947,(-2970.4087576512384+7083.50088244279j),7681.101023883161,1.9678647730178713,(-591.3927419569056+637.7362822690905j),869.7430315683525,2.318507968153359,(-2394.841063980309+1883.6120587766147j),3046.8439588687534,2.47511985175182,(-470.6396856391166+1342.7497757353979j),1422.8417599775273,1.9079204171052664,(-1470.5663269958181+1044.2349746727157j),1803.6052795508497,2.5241266876438373,(-1403.1168151343495+345.67914193939276j),1445.0712321836302,2.9000379022435627,(-717.9313636138381+69.38955896206761j),721.2768911821419,3.045239861226386,(914.7807769013685-815.2901561386894j),1225.366030410881,-0.7279547582947979,(-1307.0303650485587-941.9837906561877j),1611.1057808281769,-2.517105213902332,(-3059.8857636804555-728.0133489314444j),3145.2987652998404,-2.908013668209573,(-1394.6086969869148+358.9011111500025j),1440.0497995889748,2.88970936238863,(-1340.382727141042-516.9433554461806j),1436.6127828882818,-2.773501765189219,(-1803.7546052642724+2478.593847791851j),3065.4458302706453,2.1998936086503513,(-609.3248312619783+1180.4918439097273j),1328.4719581270153,2.047289645091631,(-1603.9777812596458-1333.733523241058j),2086.0464601229814,-2.4479277377316313,(-1112.808691027316+2778.435373662515j),2992.999550358317,1.951747721831342,(-4278.712782167177+3281.113286306993j),5391.9465381122845,2.4873970658133517,(-3372.4785156068683-1064.730930681734j),3536.5609415052213,-2.8357845034922424,(-785.1493755993888-250.2346808808013j),824.0612462187665,-2.8330606408448435,(-1779.002416357031+1206.0277319313946j),2149.2678957244343,2.5458372208803475,(-2637.2393001334044-175.36515949226896j),2643.0633865520285,-3.0751946693931655,(-369.8687990043484-1231.7944867690273j),1286.126193696206,-1.862499221965626
7,(-269.3255241325568+1372.2151744045582j),1398.3957675906374,1.764603386855362,(-526.7632735781118-172.59116246234453j),554.3169271732842,-2.824970631855164,(-789.2671971806134+28.522088517316206j),789.782386533614,3.105470941524074,(-911.0256201071543+3526.9070646030486j),3642.669505024923,1.8235781551129626,(-429.31838691747896+2530.2428423604997j),2566.4066549675963,1.73887037771486,(-262.01586907993334+2046.5617728023308j),2063.2661984207302,1.698130972260046,(-1265.506147666174+2354.5816940103914j),2673.1181723877685,2.06396512423422,(-587.4673316444391-367.26282993898985j),692.8202162207976,-2.582876144993771,(-2782.7392023387106+5791.843746343844j),6425.658833948079,2.0186886880850383,(-576.0102786875301+1464.0414472203793j),1573.278487850396,1.9456334764510232,(-1579.3205742194848+4673.236825644938j),4932.889204585578,1.8966961469605126,(-373.0431653287405+1289.3769334189037j),1342.2570840309327,1.8524268378803208,(-416.2016833310252+1776.873505022821j),1824.9666556021411,1.8008809153507506,(-207.14507941750776+318.41192858285615j),379.8621331361412,2.1475629465497477,(-603.266312257282-114.06742615193002j),613.9557160035457,-2.9547158701455642,(47.61582792114967+40.69237561810883j),62.63494633239335,0.7071572003784995,(-420.661708745366-405.35174802908j),584.1800346081693,-2.3747271276102038,(-1562.4452761543744+815.1699839152063j),1762.310229117858,2.660714859398562,(-956.1975655780542+2024.0165050310948j),2238.5166063837196,2.01214223206401,(-1237.9595129799586-350.87460455623955j),1286.723258474826,-2.8654063478668186,(-1359.94481949936+2716.2759486450177j),3037.6973090271085,2.0349759478324305,(-531.6537547662717+890.1220592977169j),1036.8090448127289,2.1092147941120847,(-1403.1418993245356-77.86623079968513j),1405.3008003765653,-3.0861553198610348,(-666.9482411968618+2443.8592959208113j),2533.2327596756977,1.837216388806714,(-2148.2913982469245+4388.6205586928245j),4886.220046207809,2.026020036549295,(-2528.698176375054+1726.2420031741253j),3061.7357692533074,2.542599072287454,(-260.7956564737714+299.01852067274206j),396.770021726567,2.288022523719645,(-899.3649399328921+1320.1025960993452j),1597.3503558733523,2.1688505537722094,(-298.2515663492867+1260.6484159390266j),1295.4491211311156,1.803110602303636,(-2387.287111084501-1722.916153863963j),2944.0753767516844,-2.5164478609778747
8,(238.5488417797638+1541.646026740199j),1559.99295565022,1.4172773983503981,(285.51566161226697-3055.396144958098j),3068.707349300467,-1.4776205442784391,(150.87999553112866-1479.7491880401788j),1487.4214038251037,-1.4691842699692002,(338.4713771353213-1679.359977667717j),1713.1295361799107,-1.371912902627663,(190.0714905790894-2200.7486330130105j),2208.9413114067997,-1.4846433709386353,(649.7513240726253+1481.1294442589842j),1617.380973606731,1.157390532325493,(-89.48501143427188-798.2097868283902j),803.2100790328865,-1.6824373162535164,(315.3462936622951-1444.0625220799025j),1478.0933166083646,-1.3557970983852885,(-17.49733414493494+127.1775871798045j),128.3756027563504,1.707519869195853,(-173.50142623928207-729.9785184957295j),750.3141891049944,-1.8041466806513617,(-274.8252108410379-1222.519649871079j),1253.0296049314743,-1.7919225732650343,(103.12045735531422+629.1693292315325j),637.5640152728397,1.4083413554975792,(-511.6550441749849-576.6100351427922j),770.8891080155938,-2.2965784807619354,(-418.16234848315565-709.0327119878106j),823.1568115236231,-2.103655755465301,(466.9036495032715-588.4555608505465j),751.185040463004,-0.9000687575591518,(845.2130645543256-1637.4417786057504j),1842.7155783834025,-1.094289448989717,(209.32685687481103-1363.90889971226j),1379.878697467062,-1.4185089186088005,(491.30842089659757-2173.9030947648425j),2228.730273019162,-1.348527507547387,(-41.205838612945854-283.03330408086106j),286.01708402598143,-1.715367159649538,(1265.1837617875758-1681.8937783128706j),2104.6274332096177,-0.92586468287615,(-320.1231141522221+608.7170827576388j),687.7610741060348,2.0549470596701,(-220.4625556782443-200.79227568717687j),298.19670761398123,-2.4028550884863775,(-3.2151082184121833-1656.2533543142074j),1656.2564748848288,-1.5727375178401084,(1266.8562742686472+2244.432560904951j),2577.285847573799,1.0569314191612964,(-939.5331291776695+35.21774736454836j),940.1929538939422,3.1041258888119785,(908.4571229640512-2917.9429216801027j),3056.0898609902056,-1.2689733613482594,(-33.48107300895799-619.7190657462207j),620.622834497088,-1.624770065194707,(-754.2044371449258-32.75140254397638j),754.9152186687535,-3.0981948196270865,(592.2401928106399-3543.561838496082j),3592.711921268684,-1.4051955814088213,(1233.98900211482-1936.4179905577926j),2296.1801957808557,-1.0034340423646153
9,(232.10227712060913+104.83689766980709j),254.68066702755755,0.42425350460738886,(-603.2352159673762-1792.3285923613528j),1891.119908620084,-1.8954526277607724,(-496.66677980119846-1757.7684628033023j),1826.589132504619,-1.8461729751375813,(-316.98788818160244-1468.0140851086953j),1501.8477537125232,-1.7834609709348908,(-959.4108369157135-1135.1557876994805j),1486.2865862070269,-2.272485400774182,(512.4408947252431-52.38411910630361j),515.111411756089,-0.1018708417157556,(-111.16826090449905+66.51280105261141j),129.54665158310746,2.6024185891635376,(-335.2944162941477-1255.5950602210642j),1299.5927442278103,-1.831747465363726,(252.63348636132378-953.0560960102983j),985.9713994703235,-1.311678419215628,(-88.80827572425403-275.02774453934904j),289.01067472243403,-1.8831336596228356,(-512.3770077927394-783.2736628914796j),935.9742673247359,-2.150082111982139,(-96.32948095471104+973.9621713417716j),978.7142995306559,1.6693804519839661,(-1047.6593098237636-322.9687829271241j),1096.3114813801014,-2.842560109239482,(-939.0906351866703-150.43911841295707j),951.0642194111666,-2.9827457133753974,(-273.14445530319875-141.70579144259156j),307.71484330667636,-2.6630228867919166,(-649.3318143053446-975.1352251319582j),1171.5462058161536,-2.158260348476453,(-530.9213905124516-1375.7057062221515j),1474.599509370549,-1.9391118805238414,(-1077.7699347209395-2176.7563023182747j),2428.9619247470114,-2.030537616283443,(152.33836350302067-1331.996880379732j),1340.6799268789387,-1.4569226922371141,(-107.70748624657543-1726.7143452343794j),1730.0703259208128,-1.633092744560702,(-1290.6260196970634+2044.5095858388643j),2417.7954771456766,2.133887667669581,(-777.9886891227318-103.24285449652766j),784.8092044615033,-3.009658699996546,(-753.3672612146155-1904.1634394756227j),2047.7794399069555,-1.9475402752056052,(475.4565190851961+305.2868101966902j),565.0300328484154,0.5707958652677474,(-2011.8164229704798-221.99771847589926j),2024.0277435702903,-3.0316903807575017,(-450.85252675904144-2669.356966215218j),2707.16357355198,-1.7381165078507024,(-188.16157285858338-374.418440884905j),419.0393136393041,-2.0364767056464337,(-1202.869778249204+89.82384119873723j),1206.2188963339056,3.0670563756803033,(247.73891561117392-2464.3566825354196j),2476.7778319956715,-1.47060409902323,(-1935.78161427093-771.3998024180851j),2083.820556890643,-2.7623841367224258
