,AES_predictions,Alliant_Energy_Corp_predictions,Ameren_Corp_predictions,American_Electric_Power_predictions,American_Water_Works_Company_predictions,CMS_Energy_predictions,Consolidated_Edison_predictions,DTE_Energy_predictions,Duke_Energy_predictions,Dominion_Energy_predictions,Edison_Int_predictions,Entergy_predictions,Evergy_predictions,Eversource_Energy_predictions,Exelon_predictions,FirstEnergy_predictions,NextEra_Energy_predictions,NiSource_predictions,NRG_Energy_predictions,Pinnacle_West_Capital_predictions,PPL_Corp_predictions,Public_Serv_Enterprise_predictions,Southern_predictions,Sempra_Energy_predictions,Wec_Energy_Group_predictions,Xcel_Energy_predictions
65,[11.57569053],[37.64313975],[51.99500458],[63.29030631],[70.79432531],[41.91632356],[73.67968053],[98.36494441],[77.50853916],[75.31021003],[72.28540159],[71.78701431],[67.93441164],[55.30400292],[35.47626148],[30.72121249],[119.50971854],[22.00860409],[14.37921893],[77.53195269],[34.50304487],[44.11508901],[48.99913478],[101.93730956],[58.69663354],[40.86141575]
66,[11.71757439],[37.495045],[51.92948069],[63.21975357],[70.78955047],[41.9304597],[73.5560189],[98.28616475],[77.1551423],[75.25808652],[72.06800206],[71.51980345],[67.27108002],[55.11043167],[35.39237625],[30.61196944],[119.08173647],[21.94012364],[14.57182912],[77.26699872],[34.36405216],[44.01612135],[48.76392412],[101.70974873],[58.7012491],[40.63210209]
67,[11.89956775],[37.71687953],[52.57596414],[63.79851296],[71.9748659],[42.21493216],[74.62196605],[99.185858],[77.45778778],[76.15009653],[72.5694406],[72.14949008],[68.55471614],[55.72384534],[35.88157616],[31.05331014],[120.25163],[22.33967743],[15.32160735],[78.02659087],[34.69142825],[44.38215437],[49.70690191],[103.36223351],[59.35738151],[41.18228794]
68,[11.90005621],[37.6805355],[52.36928822],[63.50342525],[72.55278253],[42.21675962],[74.40045895],[98.93283948],[77.54123386],[76.14866486],[72.39013168],[71.91657178],[69.01269702],[55.5136176],[35.74473231],[30.81634655],[120.03530759],[22.51121206],[15.24559931],[77.91773336],[34.54558304],[44.23056953],[49.57701694],[103.78101869],[59.41907847],[41.33424856]
69,[11.7415043],[37.27940754],[51.80749606],[62.75716519],[71.83987014],[42.14333425],[73.51816154],[98.22665293],[77.17596422],[75.70092612],[71.80409538],[71.1280389],[67.41301809],[55.08143065],[35.71597754],[30.32632167],[119.36028675],[22.32541638],[15.49914003],[77.09128042],[34.23195329],[43.72900086],[49.05696457],[102.02999333],[58.60622291],[40.92091795]
70,[11.40818294],[37.33111279],[52.10554198],[62.94342974],[71.93211053],[42.3513981],[73.11326238],[98.48605737],[77.32021167],[75.80704912],[72.02954492],[71.20387335],[67.2155278],[55.04348782],[35.83280152],[30.04656792],[119.2980064],[22.50229811],[16.09947361],[77.06539073],[34.40949612],[43.74963716],[49.08267074],[102.45773575],[58.54834144],[41.07597795]
71,[11.21702175],[36.99845633],[52.04583928],[62.75943692],[71.94757767],[42.31552596],[73.04628152],[98.12598395],[77.06054722],[75.57846193],[71.87286427],[70.72525671],[67.61372694],[54.79195282],[35.32816625],[29.69774554],[118.86204323],[22.19326228],[16.19081542],[77.24756551],[34.36686025],[43.34926654],[48.88576315],[102.30405707],[58.45663801],[40.86728214]
72,[11.37028735],[36.93802425],[52.06205704],[62.80174671],[71.97641934],[41.99038424],[72.84588631],[98.02536302],[77.20243021],[75.51219965],[72.01479032],[70.44731901],[68.25073318],[54.59326598],[35.12268025],[29.57196218],[118.9040796],[22.23408907],[16.33777491],[77.47008851],[34.61181722],[43.46099644],[48.60871885],[102.77261873],[58.47006209],[40.83340886]
73,[11.39363884],[36.85515878],[51.89519193],[62.55190127],[71.75653422],[41.84056648],[72.75823284],[97.94271398],[77.05895557],[75.8063808],[71.72626501],[70.56677516],[68.97094192],[54.33467625],[35.39335761],[29.76914675],[119.05285542],[22.18712447],[16.40676617],[77.14513049],[34.52995636],[43.40373888],[48.50141604],[102.48766882],[58.11148877],[40.77777623]
74,[11.24479329],[36.93119465],[52.11532056],[62.66688825],[72.19544132],[41.99797398],[73.04507028],[98.27765956],[77.15074684],[75.69687202],[72.01991172],[70.53168991],[68.00853975],[54.57787182],[35.31007252],[29.81130509],[118.80608663],[22.20358027],[16.42100558],[77.0212474],[34.41177181],[43.36155898],[48.66068254],[102.31518788],[58.30693234],[40.93579823]
75,[11.39227223],[36.8707847],[51.84037691],[62.97583718],[72.34260094],[41.8011309],[73.13475061],[97.13230998],[76.93121393],[75.56323188],[72.01009873],[70.53812939],[68.17717565],[54.26112568],[35.05526527],[29.94012617],[121.38980643],[22.01297238],[16.42479586],[76.80896266],[34.28021409],[43.07877115],[48.47829525],[101.45020567],[58.23909117],[40.73421299]
76,[11.21134614],[36.84458325],[51.72023393],[63.21514813],[71.94583991],[42.04887018],[73.27602375],[97.27824758],[77.14251021],[75.29108478],[71.97067085],[70.61156763],[66.98686517],[54.45956634],[35.04969971],[29.81955882],[122.35244428],[21.82382215],[16.23042734],[76.48770583],[34.38437398],[43.22433568],[48.67423973],[100.91343459],[58.2415563],[40.75275858]
77,[11.42033883],[37.62009145],[52.66982197],[64.03126108],[73.3510512],[42.60613591],[74.3761751],[98.63431234],[78.49563863],[76.23946318],[72.86571455],[71.60982702],[68.08920219],[55.33614681],[35.90035005],[30.28639325],[123.71617471],[22.35778983],[16.51781727],[77.65827471],[34.84286464],[44.1949164],[49.43426979],[102.46185375],[59.03078291],[41.3062505]
78,[11.25786585],[36.9768112],[51.75640797],[63.13116029],[72.00321943],[42.12859343],[73.28992613],[97.89933697],[77.36833091],[72.12252176],[71.63360966],[70.73983264],[68.97135516],[54.65654677],[35.47910624],[29.87529678],[122.51739343],[21.96545576],[16.34128853],[76.68723094],[34.95134637],[43.44958487],[48.498773],[101.40904406],[57.27457793],[40.67109115]
79,[11.29692341],[37.51464822],[52.57690118],[63.78264193],[72.8316129],[42.76485905],[74.54386829],[98.94681057],[77.80946244],[71.91479351],[72.68725696],[71.44102253],[68.84777348],[55.36675212],[35.74724892],[29.93872209],[123.55210066],[22.14023484],[16.68631153],[77.83948549],[35.27483949],[43.49620283],[49.03525296],[102.71274881],[57.4049344],[41.36683242]
80,[11.37318718],[37.76461579],[52.70651149],[64.03879415],[72.60166872],[42.64302216],[74.15007393],[98.95368844],[77.650628],[71.57831007],[72.52322241],[71.82151691],[69.39769207],[55.70498444],[35.84681436],[29.87716998],[124.19586256],[22.25438848],[17.10152841],[78.00215451],[35.45943182],[43.70567882],[48.80684919],[102.6832568],[57.62542948],[41.43494111]
81,[11.2801265],[37.68099445],[52.68249087],[63.85791533],[72.16594346],[42.48261574],[74.39070028],[98.27803608],[77.70463922],[72.21007434],[72.81905763],[71.69023856],[68.92674981],[55.67383212],[35.81074184],[29.92075508],[123.93659556],[22.22765519],[16.67807766],[77.92496415],[35.23762557],[43.53762088],[48.82959855],[102.68295607],[57.59305613],[41.53105797]
82,[11.42440031],[37.78554032],[52.65153069],[63.92882531],[72.09876159],[42.52014464],[74.46994459],[98.4514882],[77.66651716],[72.3823698],[72.97768293],[70.72271061],[69.0421029],[55.76519595],[36.01472438],[29.94437312],[124.34480058],[22.14484476],[16.20619577],[77.92133288],[35.40122061],[43.42538049],[48.74306574],[102.47930423],[57.78416059],[41.61812935]
83,[11.57227635],[38.12018561],[53.17699997],[63.83956108],[72.99249982],[42.9364473],[75.3126518],[98.80129773],[78.64823509],[73.29743756],[74.82495414],[71.43708931],[69.99773697],[56.50765434],[35.26798275],[30.04162376],[126.30165827],[22.16999535],[16.31491761],[78.61895995],[35.65334705],[43.55279415],[49.25400826],[104.27128013],[58.32357702],[42.07177441]
84,[11.46912207],[37.65066436],[52.91135513],[63.46825498],[72.86279684],[42.74775433],[74.36357039],[97.2930285],[77.75543541],[72.20014284],[74.66309313],[71.02025525],[70.93962336],[56.02229066],[34.83526854],[29.88206645],[124.65198196],[22.21804169],[16.4230126],[78.15629486],[35.42451283],[43.24542166],[48.83239974],[103.60785149],[57.99292058],[41.77676879]
85,[11.59253666],[37.84903925],[52.94053617],[63.95541802],[73.35814033],[42.93874797],[74.80503542],[97.47033454],[78.11953592],[73.35170545],[75.2301105],[71.59266324],[68.37834318],[56.43975294],[35.08129843],[30.39534582],[125.56727797],[22.39690421],[16.67369288],[78.70822089],[35.50544735],[43.38396823],[49.0772017],[104.33062676],[57.57254258],[41.94853096]
86,[11.66172634],[37.94700118],[53.08070703],[63.81689663],[73.27043776],[43.14677182],[74.3500699],[98.08723089],[78.67294757],[73.63274145],[75.60100305],[71.92709655],[67.66831555],[56.48902478],[35.13122099],[30.53167369],[125.94981861],[22.50860344],[16.75965024],[78.7300891],[35.73545048],[43.74920612],[49.21181182],[105.08671493],[57.92525088],[42.04047402]
87,[11.48790261],[37.67415181],[52.69590258],[63.31533235],[72.87744513],[42.80896057],[73.76714402],[98.22905004],[78.12853473],[73.18454446],[75.52137939],[70.85710107],[68.23490918],[55.96767563],[35.32161204],[30.36319558],[126.11385307],[22.23779466],[16.76675106],[78.15303329],[35.47573344],[43.47786436],[48.60746513],[104.38882633],[57.41655381],[41.7723091]
88,[11.55157085],[37.5234518],[52.56634622],[63.31665402],[73.05780822],[42.79223924],[73.7265785],[97.91029862],[76.79348935],[72.486905],[75.04889463],[70.81256625],[70.31443444],[55.79913756],[35.22131059],[30.36263861],[125.30624464],[22.21855486],[17.4836971],[78.03708284],[35.48763418],[43.22406987],[48.38537954],[104.30447395],[57.065514],[41.63466002]
89,[11.63424369],[37.8914614],[52.97795832],[63.72026465],[73.51300123],[43.11837468],[74.34721536],[98.71002679],[78.89026846],[73.21549312],[75.8573213],[72.72058075],[69.19648221],[56.34547912],[35.41283448],[30.63784309],[126.25917032],[22.66292812],[17.11236987],[78.58780495],[35.72665342],[43.64427283],[48.27920875],[105.92256762],[57.46364969],[41.90963782]
90,[11.46776248],[38.06403962],[53.37632231],[64.10528656],[73.79007502],[43.23673908],[73.50366463],[98.15856515],[78.35759263],[73.69258601],[76.31799834],[73.44943678],[71.62348475],[56.15303977],[35.60948189],[30.98646159],[126.87031414],[22.68776683],[17.03425293],[78.72111561],[35.63464364],[43.53823351],[47.84373465],[105.86062133],[57.57066443],[42.01328614]
91,[11.76172952],[38.4301802],[53.84696763],[64.72952146],[74.30538415],[43.53590875],[74.56568109],[99.02397709],[79.06294226],[74.72475442],[77.15405671],[73.83891011],[72.56181383],[56.84981097],[35.92042038],[31.28574208],[128.2880812],[22.97668731],[17.09951277],[79.77627723],[36.03185785],[44.26953958],[48.3144797],[106.42084007],[58.04843376],[42.40176165]
92,[11.6064105],[38.63661687],[53.94476787],[65.28494706],[74.87390243],[43.76457501],[74.98354363],[99.22663766],[79.72129045],[75.3059825],[77.14975854],[73.76090366],[71.20852893],[57.56902124],[35.69818599],[30.81528805],[128.39084988],[23.16792706],[16.79595694],[79.71548009],[36.203643],[44.26893876],[48.97365494],[107.07147453],[58.36092957],[42.47238279]
93,[11.72769344],[39.10578514],[54.08524438],[65.98622509],[75.50937329],[44.20096095],[75.94753111],[100.11676637],[80.99425943],[76.10104801],[77.96374893],[75.18306348],[70.54889857],[58.07719217],[35.9669084],[31.33271279],[129.19921842],[23.76912194],[17.02600156],[80.54471718],[36.5145469],[44.27137709],[49.63873487],[108.53521329],[59.29653119],[42.93296434]
94,[11.91949789],[39.5108419],[54.60893979],[67.11093102],[76.23195935],[44.68242605],[76.55501339],[100.99323856],[81.86916414],[76.93330839],[78.87366263],[75.78290741],[71.53641622],[58.98455054],[37.20893917],[32.27754939],[130.93264411],[24.01020122],[17.47670853],[81.4369872],[36.8308035],[45.49039999],[50.43390898],[109.00179669],[59.4702529],[43.30782203]
95,[11.17811249],[39.06223308],[54.31864038],[66.71911332],[76.43072425],[44.3138106],[76.46548913],[100.62088109],[81.89564254],[76.86220206],[79.01951791],[75.49269604],[72.50587043],[58.65529436],[36.60078671],[31.87025416],[129.87430017],[23.79683895],[16.76200084],[81.22534558],[36.57079215],[45.64539765],[50.19617698],[108.77202041],[59.58823664],[43.3164912]
96,[11.48270712],[39.46805184],[54.70141224],[66.98559479],[77.87025724],[44.54514324],[77.05664385],[101.45170508],[82.59593502],[77.61939324],[79.74826505],[76.66813721],[69.93007602],[58.66588215],[36.62256717],[32.30477358],[131.07589459],[23.91030306],[16.4932658],[82.22159388],[36.87895604],[45.95024516],[50.84153225],[110.27610241],[60.27962062],[43.68942584]
97,[11.35984303],[39.04776139],[54.78346996],[66.18481635],[77.72559897],[44.17125174],[76.17642401],[100.94797453],[82.00941919],[76.30652773],[79.4530261],[75.67649912],[65.49922123],[58.20671025],[36.17335849],[31.65619965],[129.40078934],[23.90043762],[16.83536642],[82.4167598],[36.73890233],[45.34947941],[50.02032347],[109.65391207],[59.98019712],[43.52494697]
98,[11.61725206],[39.25460484],[55.14289261],[66.54360428],[77.77306418],[44.55706212],[77.2718108],[101.67015158],[82.45063293],[77.21921642],[80.0267181],[75.60278544],[66.20713901],[58.66101796],[36.43305476],[31.69448861],[131.09472626],[24.07986923],[17.04446383],[83.381898],[36.84124873],[45.81286487],[50.40594497],[109.80125861],[60.18014673],[43.86335116]
99,[11.584045],[39.15336885],[54.88739454],[66.54165493],[77.45296403],[44.31483562],[76.64779823],[101.10156789],[81.9182028],[76.55887133],[79.54271692],[75.42277058],[67.93225334],[58.29247898],[36.36896006],[31.69613868],[130.75653774],[23.70792359],[17.31936882],[83.03495695],[36.69458096],[45.56952295],[50.35443947],[109.20574459],[59.31687629],[43.73067272]
100,[11.49844585],[39.17764041],[54.92897804],[66.38938265],[77.42111155],[44.37591039],[76.71545557],[101.77222054],[81.95085229],[76.31559261],[79.46529565],[75.02262888],[67.69025271],[58.38697779],[36.05116609],[31.42432643],[130.76860168],[23.56685208],[17.35354467],[83.04057106],[36.78351154],[45.18580669],[50.28641784],[110.06317107],[59.25267125],[43.66429945]
101,[11.33976868],[39.25845936],[54.86019091],[66.25807832],[77.00564168],[44.45301718],[76.62549273],[101.52397559],[81.66974023],[76.16128321],[79.29763552],[74.98717679],[65.99830788],[58.57778088],[36.12564615],[31.12314453],[130.65012318],[23.48979144],[17.0581697],[82.57961817],[36.80185481],[44.98264898],[50.39015628],[110.5532926],[59.28081906],[43.82105067]
102,[11.07402762],[38.38597106],[54.17855281],[65.23446327],[75.66033843],[43.71677431],[75.57466489],[100.25947793],[80.42385751],[75.19645603],[78.24633714],[73.37231854],[66.84940673],[57.53343024],[35.77010006],[31.12496418],[129.55144161],[23.00127773],[17.12814429],[81.0282913],[36.05706504],[44.08883326],[49.77567513],[108.46627261],[58.45185588],[43.13250153]
103,[11.06358506],[38.28013015],[54.16531256],[64.90172283],[75.375835],[43.75232057],[75.18492946],[99.86653931],[80.08152638],[74.97127637],[78.09087758],[73.19906271],[65.83109244],[57.45272255],[35.76820029],[31.12213299],[128.87394659],[22.96781128],[17.86402879],[80.93388786],[36.04256731],[43.92008036],[49.55430751],[108.11523903],[58.11985675],[43.11574784]
104,[11.15457475],[38.5484767],[53.94767553],[65.42042563],[76.05078505],[44.17056673],[76.03564879],[100.35079305],[80.63058383],[75.62199464],[78.82245784],[73.59115311],[66.85486767],[57.77300736],[35.99942085],[31.22155573],[130.12517918],[23.31641728],[17.88282357],[81.63142471],[36.33326455],[44.40976309],[49.6619122],[109.49019559],[58.71245341],[43.50283183]
105,[11.04746108],[38.74387425],[54.21345543],[65.8189967],[76.12966857],[44.20544173],[76.31630747],[100.61187022],[80.85557001],[76.05695754],[79.02775095],[74.02052019],[65.75849804],[58.07399709],[35.94556581],[31.10405846],[130.49657562],[23.4834403],[17.28609261],[81.7042456],[36.45677732],[44.51622519],[49.76765214],[109.83200886],[59.24972447],[43.27753528]
106,[11.0067316],[38.86870406],[54.00982784],[65.78259057],[75.94218761],[44.21830403],[76.41546857],[100.43240945],[80.79427439],[76.3557513],[78.3874681],[73.80253881],[64.43295595],[58.31480743],[35.62791019],[30.99713619],[130.61072298],[23.34368104],[16.94271853],[81.87936838],[36.44087812],[44.46619562],[49.87467112],[109.06738892],[59.12695441],[43.24332723]
107,[11.27990476],[39.56065399],[54.79146439],[66.65229556],[77.14058985],[45.00561841],[77.63128879],[102.51516573],[81.95309503],[77.76741077],[79.84265623],[75.14909408],[64.8429125],[59.11861509],[36.27934506],[31.53631084],[131.88050997],[23.70521332],[17.4382388],[83.60811161],[36.89961844],[45.07798896],[50.62464026],[111.18999896],[60.29102184],[44.01310012]
108,[11.29972735],[39.13139408],[54.35031528],[66.05221742],[75.93123776],[44.4143305],[76.30365316],[100.20960314],[81.65287176],[76.8278285],[79.21710579],[74.96497314],[64.39353643],[58.49330611],[36.03828438],[31.18646602],[129.94972593],[23.36594843],[17.93119047],[82.57018818],[36.74455848],[44.49658444],[50.14666399],[110.14989449],[59.73556171],[43.61760794]
109,[11.44271236],[39.56605633],[55.05269136],[66.48145935],[76.12865095],[44.72785854],[76.74857651],[101.12359688],[81.87915918],[77.17272529],[79.6597411],[75.42101993],[63.89319012],[58.95645978],[35.96166465],[31.31623045],[130.36679063],[23.48722065],[18.07675974],[83.30054829],[36.98797427],[44.7167778],[50.69682355],[110.81713773],[60.09005236],[43.8497514]
110,[11.20548339],[39.06558385],[54.7125372],[66.16386756],[76.11016054],[44.28567925],[76.07738398],[100.22326834],[81.20413753],[76.81161404],[78.84685537],[75.23675691],[63.16973996],[58.48084866],[35.61456696],[30.97643812],[129.9056105],[23.21173825],[18.31458266],[82.5333058],[36.81170165],[44.18752774],[50.34435836],[110.32083967],[59.69909155],[43.60586827]
111,[11.26468166],[39.69907135],[55.50462728],[66.98460438],[76.51990504],[45.03648411],[77.44925095],[101.64266832],[82.72563602],[78.11955871],[79.68294893],[75.79346834],[62.12246673],[59.49367489],[35.96730001],[31.37230618],[131.96341536],[23.55710831],[18.20630453],[83.77115999],[37.45955231],[44.66924792],[51.07079974],[111.39129581],[60.82188276],[44.37034226]
112,[11.15918783],[39.7448341],[56.02314649],[67.42126424],[77.09740605],[45.18539445],[78.06122933],[101.68191172],[82.70587894],[78.60978679],[79.81709825],[76.49148756],[61.94360769],[59.68122745],[36.33271657],[31.37513516],[132.34079905],[23.80084376],[17.95889352],[83.64528259],[37.64882061],[45.05651782],[50.68153025],[111.8649379],[60.80263016],[44.4719503]
113,[11.17109351],[39.85917198],[56.04989286],[67.46522462],[76.56408756],[45.11338498],[77.90371595],[101.6658423],[82.72055686],[78.31931241],[80.19628647],[76.63235093],[62.33394164],[59.65412574],[35.94916578],[31.23565107],[132.13957093],[23.73814589],[18.11086959],[83.65658619],[37.63642122],[45.10803208],[50.40947527],[111.59609688],[60.73594587],[44.58873469]
114,[11.23484889],[40.07899563],[56.17304282],[67.78058919],[77.01230068],[45.28069006],[78.37920939],[102.1558265],[82.94804345],[78.29497669],[80.67076847],[76.82263444],[64.31618111],[59.99967198],[36.08707255],[31.28268397],[132.7875391],[23.86224812],[18.15549853],[84.12372135],[37.60945026],[45.1187142],[50.42962787],[112.43993508],[61.06241404],[44.74545942]
115,[11.13438783],[40.05173652],[56.11407245],[67.72601213],[76.97987881],[45.14686042],[78.56602538],[101.9724319],[82.89917969],[77.92390767],[80.57063089],[76.54458242],[64.76425984],[59.55676981],[35.90689509],[31.4154365],[131.18443616],[23.80767488],[18.17171092],[84.19156829],[37.56256432],[44.79494048],[50.34558359],[111.6184899],[61.05363857],[44.80622335]
116,[11.29439735],[40.11603037],[55.37598493],[67.86499691],[77.19887147],[45.18756136],[78.57460111],[101.8004364],[82.95366659],[78.07369906],[80.95818778],[76.56278199],[63.84064564],[59.53101721],[35.67403401],[31.59639519],[131.40357304],[23.70023049],[18.09908294],[84.24105955],[37.70648314],[44.56130112],[50.11319052],[112.14990273],[61.19561924],[44.94138399]
117,[11.25101239],[39.96336126],[55.19244372],[67.43387894],[77.19925261],[44.85245844],[78.18599026],[101.81679417],[82.44628794],[77.71120558],[79.92642522],[76.22783179],[62.38825578],[59.10488236],[35.94118458],[31.55181044],[130.60120409],[23.69963517],[18.72402396],[83.56246482],[37.45377326],[44.20085745],[49.96487869],[111.2767525],[60.93730791],[44.51672899]
118,[11.08577154],[39.56256704],[54.77054021],[67.20942214],[77.06584333],[44.67066111],[77.78895495],[101.37177562],[82.10653227],[77.46304773],[79.64151395],[75.88693407],[61.47967701],[58.68325491],[35.73447842],[31.38813851],[128.34087864],[23.57879784],[18.37851447],[83.34718125],[37.25185758],[43.96669209],[49.69941271],[110.36721588],[60.50545157],[44.36664003]
119,[11.16382687],[39.58372228],[54.63159964],[67.16641869],[77.73619161],[44.7675807],[77.71307949],[102.14271805],[82.02208689],[77.58072382],[79.67547707],[75.96916371],[61.42040761],[58.84208635],[35.94648037],[31.77621019],[128.48562569],[23.77710111],[18.65593223],[83.41761422],[37.4020336],[44.33253119],[49.81609826],[110.54085527],[60.6530525],[44.47661368]
120,[11.18305023],[39.5600458],[54.58471667],[67.18722169],[77.27116132],[44.85653535],[77.87986139],[101.65697736],[82.26746206],[77.73591128],[79.97460615],[75.70771747],[61.01865504],[58.93094782],[35.85465458],[31.51262646],[128.79610785],[23.66889056],[18.73429365],[83.55164528],[37.12456336],[44.29157759],[49.97056432],[109.96002661],[60.62964457],[44.44097221]
121,[11.26677584],[39.85956053],[54.73721026],[67.30554324],[77.65604238],[44.91802232],[77.99242243],[102.29863263],[82.3454858],[77.65377438],[79.91553459],[75.80772259],[60.15787563],[58.87833626],[36.12512795],[31.69646159],[129.64474788],[23.64666313],[18.84882441],[83.76106694],[37.37693237],[44.27519539],[50.02486055],[110.43064606],[60.63088291],[44.51215644]
122,[11.16905975],[39.96614147],[55.04375782],[67.82693078],[78.31514821],[45.26439348],[78.54649342],[103.05303195],[82.84110682],[77.96484082],[80.5800051],[76.1196492],[60.39738808],[59.42345212],[36.08705222],[31.75438994],[130.59476001],[23.77144365],[18.68323819],[84.04381902],[37.52207905],[44.40376656],[50.42403165],[109.42267777],[61.23803703],[44.80873462]
123,[11.14648578],[39.87142164],[54.71923002],[67.64457855],[78.01348689],[45.12020374],[78.33020356],[103.00858757],[82.60166818],[78.19344983],[80.4839861],[75.89553768],[60.49144929],[59.5308722],[36.25857099],[31.79795835],[129.77903255],[23.83111189],[18.86630854],[84.50727136],[37.41565325],[44.88395925],[50.11144954],[109.83512409],[60.85005936],[44.61935362]
124,[11.04393752],[39.68795082],[54.54353285],[67.35412311],[77.8672489],[44.97450162],[77.84817175],[102.991017],[82.31325077],[77.64893364],[80.32505394],[75.96248861],[60.14356907],[59.39656089],[35.99851343],[31.32142355],[129.00878403],[23.66757397],[18.50152241],[84.29473689],[37.28260909],[44.74386794],[49.71278805],[109.67281151],[60.41750276],[44.43467031]
125,[11.13553323],[39.68792365],[54.75881026],[67.52432693],[78.10854611],[45.26300043],[78.04244193],[103.25743874],[82.42282141],[77.92877739],[80.16004862],[75.87997291],[60.70164862],[59.29087944],[35.81396034],[31.58968318],[129.48727092],[23.73023201],[18.72554988],[84.81837068],[37.2879696],[44.66991076],[49.70125792],[110.71047412],[60.56762194],[44.59941053]
126,[11.30181822],[39.68020992],[54.8283895],[67.43471444],[78.36073071],[45.32919459],[77.9491725],[103.21645611],[82.24236835],[77.49626527],[80.08515319],[76.59045722],[60.79760619],[59.245495],[36.16158705],[31.46781061],[129.41758727],[23.84254836],[18.72493327],[84.81821138],[37.35869214],[45.24782274],[49.3435435],[110.42042559],[60.69969941],[44.61549533]
127,[11.36429168],[39.87640466],[55.37420965],[67.79774482],[78.7925052],[45.55521171],[78.62523773],[103.96381905],[82.76363189],[77.93564027],[80.79934142],[77.04941669],[60.29951898],[59.91786821],[36.22050674],[31.59841054],[130.56360754],[23.92904876],[18.70785292],[85.41375915],[37.78353609],[45.61958059],[49.70378121],[111.466547],[61.08848954],[44.89351907]
128,[11.35362065],[39.61049525],[54.99101836],[67.56654256],[78.60840286],[45.22962862],[78.51851511],[103.51513574],[82.5761697],[77.56311389],[80.31106677],[76.99794016],[60.09439962],[59.6088248],[35.94875419],[31.26348523],[130.73988074],[23.76866165],[18.3806953],[85.25135473],[37.59135586],[45.64991952],[49.40443773],[111.45104947],[60.66989858],[44.82356848]
129,[11.4052613],[39.86872465],[55.43760313],[67.75972534],[79.11463265],[45.57346915],[78.9007477],[104.48585064],[82.95004101],[77.94626043],[80.70376033],[77.15763238],[59.47009478],[60.30400974],[35.9044269],[31.43242824],[130.96316813],[24.01222992],[18.41406567],[85.78654264],[37.92786494],[45.66890183],[49.81184411],[112.2907581],[60.98328617],[45.08692743]
130,[11.39728818],[40.12157949],[55.37559998],[67.99104821],[79.53940627],[45.71074413],[79.08156359],[104.38789569],[82.8530309],[77.98888911],[80.89683582],[76.95129442],[58.6728007],[60.11730375],[35.82190215],[31.45719773],[131.92174589],[24.20507559],[18.44430902],[86.1970205],[38.10729611],[45.39378748],[49.94107913],[112.44971637],[60.96825568],[45.10427606]
131,[11.36412684],[39.81860084],[54.93458456],[67.78029354],[79.36239196],[45.17728863],[78.81555709],[103.96819713],[82.42851483],[77.40606247],[80.6985871],[76.41964307],[57.47382144],[59.65994508],[35.47876777],[30.92173159],[131.53806542],[24.22028416],[17.85890512],[85.66821989],[37.77579062],[44.6854689],[49.76172632],[111.55220669],[60.55819149],[44.85060724]
132,[11.40896974],[39.71182486],[54.57376584],[67.47470342],[79.18540626],[44.85122219],[78.30418987],[103.51331459],[82.05830342],[77.39992306],[80.36011899],[75.8534401],[55.35551996],[59.4767867],[35.06218026],[30.64222111],[130.95513869],[24.11184415],[17.19538827],[85.37021965],[37.80965216],[44.41359681],[49.76930513],[112.31575565],[59.80210901],[44.68670673]
133,[11.37771895],[39.92402776],[55.1528279],[67.8779274],[80.47840568],[45.23279358],[79.1410308],[104.06044269],[82.2471676],[77.52157946],[80.67681834],[76.41342504],[54.58696433],[59.8633946],[35.04976302],[30.63533158],[133.02269478],[24.18530923],[17.04051482],[85.86951253],[37.93767319],[44.54140383],[49.99860826],[112.55799196],[60.34242108],[44.86200196]
134,[11.56932568],[40.05852727],[55.43948895],[67.99609747],[80.81255109],[45.49014487],[79.42406329],[104.44663037],[82.5747365],[78.04914716],[80.95847701],[76.43774718],[55.30613054],[60.05312458],[35.51718986],[30.72454805],[132.7657489],[24.25323141],[17.31996377],[86.21724035],[38.00661977],[44.99795468],[50.16314383],[113.33091316],[60.71557586],[45.03388993]
135,[11.60707423],[40.00005213],[55.05414481],[67.88269725],[80.86930323],[45.50265142],[79.40992945],[104.24111254],[82.66320158],[77.74411792],[80.8229687],[76.6825865],[54.97405071],[60.0078721],[35.10025236],[30.57552595],[133.00137307],[24.42013592],[17.03783159],[86.36496294],[38.15885755],[44.75055889],[50.13974703],[113.50687859],[60.72535239],[45.005819]
136,[11.45278037],[39.4730703],[55.16478077],[67.71595171],[80.29629088],[45.36919944],[79.1263504],[104.46208236],[82.59700816],[77.54249922],[80.25549522],[76.02603117],[55.29965319],[59.74406657],[34.85641032],[30.50993855],[132.78652779],[24.07956286],[17.27519594],[86.2797142],[37.95126831],[44.50682663],[49.96999401],[113.02101906],[60.51918128],[44.86096926]
137,[11.28937229],[39.69340469],[55.09537561],[68.11901261],[80.50137456],[45.52203497],[79.62633466],[105.09708602],[82.91572296],[77.6841697],[80.45146896],[76.70524704],[55.4034897],[59.8066589],[34.88523149],[30.51256215],[133.61973849],[24.35110087],[16.84103064],[86.15264611],[38.08495321],[44.4271251],[50.09243388],[113.43188766],[60.87583387],[45.14139423]
138,[11.29539434],[39.29111147],[54.73677791],[67.86791147],[79.94529711],[45.4336589],[79.3054971],[104.64525335],[82.54639278],[77.44860385],[80.04738942],[76.28641945],[56.074171],[59.43420072],[34.66687238],[29.99983765],[133.58135577],[24.24469044],[16.85347298],[85.15471354],[38.12067213],[44.12284781],[49.81390968],[113.07609103],[60.56703437],[45.07659862]
