,AES_predictions,Alliant_Energy_Corp_predictions,Ameren_Corp_predictions,American_Electric_Power_predictions,American_Water_Works_Company_predictions,CMS_Energy_predictions,Consolidated_Edison_predictions,DTE_Energy_predictions,Duke_Energy_predictions,Dominion_Energy_predictions,Edison_Int_predictions,Entergy_predictions,Evergy_predictions,Eversource_Energy_predictions,Exelon_predictions,FirstEnergy_predictions,NextEra_Energy_predictions,NiSource_predictions,NRG_Energy_predictions,Pinnacle_West_Capital_predictions,PPL_Corp_predictions,Public_Serv_Enterprise_predictions,Southern_predictions,Sempra_Energy_predictions,Wec_Energy_Group_predictions,Xcel_Energy_predictions
15,[11.75635254],[38.00220563],[49.9741591],[64.80381917],[74.05533999],[42.1664933],[75.6112509],[96.03388772],[79.99134459],[75.06193387],[73.46718242],[73.5849227],[19.83275764],[55.08667632],[34.05872128],[34.27606362],[127.97697371],[23.25284209],[10.62534725],[76.16602428],[34.33768562],[42.00993763],[51.59774749],[107.13576446],[59.73086581],[41.52478153]
16,[11.66099825],[37.43565181],[49.20381337],[63.48067129],[73.15006563],[41.5867065],[74.05263036],[94.28942348],[78.63960089],[74.51192626],[72.50121907],[71.9767346],[20.01255341],[54.06573083],[33.34966252],[33.57537103],[125.99557995],[22.32238304],[10.64978633],[74.83481458],[34.01566809],[41.45665543],[50.46054057],[104.89407131],[58.63588582],[40.91937149]
17,[11.47737703],[36.99255303],[48.6424965],[62.66483806],[72.4239681],[40.87022251],[73.83190622],[93.32817089],[78.0576925],[74.21788633],[70.82786611],[71.48174255],[21.59283915],[53.45451367],[32.64358474],[33.35320419],[123.83630671],[22.06669161],[9.83859968],[74.57063445],[33.90707222],[40.83868061],[50.2431167],[99.47819698],[57.99037651],[40.48590138]
18,[11.7292254],[37.02312645],[49.11114895],[62.93804124],[72.2265707],[41.16883482],[73.8693604],[93.35373435],[77.96304694],[74.29266435],[71.23166117],[71.45486463],[20.7034341],[53.44488602],[32.79482198],[33.30569946],[123.89287994],[22.1344305],[10.06203631],[74.18059806],[34.09993432],[40.92652484],[50.41374115],[101.11747589],[58.26939904],[40.64735409]
19,[12.07962344],[36.80211422],[49.41852178],[62.49926549],[70.9118086],[40.84917237],[73.90193423],[93.23791933],[77.40541023],[73.82266627],[70.45249091],[70.87071321],[21.29707121],[53.24898401],[32.73572612],[33.58096648],[123.32855959],[21.89780218],[11.0574388],[74.2063604],[34.02241792],[40.95665764],[50.18426244],[102.18414824],[57.85589823],[40.44853267]
20,[12.39941968],[37.90533818],[50.74820841],[63.21276161],[71.31202421],[41.67885265],[74.51820687],[95.19447492],[79.00377905],[74.69956204],[71.51344601],[71.43355012],[22.11485906],[54.31357088],[33.38369771],[34.28471064],[124.7752297],[22.28163698],[11.42416284],[75.03266289],[34.55005384],[41.81938647],[50.60629284],[103.97064],[58.4913814],[41.0928716]
21,[12.43796956],[38.47704106],[51.1880149],[63.23390473],[72.4999186],[41.99109107],[75.33911059],[96.00471409],[79.56119372],[75.41933636],[72.0829692],[71.70040832],[22.26474307],[55.0068748],[33.69630801],[34.49209923],[125.15620294],[22.5681544],[11.44720034],[75.76716054],[34.75202012],[42.06468345],[50.73078401],[104.05642233],[58.9643833],[41.48899955]
22,[12.01034034],[36.87321153],[49.08710641],[61.3922484],[72.26693289],[40.41331764],[72.24691303],[92.48085439],[77.48577171],[73.43561796],[70.27043054],[68.96619988],[19.69217268],[53.18088466],[32.10781462],[33.55929614],[117.77105054],[22.24436824],[11.97299695],[74.03404692],[33.59951286],[40.76041492],[49.24546465],[99.82052169],[56.38385097],[39.73028701]
23,[11.46265155],[35.47379918],[47.86543817],[59.83210135],[70.92975287],[39.48202857],[70.73627327],[91.53325328],[75.20076242],[71.34949532],[68.91014079],[67.96934915],[19.81996589],[52.38360919],[30.13452666],[31.97623496],[115.38481402],[21.51276349],[10.99643257],[72.84255239],[33.10511797],[40.03444766],[47.97797257],[97.47807205],[55.49816652],[38.76939383]
24,[11.24521243],[35.2394888],[47.96782792],[60.06548578],[71.35343989],[39.82921062],[70.57389541],[91.20727003],[75.38659607],[70.74132922],[69.08108047],[67.4759173],[20.06383427],[52.07937249],[30.0246934],[31.70757021],[113.67409207],[21.39678479],[10.95019545],[73.45600397],[33.15611514],[39.6290267],[47.91311709],[96.03250797],[55.04628665],[38.95935047]
