,Anadarko_Petroleum_final_fft,Anadarko_Petroleum_fft_absolute,Anadarko_Petroleum_fft_angle,Apache_Corporation_final_fft,Apache_Corporation_fft_absolute,Apache_Corporation_fft_angle,Campbell_Soup_final_fft,Campbell_Soup_fft_absolute,Campbell_Soup_fft_angle,Cabot_Oil_Gas_final_fft,Cabot_Oil_Gas_fft_absolute,Cabot_Oil_Gas_fft_angle,Chevron_final_fft,Chevron_fft_absolute,Chevron_fft_angle,Cimarex_Energy_final_fft,Cimarex_Energy_fft_absolute,Cimarex_Energy_fft_angle,Devon_Energy_final_fft,Devon_Energy_fft_absolute,Devon_Energy_fft_angle,EOG_Resources_final_fft,EOG_Resources_fft_absolute,EOG_Resources_fft_angle,Exxon_Mobil_final_fft,Exxon_Mobil_fft_absolute,Exxon_Mobil_fft_angle,Halliburton_final_fft,Halliburton_fft_absolute,Halliburton_fft_angle,Helmerich_Payne_final_fft,Helmerich_Payne_fft_absolute,Helmerich_Payne_fft_angle,Hess_Corporation_final_fft,Hess_Corporation_fft_absolute,Hess_Corporation_fft_angle,Marathon_Oil_final_fft,Marathon_Oil_fft_absolute,Marathon_Oil_fft_angle,National_Oilwell_Varco_final_fft,National_Oilwell_Varco_fft_absolute,National_Oilwell_Varco_fft_angle,Newfield_Exploration_final_fft,Newfield_Exploration_fft_absolute,Newfield_Exploration_fft_angle,Noble_Energy_final_fft,Noble_Energy_fft_absolute,Noble_Energy_fft_angle,Occidental_Petroleum_final_fft,Occidental_Petroleum_fft_absolute,Occidental_Petroleum_fft_angle,ONEOK_final_fft,ONEOK_fft_absolute,ONEOK_fft_angle,Schlumberger_final_fft,Schlumberger_fft_absolute,Schlumberger_fft_angle,TechnipFMC_final_fft,TechnipFMC_fft_absolute,TechnipFMC_fft_angle,Valero_Energy_final_fft,Valero_Energy_fft_absolute,Valero_Energy_fft_angle,Williams_Cos_final_fft,Williams_Cos_fft_absolute,Williams_Cos_fft_angle
0,(111886.10000000005+0j),111886.10000000005,0.0,(163780.58900000012+0j),163780.58900000012,0.0,(62106.64990000002+0j),62106.64990000002,0.0,(79909.13009999998+0j),79909.13009999998,0.0,(159532.63740000004+0j),159532.63740000004,0.0,(101984.90999999997+0j),101984.90999999997,0.0,(124898.93999999993+0j),124898.93999999993,0.0,(171294.16199999998+0j),171294.16199999998,0.0,(139525.60510000002+0j),139525.60510000002,0.0,(61041.66489999997+0j),61041.66489999997,0.0,(79880.23999999996+0j),79880.23999999996,0.0,(114900.63000000005+0j),114900.63000000005,0.0,(74376.87999999998+0j),74376.87999999998,0.0,(111448.6678+0j),111448.6678,0.0,(75977.27+0j),75977.27,0.0,(133708.55000000005+0j),133708.55000000005,0.0,(136539.85250000007+0j),136539.85250000007,0.0,(86738.51999999992+0j),86738.51999999992,0.0,(128841.60859999998+0j),128841.60859999998,0.0,(97061.47980000003+0j),97061.47980000003,0.0,(59571.233500000024+0j),59571.233500000024,0.0,(48376.50000000002+0j),48376.50000000002,0.0
1,(3419.7059716032363+11851.151135433045j),12334.67357359305,1.2898725516563174,(-8635.083904505515+2139.4153638988687j),8896.166148242552,2.8987247554451487,(3078.270597516253+517.3029768454353j),3121.4343243749686,0.16649419524005973,(6692.789770085577+6558.225856217095j),9370.36612346159,0.775243523755558,(10117.561455003071+13254.568008792397j),16674.790040521253,0.9188207454726769,(-3788.261533698886+17186.765160351606j),17599.313115141125,1.7877446964389732,(-399.54167897263875-7572.577166322241j),7583.110080510586,-1.6235091009620135,(7196.314363718171+11123.734272551936j),13248.562359282723,0.9965799651009487,(8230.05093525817+1372.9556921636447j),8343.78485638193,0.1653000611379117,(3286.1918086455557+3415.3510415529818j),4739.586410252079,0.8046688369209366,(2001.695448778748+9193.81136506477j),9409.195081730195,1.356419845544387,(894.6991516478031-6373.792076363746j),6436.2809140587215,-1.4313359842284352,(12238.672583644488-7438.666208933433j),14321.971288114612,-0.5461351240906143,(16174.44539778309+5783.797010271195j),17177.45591704105,0.3434191889607136,(-7360.853564576075+890.1690800165695j),7414.4835417006525,3.0212442109366564,(2014.2267013879302+13564.382061240301j),13713.116710211498,1.4233797552602814,(-4830.170887267401+13015.3887566957j),13882.755320473181,1.9261542558377656,(1173.6695973835722+12597.569041992614j),12652.124173102051,1.4778981363343824,(6953.398669246042+101.22264840875148j),6954.135393995684,0.014556262907168573,(1156.0690362183532-508.5875050317303j),1262.995196656437,-0.41444681656972465,(16021.423111934258-7819.327719021321j),17827.72796822625,-0.4540456261564475,(6235.082626834937+2253.242051214682j),6629.7326571152935,0.3467778337734597
2,(-856.2536209633022+428.40023184590024j),957.44296021141,2.677689618923327,(-7240.0607438248-10245.627143344645j),12545.571136250173,-2.185970688964715,(2550.2772202604315-625.5706897683925j),2625.881297407896,-0.24054571150103363,(-873.4535805382059-2495.7666952402183j),2644.196012860108,-1.9074480287932865,(-3673.1880916096457+1382.4013424397272j),3924.709445031832,2.781639661709038,(1852.540704752701-7956.724709199173j),8169.539470542161,-1.342044593939241,(-6984.001177084684-10806.459159163383j),12866.85011959751,-2.1445521659528954,(1471.5009228493466+2881.3998347244024j),3235.3948713404816,1.0986336552338973,(-4113.798894233965-177.77629281609444j),4117.638370776145,-3.098404895696982,(-685.0617640513458-4878.960722731493j),4926.821222098662,-1.7102957487728052,(-2895.328525409958-506.993926312569j),2939.3826071762815,-2.968242620887636,(-6086.515006011106-7118.755088115578j),9366.020442160576,-2.2781843248426124,(6745.250599604206-13345.352763866364j),14953.155053148366,-1.102807656840929,(-3505.258122988797-11744.684853626284j),12256.608699790395,-1.8608349477060608,(589.3936096267962-14128.992177628725j),14141.280167741625,-1.5291053073959446,(-6089.6982024783965+215.39309155093324j),6093.506246912075,3.106237315804994,(-3309.1277688196483-1255.133066983338j),3539.164535057434,-2.779062504856116,(-5640.069422205718-7508.649613849942j),9390.963854198824,-2.215028539463443,(-3895.526673049318-10487.938030846348j),11188.028074656939,-1.926432783622488,(6888.604986216843-11852.015148705264j),13708.506181975868,-1.044301583152306,(1313.6499537025454-9618.581464272826j),9707.872351123879,-1.4350619106924087,(-1517.730989774238-2374.421751919747j),2818.046488848388,-2.1395419560231566
3,(-1131.86436234301+4524.484309385271j),4663.912006096992,1.8159296009793755,(-4444.547348297487+6419.628466118889j),7808.049101681046,2.1763609111074933,(103.32078192161569+1663.6357007671265j),1666.8410028685466,1.5087705782897667,(4749.307598486282+998.7844967846362j),4853.194116873636,0.20728053581495706,(-1194.0514624973705+6375.008562815242j),6485.8687213865005,1.7559529351557888,(942.4465969131236+11357.547380251757j),11396.58229833386,1.4880062364685465,(-3115.5088702887288+4052.7188277760615j),5111.841685523753,2.226186933582722,(-4228.461075131529+14634.733511169119j),15233.361677805688,1.8520694696866618,(-1244.8517138477348+1805.0672153512571j),2192.6977542300683,2.1745373151353924,(421.84215226657284+3615.168372251315j),3639.696850172431,1.4546349124550517,(684.4920526659907+6462.685568331906j),6498.833289544239,1.4652752365943922,(-480.4165313380821+9963.825485859372j),9975.400661439302,1.6189750871846496,(2971.834518277755-5428.134215491771j),6188.411869407178,-1.0698843026620617,(-4216.231224933526-2492.0965223335756j),4897.667895920626,-2.607763670558725,(-2164.9612623453736+1511.7589157424484j),2640.543937673232,2.53201895244634,(-6700.137197541577+5636.62700684879j),8755.76395754348,2.4421884623717975,(-2463.502778820093+4989.659233119776j),5564.669370583642,2.029408651213874,(-607.3598644029114-3410.80149708042j),3464.45563651399,-1.7470187646853625,(-4244.976481366335+4070.498572821395j),5881.222998551774,2.3771737257862706,(-4010.689694960052+2203.6522243384507j),4576.211856447487,2.6391758712197753,(-3221.897761186759-2156.919617040025j),3877.2319272790915,-2.5516612805875507,(-2282.931879169473+1822.843282772113j),2921.3927497814593,2.467787831715491
4,(2027.1026740340992+10197.355133010022j),10396.884002421208,1.3745672866701566,(2623.2440506345993+8044.2004708527675j),8461.121117467692,1.2555664351984623,(1063.094213737487+529.261353361003j),1187.555003965562,0.4619260541319465,(4374.128239023173+9478.42941444912j),10439.043156157284,1.1384347788318405,(-418.07419649777194+6801.732342061024j),6814.568870208606,1.6321849354754396,(2337.355612629584+5755.892580427968j),6212.3691662132205,1.185059173229113,(2440.73753252573+3713.1138071898495j),4443.468672987769,0.9892861236459286,(7455.4094408350575+11437.976773003087j),13653.220960280787,0.9931484129945805,(-2195.6570980192428+3258.3598026019163j),3929.098967358074,2.1637579280202774,(788.0142229921039+5018.253633824734j),5079.747626509903,1.4150386819031668,(2339.501762935852+7782.8270630960415j),8126.848441606384,1.2787910561386542,(2586.873319307222+8248.524489620211j),8644.655564336148,1.2668946214947328,(-578.0854030844116-4322.833757475858j),4361.315676264688,-1.7037359506583638,(-3975.044288968809+2315.9503814010113j),4600.5003280485735,2.6140487056188073,(-921.4530059022434+2940.1264114919713j),3081.1392304858505,1.8745062990439831,(-2425.916859042849+7309.318388788506j),7701.3770142533685,1.8912506686653625,(1776.496978399124+7878.667056794582j),8076.4680464966505,1.3490232330117762,(4054.8530708227618+3160.864728548059j),5141.293539386754,0.6621317278591663,(-899.1595837296645+7025.649516459188j),7082.954121349095,1.6980867659291328,(-131.46519436844483-791.2813351669247j),802.1279503382762,-1.7354346351689889,(-3641.112254839868+1082.1955909309354j),3798.532051908398,2.852692250696299,(326.3544087280196+3019.625241865687j),3037.209871149609,1.463136428518212
5,(2783.658248659084+27.312700817706173j),2783.7922388270495,0.009811486163510201,(5122.832585407623-5808.1956804294805j),7744.5820261828085,-0.848015064830088,(-687.3098607699981+54.59100563337219j),689.4744539196047,3.0623319843436,(-1929.9427794340213-3085.273115670534j),3639.1742648805484,-2.1297794442852793,(525.5907098291909+1134.0599283533884j),1249.9350044524897,1.1368061237333824,(3995.0487837780624-2309.09924982707j),4614.363892273615,-0.5240786290423419,(3589.1525224531415-6143.114345035139j),7114.764204498155,-1.042033605882941,(4357.035737171324-12.199157858373837j),4357.052815199802,-0.0027998682399634307,(982.4668941185787-310.23742719994357j),1030.285620240643,-0.30586473248563223,(1324.7217412740451-2210.079130888107j),2576.691183784209,-1.0308180165143372,(1534.2085616589604-1467.9825647981738j),2123.3861451038715,-0.7633425196537075,(4435.718866859201-2543.709080933694j),5113.321596989104,-0.5206764538767199,(1411.0447500864739-7528.542553511592j),7659.634473444633,-1.385519847425158,(12.61082958166935-3486.9257886978676j),3486.94859281134,-1.5671797386126938,(3458.4221398897944-5131.250329126755j),6187.924824837753,-0.9777394071333171,(2.5442325881609804-1344.7599745019716j),1344.762381293441,-1.568904368675453,(3651.6037245792013-45.258295420874674j),3651.8841814418347,-0.012393452745963637,(565.628668229368+725.1453709165971j),919.6584144587042,0.9083569330334826,(2308.7086726583875-3209.130061103994j),3953.3089285166393,-0.9471561147116092,(3630.863642808525-2303.838359474432j),4300.097903449948,-0.565412501198952,(-1037.0202997787628-687.0319433253139j),1243.9549804163303,-2.556476197977138,(618.301042562709-1048.8805183340132j),1217.557604787043,-1.038143111826563
6,(-2247.237736985783+3903.2061303473774j),4503.897816615551,2.093187682033386,(-2127.1957540234907+2532.6658756962242j),3307.470062427125,2.269399760503571,(-1000.6625751968442+1076.4080198193828j),1469.6869784178755,2.319743204294979,(-2371.9004177743323-4495.504628470602j),5082.860755169146,-2.056291922459674,(-1057.9852211374368+4500.853836527936j),4623.528737439995,1.8016682031317828,(-1626.3093462779018+4346.657312388676j),4640.938685345111,1.9288230995890079,(-2417.7030671834355+1507.1799890829054j),2849.0138013986766,2.5841495239443173,(-1136.766599587214+2996.662892889011j),3205.0314812112238,1.9333701348827497,(-282.9668183398573+2825.995904803963j),2840.1272989516074,1.6705936373847952,(-1093.8540927325053+1378.9951265379234j),1760.1546338895898,2.2413928013696074,(-3327.6791111902467+2045.9434847698062j),3906.319624649771,2.590342981300958,(-3177.8922751594587+778.9619417860805j),3271.968982015157,2.9012130733584276,(-2293.20701594071-2923.3374623398045j),3715.467714390615,-2.235982309689164,(-5002.796068166238+4868.935389354785j),6981.009978890662,2.369753659200416,(-724.7777963209169-1032.792444956908j),1261.7301963573163,-2.1827060067335284,(-5376.52112247132-814.6084695842824j),5437.882523473518,-2.991224124321936,(-1544.1108688661288+3734.9996732595587j),4041.596334939886,1.9628149676093445,(-2637.1756338323967+1879.0486456586168j),3238.1351325154396,2.522511255298191,(-2730.8788906148015+3517.6883226531186j),4453.294359295783,2.230935351545809,(-7247.017511131535+2181.945727830036j),7568.365078789662,2.849143595431482,(-1000.8090322611738-236.56021633333842j),1028.386821681036,-2.909483748755258,(-644.2191813742804+766.3305638831113j),1001.1397938309891,2.2698397212305474
7,(-1766.003605342176+298.6037566726219j),1791.0703329519379,2.9740924600322627,(-2975.0423723853264+1014.6294572696661j),3143.30241196221,2.812915883445253,(94.4751889373693+795.6491547858052j),801.2385030913815,1.452609936459213,(-1306.1673527497783-116.44518439811463j),1311.3476405434506,-3.0526774363450153,(-928.4974356128993+2559.298582396341j),2722.520288592107,1.9188228902428022,(-3761.258940067014+2165.209154919065j),4339.953859061104,2.61926194189737,(-2254.7770443302525+408.7218283200509j),2291.5219947851156,2.962270534771723,(-3828.896238515841+3934.768914223611j),5490.250705902346,2.3425583903037523,(-783.1473141406464-248.894898450987j),821.7471546166956,-2.8338742389096176,(-923.0399410416554+2005.7539847513776j),2207.9519424353903,2.0020968169206563,(-2699.1768873260976+2571.755617574897j),3728.201017327719,2.38036411420882,(-4414.472933927082+719.6569990670038j),4472.748314032537,2.9799920457028706,(-4012.643528394976-2435.3577316610017j),4693.855064563785,-2.596099697724572,(-1230.0442274845668+4684.917847905237j),4843.703546170961,1.8275552367609638,(-1913.971310757835+382.494452438968j),1951.8166370206632,2.944347716296404,(-4370.309342817824-2193.249696722208j),4889.779952522691,-2.676464320820604,(-2360.70271559166+2258.112491983623j),3266.8010863617524,2.378402210830049,(-1974.3771409220244-657.4806207990438j),2080.972335549352,-2.8201361871072064,(-349.32436466253625+3140.079643885282j),3159.4505347749323,1.6815877539293174,(-1707.6477455243266-52.13312507192586j),1708.4433515701012,-3.111072929791182,(-1879.047517390587-901.2150557585654j),2083.988519483167,-2.6943875005843503,(-870.2063352242353+664.9575692301469j),1095.1838360480215,2.4891045725523018
8,(2798.6851068425044+3482.579871726258j),4467.77359433252,0.8938494722548971,(2595.3914304094774+2120.1218192939837j),3351.2644189453904,0.684948857116849,(-371.0494543563814-340.3284941008319j),503.48900829621726,-2.3993528196135046,(-861.8435623116477+1919.9655813029435j),2104.5289637555434,1.9927225498651864,(1313.8935891871554+2628.6555333843226j),2938.7320866147566,1.1072808632758433,(4242.5410413629015+786.9796510754231j),4314.9150001889275,0.1834125079554077,(2376.7659287060665-327.52178657954687j),2399.226292066313,-0.1369390049677478,(4162.997855905984+3815.4508128901593j),5646.965207424426,0.741864955430974,(1091.6696720917562+1112.71871284984j),1558.8090347733832,0.7949465720185633,(1563.780911727225+954.1455610591224j),1831.885501763486,0.547851489073704,(2912.94590365143+1453.3344163306806j),3255.3701422865706,0.46278528253349593,(3297.9938325310136+2930.7641776955734j),4412.045102293971,0.7265092083741687,(307.01360308600545-2481.50684795536j),2500.4266813744407,-1.4477012123845585,(6131.529161415026+3819.060546414108j),7223.6329720203585,0.5570561729436242,(2329.0684757018+294.75303261823j),2347.6454831906685,0.12588483564254202,(1994.3397860036412+22.301301919799243j),1994.464472008556,0.011181832002550969,(2699.111579644651+1667.5402017349325j),3172.679253213918,0.5534128197384367,(2205.974330107512-570.6613042705667j),2278.5910272106908,-0.25313968355142236,(5109.691021991197+1190.8040953159802j),5246.613835002416,0.228961468152525,(3558.2978730199893+4184.814212800255j),5493.100558773122,0.8661350090253146,(538.516497200766-389.4307332993143j),664.5722788346083,-0.6260975909343302,(1106.1896892095263+545.1592735372681j),1233.2292009343398,0.4578921259810527
9,(708.5578556265689+801.6660787170629j),1069.9171633989772,0.846972160723997,(1672.6573200835337+607.2333367814588j),1779.470380682908,0.3482398682054883,(-630.7618934181907+258.95737826912716j),681.8500494599386,2.7520272642645263,(-2644.1310514925726-1775.3223719059692j),3184.838856466219,-2.5503065219758385,(470.0863693895468+1915.7334833661425j),1972.565835143664,1.3301687879938884,(1181.349127321975+3282.154411828765j),3488.283724657646,1.2253018290439608,(1127.3965229304802+331.936866129703j),1175.2467838763673,0.2863368673126281,(3442.847108492688+6373.550038936306j),7243.98621694447,1.075525794972377,(342.90478596181237+1520.582696573718j),1558.7672787670763,1.3489976498552472,(1143.5541636682538-595.1788847034783j),1289.1679603681887,-0.4798845379242731,(1576.4418722448631+1156.3857779072557j),1955.0951495804643,0.632884289982581,(795.9735405157164-509.5048586531206j),945.0762287732463,-0.5693860864601906,(-560.1304491350545+835.131296440085j),1005.5796350075586,2.1615925576370945,(3016.0927278684103-551.1192809183254j),3066.0312791784495,-0.18073235855040978,(880.0940224082053-1201.485026114235j),1489.3393690678356,-0.9385862342709396,(1810.0181849519836-2038.1501384156347j),2725.843322089614,-0.8446121165138109,(484.867496508986+2000.26083839798j),2058.1885022513075,1.3329812803446695,(1569.7336695127663+1093.9729078983455j),1913.3323068452007,0.60865333610789,(792.5554180065362-1546.8537360034388j),1738.0738106304093,-1.0973048484117267,(-544.1161752848607-807.8424604778228j),973.997871228417,-2.1635439815723925,(104.94402955773214-245.99651476711182j),267.44632100176665,-1.1675646551608523,(-3.082777127424805-13.53721857105242j),13.883796363308564,-1.794703930005951
10,(-387.5162196975664+1351.5931628540152j),1406.0486827995726,1.850016954881456,(-1343.2837978933308+1014.1357230073254j),1683.116937815766,2.494919864623797,(-371.73766254193936+178.9252741378273j),412.5568366630729,2.6929993118767452,(-2456.9290499295716-3390.4473875525573j),4187.079393103239,-2.1978830635747695,(-1502.4527942841098+77.41981018868023j),1504.4461525962904,3.090109241323041,(-142.5676326086259+504.1412382999804j),523.9121281496218,1.8463931309856885,(-263.69596560996456-824.7605797073721j),865.8900485155215,-1.8802491238694266,(-286.07090098781964+2612.596743716474j),2628.211997855178,1.6798586112771565,(-554.6923932724292-376.10071490832536j),670.1756478035057,-2.5457610804838082,(-1048.5837740059858+588.5713717791726j),1202.4741954764158,2.630114291050542,(-1515.3330790195423+1501.549527033768j),2133.2804134726825,2.360763264613136,(-1933.6716880041686+674.1836504934797j),2047.8305085093357,2.806116855192061,(-2025.1966297245629+270.30011434669905j),2043.1552904425955,3.0089082413304293,(-1225.0227152626594-653.5590052165946j),1388.4595875318819,-2.6514996138325264,(-584.6276237711515-469.2332492989839j),749.646116993869,-2.465256788138292,(-1107.574003665617-755.6664291655321j),1340.8027169437235,-2.5428642115555915,(-1803.705444810344+507.7689178497985j),1873.814987017885,2.8671802717213795,(-168.51426846743902+1205.5464741959488j),1217.2671687527761,1.709678917281913,(-1211.0726763644045+568.6251887685214j),1337.9206376831469,2.702623404476634,(640.480521144442-2011.2710808729348j),2110.788160550755,-1.2625039894228696,(50.50918151229962-664.8833600619495j),666.7991151046245,-1.4949749766681821,(-448.0017430879797-74.14543428616139j),454.0959229450884,-2.977576836214144
11,(-852.2233301553109+996.5061858437207j),1311.2243068544024,2.2783080378765415,(-2000.1479833177855-153.8108140394708j),2006.0532699022947,-3.0648439847916418,(-70.13853066718373-93.522700159674j),116.90127856147579,-2.2142735217175025,(-1103.2334566794289-1336.5201927371636j),1733.034992587001,-2.260865344217178,(-522.8726710273058+676.0914791973061j),854.6903055203273,2.229090759415698,(-56.09779089325821+1659.9938095339076j),1660.9414227581894,1.6045774469530798,(-622.6747312479606-762.855394829299j),984.7193378597202,-2.2553628550696487,(-611.5147618929059+2504.5753216581334j),2578.148142731887,1.8102701267392571,(-908.9958335007007-126.10411528508577j),917.7012984699693,-3.0037434614690763,(-420.6710651249738+741.6380545735768j),852.637759558571,2.086763184443422,(277.08253002709284+1473.258602339928j),1499.0882688537101,1.384893344294631,(-228.20436008534625+1722.843148492373j),1737.8911773379468,1.7024877183256424,(1162.40934054245+157.48337932770437j),1173.0287676544028,0.13466024324236606,(-1069.5223455981222-29.21503888451707j),1069.921289736181,-3.1142834759267153,(-967.0820305632626-546.9016630051285j),1111.01263846823,-2.626914040400997,(-240.67009660045687-405.72992644100384j),471.74025544519264,-2.106184605489319,(-942.6039878497655+829.3128531646726j),1255.4927663409337,2.420044628973158,(-667.6183672966596+321.8351048699367j),741.142441827818,2.692396132285142,(-525.2810785520155+1304.4010290225428j),1406.1942454724515,1.9536273188369069,(-498.1587618444604+660.4972271690278j),827.2960407861144,2.216991363468832,(522.9783190986932+83.26075584344653j),529.5646095717846,0.15787999629416036,(-64.23335703503682+204.65539330592645j),214.49884420479742,1.874920676190943
