,Air_Products_Chemicals_final_fft,Air_Products_Chemicals_fft_absolute,Air_Products_Chemicals_fft_angle,Albemarle_Corp_final_fft,Albemarle_Corp_fft_absolute,Albemarle_Corp_fft_angle,Avery_Dennison_final_fft,Avery_Dennison_fft_absolute,Avery_Dennison_fft_angle,Ball_final_fft,Ball_fft_absolute,Ball_fft_angle,Celanese_final_fft,Celanese_fft_absolute,Celanese_fft_angle,CF_Industries_Holdings_final_fft,CF_Industries_Holdings_fft_absolute,CF_Industries_Holdings_fft_angle,Eastman_Chemical_final_fft,Eastman_Chemical_fft_absolute,Eastman_Chemical_fft_angle,Ecolab_final_fft,Ecolab_fft_absolute,Ecolab_fft_angle,FMC_Corporation_final_fft,FMC_Corporation_fft_absolute,FMC_Corporation_fft_angle,Freeport_McMoRan_final_fft,Freeport_McMoRan_fft_absolute,Freeport_McMoRan_fft_angle,International_Paper_final_fft,International_Paper_fft_absolute,International_Paper_fft_angle,LyondellBasell_final_fft,LyondellBasell_fft_absolute,LyondellBasell_fft_angle,Martin_Marietta_Materials_final_fft,Martin_Marietta_Materials_fft_absolute,Martin_Marietta_Materials_fft_angle,The_Mosaic_Company_final_fft,The_Mosaic_Company_fft_absolute,The_Mosaic_Company_fft_angle,Newmont_Mining_Corporation_final_fft,Newmont_Mining_Corporation_fft_absolute,Newmont_Mining_Corporation_fft_angle,Nucor_final_fft,Nucor_fft_absolute,Nucor_fft_angle,Packaging_Corporation_of_America_final_fft,Packaging_Corporation_of_America_fft_absolute,Packaging_Corporation_of_America_fft_angle,Sealed_Air_final_fft,Sealed_Air_fft_absolute,Sealed_Air_fft_angle,Sherwin_Williams_final_fft,Sherwin_Williams_fft_absolute,Sherwin_Williams_fft_angle,Vulcan_Materials_final_fft,Vulcan_Materials_fft_absolute,Vulcan_Materials_fft_angle
0,(149341.05999999994+0j),149341.05999999994,0.0,(83246.53000000001+0j),83246.53000000001,0.0,(74464.54999999999+0j),74464.54999999999,0.0,(66841.16999999998+0j),66841.16999999998,0.0,(77646.43999999999+0j),77646.43999999999,0.0,(122854.79+0j),122854.79,0.0,(83496.89+0j),83496.89,0.0,(124771.85000000002+0j),124771.85000000002,0.0,(65472.27000000001+0j),65472.27000000001,0.0,(19399.430000000004+0j),19399.430000000004,0.0,(52322.24532399999+0j),52322.24532399999,0.0,(96322.45+0j),96322.45,0.0,(179120.27+0j),179120.27,0.0,(36858.270000000004+0j),36858.270000000004,0.0,(30555.84+0j),30555.84,0.0,(55021.225+0j),55021.225,0.0,(85783.99999999999+0j),85783.99999999999,0.0,(46196.14+0j),46196.14,0.0,(300452.29999999993+0j),300452.29999999993,0.0,(104168.625+0j),104168.625,0.0
1,(-270.9006458389557+2501.3129975935876j),2515.9399579176334,1.6786792071760175,(9897.858901606254+14077.157776750431j),17208.54386366352,0.9579829061552082,(3316.47205541295+10189.837335960989j),10715.958745146398,1.2561406566784934,(-7096.511151703645-1019.118494566263j),7169.3146835817715,-2.998959460768929,(4539.738360617031+8004.377687325045j),9202.134890567777,1.0548762901052802,(27472.223436641874-66419.94190029478j),71877.19904525572,-1.1786090402175589,(5682.392195441851+227.0447983570399j),5686.926270251747,0.03993460549153206,(1878.5022567535477+4429.139217592094j),4811.03366621358,1.1696682729501988,(11389.135244629466+2331.6362866904997j),11625.35717274411,0.2019343003892817,(4556.839757863893-3649.850324685021j),5838.338459823344,-0.6753265623729033,(2992.642390090325+602.538393994981j),3052.6973304282205,0.19868361653541744,(3810.8807238283775-1974.9646708011096j),4292.236869297783,-0.4781357674457795,(1030.1130372374157+25306.53554580537j),25327.49245781345,1.5301133712671502,(1423.0607784334607-6412.125827568515j),6568.139737222928,-1.3524032388805427,(1179.9747643083258+4483.389646612251j),4636.067640549954,1.3134443710683457,(3387.7326845826906+2772.943227011072j),4377.892972928464,0.6859349274539426,(8218.477518850208+7714.238705743416j),11271.772333445886,0.7537607100520521,(-2626.4891716299226+1338.78139168548j),2948.0130568592376,2.67019709991312,(6122.094960294461+22822.13961907058j),23629.009786599476,1.3087140134780095,(-3216.2696835993656+15384.205685264096j),15716.811866410837,1.7768910213008453
2,(-1553.1006848593013+3543.5899529047592j),3868.998771211744,1.9838650759914338,(-913.0032944255605+4912.471460776759j),4996.593926724291,1.754553867848285,(2916.074556360857+5925.45968404934j),6604.132288616671,1.113467493973816,(-3470.082116163517-3914.289331197977j),5230.97800236707,-2.296111845191984,(207.6824712833322+5956.554014915831j),5960.173465721301,1.53594423353627,(-21231.984795658245-18822.786568282474j),28374.186729458484,-2.4162697111101292,(886.2712143826498+1130.66023294518j),1436.6172864778378,0.9059790671679648,(-400.322917575796+3138.006505432079j),3163.4385194706165,1.6976833064333652,(24.623874060416014+2653.7496863742444j),2653.8639251297614,1.56151769455052,(-421.10634266654404-2801.8607938200216j),2833.3292183895173,-1.7199750059395997,(-2136.6969424673375+1412.2280270558576j),2561.2227205675317,2.5575652976497016,(798.5936104984964+1591.098038210702j),1780.2653515493046,1.1056190770654835,(-4400.73709439464+8713.02764302645j),9761.318439745935,2.0384961144263856,(-1459.1809579076696-1801.7137666459334j),2318.486912803655,-2.251535712896917,(-305.6317438088101-627.3933275603393j),697.8776040903228,-2.024107435344992,(-1332.3196459106332-83.24025842932627j),1334.917442953989,-3.0791960633677777,(-2103.7743964600772+6146.974494210447j),6497.0117857115465,1.9005462779480775,(-461.23275830271103+2170.035355738275j),2218.510559471302,1.7802259186535545,(616.5568448023674+23814.058462601457j),23822.038594609672,1.5449116528925004,(-202.6689169651267+5716.909668585456j),5720.5009263760885,1.606232268719774
3,(1861.7504054276023+5548.280215167523j),5852.309622544694,1.2470480542971045,(-695.1827635714964+5060.32167171247j),5107.850281279766,1.7073208940488838,(1270.2301581459178+4941.33570899197j),5101.988165766614,1.3191821004270976,(1414.2316002129928-1780.5902630894607j),2273.884936413889,-0.8995720926928216,(-437.21922853646697+2217.4138548159876j),2260.1072667756107,1.765474353581206,(6383.042117183121+1905.7752491334447j),6661.471757047629,0.2901429660407478,(418.82388646610696+230.86599677231902j),478.23901591176235,0.5037828571196448,(-100.91457689862112+1717.850660942625j),1720.8122050739996,1.6294735655586516,(693.7707765195919+1750.6549200641248j),1883.1119296253542,1.1934904659152132,(273.3049357221654-1037.6965646898066j),1073.0842223512202,-1.3132681340735923,(1074.6933090938655+1382.5292955469622j),1751.1005001588865,0.9100268928804119,(471.47464538466994-380.9277330659852j),606.1305792149005,-0.6795694739900513,(2558.147207393519+1993.010409212537j),3242.8702758397203,0.6618562510475069,(1479.116937446093-1826.5020592595718j),2350.297148685537,-0.8901031270800815,(1003.0238471631392+2123.4901945605443j),2348.4606542100555,1.1295149694750757,(675.6059329716746+567.1734184348646j),882.1162413455592,0.6983685434314765,(1356.3696870587419+3920.56634656129j),4148.563511115717,1.2377227362579901,(1078.245493043161+844.5980009811991j),1369.6565724769575,0.6644795153809567,(2590.8637406367916+20046.760471722995j),20213.490058205734,1.4422677629337617,(1924.3055384468605+3252.7761551163358j),3779.3523943383043,1.0365845804652496
4,(-428.55141327481925+1674.0833471936267j),1728.0657878596119,1.8214062222737615,(-2445.7821100233355+1318.9580748882775j),2778.7588115961394,2.6470180517627377,(-447.2394442150052+2447.74842372781j),2488.2715821074926,1.7515174499920962,(748.001253229569-285.28401486680184j),800.5578329961724,-0.36436551407812184,(-539.4340883383751+2287.7067661350607j),2350.44493308854,1.8023633162923796,(7257.410078812564-16653.042047107912j),18165.73176271174,-1.1598129363751395,(-241.0695284382606+178.70631817174856j),300.0840977058724,2.5036788826867165,(-1277.6683725039234+982.3867798115805j),1611.6824300231701,2.4861109821890404,(-999.9998567700436-860.4346520354596j),1319.2223102887133,-2.4310717715131704,(-507.4598160781659-593.0387533612213j),780.5193321899961,-2.2785868872762767,(95.93096065480376+220.2796817410278j),240.26212227498948,1.1600690141596006,(-1309.5532686404442+2163.0453656865543j),2528.5756894791484,2.1151923862018727,(-2912.524811737619+2513.4106441459076j),3847.081211138283,2.429619005384073,(205.88351546289977-1359.960697741378j),1375.4566955526363,-1.4205479157688226,(-914.3297623888901-257.2021019259515j),949.8167379159265,-2.8673777130805975,(542.4135495880485+515.8379124638702j),748.5327051717845,0.7602906596212111,(-366.79758887338323+2328.908670478953j),2357.616607219115,1.7270107295835078,(-348.50371543828953+327.240755343001j),478.05998748248123,2.3876500886322813,(1536.726124961305+3850.89456922533j),4146.192972647044,1.1911032142184292,(-577.5913208782026+1438.1428110594775j),1549.7956248989358,1.9527011126209064
5,(-242.43728612861523+2210.315026702347j),2223.5710816098517,1.6800441092479885,(-1266.5439142165674+2763.6798695119j),3040.075641786621,2.0005159369327794,(260.31271838623354+2929.5572586366447j),2941.099869603935,1.4821717286305918,(-489.68922109831647+574.38030180325j),754.7902121513423,2.27677024124005,(-782.082274732238+3231.2707716539867j),3324.569669024204,1.808265068305031,(-8576.407805402414-7191.057479531639j),11192.232954977992,-2.4438307673499082,(162.03343817780583+1941.973668868784j),1948.7217773882978,1.4875516423161015,(725.405605409064+1233.472369242911j),1430.9672875522388,1.0391724753818126,(-1312.9224490510035+780.0682624898561j),1527.1777405940763,2.605488322969052,(-53.15214294079904+517.3653101693482j),520.0884679223574,1.673173342036013,(-103.72116014306067+459.9813953448689j),471.5304477176792,1.7925770167645474,(-1510.596898120713+4201.679884928199j),4464.976690199195,1.9159287986320674,(1745.5326665487582+6280.164693069275j),6518.232341828781,1.2996953790955563,(-73.31486617766231-96.9081606785201j),121.51650591068855,-2.2184696918768525,(-38.589294397392585+890.7577710927346j),891.5932595102911,1.6140911276179597,(498.1965167820111+1698.978753299319j),1770.5164708344953,1.2855593583331337,(76.58451892914596+466.98678344434325j),473.22494064799946,1.4082460997789132,(143.45981125732087+967.7843402158269j),978.3594669716083,1.4236326829973618,(796.5698450556991+10198.88487386361j),10229.94507259819,1.492850941694573,(272.2499798881458+2791.8615020557218j),2805.1044005900967,1.473588101226006
6,(-1021.4966306559587+2270.1568325029602j),2489.390971824504,1.9936231655407886,(-1892.9414392020435+1610.843412340712j),2485.5670965254135,2.4365335680853017,(-475.82759915012605+2354.5675774483643j),2402.165768818637,1.770197850916829,(-495.18750154687046+297.6956631832312j),577.7831509886176,2.6003076771109277,(-741.6508865267745+1224.189361836793j),1431.323035209147,2.115491714855613,(2399.7480355191155-171.16751074278991j),2405.8447478405037,-0.07120669123085388,(-249.83762480323077-212.64186857325316j),328.07834893153887,-2.4364485699260605,(-133.35411544613606+1788.5832058011983j),1793.547658742447,1.6452171488039977,(-897.1218805090227+690.8067274138275j),1132.2727600398446,2.4853979252887664,(303.5150274431186-403.3510471431369j),504.79049031777737,-0.9257076405400254,(-217.77062061451025+386.08412825738054j),443.26628260571596,2.0843621960743746,(505.4577084823446+1394.5250426031737j),1483.3029324826423,1.2230658588775745,(-2195.9716153090208+2834.349641273454j),3585.502645966095,2.2299632460786865,(-605.8949360894113-510.2467793160373j),792.1240113651276,-2.4416809878514654,(41.40414904573325+874.2384447169245j),875.218350915512,1.5234714413655954,(-99.84538004692499+190.00003419308342j),214.63716572413026,2.054636705722016,(-1132.9392539552332+1951.3967475872707j),2256.4353790097375,2.0968129896692385,(-474.84438227170716+2.059356194629035j),474.848847869441,3.137255773213099,(-2635.1963844975467+9083.325203969272j),9457.856879120785,1.8531585542572315,(-895.568530403893+2101.6899172720205j),2284.5444843584596,1.9736138012369835
7,(678.8888538839441+1615.417569951803j),1752.2739515374997,1.1729507801943175,(-1085.4706779438525-129.6569708702513j),1093.1868654402758,-3.022708227438076,(-411.94327407899414+1882.6017343982176j),1927.144662815456,1.7862169573882078,(-584.9827250839564-987.5248937740587j),1147.784912111201,-2.105588595149977,(294.652159925103+862.4543775779049j),911.3986223117851,1.2415851238354687,(2959.928557597103-10027.149244570477j),10454.898327529023,-1.2837568788649778,(273.90476503017567+752.3702956415718j),800.677764191077,1.2216549277166358,(561.4132081041322-30.321131548470376j),562.2314125448286,-0.053956161152414334,(-173.73918111532862+90.8008608316774j),196.03596451263377,2.6600073992823443,(571.1917362856572-575.3587101925355j),810.7389499681397,-0.7890325046279267,(312.3771029358265+409.8010239513367j),515.2827705931414,0.9194915245348712,(796.0408533908683-546.5298063266767j),965.5961213005863,-0.6016487619152194,(2615.142460703889+3486.997295663002j),4358.683313770052,0.9273145836743668,(170.8441944074393-304.68395722805536j),349.31368790082416,-1.059755551693601,(243.4824938711426-219.34511829395458j),327.7132980840111,-0.7332933895929746,(388.1403104514199+317.15297095558543j),501.23737648271907,0.6850865906009557,(572.7158618196008+1762.487497972401j),1853.2041546707105,1.2566119356977945,(82.46565793996798+788.489097251963j),792.7897837539831,1.4665882473146206,(-1287.1740623364099+5342.498378738246j),5495.37132444864,1.8072215199259598,(1030.6968788063837+2059.7057711428993j),2303.1986279217404,1.1068209603429053
8,(-370.50945106032066+804.0796027208065j),885.3368064396002,2.002584451465195,(-711.1897227608574+953.2918516146326j),1189.3511576130575,2.2117554310702,(-2.231430871459814+1595.842621614395j),1595.8441816934508,1.5721946034087404,(337.2869509303598-904.9904473621166j),965.8002884057257,-1.214046517839952,(-492.35916865721947+2151.0381015943067j),2206.6677288326096,1.7958137877449247,(-5071.60730618877-3761.652817332366j),6314.36715644029,-2.503419440399973,(-473.04856621236917+1222.1040069351593j),1310.4629524570887,1.9401129390177163,(-997.6507979095476+730.6033613626371j),1236.563134742396,2.509500663609501,(-592.1026117532648+296.83107153579823j),662.3399337757974,2.6768920449108937,(-204.1336692644165-35.29267438245628j),207.16208097144678,-2.9703949989650713,(-78.37994758149036+535.0656579197754j),540.7759928732037,1.7162484254048833,(-1121.0678009644648+549.7592797777486j),1248.6105397845438,2.685663391591114,(-3021.844288246449+2996.359796410845j),4255.551072652627,2.3604290324499972,(327.70837899993603-276.23549850985756j),428.601017618665,-0.7003757081185482,(272.84517835767394+302.1278197398393j),407.09422842111104,0.8362829243665197,(-585.2934644084268+954.4271653178178j),1119.5979873936105,2.1208947020641005,(-361.08313113336163+1396.4275108270795j),1442.3559964806836,1.8238304201531366,(-32.33234082806455+271.26476875503283j),273.1848367518658,1.689427740027529,(-909.4924766409849+5201.730894505422j),5280.642088223622,1.7438908188010107,(-1569.947923219827+1870.2585637234208j),2441.844298230958,2.2691208535235976
9,(-520.004101721354+978.5673587375836j),1108.1508658092014,2.059242001001292,(733.5312295258027-148.67680975367784j),748.4469643522962,-0.19997730454081614,(133.51421251078625+1227.1109694572106j),1234.353019320077,1.4624189520279103,(957.4008727208969-134.68122822383032j),966.8275256335096,-0.13975673720300003,(944.7524587272911+685.2037467896724j),1167.0738549405808,0.627487317978231,(2267.1518925235973-1058.2555295803006j),2501.9757132435584,-0.4367181821465555,(675.6834589119852+411.9069916284369j),791.3377953817533,0.5474596110839206,(-156.37710347002644+831.8794764876276j),846.4497988014439,1.756608398382303,(43.99860658462914-529.2780301597479j),531.1036721687885,-1.4878575473398128,(270.67616361872655-55.007631856391384j),276.2090243163679,-0.20049270376368186,(-31.00642606033911+247.54118568253918j),249.47552398211857,1.6954049949256214,(186.44984587954292+934.1146324405702j),952.5406508743271,1.3737848299704603,(-2270.016886710097+1266.0259572217476j),2599.1918725458195,2.632844348131281,(-314.91405941220796-394.82715701037495j),505.0340074968922,-2.2440720147422994,(-144.6637913221391+491.5778514277952j),512.4220882573886,1.8570014219749251,(-198.82795870131906+472.7740002682949j),512.881869918424,1.9688968820357013,(-95.38276895436974+851.3407701652912j),856.6673680951282,1.6823693319844646,(-317.88871699083376+219.39082698306802j),386.24548069122164,2.5375082147217474,(-1162.2904913400341+2789.5935348548533j),3022.044221377883,1.9655751833183601,(-989.4812241159401+482.391165451761j),1100.8062179075332,2.6879793867122186
