,Activision_Blizzard_final_fft,Activision_Blizzard_fft_absolute,Activision_Blizzard_fft_angle,ATT_final_fft,ATT_fft_absolute,ATT_fft_angle,CBS_final_fft,CBS_fft_absolute,CBS_fft_angle,CenturyLink_final_fft,CenturyLink_fft_absolute,CenturyLink_fft_angle,Comcast_final_fft,Comcast_fft_absolute,Comcast_fft_angle,Discovery_Class_A_final_fft,Discovery_Class_A_fft_absolute,Discovery_Class_A_fft_angle,Discovery_Class_C_final_fft,Discovery_Class_C_fft_absolute,Discovery_Class_C_fft_angle,Dish_final_fft,Dish_fft_absolute,Dish_fft_angle,Electronic_Arts_final_fft,Electronic_Arts_fft_absolute,Electronic_Arts_fft_angle,Facebook_final_fft,Facebook_fft_absolute,Facebook_fft_angle,Interpublic_Group_final_fft,Interpublic_Group_fft_absolute,Interpublic_Group_fft_angle,Netflix_final_fft,Netflix_fft_absolute,Netflix_fft_angle,News_Corp_Class_A_final_fft,News_Corp_Class_A_fft_absolute,News_Corp_Class_A_fft_angle,News_Corp_Class_B_final_fft,News_Corp_Class_B_fft_absolute,News_Corp_Class_B_fft_angle,Omnicom_Group_final_fft,Omnicom_Group_fft_absolute,Omnicom_Group_fft_angle,Take_Two_Interactive_final_fft,Take_Two_Interactive_fft_absolute,Take_Two_Interactive_fft_angle,Twitter_final_fft,Twitter_fft_absolute,Twitter_fft_angle,TripAdvisor_final_fft,TripAdvisor_fft_absolute,TripAdvisor_fft_angle,TwentyFirst_Century_Fox_A_final_fft,TwentyFirst_Century_Fox_A_fft_absolute,TwentyFirst_Century_Fox_A_fft_angle,TwentyFirst_Century_Fox_B_final_fft,TwentyFirst_Century_Fox_B_fft_absolute,TwentyFirst_Century_Fox_B_fft_angle,Verizon_Communications_final_fft,Verizon_Communications_fft_absolute,Verizon_Communications_fft_angle,Viacom_final_fft,Viacom_fft_absolute,Viacom_fft_angle,The_Walt_Disney_final_fft,The_Walt_Disney_fft_absolute,The_Walt_Disney_fft_angle
0,(39689.624899999995+0j),39689.624899999995,0.0,(38853.840000000004+0j),38853.840000000004,0.0,(60558.11+0j),60558.11,0.0,(30615.974999999995+0j),30615.974999999995,0.0,(57245.40000000001+0j),57245.40000000001,0.0,(37814.199199999995+0j),37814.199199999995,0.0,(36171.244999999995+0j),36171.244999999995,0.0,(62726.869999999995+0j),62726.869999999995,0.0,(76023.9281+0j),76023.9281,0.0,(118294.88779999998+0j),118294.88779999998,0.0,(22614.18+0j),22614.18,0.0,(266076.83720000007+0j),266076.83720000007,0.0,(15427.0725+0j),15427.0725,0.0,(15508.235+0j),15508.235,0.0,(81317.89500000002+0j),81317.89500000002,0.0,(49496.4942+0j),49496.4942,0.0,(30936.06+0j),30936.06,0.0,(70953.06099999999+0j),70953.06099999999,0.0,(32826.539500000006+0j),32826.539500000006,0.0,(32391.330999999995+0j),32391.330999999995,0.0,(51979.24500000001+0j),51979.24500000001,0.0,(55693.92279999999+0j),55693.92279999999,0.0,(105561.79999999999+0j),105561.79999999999,0.0
1,(2731.912132412954+8724.351836225329j),9142.081757536047,1.2673317820933736,(-346.6130254679441+1733.033726467951j),1767.3557894491516,1.7681953710691634,(2470.9283610805574+1418.6176330342328j),2849.2039158943853,0.5211751937698667,(-501.277501737738-3710.9602714604207j),3744.6635723527993,-1.7050638835488752,(-5234.287516384663-1362.9266151832499j),5408.820089682702,-2.886864604448597,(6358.548676690032-5353.551896623435j),8312.13926637884,-0.6997994282471943,(5952.360773036927-5079.242590666197j),7824.915594894696,-0.7064158220994894,(-24.36321898800259-3240.9883859146153j),3241.079956445518,-1.5783134040541504,(991.7750443451968+14435.364569757332j),14469.394182217555,1.5021995866176192,(4258.22037055154+21095.662016146114j),21521.1383672809,1.371619777249354,(-746.4958492156059+1014.4819379856905j),1259.5354919157026,2.20517292662022,(48861.871094132366-84612.58677373985j),97707.58561832987,-1.047102080030829,(970.484315016466-924.611228400299j),1340.4274427871464,-0.7611966764132808,(877.4364857566723-695.123257187319j),1119.4155301851617,-0.669979370727143,(-1354.6238666936847+2897.8641854353364j),3198.847082535355,2.0080714277573395,(8611.74696300194+12974.144794126521j),15572.110290314973,0.984807200446537,(3867.3708170207046-7586.178854480771j),8515.084653044536,-1.0993460978949559,(-1644.810177303442-11741.501890853677j),11856.14891827365,-1.7099757907751134,(1367.687999887521-1720.751793678538j),2198.0803444106027,-0.8992218907770049,(1115.7796860623696-1541.8675657524611j),1903.239317098315,-0.9443705114349168,(-244.87145274326662+452.3329904183693j),514.3609263828488,2.066975905361278,(3940.386143083661-11027.017634321146j),11709.900121872743,-1.227598226216054,(-3146.528254659356+1928.3381080873062j),3690.4102639776224,2.591780873914385
2,(1564.3006306765785+4993.476325522861j),5232.766216514209,1.2672111566987283,(-384.05519413545926-651.5855927999191j),756.3479205278793,-2.1033973749683503,(-2026.9816398121316-149.81523849817336j),2032.5105593383132,-3.0678162934446376,(-1658.4652080798166-2542.1616022329345j),3035.30763816104,-2.148845549168484,(-827.6935694620076-3425.8671301843992j),3524.4350240296176,-1.8078547392903137,(3002.1780784760026-6076.113948850778j),6777.332361209745,-1.1118837932380508,(2550.578833570801-6004.11774805425j),6523.410328866293,-1.1690909150409037,(-4330.949962956016+957.9529240877937j),4435.628634860798,2.9239097483794505,(-100.87685157321836+11255.830028605766j),11256.282058124103,1.5797582736802689,(1997.5642584054003+11407.541593776807j),11581.116879653991,1.3974448112924944,(-410.9002627335542+165.3893591667413j),442.9364130889322,2.758928767793951,(-27721.71321812539-3932.762015667937j),27999.28571981558,-3.000667285155849,(123.55101931153047-145.48595519884074j),190.86911099766058,-0.8667495306847858,(187.12309428829232-101.6093760681972j),212.93078152534326,-0.4974593890064424,(-1537.6236009776721-846.7519947656285j),1755.3561686800529,-2.6382208176604753,(2538.5498946170515+9919.594172290062j),10239.266776014345,1.3202605800479394,(-285.75849291841064-1429.7375139944395j),1458.0148405273526,-1.7680647689833804,(1120.413307834041-6137.633613576864j),6239.060214077134,-1.3902363644594755,(-301.9895348991962-136.39607862655515j),331.36319870096355,-2.7173605435731654,(-141.5843271501935-121.62098471680268j),186.6488296723496,-2.4318965813196542,(52.574299331427994-988.4741222978348j),989.8712781986684,-1.51765906558531,(-1663.1813609647184-5881.1068166937475j),6111.758309097482,-1.8464002623680777,(-1793.9260974546632+5250.499502543247j),5548.505733018198,1.9000289651555928
3,(-588.1293478300513+2952.3022956393474j),3010.3131024224645,1.7674325493820346,(14.527307676011269+214.91713301086102j),215.4075595932548,1.503304068344966,(453.6384354212442-461.0940657636898j),646.8350389194483,-0.7935485956174456,(-797.5488779898848-150.24489852499295j),811.5773175216946,-2.9553915282990726,(2155.2485625750264-590.258942848339j),2234.6145050308246,-0.2673157955121615,(1117.681558981821-6020.248423497942j),6123.120376729294,-1.3872325406822903,(709.6415350316502-5676.832816706298j),5721.015813391503,-1.446434839715555,(-93.70470484447836-1328.8807956190894j),1332.1804459889115,-1.6411938070640448,(322.43147967586606+5435.89659752409j),5445.450750678032,1.511550509004658,(-1156.7274799679183+8570.780125599282j),8648.48486292718,1.704947488653089,(-132.34605682309342+112.50889002963773j),173.7058694814962,2.437033926571663,(23207.058477065402+1856.154617075466j),23281.16992593851,0.07981242838325714,(256.1487291062761-76.51885564407792j),267.3336991324507,-0.2902896220633468,(219.39801960842175-35.593019632938564j),222.2664033422239,-0.16082919001242915,(480.7358645007967+518.9799990879707j),707.4229363476127,0.8236345226237329,(-15.097394637335185+7026.546084991785j),7026.562304273564,1.5729449459346583,(2154.0141926842643-684.1833063250589j),2260.0628174763488,-0.30755320630634203,(129.12622061511718-4160.012275766276j),4162.01582353749,-1.5397664244463467,(400.6663699383898+121.40706298335627j),418.6564402249788,0.29421858977444515,(422.5699028581181+91.37616742712365j),432.33658967890875,0.2129602834568571,(330.8372601996821+842.5650281693989j),905.1901012663209,1.1966379529323719,(745.2306636777072-3635.3366791912704j),3710.9353959829227,-1.3686012555647091,(369.9734121177506-5.445300243121878j),370.01348214462223,-0.014717022697326946
4,(-703.2200919266171+2042.5979937491531j),2160.2604152641748,1.902363890343102,(-100.1114883301439-200.61378845107208j),224.20571404932576,-2.033664400070832,(417.36708814539884-1899.3454286212602j),1944.6614984339685,-1.3544915594059743,(-58.456071417924505-1077.0804616152093j),1078.6655798155655,-1.625015839711724,(-365.3392479657338+705.6330961637991j),794.6010524193114,2.0485403357427585,(-401.20101053328295-4217.647467371769j),4236.686489449087,-1.6656353177355387,(-464.48040376950007-3842.61302267668j),3870.5835332066263,-1.6910889104200582,(-145.9731210802889-937.5965150497894j),948.8916572040407,-1.7252450348739348,(-1937.2245861510082+3029.9950134151673j),3596.346601553961,2.13964761953158,(-1040.9811796041756+5661.192615284236j),5756.104902070399,1.752645124742886,(287.5621267291467-87.23723981282966j),300.50343215868764,-0.2945441260449457,(-2339.471065248915-26742.26162329067j),26844.39758299042,-1.6580563447355536,(-87.79187465015235-23.090312533937695j),90.7776172164867,-2.8844054317441348,(-62.22415998640833+1.8699130148439382j),62.25225024605313,3.111550457305918,(956.6921521893647-948.9274256134769j),1347.4877116850228,-0.7813235392201815,(-430.41945806275965+5116.130181317373j),5134.203827475647,1.6547285673492926,(1107.7654070074914-715.7728238099286j),1318.8915543998726,-0.5736577177259105,(-1946.2484318206855-2202.944892507941j),2939.532132464502,-2.294406645931877,(761.7725585730919-62.09902117188019j),764.2994958950977,-0.08133925206395165,(682.2546982307904-49.19424392782413j),684.0259840778106,-0.07198081937063552,(-41.45445220975366-12.624134663865842j),43.33405570705527,-2.8459848667093333,(347.9981144593549-3606.8840080015066j),3623.632836649469,-1.4746123906060913,(471.1577099498158+530.0242708720579j),709.1652243015102,0.8441276118411158
5,(613.0021647159969+1040.2387707830815j),1207.422193843891,1.0382891476988436,(101.80434009711058+540.7093297418818j),550.2096899660376,1.384695710731689,(-922.2848271015467+601.7664590981575j),1101.241196830769,2.5634805197767814,(137.21790934999197-343.1181149918601j),369.5386251556797,-1.1903636588725013,(-767.9989341914895-392.2587320075571j),862.3742086562193,-2.6693786920807816,(-883.3452544828103-1730.2741720091701j),1942.7165384943116,-2.042827079408353,(-925.6622865089312-1459.912195579177j),1728.6394324629287,-2.1358794763077573,(56.47271016742192-1156.355960211079j),1157.7341118362801,-1.521998309710042,(815.6436379556853+1825.8406026785472j),1999.7420960031684,1.1506715138543597,(656.4254455145093+3865.293685873332j),3920.636382473025,1.402575769951605,(118.67779467584391+163.46210781828802j),202.00069218079275,0.9428157332250527,(-14139.458557241178+14897.155262758713j),20538.975709968607,2.330105883497436,(-14.549743269526857-50.673379466753296j),52.72083474102735,-1.8504024644271138,(-17.32710261309076-32.95674337217933j),37.23406261293901,-2.0548333471760802,(178.86863635192893+179.75063215935302j),253.5828835550334,0.7878575795709495,(-629.038357600895+3061.2710842000347j),3125.2311764559895,1.7734581467174269,(1016.5908803241186-997.0033727291674j),1423.8935153976583,-0.7756708363723803,(-784.9009586021945-1435.4863881516083j),1636.059499340777,-2.071167070827052,(218.8949182905592+812.3494200052035j),841.3242926697296,1.3075887376079554,(250.8285628623877+786.9906966676313j),825.9959591844348,1.2622561990061067,(-227.82183167567942+752.6175852382921j),786.3434469733817,1.8647338044603676,(154.87679441384708-1026.2049270922955j),1037.8262734371358,-1.421004890489158,(179.85680530955176+2306.655636450346j),2313.6569960960737,1.4929807961802248
6,(260.43493677768845+2440.465162371698j),2454.3220173897957,1.4644833921781097,(-187.55401029106162+133.80612983469968j),230.39224630529594,2.521911883249033,(141.57593225241362-132.5656192197693j),193.95202497592254,-0.7525426164032313,(238.45894470456253-227.13148444704444j),329.31957053405074,-0.7610737241707831,(81.92980578095029-1105.8248463285172j),1108.8557542948465,-1.4968421310325952,(-171.52419116227384-890.605788671421j),906.9725568995548,-1.7610594626959737,(-160.91303777517408-651.7730608538717j),671.3427802403622,-1.8128411492573966,(-435.98024369065064+94.70605578713746j),446.1479686060618,2.9276902333652335,(371.19497127109327+3117.922418500447j),3139.940431677745,1.4523020252946357,(5.629760146727488+3803.9372020052365j),3803.9413679759496,1.5693163454657129,(23.779769949519412+516.8392668839999j),517.3860311721245,1.524818761230474,(24768.067254227455+4136.730424603918j),25111.14681004788,0.16549117795783594,(34.97599081426433+334.4090405322843j),336.23314280891833,1.4665847739261881,(63.51440178216715+358.1710106883722j),363.7589203459849,1.3952909661723938,(154.35970973980494+258.25244089474256j),300.86748448286886,1.0320633690021304,(-674.7295584279639+2487.352613529612j),2577.243294888743,1.8356860284467786,(1603.372774188705-224.57086521045215j),1619.0232631160538,-0.13915630119434674,(877.1613475285744+195.12934249980577j),898.6030769491895,0.21889120920363425,(-191.62797311840436+244.2459948014703j),310.44707448779053,2.236057391659373,(-145.99586457824628+320.334650740189j),352.0356245307973,1.9984303072127054,(-80.35212211784571+160.28798521694773j),179.30059044450925,2.0354821740157463,(-36.80831633083817-371.80683569319604j),373.62437717485506,-1.669473289947591,(-670.8975522978554+1719.7310471040794j),1845.9627298656242,1.9427545737828735
7,(190.29883535118393+1094.806465947543j),1111.2222300766691,1.3986962020382745,(-81.7861602729276-63.62373169233588j),103.6192802843532,-2.4804559859800093,(500.644643664859-529.1470133955598j),728.4515227630144,-0.8130689011595529,(-45.740183771145325-116.47461630674847j),125.13393087097688,-1.9449982804761718,(1191.0209221662965-109.57658352248515j),1196.0509456935,-0.09174396111586063,(408.11753797043747-619.8489754684439j),742.1406047295425,-0.9885285584410125,(423.2198935209567-427.88804752072315j),601.8332489012107,-0.7908829050674817,(321.988874385832-264.9337307308484j),416.97328080732075,-0.6884919729604425,(603.1201769370374+2663.397600311803j),2730.83150801642,1.3481044006401977,(-363.8120628469726+2389.9648257265444j),2417.4968635518603,1.7218614639782714,(301.6787875463417+222.47430754551928j),374.8398436309687,0.6354233671373333,(1705.4005089792072-19292.544292425308j),19367.7736503507,-1.4826286289500956,(47.83009326977453+14.659669743828545j),50.02623051153717,0.2974045262384023,(57.486229748956674+13.807276006629484j),59.1211255091873,0.23571900820361616,(469.2150870383223+258.13795171093466j),535.5352462890722,0.5029571750471947,(-490.0519687385959+2166.8700305086177j),2221.593270871379,1.793211369005392,(1263.3989782252743-1625.5424070471067j),2058.777573048912,-0.9101027429639793,(1074.5276699942665-2507.060980260667j),2727.6298268513056,-1.1658799533565352,(168.60059766997142+286.7240251500611j),332.6211480542457,1.039229278093306,(188.12869313709797+273.118516342068j),331.6415672836637,0.9676151881243122,(-15.514705015363752-119.44224678474295j),120.44565740906225,-1.699966052107618,(184.2994433921154-1926.3135337046267j),1935.1098457111548,-1.475411971484513,(397.7093473147573+235.6330791986164j),462.27229308509465,0.5348684736840924
8,(-3.554686209077053+1151.8526975111663j),1151.8581824850642,1.573882376714437,(265.54025162565944+365.8395099756864j),452.0510726595711,0.9429390103818182,(-239.4796324895377+44.75630127019177j),243.62598564338782,2.9568342422891165,(-63.64557649766617-246.68425802459268j),254.76240414328032,-1.8232940587434336,(-141.45313898834405+704.8148433338964j),718.8692189219405,1.7688605083749682,(537.56253100677-727.0283331836512j),904.1812163467026,-0.934115778756696,(607.7691625912512-638.3380204727066j),881.3959288412242,-0.8099247277744708,(-296.24901606973236+207.72383170843733j),361.81855920049173,2.530075302634013,(641.1241852392509+2434.189615602338j),2517.204661048631,1.313262089241609,(-67.60568618048366+1731.1897488091736j),1732.50930017299,1.6098280683127466,(-25.833097396087616+271.7767821053565j),273.0017732774243,1.6655642299060418,(-3652.063299975142+5669.230737033802j),6743.718818037579,2.143076533009342,(-48.07206743964079-91.81029193027788j),103.63422876754677,-2.053146892432289,(-56.89538300660843-90.02902448796456j),106.50028102180383,-2.134390022935955,(-117.05473206626192+162.57804870983637j),200.33330282657025,2.1948134532550103,(61.566286802759635+1976.1177697504263j),1977.0765912311233,1.5396512302449705,(-429.0789969793657-1568.7851478629807j),1626.405738370439,-1.8377771083062096,(268.11521045803937-1053.9207786126908j),1087.4901257807076,-1.3216827860007625,(-114.34576621595059+535.3794852429488j),547.4542423532013,1.7812137871825886,(-122.38792387935707+530.097065101237j),544.0420042059661,1.7976987531128323,(149.59300303875872+203.91556725658722j),252.90240237635115,0.9378723725697083,(39.6134193912216-319.02214658782015j),321.4721652170922,-1.4472572897545655,(-760.0562359081514+1303.7548474649245j),1509.1262982372139,2.098603235018892
9,(336.85170622815883+1088.7579313024992j),1139.6766668502603,1.2707465253705397,(-170.93097101242574+260.3986835867655j),311.48815589837625,2.1516716772075735,(73.1662128388863-323.9026399768017j),332.0635705480606,-1.3486353851206925,(52.40162272934546+101.1412819708242j),113.91000387749278,1.0927712599346877,(-801.3217440867451-523.8249072398379j),957.3448025612547,-2.562620002357254,(768.2220502709213-1357.2030032380287j),1559.5400317147305,-1.0557268940478235,(779.7816287282712-1285.2883849457928j),1503.338159223892,-1.0254665265370173,(-72.23193843507833-852.5424155023142j),855.5968812242185,-1.655319796357138,(472.38608803538057+1782.710894228814j),1844.2360880786027,1.311767525416424,(-106.18398347157314+2534.1132273084077j),2536.3369033244235,1.6126736600811626,(115.14311129794362-9.453150796828005j),115.5305073967833,-0.08191542894150713,(11235.731310818252-7346.318903518482j),13424.234038525052,-0.5790667377882468,(-39.18293543939248+25.405365723165296j),46.69834083964206,2.566358301321328,(-51.832347521986165+65.49697033143065j),83.52511821144734,2.240252971799724,(174.67037671163783+41.16648795806275j),179.45590051984024,0.2314572165043025,(-25.680519537716023+1455.944624873525j),1456.1710887741992,1.5884328882523187,(-487.5141702964158-455.26349508447714j),667.0344190492245,-2.390389301267863,(472.85811137488815-1705.8639893877942j),1770.1883356815642,-1.3003899671020842,(191.87625030692027+70.7252392151253j),204.49585544426228,0.3531463491299641,(198.68298541251463+99.42823790152732j),222.17313785566475,0.4639968288194753,(-263.76388552267+319.87965646175826j),414.6014736154572,2.2603417949534346,(590.4811909847356-1023.4601662218903j),1181.5831535485308,-1.047500848739129,(35.10607125667839+154.49595358319556j),158.43432681290975,1.34736062722608
