,Anadarko_Petroleum_final_fft,Anadarko_Petroleum_fft_absolute,Anadarko_Petroleum_fft_angle,Apache_Corporation_final_fft,Apache_Corporation_fft_absolute,Apache_Corporation_fft_angle,Campbell_Soup_final_fft,Campbell_Soup_fft_absolute,Campbell_Soup_fft_angle,Cabot_Oil_Gas_final_fft,Cabot_Oil_Gas_fft_absolute,Cabot_Oil_Gas_fft_angle,Chevron_final_fft,Chevron_fft_absolute,Chevron_fft_angle,Cimarex_Energy_final_fft,Cimarex_Energy_fft_absolute,Cimarex_Energy_fft_angle,Concho_Resources_final_fft,Concho_Resources_fft_absolute,Concho_Resources_fft_angle,ConocoPhillips_final_fft,ConocoPhillips_fft_absolute,ConocoPhillips_fft_angle,Devon_Energy_final_fft,Devon_Energy_fft_absolute,Devon_Energy_fft_angle,Diamondback_Energy_final_fft,Diamondback_Energy_fft_absolute,Diamondback_Energy_fft_angle,EOG_Resources_final_fft,EOG_Resources_fft_absolute,EOG_Resources_fft_angle,Exxon_Mobil_final_fft,Exxon_Mobil_fft_absolute,Exxon_Mobil_fft_angle,Halliburton_final_fft,Halliburton_fft_absolute,Halliburton_fft_angle,Helmerich_Payne_final_fft,Helmerich_Payne_fft_absolute,Helmerich_Payne_fft_angle,Hess_Corporation_final_fft,Hess_Corporation_fft_absolute,Hess_Corporation_fft_angle,Kinder_Morgan_final_fft,Kinder_Morgan_fft_absolute,Kinder_Morgan_fft_angle,Marathon_Oil_final_fft,Marathon_Oil_fft_absolute,Marathon_Oil_fft_angle,Marathon_Petroleum_final_fft,Marathon_Petroleum_fft_absolute,Marathon_Petroleum_fft_angle,National_Oilwell_Varco_final_fft,National_Oilwell_Varco_fft_absolute,National_Oilwell_Varco_fft_angle,Newfield_Exploration_final_fft,Newfield_Exploration_fft_absolute,Newfield_Exploration_fft_angle,Noble_Energy_final_fft,Noble_Energy_fft_absolute,Noble_Energy_fft_angle,Occidental_Petroleum_final_fft,Occidental_Petroleum_fft_absolute,Occidental_Petroleum_fft_angle,ONEOK_final_fft,ONEOK_fft_absolute,ONEOK_fft_angle,Phillips_SixtySix_final_fft,Phillips_SixtySix_fft_absolute,Phillips_SixtySix_fft_angle,Schlumberger_final_fft,Schlumberger_fft_absolute,Schlumberger_fft_angle,TechnipFMC_final_fft,TechnipFMC_fft_absolute,TechnipFMC_fft_angle,Valero_Energy_final_fft,Valero_Energy_fft_absolute,Valero_Energy_fft_angle,Williams_Cos_final_fft,Williams_Cos_fft_absolute,Williams_Cos_fft_angle
0,(72797.97999999998+0j),72797.97999999998,0.0,(63059.575+0j),63059.575,0.0,(54209.33000000001+0j),54209.33000000001,0.0,(28847.63000000001+0j),28847.63000000001,0.0,(114417.13500000002+0j),114417.13500000002,0.0,(122018.33999999998+0j),122018.33999999998,0.0,(129157.53+0j),129157.53,0.0,(59194.75+0j),59194.75,0.0,(50908.94000000002+0j),50908.94000000002,0.0,(89986.54090000002+0j),89986.54090000002,0.0,(103033.45000000003+0j),103033.45000000003,0.0,(92086.87999999996+0j),92086.87999999996,0.0,(50118.45500000001+0j),50118.45500000001,0.0,(74368.11999999997+0j),74368.11999999997,0.0,(65802.06999999999+0j),65802.06999999999,0.0,(28688.05+0j),28688.05,0.0,(22578.374999999993+0j),22578.374999999993,0.0,(67710.02999999998+0j),67710.02999999998,0.0,(50172.87499999999+0j),50172.87499999999,0.0,(36453.93500000001+0j),36453.93500000001,0.0,(44963.40999999999+0j),44963.40999999999,0.0,(80626.65999999999+0j),80626.65999999999,0.0,(52373.24999999999+0j),52373.24999999999,0.0,(87005.8646+0j),87005.8646,0.0,(86658.52000000002+0j),86658.52000000002,0.0,(39347.369999999995+0j),39347.369999999995,0.0,(66181.89000000001+0j),66181.89000000001,0.0,(38829.44+0j),38829.44,0.0
1,(4762.542077051814-10327.037193701472j),11372.313055653303,-1.138690566484592,(4850.279968437085-5906.881797917414j),7643.066684701246,-0.8833072061373988,(-3188.9582922294617+3482.563366917209j),4722.044323613743,2.312214156849944,(2362.8161642296377-2192.3852777920047j),3223.267508635295,-0.7480010406895942,(7778.4605320287055-110.7948385188006j),7779.249561787479,-0.014242837136352557,(1288.1692922283444+713.4453607547963j),1472.5435165802792,0.5057899805753543,(6179.575399709714+4536.664836886619j),7666.060263456123,0.6332722904667649,(5154.690475064045-6999.844960448187j),8693.023833168058,-0.9360557565431508,(4128.334927297433-7604.403363846551j),8652.7509956097,-1.0734302247308567,(3118.136724569994+8732.92040518479j),9272.900055344335,1.227849918185962,(11339.41760497173-813.3443093769943j),11368.54962541567,-0.07160453913264826,(2039.8227317553942-1967.460587416666j),2834.0391564027427,-0.7673424695876884,(4212.476344087939-1028.5349735230943j),4336.224295543375,-0.23947843735612803,(6430.146191293269-5458.963407925901j),8434.871755425645,-0.7038923755006562,(3771.812977372661-8793.825822637591j),9568.591627568005,-1.1656134368054563,(960.621843074458-5826.32158289044j),5904.98243118866,-1.4073902157910823,(3183.7202661881574-5017.528565751681j),5942.362126416675,-1.0053807189294517,(8605.406178782598-11277.786474824781j),14185.960780770913,-0.9190014965702259,(6758.783847390847-8811.968218642925j),11105.491568684583,-0.9165033973695609,(-1835.1793726263595+669.1948021097562j),1953.3829662623748,2.791928300261991,(4369.627998350441-6636.641382416842j),7945.983745438686,-0.988532001429128,(2986.468600500231-5479.040637556539j),6240.102644169387,-1.0717449080102932,(7211.068804571795+363.90644330548133j),7220.245231551886,0.05042220542341135,(1394.620833928569+1405.952450581322j),1980.320570948866,0.789444318831879,(1928.9256330295145-5312.868270051195j),5652.19632998316,-1.2225285350631678,(3766.9946275471943-5272.74509578946j),6480.1303512461245,-0.9504528953447607,(1781.9511551638727+3261.7237236276706j),3716.7447543065714,1.0707813656023488,(2458.568558835082-7027.758414814067j),7445.397752671266,-1.2342668990050825
2,(-4294.422528250852-5669.178875119696j),7112.078034530546,-2.219082370064834,(-2515.765783566808-8421.825438553184j),8789.55181992956,-1.8610781876692692,(-123.72756445312807-819.3547791270785j),828.6439309401153,-1.720670083486136,(-195.01344653207315-927.3198291500343j),947.6034560211177,-1.7780738563510345,(-1498.1732997123813-3404.4820617403857j),3719.545851939878,-1.9853527113386213,(-3902.351253950539-5120.32400772348j),6437.861698831281,-2.2220153851391866,(-1423.602848039728-2078.393607356719j),2519.199288672514,-2.171352386375494,(-1407.4195478855177-2620.559445629604j),2974.58595301074,-2.0636570301282546,(-3369.4779448750287-3835.6338666398383j),5105.435219441504,-2.291586591377736,(-538.3295142889813+1296.266054837338j),1403.6040577307288,1.964415950900287,(2614.0389647695647-3939.5933986059326j),4727.9589524099065,-0.9849683083936502,(-519.7976916977763-4010.2756460832966j),4043.822498313092,-1.699694136373702,(-1363.072061751398-3664.31201042088j),3909.6224824453216,-1.9269218021106311,(-667.3007050394958-8305.033902237257j),8331.799226352998,-1.6509730279691666,(-1709.1648855563135-6483.190242636083j),6704.699868616823,-1.8285617268903311,(-2779.8179399187948-586.5195599970218j),2841.0197066112496,-2.93365047518495,(-1202.5886248867776-2689.3263291885323j),2945.9625770830385,-1.9912951283706268,(-3641.051428663967-769.8703085188231j),3721.5528745558327,-2.9332200002838724,(-1363.9265765762061-5939.299512202761j),6093.896487629475,-1.796526907294234,(-1177.0482593738354-2106.9411271333097j),2413.4298245651885,-2.0802583723720214,(-727.2282561603593-6209.799019383253j),6252.236783559245,-1.6873751038075846,(804.5658151436444-5414.745782946248j),5474.193826019676,-1.4232876714301639,(-2411.0207752287165-3021.7434149701994j),3865.741124868586,-2.244249747368349,(2209.1018596859003+1337.1319897397304j),2582.257342801649,0.544295069415889,(-2150.5109650024674-5453.852756967696j),5862.525676300274,-1.9463882903576395,(-1255.7326747758766-3569.6223226441107j),3784.054449505043,-1.909058737123674,(2540.022813777319+4888.709007583002j),5509.191560958144,1.091616170482644,(-3333.3914228162294-49.127677370711595j),3333.7534261532674,-3.126855674160918
3,(2182.895862877794-4509.040604302919j),5009.638861177662,-1.1199369833700985,(-92.40712040860862-3273.4008188508205j),3274.7048717030107,-1.5990185306586426,(-643.1574254655598+172.2009315391396j),665.8112606095173,2.879985608025249,(884.7512680300397-21.556139757786795j),885.0138266953915,-0.02435924847755485,(413.0061663481379+890.0370145428527j),981.1931413834587,1.1363343819308944,(2603.7786273097936-2369.1626939076623j),3520.3117774195916,-0.7382546159280949,(3478.5817715505073-313.93982568008056j),3492.7194785026045,-0.09000553851916758,(220.3752347293925-1622.9087445978514j),1637.802807841716,-1.4358315442300091,(2126.3767736077752-2476.364913745911j),3264.0253322194676,-0.8612911762394031,(2221.8314497175015+2045.8517606240698j),3020.2722422659817,0.7441860960647517,(5896.858139251764-3321.9993799556796j),6768.206246479616,-0.5130354827235127,(-18.49985944700111-81.65965361413106j),83.72899036736717,-1.7935840174079893,(285.6050411803328-2386.0317578242452j),2403.0642498471566,-1.451664375714299,(1268.147013168875-4594.504544490366j),4766.305577315807,-1.3014877668691693,(19.310803862303963-2519.236664841956j),2519.310675686869,-1.5631311376019101,(1223.0141374245004-589.3845363703094j),1357.6220799812588,-0.44907234880493674,(581.0863420643002-1449.0255731014397j),1561.1971203008366,-1.1894120742956502,(2419.3802702853272+491.50843805010567j),2468.8016195961063,0.20042706293093,(-268.4412707498905-3252.5632586585266j),3263.621985986917,-1.6531419190071164,(789.4427214866904-877.2311809294641j),1180.1501410003789,-0.8380223789608923,(242.92401553782136-3285.251983191001j),3294.2211022312126,-1.496986853561984,(404.43666347506263-1338.7734503179154j),1398.5290007858173,-1.2774186937553929,(1075.0038466790058-526.2589551580115j),1196.905074873802,-0.45524582763144905,(224.9189098488014+476.32885358554756j),526.761514127309,1.1296411535284208,(473.45321496325835-2936.644552539183j),2974.5653757678792,-1.4109492944741027,(-115.29073096036635-2515.9624294477367j),2518.602568695175,-1.6165880027071902,(1135.8383039254966+696.3712350239903j),1332.3143584129034,0.5499890256550861,(1014.6734848694982-1982.1623501206918j),2226.775665201413,-1.0976722718475191
4,(-1818.7671521292107-377.797534006949j),1857.5911634065046,-2.936783458812327,(-1777.0336160866218-1583.4281177245064j),2380.145599895617,-2.4137436403259334,(380.55212390305735-878.2450089974305j),957.1490034660354,-1.1619083543465893,(-697.3691922166138-1065.4373125714399j),1273.3736518682583,-2.150355083199947,(-379.04608203453733+341.710261822711j),510.3350226475535,2.4079491218225315,(-3869.205524252649+2236.7892610398776j),4469.225613818409,2.617431462665857,(-2926.2840679880187+1686.8328509449257j),3377.6535514447737,2.6186753964719154,(-664.2018313832543-118.54930360293555j),674.6984587188635,-2.9649686657985392,(-1637.0478896764341-942.6158696845089j),1889.034269375532,-2.6191556653716153,(-783.2273226922779+2670.75712723245j),2783.2334921229017,1.85605859727645,(2563.2141100247-1886.6640530547284j),3182.698198528822,-0.634515774150729,(-639.2930298372594-902.9028575971979j),1106.313313783979,-2.186899154814248,(-1363.6007301884094+65.8648214849268j),1365.1905090790826,3.093328034312216,(-1197.967966345035-1629.2151349769442j),2022.243606598078,-2.2048252858023947,(-1415.2657222538567-1209.516724025032j),1861.6948649773346,-2.43442159617568,(-507.34810558508104-797.0322829790815j),944.8082135288712,-2.137655685373837,(-596.4983774614321-509.86559416905j),784.7122010211639,-2.4343390885227714,(1983.5959729708466-1883.34256446893j),2735.257245512123,-0.7594781869261273,(-530.860577680943-1038.2344908188093j),1166.0805336088656,-2.043451630749692,(-1830.1712217878244+496.50723423672224j),1896.3243748656867,2.8766788186435925,(-633.1237462852331-1784.3233543754554j),1893.318650169571,-1.9117637070417872,(-1280.704824193275-481.359419072118j),1368.1782548488975,-2.782072531602922,(-1451.164995026673+101.98532279880678j),1454.7442554817464,3.0714297733718197,(-588.3194795120244+1828.1340732334986j),1920.4671305936488,1.8821440735399066,(-1560.6268606726503-888.926168654094j),1796.0361721221036,-2.623829420638522,(-542.3615416757771-186.6213017671107j),573.5708780631882,-2.8101923428003976,(1232.9408594224956+2461.317714713798j),2752.858161184015,1.1064072757128467,(-2517.0576000391234+487.3009421066148j),2563.794291688143,2.950358984881552
5,(-612.1600083250298+1549.0179207918725j),1665.5919052177446,1.9471513062540358,(-1331.8036004249936+486.0305846349874j),1417.718787103283,2.7916693018875627,(3.514697975159436+796.9044158858162j),796.9121665278868,1.5663859168183702,(30.67147224383579+273.8977385892647j),275.60970667579465,1.459279440143973,(-1680.2285013714984+1963.1851371770385j),2584.0401892489867,2.2786875605117616,(-2011.7544801357635+2664.489852607391j),3338.6617473164415,2.2175052151482477,(-1340.0511913261423+4130.455639819222j),4342.395765921046,1.884514229896331,(-680.1152589065869+929.5876911987641j),1151.8203162932239,2.2024373149972387,(-1082.864810539322+349.15924926146437j),1137.7646414127973,2.829677659043066,(-1223.8821671486894+4850.715691566016j),5002.732281410764,1.8179475530996725,(1392.0252994845732-1820.9801199835133j),2292.095772820212,-0.9181191342606664,(-459.88689315574834+159.98120954555057j),486.91882475840265,2.8068159525294947,(-630.5397918643284+1866.1337306630464j),1969.7805791109552,1.8966383475876916,(-1551.8617016868905+2157.9684422814494j),2658.0260606407073,2.1942467386478333,(-298.4341769765419+995.774424632811j),1039.5333870253864,1.8619784054147008,(221.95948776984181-226.99651534735466j),317.4798138321433,-0.7966171162846739,(-115.74905266302493+295.15029252656973j),317.03554748782886,1.9445344226284165,(-1726.398853149189-1277.117842832869j),2147.4363749915656,-2.5046785338579545,(130.70505541755276-377.3339744516963j),399.33036421892456,-1.2373403514634325,(-444.4762363655482+1099.9558692788628j),1186.3650530316127,1.9548197322097336,(-748.7016759962843-65.65706770495221j),751.5750462723319,-3.05412185733919,(-277.9373011380147+462.32394243565426j),539.4372726398591,2.112078881183597,(518.9412443112234+956.8644551838437j),1088.526343568016,1.073856863974469,(-1320.2928628490008+1705.7107070559287j),2156.993801533803,2.2295080176202897,(-787.9650307542794+1390.0737013566954j),1597.871642183782,2.0864850499075573,(-155.0681692704774+350.7300729863097j),383.48105718259353,1.9870860356474935,(-1234.0487263506236+2053.0822755352533j),2395.4171012841603,2.1120031374331343,(608.3013516733341+530.7204034906823j),807.2760873015612,0.7173912893761915
6,(-548.0058587950973+400.15102864538096j),678.5508580789716,2.510887828552742,(846.3943037224158-218.85024914410127j),874.2303752010611,-0.25302600684106413,(-632.2876506562759-62.69654869678451j),635.3884877702153,-3.0427574677914397,(95.59816613850278-423.29190453520846j),433.95281519318297,-1.34867818313853,(-463.04364930846583+744.4632392993059j),876.718276205599,2.127223336672029,(-2245.5334526541847+2098.090760304144j),3073.175121183732,2.3901260861533973,(-972.2768164967296+3650.637450125098j),3777.893063620633,1.831085027664779,(-429.0287878459313+746.8493776372911j),861.3069683206785,2.0922183394749903,(-726.1133106035561+603.9752066420915j),944.4715930476752,2.447764736021702,(-691.2135680317123+4066.9844391359325j),4125.304670543128,1.739144952814302,(1018.8692906166502-2011.0906065255888j),2254.457819303155,-1.101862572282005,(-542.3010815674967-26.70160220497156j),542.9580449994173,-3.092394788205665,(-92.55144841551424+599.7772388974857j),606.8760226795101,1.7238984561960198,(-4.11246223190799+203.44280520827172j),203.48436631992067,1.591007915112273,(-345.2324995331134-151.77965699761154j),377.1240419440184,-2.7273834444541616,(-30.61683355657045-435.1359410908747j),436.21173497061255,-1.6410420933175207,(68.25400913974856+7.52911580442613j),68.66802275037006,0.10986604270351494,(345.6892174569+1437.038346020913j),1478.0325581665936,1.334725022152999,(78.7237075470802-900.2744468335825j),903.7098548491496,-1.4835740686683196,(-624.8157881842407+1254.4638997705395j),1401.45440346513,2.0329019080462705,(90.09054202089283-277.86167103852273j),292.10171857409273,-1.2572628071645378,(-198.57909033824205+58.40272665651434j),206.98921131421133,2.8555545980308814,(-127.02538444578147-39.61791260040337j),133.06023933697017,-2.839263859134512,(53.7435315871618+853.5452962496611j),855.2356049284793,1.5079142788872342,(173.4983436761857+33.16508189280124j),176.63974047573797,0.18887650065941522,(246.61518977693106-402.29005424581595j),471.86474711914354,-1.0208522260395263,(-235.39873014568138+1643.1018946453428j),1659.8784287836609,1.7130929018371261,(371.65445756976226+17.461555456719854j),372.0644322566218,0.04694878185369324
7,(1401.5370361072567-688.9101497486928j),1561.698837166462,-0.45685594831640924,(1606.4251416504467-1062.9664140339562j),1926.265644476604,-0.5845540465885651,(43.36982539994515+239.6841301612023j),243.57632070124117,1.3917874676474773,(-226.59888536626565-525.5569649799525j),572.3261118350035,-1.977872548233584,(952.3325859971029-568.9591292627551j),1109.3474861932855,-0.5385331245807525,(1067.4066469219324-900.9625811443149j),1396.8144194972176,-0.7010394724187523,(1188.0152095232152+1145.7738120649049j),1650.5083357778694,0.7673002183334926,(938.8985954727311-404.56729330825283j),1022.3528096481336,-0.40685367464134486,(476.05245214269786-1109.1322019231195j),1206.9797755281168,-1.1653637970385577,(777.6071218426273+1628.2275233719j),1804.382914961834,1.125245937325575,(1840.5863109132265-3331.593620318078j),3806.2151829429295,-1.0660631599400074,(108.66917310708769-277.237922128591j),297.7748388463284,-1.1972307703552854,(890.0074922566113-481.05400600200807j),1011.6947627439226,-0.49552460917743013,(502.040175223822-880.3666222205977j),1013.4543537125244,-1.0525296031355047,(1650.3082179825394-976.7667831991657j),1917.7045035932806,-0.5344196000528326,(302.91088637457733-370.4196381894624j),478.5036190465484,-0.8853251663664176,(337.5236815400255-821.0872857833167j),887.7536631720235,-1.1807841194523911,(768.2980383616899-1688.2887259947795j),1854.8856293775893,-1.1437300286059424,(265.7878281702131-1436.491048539843j),1460.87292470582,-1.3878396664755237,(644.4089644808726-381.563241117213j),748.9014758131959,-0.5346004149167978,(665.6165809377928-1347.9416213082773j),1503.3269927978095,-1.1121192139150757,(360.8432295313459-834.2522280156902j),908.9469820884796,-1.162560875516851,(1364.3211209606163-573.2999016543373j),1479.8800283590915,-0.39780556898814085,(488.30370052810713+557.6328743735799j),741.2117960013751,0.8515856428790546,(501.9297940646991-762.9748049976773j),913.2710831024242,-0.9889161946520053,(206.87194582751374-431.29767292069147j),478.34473409588776,-1.1235608187492117,(-15.556378695090146+1236.389842322416j),1236.4877043934378,1.5833777613348925,(429.7250076939625-224.45684295096066j),484.8138370396294,-0.48134901371721567
8,(-822.7825270524573-544.8359086092768j),986.8217945165803,-2.5566977601028826,(-1071.4103764576173-1031.468750568513j),1487.2282871773327,-2.375185987731148,(60.55913498718091+341.72053185266316j),347.0451421934365,1.395399081585246,(-158.0915647264015-125.6533721600652j),201.94482606107502,-2.4700219807338692,(-847.612692844011+904.9339167832844j),1239.9002664791278,2.3234987567402574,(-1852.4057800272178-932.4955327507798j),2073.874415792433,-2.675231130171806,(-1814.9087107210084+711.3326595973551j),1949.330085147418,2.768055075528203,(-731.3478520008624+367.03907825738645j),818.2831817862977,2.6764528597576462,(-735.047008247093-101.1977559702864j),741.9805187108511,-3.0047775299221944,(-1033.3418994209055+1452.000602813288j),1782.1619543882528,2.1893101015845313,(-751.6836103428628-2950.71658280835j),3044.955927779295,-1.8202369170377437,(-571.3472090019557+287.5215602446536j),639.6141656028612,2.675360887149399,(-653.533436388971+240.69268321829168j),696.4473563975946,2.7887138155675406,(-1327.4931047837692+344.0637441640517j),1371.3561912561731,2.8879899453412112,(-1080.6056222707439-435.18647236769357j),1164.9445379995475,-2.758739688056753,(59.821540181218396-573.5412017658279j),576.6525182400951,-1.4668700286531013,(-487.8803975524508-231.02793781409198j),539.8158856189482,-2.6993411517404797,(-1818.5906129595462-27.119827590497128j),1818.7928146419306,-3.1266812066017122,(-143.98394628709886-598.5372695821723j),615.6120855435573,-1.806870457791657,(-769.3806673470486+31.735585678529368j),770.0349074462463,3.1003677997573567,(-634.392951246364-567.9129338171049j),851.4572901724566,-2.41143200525585,(-670.4456027428931-365.37056740182146j),763.5397551934085,-2.6426219461098306,(-328.30996540987695-108.05887589271452j),345.6358691551438,-2.8236237647816043,(-1106.7484102801525+360.7396418793196j),1164.055468128931,2.826505837950206,(-220.0491134497944+51.56341768218641j),226.0097307044723,2.9114187005991465,(-612.9732636612108-12.437409127980729j),613.0994300350418,-3.121305141106535,(-356.1756561830969+1203.3498510469904j),1254.9549641609747,1.8585672199831962,(-201.43538667935587-337.32467921342163j),392.8920388772206,-2.10912187475712
9,(576.6188360057542+145.15565765756898j),594.6086502790153,0.2466117763736474,(420.48779329096095-1238.3589851882584j),1307.8008107136175,-1.2434590736726365,(-586.9543941369644+90.49165820359677j),593.8890477194605,2.9886254857127823,(337.76168462596115-44.46299618888664j),340.67567220372547,-0.1308875489780574,(594.2306331754329-272.1700179968356j),653.5951071576911,-0.4295040102930982,(841.5193400186108-60.996339677530614j),843.7270607722708,-0.07235704513994409,(328.0594054992389+995.550444763015j),1048.2097412275612,1.2524765947350756,(967.2477767163068-400.46716604335245j),1046.8725866319323,-0.3925402457583543,(714.7635106979001-745.6174136514338j),1032.875696182963,-0.8065223187400027,(428.77610663455334+1556.829382989859j),1614.7961720790865,1.3020431751150179,(108.97737232671318-2769.7992536925954j),2771.942274549615,-1.5314717470923744,(257.5304012856624-725.7901185989161j),770.1254468216091,-1.229827197296233,(-222.04367788258966+31.428633789166433j),224.25689266883364,3.000984112531624,(-138.63037988585415-205.2428865317763j),247.67524038383777,-2.1648519702333644,(339.87896429968697-797.6231331323595j),867.0180925916769,-1.1679818738446526,(208.9056261445491-0.1488573938633082j),208.90567917931247,-0.0007125579689593742,(239.69280221682283-342.51968870835657j),418.0578627264681,-0.9602094555504063,(223.65703923346584+493.64399499620424j),541.9472898672827,1.145389372594855,(419.2421845603442-633.2967737226055j),759.4924706159967,-0.9860317617837552,(163.6012092887075-118.27328936766058j),201.87601803724445,-0.625954320014197,(156.71887400418984-565.871177266612j),587.1720316314824,-1.300616724262362,(-19.417142752158085-477.32741277428767j),477.72218330160564,-1.6114527872160815,(220.2196420215109+345.2955370168987j),409.5432805160779,1.0030657022999947,(-79.45493545288525+626.4520093379172j),631.4706697633201,1.696955944434388,(346.2773986199898-112.86300254237403j),364.20611491009765,-0.31507493675489184,(668.3767769491527-348.8095867952512j),753.9201839752079,-0.4809946087570607,(-309.6805501303407+800.2540641204968j),858.0842675812222,1.940026502804392,(232.16713021095947-237.64043432573197j),332.2266581370543,-0.797047734258089
