,Conagra_Brands_predictions,Kimberly_Clark_predictions,MetLife_predictions,Raymond_James_Financial_predictions,Flowserve_Corporation_predictions,TripAdvisor_predictions,TwentyFirst_Century_Fox_A_predictions,TwentyFirst_Century_Fox_B_predictions,Verizon_Communications_predictions,Viacom_predictions,The_Walt_Disney_predictions
38,[36.97936601],[114.21298413],[55.66707632],[73.09784081],[49.52191386],[46.35746142],[27.37727927],[27.36376351],[49.84997333],[36.44845736],[98.49808044]
39,[37.16244545],[113.67915649],[55.69574418],[73.62389585],[48.73902684],[47.94608659],[27.55688821],[27.53118042],[49.79303719],[36.5757511],[100.00569713]
40,[37.55579445],[114.4123302],[55.61915532],[73.27823425],[49.47064712],[48.14616974],[27.47117557],[27.34011487],[50.31191139],[36.43211627],[100.74548936]
41,[37.73972065],[114.27671031],[56.77356797],[73.71112249],[51.08163574],[47.49223477],[28.12831695],[27.96140091],[51.39234123],[38.06091465],[102.04667709]
42,[37.64771527],[113.49012401],[57.21648138],[74.01186424],[51.05060305],[47.95724013],[28.64498985],[28.45175133],[51.12734323],[38.71136996],[103.38792129]
43,[38.4332487],[114.49267194],[57.40872138],[73.17798737],[51.6655215],[49.28944702],[28.22096814],[27.95376363],[51.45323698],[38.55237795],[104.76324704]
44,[38.60385188],[114.83204981],[56.56907606],[71.57405464],[50.8425723],[48.6912807],[26.31734683],[26.22672506],[51.74186591],[34.69299583],[103.93363662]
45,[38.35744451],[115.38283427],[56.67096984],[71.50993334],[50.44122716],[48.93858637],[26.98437748],[26.83483878],[52.42479183],[35.02159989],[103.71031042]
46,[37.73593398],[114.54729318],[56.35480223],[71.82470936],[49.06670111],[47.55936916],[27.95884788],[27.49853011],[51.60390575],[34.40322657],[103.95070728]
47,[38.48734722],[115.41421458],[57.32900889],[72.62670754],[48.92475424],[47.35347843],[28.05080612],[27.47976445],[51.81007321],[34.99892611],[104.36809257]
48,[38.43940772],[116.19665517],[54.27358374],[71.69071287],[48.17683444],[47.31025068],[28.05582027],[27.73824929],[52.26407385],[35.21239157],[104.00015568]
49,[38.31948137],[115.02743334],[53.94719254],[71.55096501],[48.56838137],[46.42322002],[28.06031778],[27.5606496],[52.97298946],[34.38171917],[105.37874333]
50,[38.21842378],[114.37150034],[54.28586038],[72.90948378],[49.13798597],[48.72036519],[28.1493623],[27.59154811],[53.08464917],[34.60669073],[105.47221266]
51,[38.03479073],[114.60221673],[54.56419398],[72.70641726],[49.4353374],[46.23920585],[28.43967037],[27.70966433],[52.95742462],[35.1716585],[105.57202737]
52,[39.3083592],[115.13288537],[54.52504492],[71.54390376],[49.10791126],[46.2780069],[28.41378245],[27.73302018],[53.65131696],[35.06440051],[105.43439288]
53,[39.72464009],[114.80169727],[54.44936777],[71.7452091],[48.69649085],[46.44951415],[28.37288852],[27.70027787],[53.70819056],[35.10725132],[105.07794835]
54,[39.73378498],[115.07780001],[54.69763177],[71.30236456],[49.38876112],[47.4028935],[28.52051612],[27.8204624],[53.65722733],[35.72915863],[105.2033481]
55,[39.48831171],[114.19858357],[53.92653221],[70.17782435],[48.43866197],[46.70284937],[28.43278111],[27.64758008],[53.41030741],[35.39386527],[104.32689632]
56,[39.82380573],[115.07614348],[53.81208796],[69.30984003],[47.99010274],[46.89023741],[28.27796415],[27.48754888],[53.77542652],[35.22863452],[104.6381358]
57,[39.58249234],[114.15998063],[53.89082175],[69.19463685],[47.96963602],[46.31581369],[28.02765802],[27.23992181],[53.38923011],[35.00277278],[104.28779417]
58,[39.76631377],[114.61356933],[54.28597264],[69.70200671],[49.08117076],[47.51130526],[28.70808805],[27.97004168],[54.5902358],[35.87630205],[106.19456405]
59,[39.10091414],[115.0653306],[54.61305931],[72.45194984],[49.63574007],[48.85482451],[29.00097048],[28.21663336],[54.51496928],[36.53659821],[107.55743395]
60,[38.98606206],[116.08528055],[53.80257509],[73.75281057],[48.56946796],[49.19313767],[29.01094851],[28.36007119],[54.6636861],[37.45699298],[107.36689641]
61,[38.80091536],[116.35908065],[54.20434805],[74.90710146],[48.73405915],[50.70832726],[29.49979096],[28.79886692],[53.21043414],[37.68909423],[108.98369186]
62,[38.48371534],[114.73456016],[53.65692862],[73.63226741],[48.39019708],[50.94187683],[29.42984713],[28.72764098],[52.72426987],[38.27600901],[108.18469255]
63,[38.31504505],[114.36596368],[53.94042104],[74.41568378],[49.04241676],[51.31552779],[29.66901283],[28.91768092],[52.7791762],[38.27673598],[108.30630931]
