,Conagra_Brands_predictions,Kimberly_Clark_predictions,MetLife_predictions,Raymond_James_Financial_predictions,Flowserve_Corporation_predictions,TripAdvisor_predictions,TwentyFirst_Century_Fox_A_predictions,TwentyFirst_Century_Fox_B_predictions,Verizon_Communications_predictions,Viacom_predictions,The_Walt_Disney_predictions
157,[38.79115861],[129.44059127],[51.17833639],[73.6317684],[47.78517338],[39.75630343],[27.29017218],[27.17460755],[45.32202782],[34.80790009],[107.24906608]
158,[39.01552268],[129.54388859],[51.04897189],[73.69810648],[48.01127088],[38.96036447],[27.02741032],[26.96221879],[45.33410852],[35.10990129],[108.48230417]
159,[38.50621413],[128.9202738],[50.67805766],[73.06691917],[48.2942525],[38.91617427],[27.06921297],[26.98479666],[46.21282384],[34.97810961],[108.38947069]
160,[38.55683873],[129.72446857],[50.58211579],[72.28445188],[48.60369871],[38.46198103],[27.08647645],[26.85611663],[46.62489137],[34.71352297],[107.93547724]
161,[39.98697541],[130.07608307],[51.6553185],[73.76091008],[49.31672432],[39.9023858],[27.80210004],[27.49955701],[46.49450964],[35.29035723],[108.23324716]
162,[39.53839359],[130.68703822],[51.42960208],[73.37295496],[48.51046474],[39.07269376],[27.91941145],[27.57782827],[46.39707975],[35.15110022],[107.14047172]
163,[39.7004505],[130.7667749],[51.13833633],[73.88160519],[48.49645808],[38.96779164],[27.75146646],[27.38602647],[46.39923476],[35.1736862],[106.57258827]
164,[39.45446446],[131.00351933],[50.44460374],[73.60086261],[47.37068084],[37.9737872],[27.51277967],[27.19294059],[46.4643471],[34.9907089],[105.54986019]
165,[39.47860692],[130.22108621],[50.54533264],[73.96435434],[46.21812149],[37.26512812],[27.55016584],[27.16044441],[46.49647292],[34.77731189],[106.00860658]
166,[39.13591195],[128.1277514],[51.61592879],[76.0808028],[46.64859438],[37.29753321],[27.38554013],[26.9986294],[46.1783905],[35.23754559],[104.43942993]
167,[38.7944241],[128.78352918],[52.87146917],[78.35662416],[47.38244697],[37.44509808],[28.17964065],[27.6804086],[46.71529436],[35.32626318],[105.76125299]
168,[38.73905368],[128.91691917],[53.25900234],[78.87744017],[48.86174937],[37.73479072],[28.71648779],[28.12633613],[47.21183658],[36.09132995],[107.16592462]
169,[39.01508145],[129.46466197],[53.29634981],[78.98543608],[48.6980211],[38.72186064],[28.07266257],[27.69337361],[46.44480603],[35.44675839],[106.61788421]
170,[38.95327199],[130.25574741],[53.26570537],[78.91269725],[47.31487893],[38.55181071],[27.62033225],[27.1479347],[46.64158261],[34.83354091],[106.1992254]
171,[39.23735125],[130.86968281],[53.13910039],[78.61620488],[47.23479883],[37.8401009],[27.6904161],[27.35557177],[46.67156068],[34.90648957],[105.87315954]
172,[38.01188178],[130.21518474],[53.51424432],[78.48268839],[47.35501391],[37.85331895],[27.42715803],[27.10068557],[46.66289636],[35.00092867],[105.47669944]
173,[37.57602587],[132.72929618],[53.99611488],[79.06928481],[47.62465933],[36.06573895],[27.82433419],[27.4589209],[46.52653466],[35.4134782],[105.46054002]
174,[37.88511754],[133.03309182],[53.33985146],[78.19584986],[45.92967595],[35.91661637],[27.16556327],[26.7362239],[45.93992966],[34.05503747],[103.99519263]
175,[37.72862256],[131.91652366],[52.516342],[77.72192018],[43.88746568],[35.74886872],[27.2747078],[26.87988625],[45.39189652],[34.6058738],[104.88790415]
176,[37.06008447],[131.61903692],[52.19574674],[77.17149692],[44.17230301],[35.70233899],[26.94178391],[26.59507743],[45.43128166],[33.96563459],[104.30175813]
177,[37.25554977],[132.42203762],[52.25085483],[76.62579046],[44.57712606],[36.8572568],[27.19128573],[26.93622078],[45.41548004],[34.10882068],[104.46302882]
178,[37.69272177],[133.60108906],[52.63324781],[77.51126093],[45.7550073],[36.64157176],[28.02398591],[27.57885256],[45.73605129],[35.08551179],[105.68266444]
179,[36.98204463],[131.48490976],[53.01555911],[78.68362852],[45.29712189],[36.41599122],[27.59999787],[27.22576369],[44.79806308],[35.33027704],[105.41104762]
180,[37.35942801],[131.49061741],[54.58934823],[80.82038541],[45.59368362],[38.10186378],[28.12910269],[27.76809528],[44.81838771],[35.00464489],[106.9329966]
181,[36.12721198],[129.06000089],[55.05640497],[80.60993856],[45.56354202],[38.04067786],[28.13571351],[27.67435396],[44.41506613],[34.24423076],[105.66569167]
182,[35.81854473],[129.28049461],[54.91415308],[80.26886551],[46.42325546],[38.13286481],[28.33933705],[27.88143548],[44.69686513],[33.46751398],[106.2059691]
183,[35.59358733],[128.4119381],[56.175075],[81.55562034],[46.90544386],[38.41804406],[28.50593871],[28.09354398],[44.96856246],[34.12440848],[107.46565211]
184,[34.97267914],[128.80315134],[55.8136548],[81.54382643],[46.66772183],[37.79539124],[28.34517796],[27.93146443],[44.64757427],[32.83340811],[105.60920366]
185,[34.1521924],[126.35470821],[55.86743352],[81.10042962],[46.18801017],[36.56734147],[27.94809672],[27.53729556],[43.45313308],[33.11329941],[103.39779956]
186,[33.49221471],[126.83160513],[56.17612335],[81.38917842],[46.19553942],[36.57558484],[27.88713341],[27.5407058],[43.48120108],[33.10474415],[103.29305167]
187,[33.31041808],[127.02305253],[56.00440456],[82.39140554],[46.3521801],[36.15813004],[28.27822121],[27.80738008],[43.25190909],[34.0116956],[103.66607055]
188,[33.11320881],[125.96851339],[55.52955398],[81.8471856],[45.73788201],[36.33855687],[28.0973377],[27.72952078],[42.88712525],[34.06096422],[104.10462366]
189,[33.37979896],[124.62648522],[55.56540111],[82.30322298],[46.2491266],[37.23933401],[28.66044238],[28.29803545],[43.1666791],[34.47669281],[104.56618105]
190,[33.49780635],[123.94894177],[55.70476331],[82.52230821],[45.71195269],[38.00754887],[27.54268998],[27.40048297],[43.50550952],[34.40581463],[104.30641338]
191,[33.54819895],[124.58578217],[55.33831608],[82.34368771],[46.20949166],[38.07440353],[27.75792515],[27.56745339],[43.54136012],[34.89980143],[105.1012028]
192,[33.46231383],[124.7188244],[55.37486105],[82.81563207],[45.81295198],[37.94758325],[27.33666811],[27.17928179],[43.62334779],[35.25686412],[104.7760998]
193,[33.32854872],[124.57794071],[54.74210648],[82.67820162],[46.12801941],[38.26298823],[27.38639329],[27.22918403],[43.35657057],[35.40113104],[105.76057413]
194,[33.86409958],[123.92233864],[54.9581106],[82.81644119],[46.49330085],[39.61218828],[27.63042164],[27.43739216],[43.45144027],[36.18752996],[106.83810003]
195,[33.74029442],[123.75204616],[54.58189826],[82.75874014],[46.57917738],[37.84740271],[27.78145222],[27.59859562],[44.23750942],[35.7658036],[107.35373905]
196,[33.846178],[125.2907765],[54.65931495],[82.74811552],[46.16234858],[37.4338702],[27.84171876],[27.6515648],[44.24058072],[36.02357364],[107.0816893]
197,[33.8342328],[123.89627888],[54.71134093],[83.88070444],[46.15005723],[37.2171435],[27.67019018],[27.49239284],[43.65452523],[36.14051693],[106.9190402]
198,[34.16639025],[124.64118037],[55.7234573],[85.04428593],[47.24229823],[38.86735301],[27.91326458],[27.68741529],[43.95984518],[34.86754103],[106.35838219]
199,[33.81783505],[122.27047936],[54.71303289],[85.47178463],[46.62090227],[38.98757655],[28.15752608],[27.88959751],[44.45648094],[34.33394723],[106.96805769]
200,[34.34330671],[124.26324874],[55.05381275],[82.79145441],[46.31766928],[38.45817379],[29.61237766],[29.16839744],[47.89485238],[35.52153718],[110.11338462]
201,[34.23875063],[122.49954063],[55.246075],[82.85171243],[40.9078276],[39.30901103],[29.35315601],[28.89176797],[47.9152307],[35.56306796],[110.00867336]
202,[34.22031089],[123.22191773],[54.96039907],[83.10667791],[41.04324484],[39.05068423],[29.12449154],[28.73078694],[48.29380671],[34.86519814],[109.94283762]
203,[33.82980183],[121.64119787],[55.76523634],[83.51958508],[41.60245189],[37.27745258],[29.18101952],[28.84538437],[48.85491687],[35.53663217],[110.4806572]
204,[34.23938346],[121.4892051],[55.45767982],[82.90180818],[42.41719241],[37.46353755],[28.66779662],[28.28298005],[48.39757239],[33.86827222],[108.48864003]
205,[34.31870983],[121.61614372],[53.45018137],[82.40589459],[41.27070839],[37.82955454],[28.82188834],[28.53644755],[48.58797686],[35.14961279],[109.17535232]
206,[33.95437807],[121.44208581],[53.95228324],[82.89767297],[41.09693849],[39.50037918],[28.44292046],[28.03917014],[48.9552255],[29.79655983],[107.69788207]
207,[34.18415224],[121.39453997],[48.64200565],[82.91085249],[39.69217434],[39.46957199],[28.04331955],[27.75940116],[48.6410966],[30.97982328],[107.07289566]
208,[34.41194774],[121.60833999],[48.29037005],[81.98874535],[39.08420428],[40.50854807],[27.89296132],[27.49770619],[48.14132571],[29.9506948],[102.91665356]
209,[34.04411615],[121.13235376],[46.72518067],[79.86641863],[38.5811706],[39.65428543],[27.87024419],[27.47113532],[48.03327143],[30.11374463],[101.3884905]
210,[34.78622788],[120.64072029],[46.79870369],[79.31306237],[38.9168588],[42.21912424],[28.21097964],[27.8293545],[48.09647331],[30.66130202],[102.19880346]
211,[34.88496065],[121.67718753],[47.77087898],[80.19759049],[39.56593206],[41.48054854],[28.20643182],[27.76853129],[48.79504253],[30.12901384],[101.67070582]
212,[34.85447581],[122.28377756],[47.83546559],[80.40568478],[39.46070238],[40.61843888],[27.85669908],[27.46370258],[48.4618019],[30.04626967],[101.85334042]
213,[35.12100371],[122.3294052],[48.00800851],[80.01341967],[39.36338316],[40.04883119],[27.97549395],[27.53534591],[48.36962974],[29.72819294],[102.30864619]
214,[34.73281694],[122.23977608],[46.90933485],[77.76510672],[38.22796607],[39.25068956],[27.33598386],[26.89615718],[47.86338656],[29.12558546],[101.38385597]
215,[34.46786103],[121.45824969],[46.96595077],[77.83887885],[38.03857476],[39.84975355],[27.27330798],[26.81699515],[47.73682594],[28.51788543],[100.74055314]
216,[34.53896873],[122.66359359],[46.65429021],[77.69200492],[37.50909744],[40.44019593],[27.34462894],[26.85275615],[48.14365352],[28.03701005],[101.17523159]
217,[34.53514433],[122.50271011],[47.17708091],[79.05895227],[38.83138569],[41.05424972],[27.43357958],[26.98959907],[48.37831691],[28.4345344],[102.83629641]
218,[34.21071558],[122.29548897],[47.08070532],[79.06544042],[38.54838542],[41.26476445],[27.15707766],[26.67762012],[48.23821559],[28.56070091],[101.58149415]
219,[33.24217962],[120.97213689],[47.60592418],[78.84762541],[38.0094969],[43.33472177],[27.09438545],[26.60891778],[48.27418781],[28.60579712],[101.56084531]
220,[33.20367349],[121.56492392],[48.00662618],[78.76517559],[38.27669408],[41.71154094],[27.22953124],[26.6908403],[48.71413353],[29.15466323],[102.36386121]
221,[32.60393365],[122.39136618],[47.54942924],[78.4316506],[38.35358492],[41.91255629],[27.24500135],[26.75767399],[48.62778343],[29.35373729],[102.55136908]
222,[32.45749388],[122.43810189],[46.69042879],[77.56207802],[38.67702926],[41.65075926],[27.34816435],[26.90273698],[48.48989934],[29.21010682],[102.67220087]
223,[32.75508502],[122.23395729],[47.01707215],[78.21688769],[38.91550077],[42.62636591],[27.4350911],[26.99102572],[48.10028771],[29.05792303],[102.86477725]
224,[32.4547453],[123.27081645],[46.8167929],[78.33754557],[39.24505653],[42.64861526],[27.57900882],[27.08776761],[47.99053023],[28.50042693],[101.13629135]
225,[32.85128236],[123.28503952],[47.83675732],[79.01882226],[39.4851055],[42.70889899],[27.48082199],[26.97129642],[47.9255513],[28.46996266],[101.52785889]
226,[33.68010368],[122.9227487],[47.33593056],[76.30420234],[39.47267627],[44.51681671],[26.58345364],[26.11806042],[47.35415811],[27.30427484],[101.62695134]
227,[34.18561081],[120.37314517],[47.93683363],[76.15875028],[39.89835174],[44.34139125],[26.42596739],[25.97358024],[46.86898033],[28.2489348],[101.58527779]
228,[34.29496621],[119.65679996],[46.79075927],[74.77468635],[39.83710239],[45.78141683],[25.76749484],[25.36933855],[46.17817215],[27.03949432],[97.09358931]
229,[34.4656675],[118.23758155],[47.08328168],[75.33776886],[39.40692911],[45.03058582],[25.80939241],[25.41519512],[46.1207099],[27.28609781],[97.08509255]
230,[34.75470043],[119.6360039],[47.60765861],[77.12514386],[40.16619116],[44.47757854],[26.04686457],[25.64261626],[46.29647228],[27.09184356],[97.14458346]
231,[34.81686031],[120.57179891],[48.51452483],[78.29990707],[40.4234949],[44.75363327],[25.90982943],[25.48084351],[46.79910687],[27.0596411],[98.11454971]
232,[34.71593429],[120.02094381],[48.70063805],[78.53533461],[40.93117096],[44.44534563],[26.58754415],[26.1306371],[47.21796879],[27.89610728],[99.13716785]
233,[34.48342441],[120.6757425],[48.32032921],[78.31378182],[41.28140485],[42.87344005],[26.47242508],[25.9642382],[47.15538102],[27.23969333],[97.89596488]
234,[35.03106968],[121.16088048],[48.50186147],[79.77693879],[41.31691662],[43.847908],[27.0525245],[26.64438495],[47.85980479],[27.66027962],[98.51575242]
235,[34.88840026],[121.91266227],[48.87467841],[80.96105797],[41.30899451],[43.59591925],[26.4737965],[26.00673111],[48.12530234],[27.19920409],[98.0392454]
236,[34.14462478],[121.7347869],[49.48286243],[81.23865775],[41.90375483],[43.54484924],[26.69635921],[26.27521044],[49.39715696],[27.09078145],[98.44237177]
237,[33.73159286],[120.23165055],[50.15757886],[82.37082777],[42.55354466],[43.82185133],[26.828817],[26.3155482],[49.47635348],[27.68180452],[99.27919531]
238,[33.50110196],[118.15119041],[50.45498994],[82.77487314],[42.13521083],[44.25377719],[26.76551964],[26.34876223],[48.93042427],[27.30199023],[98.88859125]
239,[33.19176956],[117.58933028],[50.52384458],[82.96065709],[42.5501726],[44.32000438],[26.87415799],[26.41639178],[49.89234651],[27.61878474],[98.62390991]
240,[33.4810339],[117.5993646],[50.82684206],[82.74855423],[42.94723702],[41.13711533],[27.0960986],[26.58166965],[50.01581159],[27.82276141],[99.56522372]
241,[33.35306311],[117.71564267],[51.46250307],[82.97277106],[43.37537996],[41.02332968],[26.94586087],[26.42131627],[49.50575295],[27.51024583],[98.60925567]
242,[33.31782714],[116.49573393],[51.8690813],[84.4107718],[43.17376375],[41.94283192],[27.30970613],[26.7486208],[49.43632198],[27.89714008],[99.30129388]
243,[33.94686217],[116.91291213],[51.30665162],[84.6285364],[42.37536721],[40.45385025],[26.54908496],[26.01811165],[49.4829886],[27.75680504],[98.03925362]
244,[33.72580555],[117.70270169],[51.92896394],[84.38911081],[42.5055568],[40.32995611],[26.3887223],[25.81703786],[49.50353402],[27.7920164],[98.58446082]
245,[33.30908777],[117.0535451],[52.13440781],[84.57423042],[42.02222634],[40.94230215],[26.56077481],[25.99242193],[49.33257647],[27.31878028],[99.94304836]
246,[33.43582212],[115.53908605],[52.40124257],[85.82568094],[42.73465161],[41.86648157],[26.63371679],[26.03130805],[49.86361004],[27.50770731],[100.8429883]
247,[33.9966163],[117.14656185],[52.53536036],[85.58144283],[43.05212281],[43.34066901],[27.10246861],[26.45672149],[49.90270117],[28.09365215],[100.60286482]
248,[34.06837282],[117.58277248],[52.56056788],[86.06901182],[43.22751276],[43.60084697],[26.93578078],[26.300982],[49.7667609],[27.18834465],[100.0351667]
249,[34.02922208],[115.44985256],[53.02027769],[86.30020164],[43.23925095],[41.54255993],[26.98827028],[26.46737311],[48.75538077],[27.12163588],[99.98777595]
250,[33.4536437],[115.36619287],[52.98974808],[86.11098116],[43.119065],[41.97751029],[26.55838722],[25.95861121],[49.07788394],[25.24339125],[99.55170559]
251,[33.76047444],[116.5279107],[53.13612221],[86.51919677],[43.49384424],[41.01396443],[26.76015467],[26.14293317],[49.17589525],[25.5725886],[99.64176852]
252,[33.82205553],[117.89643817],[52.83964244],[86.42172808],[43.68100388],[40.28464131],[26.1037459],[25.48207584],[48.86820715],[25.09827793],[98.59081431]
253,[34.56957046],[117.49298471],[52.7060541],[86.37139079],[44.05828821],[39.38734395],[26.14915549],[25.51163966],[48.25648807],[24.52892067],[96.9511779]
254,[34.2761544],[118.48849717],[52.71538324],[85.35209137],[44.33166457],[39.36990817],[26.48822347],[25.78103889],[47.85858261],[26.02634938],[97.45414132]
255,[34.46530645],[118.25450174],[52.87102471],[85.66093005],[44.59515302],[39.65159143],[26.69498987],[26.10183856],[48.11513725],[26.15458168],[98.2284981]
256,[34.22092297],[118.32546392],[52.38237956],[84.11794041],[44.50578126],[40.31898924],[26.88200946],[26.22003249],[48.41750443],[26.56202492],[98.51030528]
257,[34.12384377],[117.31119916],[52.79841128],[85.33636146],[44.54741649],[39.94589968],[27.15528391],[26.55308881],[48.63323079],[25.68338605],[98.33475447]
258,[33.77833546],[115.64336911],[53.00271725],[85.75018543],[44.41653151],[40.42445304],[27.34963591],[26.66769299],[49.18125507],[26.51399914],[98.9892294]
259,[33.93628699],[113.48740568],[53.30014455],[86.70200403],[45.38535026],[40.27289862],[27.48628291],[26.82458733],[49.5483562],[26.59704677],[99.37950011]
260,[34.21833887],[112.59898223],[53.45911751],[86.37964217],[44.5455168],[39.71102635],[26.68560595],[26.02388269],[48.97800602],[26.25260229],[98.69552349]
261,[34.14683838],[112.10840307],[54.14219603],[86.3934773],[44.8126362],[39.22145324],[26.22384932],[25.57215094],[48.92346411],[25.56011561],[98.28009495]
262,[33.90920933],[112.47665774],[53.92330804],[85.70885298],[44.30228946],[37.53511849],[26.10095469],[25.3989045],[48.69689287],[25.41258575],[97.75473698]
263,[33.39760591],[113.55342587],[54.19776297],[84.58987582],[44.76649902],[37.67291523],[26.31537006],[25.70428152],[48.93260891],[25.22747799],[98.61370251]
264,[33.73532757],[112.43725944],[54.28711553],[85.50296757],[44.19867312],[36.99372421],[26.42411037],[25.76689083],[48.84368745],[24.58565924],[98.39048605]
265,[33.55438995],[111.23171326],[53.94605279],[85.04280932],[43.85001415],[37.27602494],[26.39377027],[25.76003249],[47.7976818],[24.17085368],[98.09695604]
266,[34.13898922],[112.48086704],[53.56715381],[84.83164227],[44.01600578],[37.40242087],[26.14113121],[25.4442078],[47.83113906],[23.96176841],[97.82957225]
267,[34.09981381],[112.18290093],[53.85664926],[83.82953091],[43.99140025],[37.84741662],[25.9677528],[25.36941244],[47.86913584],[24.76562138],[99.0477283]
268,[33.82946521],[111.53386951],[55.77977532],[86.031223],[38.91442283],[38.43299613],[25.79840418],[25.1425458],[47.4771782],[23.25535984],[98.38685608]
269,[33.91642238],[110.7421817],[54.66809074],[85.76183438],[39.14112985],[38.8626479],[24.97778683],[24.46678922],[47.33929111],[23.26676724],[98.68381749]
270,[33.79353299],[111.96681296],[53.35759025],[84.0952691],[39.51897368],[30.19239399],[27.6802292],[26.89562501],[45.52377027],[24.74521998],[101.65482842]
271,[33.96249081],[113.29601399],[52.75036976],[83.62452378],[39.37848937],[31.34526207],[28.64366473],[28.0295509],[45.03062764],[24.68487436],[102.66891059]
272,[34.7909367],[114.1270561],[52.13491233],[83.53289902],[39.1805098],[31.24075279],[28.90025924],[28.14902046],[44.87239146],[24.87753435],[104.8548235]
273,[34.79447093],[115.31706845],[52.19399161],[83.39859336],[39.30982861],[30.79910325],[28.46192401],[27.71927948],[44.80258038],[24.61030961],[104.61677238]
274,[35.80457104],[114.57337543],[52.03896619],[83.07275727],[39.06863244],[29.67166714],[27.95094165],[27.21958781],[44.0664503],[24.4638522],[102.93021917]
275,[35.14316013],[113.44220898],[51.8551138],[82.81704675],[38.5645411],[30.51675771],[28.70927359],[27.92074603],[44.06084408],[24.54913719],[103.58268109]
276,[35.59819824],[114.87512274],[51.54622017],[83.3252384],[39.02769046],[30.28294726],[29.30492863],[28.56018518],[44.78533831],[23.57887094],[103.52893019]
277,[35.73721198],[114.45360603],[51.64705032],[83.81689481],[39.19678709],[30.52631572],[31.15572406],[30.44343655],[45.45609207],[26.23485855],[103.53631147]
278,[35.77000696],[115.30442148],[51.98463115],[84.77213335],[38.93388722],[30.40643698],[30.61414322],[29.85233502],[46.1863891],[26.00401795],[102.82918644]
279,[35.51509982],[116.91256827],[51.71645346],[85.20495101],[38.91721316],[32.79707823],[30.8573543],[30.07708521],[46.14862683],[27.31568024],[103.01396521]
280,[35.52848455],[116.15194524],[51.7085146],[85.01570313],[39.44781919],[34.19837907],[30.52187726],[29.8290645],[47.15005947],[26.51128573],[102.7818257]
281,[35.48125405],[116.38440797],[51.82465243],[84.98147284],[39.0343617],[34.1473652],[30.48842064],[29.81128921],[47.0517387],[26.23026738],[102.70512646]
282,[35.94544921],[116.76800868],[51.35382946],[85.31256099],[39.87265384],[34.3199751],[30.37786339],[29.68989838],[47.7228409],[26.46513959],[102.85180643]
283,[36.41827064],[117.46387615],[52.67151682],[87.08287668],[41.09584066],[34.73766595],[30.86189623],[30.1553007],[48.85644397],[26.98076728],[103.45082543]
284,[37.14700661],[119.06738081],[53.59593724],[88.47284383],[41.52786008],[34.5740877],[32.08967531],[31.25918948],[50.04311076],[28.42282439],[105.32608627]
285,[37.2671586],[119.77755075],[53.69929888],[88.37524274],[42.53733889],[34.56625131],[31.93174656],[31.14097041],[50.93299587],[28.21707276],[104.83037812]
286,[37.4276827],[120.47547723],[53.60611222],[88.29034508],[42.22662201],[34.24648414],[32.16435288],[31.43985312],[51.31676888],[28.35943519],[105.23901047]
287,[37.92910741],[123.04492918],[53.571013],[90.1533438],[42.75231716],[34.72301907],[33.02834846],[32.21102396],[51.82478658],[29.11762912],[110.25347296]
288,[37.17118318],[122.94411461],[52.99833904],[88.35802866],[41.8656368],[34.34647455],[32.98940942],[32.46802338],[50.95695574],[28.84351001],[107.11482705]
289,[37.08477617],[122.1461925],[52.98305587],[87.76871874],[41.74447815],[34.36783761],[33.20096829],[32.68325321],[50.70885781],[28.90221005],[105.49976224]
290,[37.30841827],[119.75226672],[53.6364765],[88.46210542],[42.6092127],[34.39104344],[34.13464942],[33.69436918],[50.42955554],[29.58992038],[105.06124762]
291,[37.26929106],[120.20540025],[53.78248053],[89.49968994],[42.13716166],[34.47407283],[33.30625439],[32.97338378],[51.17590899],[29.19634155],[104.1073093]
292,[37.21343299],[118.60267784],[53.65533407],[89.11343726],[41.56225271],[35.27097301],[33.65859824],[33.27323408],[51.84636967],[29.43519102],[107.15050079]
293,[37.54955904],[116.47405978],[53.66108645],[89.59424512],[41.11736435],[35.07016048],[34.03931166],[33.51219657],[53.26791352],[29.5092702],[107.54610254]
294,[37.33855842],[117.29044778],[52.80139761],[87.88260295],[40.99162365],[34.65085659],[32.81024045],[32.42897389],[52.86878377],[29.46339006],[107.69811405]
295,[37.00316653],[117.37783493],[52.46116837],[86.64863547],[40.17743532],[34.42827469],[34.81104891],[34.12914834],[52.30673178],[29.66298075],[110.54614793]
296,[37.78409543],[118.50454106],[51.38113814],[88.25178393],[41.18550433],[35.01756336],[34.92293388],[34.14317499],[52.70433465],[30.19522427],[111.12924227]
297,[37.77614392],[119.56352904],[50.90282788],[88.96934537],[41.31285502],[35.42840973],[35.30568875],[34.61488157],[53.41980542],[30.61053127],[111.02356128]
298,[37.92968048],[120.60342023],[50.80556813],[88.74962478],[41.20817552],[34.71177408],[34.93870124],[34.24944547],[52.80957416],[30.87950075],[111.68776819]
299,[38.12260463],[120.4135786],[51.03553425],[88.35989045],[41.02229986],[34.38086355],[34.30881228],[33.9038119],[52.69843857],[31.1330339],[109.50019976]
300,[37.85559572],[120.27741957],[51.07181533],[90.37090807],[41.53365294],[34.70920884],[35.07874212],[34.4813074],[53.04464865],[31.71635229],[109.60543814]
301,[38.08276664],[120.66982041],[50.76609579],[90.66402756],[41.35495739],[34.55141023],[35.22987813],[34.70446966],[53.26312738],[32.17710485],[108.65390863]
302,[38.22871938],[121.35732529],[50.65996591],[89.98049369],[41.75473459],[34.45785083],[34.67716706],[34.24133314],[53.19473092],[31.78946938],[108.24453997]
303,[38.06156737],[121.89474752],[50.74090553],[89.71003344],[41.72606122],[34.47120035],[34.49359457],[34.10243337],[53.27458793],[30.89057574],[107.78194988]
304,[38.04290653],[120.25298421],[50.87470604],[89.8302979],[41.93713994],[34.46532939],[34.4770257],[34.06572445],[53.45696035],[30.75349512],[107.86828506]
305,[37.69214898],[120.62360008],[50.56065826],[89.32086199],[42.07229309],[34.40778622],[34.56818375],[34.15582789],[52.92288081],[30.74762051],[107.61623155]
306,[37.54535327],[119.14772339],[50.16159813],[88.90707593],[42.46946297],[34.72574559],[35.81496489],[35.29442861],[53.54935688],[31.17015406],[111.95682016]
307,[37.36241359],[117.17134951],[50.49329737],[89.83733975],[42.31614655],[34.93397509],[36.52032087],[35.89531296],[52.40827541],[29.8330556],[112.31673479]
308,[37.95941069],[118.34724202],[51.38690211],[90.56500039],[43.41131657],[34.87602352],[36.83184519],[36.180083],[52.58897304],[29.5323399],[112.28184193]
309,[38.04425982],[118.31163367],[51.88066483],[91.00957636],[43.33714117],[34.67618084],[36.67937829],[36.27063325],[52.45374896],[29.00105934],[111.3984383]
310,[37.48031636],[119.42952904],[51.99544748],[91.75779421],[43.70487433],[34.62902744],[36.2345601],[35.85026663],[52.45042627],[29.15350777],[109.77909158]
311,[37.3994488],[116.77433308],[52.34929176],[93.1953443],[43.15936739],[34.55099372],[36.53218951],[36.16789844],[51.49138635],[28.97803193],[109.96522402]
312,[36.89326107],[114.99883522],[53.02355161],[94.45780826],[42.36833443],[34.44232301],[35.62072325],[35.33531946],[51.68866042],[29.1253466],[109.5438462]
313,[36.80081953],[112.69858699],[53.49996692],[95.24992101],[43.43802382],[35.23596359],[36.22781523],[35.83032264],[52.143292],[30.82332376],[111.19190827]
314,[36.73998769],[113.12204697],[53.32496166],[96.88546476],[44.02452458],[36.52599184],[36.67060043],[36.29185475],[51.86815308],[33.8108554],[112.61424177]
315,[36.7799169],[114.28720709],[51.78411983],[95.63976894],[45.15497176],[35.85916921],[36.37873948],[35.89076193],[51.57947602],[31.15073119],[110.72389444]
316,[37.24759764],[116.7002216],[52.51201505],[96.31364111],[43.21432627],[35.82404562],[37.0436236],[36.42986108],[51.72301263],[32.02879184],[111.95701711]
317,[37.14017095],[115.28955634],[52.96769786],[95.41842808],[44.24620239],[35.59209062],[36.17039021],[35.71463786],[51.58422414],[33.83589604],[110.25653571]
318,[37.73986754],[115.37147073],[53.43569815],[96.20504688],[43.55682412],[35.44708481],[36.69754825],[36.30820725],[51.90826711],[33.25579043],[110.68437353]
319,[37.75586035],[116.88259719],[53.90152615],[96.61833805],[43.84717317],[37.15096685],[37.20109453],[36.83833561],[53.53647921],[33.98474438],[111.1439585]
320,[37.69793643],[117.98972247],[53.58644833],[96.61124243],[44.00282327],[36.28857654],[37.59960545],[37.25902409],[53.26495246],[33.23310692],[110.48520312]
321,[37.59969516],[119.63072319],[54.08968966],[96.97126822],[45.38903888],[36.22929326],[37.94241579],[37.44685399],[54.21542301],[33.10916358],[110.60512093]
322,[38.06523631],[123.40100333],[53.99132009],[95.88051267],[45.01102628],[36.43094291],[38.14327618],[37.68236348],[54.32960653],[33.55984023],[110.54359982]
323,[38.49381448],[122.29682459],[54.77671308],[98.30354732],[45.53649848],[36.81339463],[38.80914146],[38.29960297],[54.84522073],[34.04548157],[112.26957612]
324,[38.16964923],[119.59000424],[54.40889249],[97.04137359],[45.22021677],[36.2562012],[38.71810088],[38.13653536],[54.089804],[33.64490284],[111.59066698]
325,[37.84118892],[118.41800601],[49.57684302],[95.77781387],[45.15874421],[34.82878452],[38.48307588],[37.90093175],[53.9312115],[32.87146937],[110.12571962]
326,[38.04495965],[117.22867194],[47.91951203],[96.43114035],[45.24923441],[34.59961285],[36.89797168],[36.51361988],[54.08361635],[33.39398026],[108.58224688]
327,[37.64859269],[118.00501392],[48.39332755],[97.33602034],[45.57135246],[34.61853898],[37.02675113],[36.728325],[54.36425295],[33.11847095],[110.52924065]
328,[36.71944811],[116.26120976],[47.60173341],[94.40471315],[44.51786069],[34.30109232],[36.7236691],[36.23181853],[52.89356463],[32.15899847],[108.84367247]
329,[35.70526093],[111.86180813],[45.92930005],[89.83172682],[41.95077668],[35.80869306],[36.30465886],[35.76467111],[50.29807611],[31.15660142],[104.8626471]
