,Abbott_Laboratories_predictions,AbbVie_predictions,ABIOMED_predictions,Agilent_predictions,Align_Technology_predictions,Allergan_predictions,AmerisourceBergen_Corp_predictions,Amgen_predictions,Baxter_International_predictions,Becton_Dickinson_predictions,Biogen_predictions,Boston_Scientific_predictions,Bristol_Myers_Squibb_predictions,Cardinal_Health_predictions,Celgene_predictions,Centene_Corporation_predictions,Cerner_predictions,CIGNA_predictions,The_Cooper_Companies_predictions,CVS_Health_predictions,Danaher_predictions,DaVita_predictions,Dentsply_Sirona_predictions,Edwards_Lifesciences_predictions,Gilead_Sciences_predictions,HCA_Holdings_predictions,Henry_Schein_predictions,Hologic_predictions,Humana_predictions,IDEXX_Laboratories_predictions,Illumina_predictions,Incyte_predictions,Intuitive_Surgical_predictions,Johnson_Johnson_predictions,Laboratory_America_Holding_predictions,Lilly_predictions,McKesson_predictions,Medtronic_predictions,Merck_predictions,Mylan_NV_predictions,Nektar_Therapeutics_predictions,PerkinElmer_predictions,Perrigo_predictions,Pfizer_predictions,Quest_Diagnostics_predictions,Regeneron_predictions,ResMed_predictions,Stryker_predictions,Teleflex_predictions,Thermo_Fisher_Scientific_predictions,United_Health_Group_predictions,Universal_Health_Services_predictions,Varian_Medical_Systems_predictions,Vertex_Pharmaceuticals_predictions,Waters_Corporation_predictions,WellCare_predictions,Zimmer_Biomet_Holdings_predictions,Zoetis_predictions
84,[42.56997871],[60.83824722],[108.55036262],[50.40515637],[96.05532805],[245.23760715],[91.9051578],[167.97331811],[48.9101941],[177.97474739],[270.24749621],[25.35471965],[51.50497248],[77.45925858],[116.62302398],[69.20505404],[53.81967952],[148.25507364],[190.57435191],[77.29756093],[83.73827621],[64.65332183],[58.6475177],[90.8307364],[65.68859307],[83.82946137],[164.83347479],[40.16491779],[207.43537269],[142.21385104],[163.18124057],[122.91349008],[705.61692673],[114.08334164],[134.41905086],[77.73746037],[139.76569992],[75.7512468],[64.41072202],[39.22122109],[13.69228853],[53.77480532],[79.38917784],[32.38431884],[93.7797423],[359.85629228],[69.78478153],[123.49421377],[173.14625304],[154.66896747],[160.66716892],[116.0841333],[80.12420647],[89.30818862],[148.73058992],[143.47161176],[117.68444952],[56.00171078]
85,[42.71821027],[60.42693218],[109.09051331],[50.32038276],[97.0722206],[246.22376164],[91.30076777],[167.94518493],[48.99351513],[178.12246369],[274.50225761],[25.22159158],[51.65498591],[77.4339949],[115.54458006],[69.31617907],[51.61725385],[145.67174962],[191.00809234],[78.44182464],[83.9450076],[64.70981926],[58.36482844],[90.34680226],[66.76245674],[83.58192969],[164.98410956],[39.90899276],[205.11555877],[141.94916874],[163.10185844],[122.20058472],[706.17439143],[115.17173255],[134.70487145],[77.85097379],[139.51692614],[76.18346363],[64.19192455],[39.36237277],[13.33755657],[53.95881585],[79.23647014],[32.3496276],[93.6067702],[360.61771241],[70.22080305],[123.3455804],[172.83010534],[154.86487925],[160.89567387],[116.25472477],[80.26110014],[88.29462826],[149.07045818],[142.73002833],[117.31665664],[55.7990462]
86,[43.25425717],[60.54354062],[107.56106549],[50.45310273],[97.60463967],[246.20796671],[90.4734272],[167.63703367],[49.22628968],[178.74526933],[278.66008588],[25.31207424],[52.0069712],[78.13938172],[116.33837],[69.88506692],[52.41029846],[145.99159791],[191.30634649],[78.69791833],[84.13446404],[64.8091313],[58.86916708],[90.00634249],[68.122022],[83.7181216],[165.14958757],[40.03780009],[206.52541819],[141.76188854],[163.89112974],[120.5445102],[711.05191802],[115.91870123],[134.84141204],[77.79202888],[140.44340594],[76.93024809],[64.767204],[39.782247],[13.24775484],[54.37427631],[80.03419977],[32.63054168],[93.96408187],[376.24641187],[70.85089662],[124.42201365],[175.96232366],[156.27438286],[162.08298752],[117.68754874],[80.12126238],[87.56377696],[149.79804924],[143.93245301],[117.79572099],[55.28993888]
87,[43.63337637],[60.79344338],[108.97922311],[50.34323757],[98.2259381],[248.55120494],[90.92838745],[168.23286699],[48.93956492],[178.9248983],[284.76548699],[25.20696913],[53.7362163],[78.84376458],[116.92005297],[70.90782014],[54.50279144],[146.78822628],[191.66238039],[78.71687547],[84.07075832],[64.74011164],[59.77613966],[89.52768677],[67.07355963],[83.71142424],[166.58737993],[38.99671503],[206.34005273],[141.55940747],[164.50152053],[123.4199751],[715.50687256],[116.3680209],[135.72593844],[78.80321463],[144.94492626],[77.04788297],[65.61334931],[40.71694307],[13.35342767],[54.37586509],[81.99692042],[32.72015186],[94.59166931],[375.52290252],[71.04361902],[125.19872921],[176.97110301],[157.17767378],[163.16545424],[120.80481407],[80.53656276],[88.79193945],[150.41799768],[142.79153533],[117.21396115],[55.10736055]
88,[43.99590097],[61.66709658],[110.58694127],[51.54112979],[99.75869613],[249.38305453],[91.36618876],[171.73774939],[49.41118027],[180.17846101],[292.21976006],[25.42176666],[55.0174413],[80.29627776],[120.32803983],[71.42594761],[55.32253118],[146.70506655],[191.28274337],[79.29327401],[84.5798887],[64.85303804],[60.33530488],[90.39576588],[69.63693134],[84.3399035],[167.74181105],[39.4868788],[205.33920965],[141.83013319],[163.40627939],[120.9988392],[717.08066394],[117.18109297],[136.33291355],[80.14684863],[149.33552405],[77.6348885],[65.14973916],[42.42548762],[13.73883357],[55.55253841],[84.65381588],[33.57004267],[95.37646372],[384.51112465],[71.68608937],[125.74180188],[177.26436826],[158.2209881],[164.27324341],[122.14306976],[81.09921177],[89.57381141],[153.25602695],[141.74427183],[117.36332798],[55.1796371]
89,[44.18713918],[61.46879675],[114.11417054],[50.84566142],[100.34777156],[246.94478674],[90.27565603],[172.15938796],[49.39406585],[180.66330118],[289.71038171],[25.37452108],[54.27468278],[80.220893],[118.55028822],[70.07350992],[55.47956381],[145.4576847],[190.59398629],[79.50792022],[84.26793779],[64.66645302],[60.77816972],[89.91786423],[70.23104731],[84.15821175],[167.3133005],[39.56417328],[209.0603752],[141.98936585],[161.39619432],[120.56108609],[721.54821066],[118.12411359],[139.12127859],[80.08043886],[149.38568155],[77.91196184],[65.25956871],[41.9290122],[12.97896503],[55.29771389],[82.82582148],[33.55306422],[95.33112119],[371.21104052],[71.90141647],[125.71815263],[177.97278258],[157.74167672],[163.61423667],[121.9938602],[81.8660827],[87.75172097],[152.94845303],[141.38944255],[116.33788644],[53.20473971]
90,[44.69217934],[61.80995259],[116.29318854],[51.55363074],[101.68150965],[247.4679651],[90.59975348],[173.42569253],[49.72478614],[180.93570353],[288.83645904],[25.40897894],[54.60902239],[80.69526511],[120.90421035],[67.66295755],[56.03685464],[143.66974823],[196.21083795],[79.70002864],[84.05882117],[66.87316632],[62.76432504],[89.74091354],[69.75991097],[84.64709027],[168.12393745],[40.07146962],[204.60223784],[142.27022639],[163.36145822],[120.17759155],[725.01067724],[118.90751572],[139.44921429],[80.31750358],[150.14702901],[78.80149585],[65.39318703],[42.04380528],[13.0929984],[55.95346816],[84.26905935],[33.63111341],[95.6600816],[372.11202946],[72.25784892],[126.30700112],[179.99266884],[158.60926335],[157.78655898],[122.81282663],[83.40202434],[88.14021786],[154.31932091],[137.76743908],[116.91021315],[52.68936583]
91,[45.00914],[61.80547773],[117.74631635],[51.31277576],[101.74650448],[247.29207596],[91.13476597],[172.99650379],[49.96016507],[181.95832387],[287.40057546],[25.29323516],[54.72748426],[81.32203614],[119.25140495],[70.29499562],[55.29295782],[147.09072461],[195.02502567],[79.72887801],[84.72947516],[68.80686635],[62.43061386],[92.84339909],[69.1228319],[85.64806699],[172.59818966],[40.05673904],[205.30079293],[142.43925413],[162.28275699],[122.86850972],[732.39672577],[119.67805619],[139.62781801],[80.40273807],[150.92832101],[80.44772499],[65.49794263],[42.15917384],[13.39059549],[55.62707195],[84.40818846],[33.56245893],[95.90160935],[371.23554823],[72.19304433],[127.11992787],[184.71967076],[158.62433252],[160.72285639],[124.54098672],[83.50147364],[86.56863023],[154.49826778],[140.07247954],[117.14673273],[53.37031156]
92,[45.0132942],[61.41456611],[117.05729557],[51.28945723],[101.0975562],[246.57591302],[91.45862038],[172.89521245],[50.03730455],[181.95071725],[287.9607739],[25.19947806],[55.38586598],[81.19394288],[119.12790941],[70.33865193],[55.29557126],[147.51825419],[195.37637652],[80.16337278],[84.81207515],[68.95363225],[62.31953557],[92.14175294],[68.97140839],[85.9072245],[172.43936149],[40.25980424],[206.14963968],[142.29278458],[162.48316844],[121.49170919],[732.55031354],[119.61588341],[138.88814141],[81.14117532],[149.14462097],[79.56008427],[65.31291819],[42.06580796],[13.25323938],[55.20141297],[83.7630826],[33.59901959],[95.70024189],[371.91353597],[72.38706174],[127.2938682],[184.20794404],[158.15992654],[160.88200788],[123.81052264],[83.4653014],[85.82498221],[154.9293893],[139.25512332],[116.96585832],[53.40840522]
93,[45.3985721],[61.94552596],[117.1421111],[51.46072531],[101.0955549],[247.12268801],[91.48966999],[174.01395715],[50.38848546],[182.33167342],[284.79097615],[24.56766702],[55.75966032],[81.67946325],[119.37546083],[70.50693727],[55.37149366],[147.5781984],[196.91915069],[80.80226501],[85.07745506],[68.95242424],[62.42013746],[95.8088935],[69.48101327],[86.35046096],[172.1759226],[40.27745827],[205.02022816],[143.06932563],[160.96876457],[122.17422974],[735.21806154],[121.64864651],[140.3612132],[82.44720294],[148.92058255],[80.62333495],[65.84736283],[42.33336562],[13.17452014],[55.1169486],[84.08487815],[34.10166978],[95.66473105],[360.4219998],[71.61691811],[128.71854039],[184.08700424],[158.72451016],[163.03915554],[124.50920799],[83.93770207],[85.66383204],[154.86324855],[139.27494923],[116.45159689],[53.5387998]
94,[45.68489607],[62.06797984],[117.35502514],[51.6969351],[102.77912145],[245.47445271],[92.26527188],[174.65642371],[50.46910275],[183.39843895],[285.14057506],[24.81235497],[56.45518543],[82.13982459],[118.19694888],[70.60500026],[55.68093917],[147.06519344],[199.50632274],[81.46119251],[85.99450077],[69.16923959],[62.70180806],[94.6856877],[69.96014672],[86.95705676],[173.29257839],[40.82371281],[207.44594759],[143.13555115],[160.1921236],[131.40436883],[737.15252363],[122.74318256],[142.86532797],[82.89820217],[150.78689059],[80.90743841],[66.14315145],[42.11663076],[13.44216105],[55.05630576],[84.25770238],[34.2415929],[97.20913189],[361.08562363],[72.01350631],[129.16765621],[189.59067112],[158.9980528],[162.94945887],[125.82601928],[84.74359728],[86.25113527],[156.41815007],[140.63257168],[116.92162271],[53.83542242]
95,[45.47024813],[62.26800798],[118.0988974],[51.66068906],[102.39936832],[246.47229305],[91.7988675],[176.24638956],[50.41910024],[182.89409556],[291.18744055],[24.86134374],[56.54874904],[82.51713274],[121.71085075],[71.09731103],[55.33915991],[149.71323192],[198.89270855],[81.43854691],[86.09219791],[69.26307665],[62.18886119],[94.67266864],[70.44329841],[87.76927209],[173.30260231],[40.68576479],[208.96492479],[143.64346098],[166.66941893],[134.00482599],[734.3360987],[122.65023725],[142.81372976],[83.02076165],[151.4295847],[80.74627965],[65.86032273],[42.48708919],[13.7217856],[55.03460457],[84.56962507],[34.28736694],[97.48488014],[373.7510223],[72.08706352],[128.57929479],[193.17832995],[158.6122755],[165.23879788],[126.61283797],[84.28604459],[89.03750212],[156.52994526],[141.47807034],[116.95189483],[53.87003519]
96,[45.07440654],[61.82796481],[118.02005872],[51.29090526],[102.86620199],[244.86084685],[91.53122815],[176.48125412],[50.91207925],[183.08584762],[288.36946803],[24.63237451],[56.72419291],[81.42628875],[123.41396291],[70.52349644],[55.03000426],[148.89890788],[199.39792283],[80.66056682],[85.52985563],[69.41122177],[63.62157677],[94.10751675],[70.36094589],[87.2062435],[171.86098199],[40.59236551],[211.30974515],[144.99506887],[167.46768157],[133.39963241],[737.09293144],[122.17240529],[142.19171704],[82.84238671],[150.1416196],[80.89808053],[65.88548824],[41.79716287],[13.08962924],[54.29030326],[74.5292901],[34.07527429],[97.48221306],[374.35102328],[72.07366446],[128.58237019],[191.61163774],[157.80376465],[165.25296605],[125.63910403],[83.8856304],[90.83861331],[155.17422346],[141.20835428],[117.14480851],[53.42372368]
97,[45.60863311],[62.85452878],[121.22002905],[51.98829225],[103.67991333],[245.55643],[92.2945815],[178.37694454],[51.19572642],[185.34478913],[292.90302013],[24.92393385],[57.17720366],[82.05865909],[123.55120048],[72.37377708],[55.41879108],[152.23245706],[200.67863238],[80.67383385],[87.15608361],[69.16514124],[64.54381356],[94.04356532],[70.14433189],[88.01154283],[172.14969386],[41.18178063],[214.14670058],[147.11372894],[168.94884594],[132.02214151],[741.75143053],[123.87562457],[142.66187956],[83.88536683],[148.99218744],[82.00019797],[66.21514766],[44.92036612],[13.00562297],[55.28554916],[75.16356883],[34.4528358],[98.3368663],[378.55745235],[72.9969891],[131.04156819],[194.87587815],[159.7187524],[167.78217048],[125.64919331],[85.39238345],[90.36724634],[155.8748761],[143.93189688],[118.89387676],[53.85464955]
98,[45.70516347],[63.21185559],[120.10772397],[51.39510606],[104.13285382],[244.99531352],[92.11246333],[178.06918957],[50.7505758],[184.88334632],[293.66274909],[25.01136808],[56.85315479],[81.84879234],[121.99970102],[71.29195763],[55.61113296],[151.53879829],[201.02945826],[81.31422101],[86.65922537],[70.0037117],[63.61583155],[93.37383992],[70.5462401],[87.37393504],[171.0178106],[41.02908607],[212.53241932],[146.14029763],[167.4630508],[132.26206513],[743.19958531],[123.78610779],[142.08828872],[83.04970305],[150.11163949],[81.99843994],[66.09834084],[45.13453267],[14.76353427],[54.63093096],[75.74930021],[34.49691778],[98.36120526],[374.64629102],[72.47379325],[130.70778217],[193.99824684],[159.27055962],[167.20520113],[123.2110229],[86.04951211],[89.61064241],[154.43589175],[143.44668843],[118.03410662],[53.4644147]
99,[45.26320592],[63.39805535],[120.83434767],[51.94940895],[104.11862523],[245.84230267],[92.15401771],[180.36470876],[50.89153134],[184.73114144],[297.68226935],[25.00344502],[57.28790727],[82.83730069],[123.40175295],[70.93318729],[55.75686498],[151.98545261],[194.42127948],[81.12328386],[86.76700625],[69.99599897],[63.40880092],[92.448374],[70.78344527],[88.61287801],[171.78439446],[41.25939645],[214.05595018],[147.1233806],[168.64198985],[137.41386786],[745.02844448],[123.88933988],[142.42049924],[83.74852538],[152.43697024],[81.8663701],[66.57495587],[45.31975621],[14.67324601],[54.99234088],[72.71563851],[34.54208889],[98.56199442],[379.45259091],[72.36876872],[130.36543322],[194.8339424],[160.22125177],[168.14282885],[125.6019327],[86.7898656],[90.03748175],[155.08468442],[143.02300593],[118.4093803],[53.475271]
100,[45.11916355],[63.53424202],[119.88568175],[51.26977621],[102.76944955],[242.37622395],[89.9331055],[179.4309658],[50.61806194],[184.31533749],[295.52129536],[24.76516958],[56.94245086],[81.71631486],[123.43570358],[71.01953664],[55.05747357],[152.98158005],[195.19936404],[80.84651887],[86.1283648],[69.40961856],[62.62629681],[89.91060404],[70.08701871],[87.74349688],[171.04367051],[41.14846851],[212.97921237],[147.22605055],[166.735407],[134.12468959],[736.04116779],[123.64614118],[142.4448851],[83.83361957],[150.33121552],[81.51230611],[66.47050402],[43.78750416],[14.41925894],[54.28058582],[72.23199712],[34.31482964],[98.42348945],[381.63246767],[71.83139959],[129.61898702],[192.8209418],[157.87433436],[168.6257528],[126.39353873],[86.12903342],[90.99085201],[153.44977032],[143.26488908],[117.20246721],[53.15250645]
101,[45.01696026],[63.71108909],[120.35589498],[51.18841192],[103.13299905],[239.86090897],[88.45422115],[177.66350759],[51.02079718],[184.04752531],[291.13814219],[24.5319888],[56.35298584],[81.30461468],[122.0580918],[70.60290045],[54.93998818],[151.85291328],[193.12082808],[80.7865439],[86.13278344],[68.17794788],[62.50888314],[90.69156773],[68.95779972],[86.85136032],[171.21280784],[40.9986247],[218.18005838],[147.13724167],[165.77674784],[133.84632873],[729.93198201],[123.99608779],[142.23442174],[82.96025707],[147.29182906],[81.41230839],[66.00159968],[43.39479735],[14.22431507],[54.10197606],[70.25952368],[33.98282815],[98.28151485],[373.02382927],[71.58153925],[129.15128037],[192.37881254],[157.44507481],[168.39107389],[124.07500379],[86.106413],[91.42426997],[153.63792271],[144.44084242],[117.10691593],[53.13639175]
102,[45.39286835],[64.16102727],[120.18732758],[51.41897527],[103.72505006],[239.70166269],[89.0365616],[177.72660899],[51.36785529],[184.19121664],[294.44114],[24.55891639],[57.13089272],[81.2031584],[122.95043423],[70.27107941],[54.36734644],[152.34338343],[194.47145956],[81.06854021],[86.63091803],[68.35427272],[62.77443242],[89.54773174],[69.79100692],[86.49879639],[170.98057874],[41.93036243],[217.63439004],[146.88660019],[164.43760686],[135.53491282],[728.65526563],[124.09573244],[142.14339347],[83.29600368],[147.82041955],[82.25102652],[65.84881089],[43.48017245],[15.29741126],[54.41490893],[70.27670275],[33.93296665],[98.00461241],[381.25150606],[70.79152785],[129.51286907],[191.69256155],[157.51077106],[168.00022522],[123.85820322],[86.62050703],[92.20160793],[153.02643195],[144.85865616],[117.58431043],[53.03719202]
103,[45.62878113],[64.49852538],[120.34231568],[51.43052263],[105.45176148],[240.54852639],[88.82585563],[179.06488694],[52.15307223],[185.22995638],[293.33080942],[24.725111],[57.97891934],[82.00010523],[125.03679833],[69.61056824],[54.7909711],[152.26879817],[194.93686376],[80.74649014],[87.28590926],[68.31115662],[62.87178722],[93.21073573],[68.45257041],[87.12982834],[171.03975501],[42.1795507],[217.61879356],[149.51927314],[164.64509648],[138.42741601],[737.01644582],[125.89944938],[143.18077125],[84.57810866],[149.44039271],[82.81293941],[65.932886],[43.30052021],[15.31467443],[54.80187896],[70.5385655],[34.07526682],[98.25113796],[390.34904637],[70.87731729],[129.93789287],[193.9760699],[157.90373284],[168.11629427],[124.09356287],[87.39055059],[93.59452123],[154.68286664],[143.25228379],[119.17385195],[53.61754992]
104,[45.72724599],[65.88902716],[121.22841552],[52.13849239],[105.40988198],[241.32005185],[87.9460543],[181.5732686],[52.02168578],[185.49999694],[292.0128101],[24.67914061],[58.34601627],[81.99137093],[123.9739255],[68.49264012],[55.25319715],[152.01331469],[194.41695828],[80.43427727],[87.68135377],[68.4973932],[63.49432386],[92.64309942],[68.19450435],[85.94491088],[172.19581856],[42.22248233],[218.1877916],[150.38920336],[167.23781604],[150.22135694],[735.47839539],[126.26456667],[143.98003904],[84.45968939],[147.70397636],[83.04581022],[65.65060148],[43.44881659],[15.36258376],[55.62687048],[71.21111063],[34.13278365],[98.78079197],[389.24698335],[71.55541808],[130.11428975],[193.75849963],[159.29944835],[170.07810641],[122.22710509],[87.75401448],[94.04892402],[156.67003893],[141.47604133],[120.12074781],[53.38883372]
105,[45.51945715],[65.83327745],[121.76346275],[52.41250378],[107.87839829],[240.64398739],[88.90013863],[181.00041951],[52.29704089],[184.98211945],[292.96089337],[24.74049347],[56.91002805],[82.49620596],[124.2977485],[69.45599439],[55.53375876],[153.49306481],[194.62992888],[80.42174112],[87.45714709],[68.71088613],[63.99461146],[93.57750482],[68.07382112],[85.10178073],[172.22639083],[42.35177956],[219.38254287],[151.60001751],[167.02219611],[150.41163668],[733.97275288],[126.78761484],[144.24504752],[84.08122845],[147.94485167],[82.8579421],[64.26097525],[42.93917208],[15.68305184],[55.84184092],[70.21833299],[34.11142078],[98.83642721],[387.47948982],[71.73698782],[131.47831353],[195.84042001],[159.08461998],[170.32231639],[122.09785693],[88.10640741],[92.89305704],[157.10497873],[142.29203645],[119.88709301],[53.57036997]
106,[44.80336719],[65.74953191],[120.67996826],[52.17293463],[107.39507228],[239.50183602],[88.99546082],[180.24840007],[51.85189235],[182.92028],[292.58421245],[24.46245013],[56.71925893],[82.59374112],[124.51922086],[67.60346037],[55.0585387],[153.58077184],[193.49544116],[79.9773661],[86.88190403],[68.6969084],[63.65184763],[93.90822193],[67.88377699],[83.86273065],[171.42959221],[42.32021232],[218.09439253],[151.24579484],[164.97238955],[151.22379829],[740.29877294],[127.01490268],[143.08753072],[84.47260864],[147.19922521],[82.49662175],[64.29820949],[42.81173809],[15.4366393],[55.81031913],[69.17003246],[34.21958711],[98.72097425],[390.95064924],[70.97218467],[130.90016374],[194.12217598],[158.46841072],[169.14901289],[120.34488187],[88.21273745],[92.56818948],[156.43127974],[140.2183881],[118.75026091],[53.45522308]
107,[45.35092719],[66.52523561],[122.97802612],[53.96350257],[110.18878479],[240.8026549],[89.40139677],[182.56122536],[52.11881636],[184.60345648],[292.59386114],[24.66068715],[57.63558298],[83.76983692],[126.76213014],[68.53061418],[55.65647831],[154.05944472],[194.89649386],[79.74894448],[87.47728166],[69.03991695],[63.52021361],[94.01104936],[68.42021127],[85.75371467],[172.71824606],[42.79943397],[219.19327922],[153.80804864],[165.86421641],[151.19055402],[747.44214731],[129.03615822],[144.32400097],[85.8943141],[148.16087288],[83.28493604],[64.74314823],[42.80486572],[15.69545236],[56.79985082],[70.5443406],[34.65355345],[99.69671],[398.77238497],[71.51114085],[132.94321962],[197.32344113],[160.84875254],[171.677345],[121.59630446],[90.05448876],[94.58070949],[158.27280219],[144.36427627],[119.62993642],[54.18913358]
108,[44.9855445],[65.92972761],[123.01678846],[53.03533193],[110.32155165],[239.5266499],[87.95918437],[180.31127691],[51.37920124],[181.54307623],[279.12308262],[24.34223722],[57.31085558],[82.90144281],[126.54316232],[68.6711195],[56.3639856],[151.86083224],[193.65783475],[79.56018298],[86.51608703],[67.75448731],[63.04580691],[92.93672117],[68.52539624],[84.36801449],[171.17485778],[42.49868676],[219.49120056],[151.75681841],[159.73062987],[147.94816566],[744.05099768],[128.5830504],[144.22494051],[85.10052989],[148.80947377],[81.91753765],[64.23186225],[42.52035676],[15.70358869],[56.10180355],[70.70267585],[34.39408222],[98.87297787],[392.34818465],[71.32081058],[131.32061735],[195.27887603],[158.27181185],[171.37160316],[120.7301376],[89.92653843],[92.56686787],[156.70207905],[143.36260875],[119.36497263],[54.38645167]
109,[45.22907229],[65.77171508],[124.04482629],[53.23403902],[111.79692301],[237.56050052],[87.58199422],[168.96625584],[51.59616281],[184.09024731],[276.63736773],[24.46407506],[56.31426174],[83.12957659],[125.6310596],[68.57656453],[56.65993875],[152.00597374],[195.44046221],[78.98046498],[86.6820736],[67.84733499],[63.25923416],[94.53862788],[69.02806109],[84.70053956],[171.50653819],[42.62370742],[218.95562186],[151.94409701],[160.61149625],[148.3588067],[749.52302777],[128.23766434],[143.9151947],[84.03206516],[147.93486725],[82.29477778],[63.95117075],[42.04977006],[15.5333445],[57.28262965],[69.39259729],[34.33476985],[99.11225631],[379.95209821],[71.68582863],[132.82715548],[196.45221095],[158.10331299],[169.89113316],[120.29956115],[91.33997862],[91.79714455],[156.79854236],[144.72846048],[121.72893745],[54.0942129]
110,[44.94671798],[65.75797066],[123.58546124],[53.09403144],[113.05821233],[237.07992426],[86.85328007],[169.2908066],[51.14897108],[182.70753864],[275.68742442],[24.40729219],[56.41424877],[82.43355895],[126.34495972],[67.7484996],[56.52386621],[151.25669132],[196.20577882],[78.80523949],[86.52951213],[67.45976438],[62.75856611],[94.09070998],[68.61525644],[83.81737798],[171.41865357],[42.42320674],[215.43683867],[151.64043067],[163.30592758],[148.21307231],[750.65090704],[128.01693859],[143.61518849],[84.07674005],[147.17109828],[81.49487864],[64.13834252],[42.16483356],[21.95652126],[57.11881284],[68.37107964],[34.35868047],[99.1942068],[381.89986581],[71.32316345],[132.46003935],[195.33072544],[156.78100488],[168.10359214],[119.57287188],[91.43441196],[91.16479495],[155.86593079],[141.24610736],[121.64895719],[54.27545228]
111,[44.83614888],[65.40327661],[122.57893312],[52.64329071],[111.13449113],[234.7905027],[86.04584684],[166.79109385],[51.37385229],[181.69442585],[275.81055309],[24.20820027],[55.68439459],[81.62300222],[123.77620452],[66.95697175],[56.76943741],[149.78050253],[195.35365012],[78.62840541],[86.33527252],[66.00789536],[62.42326731],[92.80355325],[67.72796545],[82.99383603],[170.9154457],[42.0052174],[213.68353359],[150.24458211],[163.9108394],[141.04858302],[746.16961088],[127.47816828],[142.62352062],[83.94737421],[146.06166061],[81.24181036],[63.94547911],[41.67994722],[21.85650668],[57.29207874],[67.99900301],[34.265739],[98.61056893],[371.95669354],[70.72945016],[132.49180015],[193.78423564],[155.8473838],[167.948722],[118.39629376],[90.89010557],[89.66271154],[155.82636963],[138.66540268],[121.11799748],[53.56783165]
112,[44.80555297],[65.54087808],[123.56224016],[53.14164956],[111.92632967],[234.29655067],[85.62124266],[168.17595979],[51.8026512],[182.54643307],[277.45634492],[24.27434691],[56.41461372],[81.60731651],[123.36813301],[68.0321265],[56.40822266],[150.54893523],[200.13884897],[78.50762404],[86.33070698],[65.58625688],[62.70676287],[93.57471548],[67.85013763],[82.61108722],[171.97908088],[42.14139358],[213.68144116],[152.84519325],[167.64077497],[141.90162537],[748.3349593],[126.33701132],[142.45763638],[84.34136153],[146.27259951],[81.1077057],[63.55260037],[41.75056536],[23.15623907],[57.18269336],[68.35661734],[34.50637719],[98.60503576],[370.25906496],[71.35915847],[132.52237581],[194.70371997],[155.45833988],[167.42013541],[118.82103499],[91.22435835],[90.00047173],[155.87145451],[138.06042773],[121.39460654],[53.87509626]
113,[44.79087674],[65.62973364],[123.91314006],[53.18225331],[112.38759982],[235.4544212],[85.97911512],[165.45322596],[51.67600479],[183.93514475],[275.19603664],[24.28236428],[55.72127946],[81.20057113],[123.24031701],[65.42135725],[56.51733256],[149.30295286],[199.26558506],[78.29434102],[86.33408758],[66.16531092],[62.31303267],[94.40350675],[67.58524689],[83.34281637],[171.47623902],[42.27959079],[209.97517726],[153.06008667],[167.58884237],[138.3954034],[746.91092129],[125.87612235],[141.61294911],[84.39907694],[145.83800107],[80.95154467],[63.33377245],[41.56527183],[22.43512805],[57.58771283],[68.14379297],[34.25352733],[98.36734065],[364.32853756],[71.37635194],[131.61407293],[194.89724889],[154.81379617],[165.69627358],[118.87079062],[91.46598526],[89.16785481],[155.74918712],[137.67548936],[120.37675031],[53.81509437]
114,[44.74005146],[65.65789648],[124.93891805],[53.09719667],[113.9977204],[237.5098897],[86.52774152],[166.01543304],[52.03785819],[184.15580064],[274.76805077],[24.34774281],[55.94313893],[81.22184354],[123.43875006],[68.62772404],[57.75016518],[146.01351053],[200.09838936],[78.48304991],[86.04442029],[66.7162751],[62.51116089],[95.61701977],[67.53695114],[85.99937144],[171.42027495],[42.34065085],[207.27138658],[153.70364424],[170.66584066],[141.24190244],[758.36570762],[125.52627003],[142.18047871],[84.2505622],[145.58984425],[81.08805882],[63.22950631],[41.00624352],[22.82917597],[57.53833107],[67.91555081],[34.01783426],[98.74425867],[374.55648691],[71.60255874],[132.67492152],[195.16892952],[154.22339438],[165.29042228],[121.6486927],[91.23319822],[90.10196064],[154.89377106],[139.40867777],[120.73253023],[53.89057393]
115,[44.7037691],[66.09905895],[125.22721327],[53.22007268],[114.12326112],[239.34650828],[87.38259312],[164.79512583],[51.79771236],[183.71610289],[275.43969581],[24.56118446],[56.00871045],[82.15146255],[124.87155763],[70.27218247],[59.36436224],[146.25253354],[199.79138072],[78.51815173],[86.05910001],[66.84402341],[62.59915812],[95.84114206],[67.4454928],[90.09162753],[171.32581685],[42.72118518],[203.65603059],[153.96336883],[172.07764847],[139.75734866],[768.44887755],[125.78906074],[142.56059761],[84.23096833],[148.34340153],[81.08426258],[63.22843259],[41.71354797],[23.30828601],[58.04769557],[69.11064914],[34.19127668],[98.67792355],[383.56917688],[71.68766275],[132.50479419],[195.14696869],[154.62992498],[164.88901076],[125.35714772],[91.55668691],[90.85143971],[155.90101508],[139.05927435],[120.28801619],[53.96007667]
