,Abbott_Laboratories_predictions,AbbVie_predictions,ABIOMED_predictions,Agilent_predictions,Align_Technology_predictions,Allergan_predictions,AmerisourceBergen_Corp_predictions,Amgen_predictions,Baxter_International_predictions,Becton_Dickinson_predictions,Biogen_predictions,Boston_Scientific_predictions,Bristol_Myers_Squibb_predictions,Cardinal_Health_predictions,Celgene_predictions,Centene_Corporation_predictions,Cerner_predictions,CIGNA_predictions,The_Cooper_Companies_predictions,CVS_Health_predictions,Danaher_predictions,DaVita_predictions,Dentsply_Sirona_predictions,Edwards_Lifesciences_predictions,Gilead_Sciences_predictions,HCA_Holdings_predictions,Henry_Schein_predictions,Hologic_predictions,Humana_predictions,IDEXX_Laboratories_predictions,Illumina_predictions,Incyte_predictions,Intuitive_Surgical_predictions,Johnson_Johnson_predictions,Laboratory_America_Holding_predictions,Lilly_predictions,McKesson_predictions,Medtronic_predictions,Merck_predictions,Mylan_NV_predictions,Nektar_Therapeutics_predictions,PerkinElmer_predictions,Perrigo_predictions,Pfizer_predictions,Quest_Diagnostics_predictions,Regeneron_predictions,ResMed_predictions,Stryker_predictions,Teleflex_predictions,Thermo_Fisher_Scientific_predictions,United_Health_Group_predictions,Universal_Health_Services_predictions,Varian_Medical_Systems_predictions,Vertex_Pharmaceuticals_predictions,Waters_Corporation_predictions,WellCare_predictions,Zimmer_Biomet_Holdings_predictions,Zoetis_predictions
10,[40.48900824],[61.2131746],[125.89662804],[45.78193604],[89.33516162],[226.04374451],[80.24787937],[159.00937783],[48.40650334],[172.24835008],[291.03613405],[23.0033932],[49.25903972],[75.65345791],[97.97562562],[63.04216908],[59.26100107],[123.97784105],[180.46985052],[88.02657721],[80.10196222],[58.15017231],[57.94293146],[117.10632492],[74.14601767],[81.88101297],[152.93131801],[38.239905],[176.31594908],[113.44870455],[142.23198631],[88.48776272],[685.93682778],[113.49493525],[139.79262972],[77.71274619],[160.22587935],[83.32210182],[60.8504073],[37.62415501],[13.0616148],[53.06530046],[90.32893583],[32.17133919],[83.75375161],[363.06680842],[63.86891353],[114.80187959],[168.11584088],[153.01882316],[144.31569721],[124.55474747],[97.78763422],[78.67773816],[157.87465771],[118.16374552],[128.05907247],[51.10373288]
11,[40.12940537],[61.50989291],[122.44691451],[43.55426882],[87.45371772],[225.53045457],[80.27980582],[157.83488899],[49.17541787],[171.04175687],[286.71110155],[22.50202673],[49.55415929],[74.92144811],[97.57911579],[65.30916272],[58.9453094],[124.34716506],[181.6177348],[87.41345503],[78.79499571],[58.36286393],[56.71044826],[113.64739189],[74.35914731],[81.03700508],[150.7451361],[37.70535034],[174.84257886],[111.09419525],[138.52239422],[87.04244934],[681.58482947],[113.79487926],[138.36800165],[77.81014873],[158.50029329],[82.54128501],[61.95352161],[38.59540574],[12.72449145],[51.1502796],[89.97911151],[32.28912529],[83.2399819],[366.94467927],[64.1962868],[113.224332],[162.92623413],[148.37445042],[143.85873948],[121.85874714],[95.55632131],[78.54840305],[140.17161025],[118.31159697],[125.74770128],[50.19763237]
12,[39.99793345],[61.07687654],[112.47060844],[43.39845161],[84.91741378],[222.57625039],[79.40602999],[159.24811485],[47.35419346],[167.67614491],[296.62018754],[22.17790266],[49.25832902],[74.49140546],[98.37566773],[63.92995051],[58.43884866],[123.85319231],[176.08807767],[87.54381809],[77.88139362],[56.80411097],[55.8630453],[93.5657437],[75.47676567],[79.16513212],[149.28576028],[36.69481086],[174.78547813],[106.53169871],[140.07561968],[87.50921877],[665.69620884],[114.65853745],[126.97790927],[76.95695353],[158.47903602],[81.26227879],[60.89489238],[38.11148322],[12.62939352],[50.63756303],[90.56184986],[32.42221978],[80.50706901],[363.94805856],[60.50513589],[110.20061408],[157.93096857],[148.31381791],[142.42476957],[119.55184558],[94.63360362],[78.96355316],[138.5336753],[115.63525943],[121.43401892],[49.07339386]
13,[40.29875486],[61.45352606],[104.23893064],[43.48399828],[84.34511439],[222.04073695],[79.34991324],[160.40741768],[46.74834467],[167.35288728],[290.53799694],[21.58968191],[52.08114286],[74.7683801],[104.6025019],[63.37654368],[57.67075235],[123.14381333],[175.91728016],[87.22977075],[78.42987882],[55.8470928],[55.89537608],[92.7894606],[75.80359392],[79.47127605],[148.98676938],[36.20189776],[174.39849593],[104.85150485],[139.2189952],[86.92318518],[662.93871845],[115.57186924],[124.43383387],[76.30027504],[160.49469387],[81.32385094],[61.34409708],[38.00863474],[12.23134718],[50.89956308],[90.78170802],[32.46777433],[80.03735516],[365.12011525],[59.86356477],[109.96018165],[138.0999967],[149.16057342],[142.22015521],[122.40008616],[90.26195396],[75.9834932],[140.81805895],[115.39660667],[121.15764151],[48.86492921]
14,[39.53447408],[57.65345905],[105.90353388],[43.32371971],[85.18646333],[213.69616062],[68.30865402],[145.90362006],[47.10000716],[168.04211059],[283.23435999],[22.15265507],[50.80377019],[68.00258438],[103.72100604],[63.21207217],[58.41334554],[121.75576795],[175.10278248],[83.61907775],[78.28214666],[55.06428958],[57.14854432],[96.97799736],[73.7418228],[77.55006871],[149.4667481],[36.09304592],[171.09291838],[105.30897027],[138.96991679],[87.37651952],[667.47593254],[115.42650095],[124.17160874],[74.75153339],[125.45011426],[82.09079278],[58.96897238],[37.08069401],[11.99675384],[50.90004897],[86.85955013],[31.88922356],[80.43126393],[355.34137785],[60.59110491],[114.18706148],[142.37968428],[147.56725963],[140.70102375],[120.72780088],[90.50354634],[77.42709878],[140.87687996],[114.18587032],[122.6014894],[48.64253332]
15,[39.26344433],[55.92705722],[105.24634456],[43.67226051],[86.29181537],[209.65059572],[69.60628368],[141.61889791],[47.54250426],[168.34658495],[280.89806863],[22.07584258],[51.05629963],[68.77340266],[101.84387828],[62.50380513],[58.65691646],[119.03162247],[176.20706928],[83.89129913],[78.51639073],[58.56356696],[57.68762169],[95.00491948],[73.61199338],[76.87934621],[149.42703054],[36.10982845],[171.75525252],[107.10843297],[136.09403195],[86.9813186],[673.13033133],[116.03460442],[126.41238634],[74.08015575],[125.01913287],[82.14673111],[58.931789],[36.59728663],[12.37445581],[51.00223559],[83.14527388],[31.74143355],[81.46324957],[345.77468858],[59.97522848],[115.18499473],[143.43224606],[147.25889376],[141.65640253],[121.03968755],[90.83151971],[76.0179156],[138.45868231],[113.77776499],[106.44407587],[47.93393094]
16,[39.03519192],[56.31722644],[105.51028624],[43.47890658],[84.93855546],[209.24854026],[69.42655401],[140.55773483],[46.92500288],[166.57606938],[283.49990983],[21.7834971],[50.62156279],[66.90938031],[103.70227593],[61.99329832],[57.40301123],[116.30456911],[173.99531451],[83.72013634],[77.09237517],[57.62525595],[58.50858949],[91.57441296],[74.26234591],[75.44305169],[147.22558265],[35.71034472],[168.89874868],[103.79722426],[139.56709109],[90.34013467],[670.53511456],[115.36902223],[123.88584708],[73.16798346],[129.13755913],[80.97592335],[59.33389995],[37.13823303],[12.50095678],[50.53099442],[84.84715331],[31.05009498],[80.64651925],[346.78436854],[58.14118974],[114.96581009],[141.24691934],[146.1328952],[139.73112714],[120.26959049],[89.81011079],[78.00969775],[137.42993167],[121.36487888],[104.69309523],[47.36213561]
17,[38.7453703],[56.88125972],[103.83424654],[43.237321],[85.24646378],[198.61390515],[76.48035138],[139.76514094],[46.72511691],[166.90217742],[277.16123021],[21.58880448],[50.65461842],[68.82887857],[102.64638541],[60.95026816],[53.10064634],[118.06902012],[174.21607248],[84.15006979],[76.8086992],[57.88161778],[59.79859606],[88.73483433],[72.62596291],[75.43036137],[155.93480864],[35.42054937],[168.25431142],[105.24999505],[135.71598801],[86.8940494],[666.54278311],[115.06721118],[124.11337625],[72.81375895],[135.53522555],[81.11771555],[58.92684814],[36.68523648],[12.44498118],[50.02935915],[82.92964692],[30.69918041],[80.99148963],[345.00408862],[57.58415959],[115.44252661],[140.48808418],[145.9855694],[139.28033966],[120.99032541],[89.3838842],[78.00174863],[136.88810029],[122.13291614],[100.84115381],[49.69503643]
18,[38.37583685],[55.81302475],[102.85364325],[43.61934951],[85.84150001],[189.40433588],[71.23178564],[134.74305917],[46.81249084],[173.27455629],[273.30525265],[21.59420639],[50.20068864],[65.37688735],[102.30628654],[60.69295668],[52.67506594],[117.42584229],[173.54969234],[81.65122576],[76.64732576],[58.60196706],[59.44854375],[89.61847644],[71.62006605],[73.53321679],[153.40620682],[37.21834656],[165.56530675],[105.18869113],[134.71437518],[83.36752845],[673.41199555],[114.93911787],[121.58536128],[72.18736537],[130.02696527],[81.64103188],[58.45427308],[34.20092759],[11.83316652],[50.18137827],[80.11796497],[29.86242801],[81.28072355],[336.36255461],[57.47240177],[115.40960297],[141.91667969],[146.16294981],[138.08163699],[118.89012458],[89.50590447],[77.81064286],[136.86935899],[118.8759861],[102.65650588],[49.00254261]
19,[39.10464738],[55.97717933],[104.8035283],[44.26651795],[85.87522414],[195.78999827],[69.87662562],[135.25496262],[46.94896235],[175.24716826],[277.39785981],[21.61180456],[51.0375567],[65.23262992],[103.33590422],[61.63491095],[52.44870895],[121.69866918],[176.02110132],[82.19208107],[76.98585562],[58.62755301],[60.62215931],[89.68600912],[72.51655009],[75.4362113],[155.36725045],[37.99372474],[167.59960255],[106.26186225],[134.42131367],[87.45253476],[672.4212857],[115.18501569],[122.1430333],[72.52378351],[130.29948122],[82.21663535],[58.83304111],[34.98903399],[12.29362241],[51.10322739],[82.70522478],[30.08697565],[81.28181758],[341.02908065],[57.51837327],[117.17025477],[143.31958671],[146.62228894],[137.97994061],[120.44743303],[89.21746417],[78.76678495],[138.03949949],[120.56962268],[103.14749486],[49.82566771]
20,[39.86027433],[58.85994304],[107.36496108],[45.63507057],[87.90036899],[200.0595509],[72.04616954],[139.14413046],[47.65170702],[177.93842416],[295.52562715],[22.02590535],[52.6094653],[65.86094146],[107.33131956],[65.16207083],[52.91543384],[126.09725849],[180.32156302],[83.43360971],[78.11197535],[57.8396283],[61.08314646],[91.33593627],[74.1764124],[79.39118557],[155.52466137],[38.61436704],[175.3379769],[108.39968459],[137.28916558],[92.62029661],[678.40026136],[116.57383139],[125.13694261],[73.77637066],[134.74744834],[83.91149473],[59.99682459],[36.51809626],[12.80326242],[51.9272774],[83.82960408],[30.39008466],[82.39323599],[366.39295907],[57.99764213],[119.56765012],[146.34607486],[151.45633208],[142.05985855],[124.5260498],[91.004959],[83.34834414],[140.09006694],[125.14701971],[104.52210947],[49.92078227]
21,[39.81551598],[58.78893679],[107.79097493],[45.54123491],[88.57568051],[195.62410996],[70.22819467],[138.49081809],[48.09315444],[178.29649294],[294.25928301],[22.2317557],[53.12877694],[65.51185831],[108.2898693],[66.72005505],[52.64542498],[128.49007357],[182.78659402],[74.4807809],[78.81393842],[58.06396796],[60.9257178],[91.30591006],[73.87459194],[80.76268649],[157.28573083],[38.63973058],[178.85737448],[109.51343745],[137.72638655],[92.75763927],[685.89580057],[117.02549118],[126.13651506],[73.99124531],[130.51050603],[84.21436515],[60.41220768],[37.26930268],[13.10679161],[50.73159831],[80.47569827],[29.99296293],[83.43955031],[367.623431],[57.58401325],[120.69101459],[145.07043273],[152.34603164],[142.90113685],[127.6747642],[91.54310885],[83.24893529],[140.9361637],[127.91763942],[101.95207983],[50.36488938]
22,[40.03650012],[62.66917468],[105.98445741],[45.78773742],[90.91864295],[212.46681218],[74.52872256],[146.25469294],[46.53567752],[174.47042707],[318.31753192],[21.85525134],[56.35722803],[68.76611616],[119.64246995],[54.14446614],[50.82999503],[135.62340517],[181.72763503],[75.74790686],[80.03617881],[59.32145135],[61.22060986],[92.50390204],[78.36226702],[72.12602676],[157.58182979],[37.10364306],[185.77073883],[109.02804108],[133.25663283],[104.45039895],[652.44335582],[120.21508502],[121.6794332],[77.94360504],[140.7847134],[82.77910691],[63.94539595],[38.81238346],[13.57741755],[50.76716632],[83.65323249],[32.20324755],[80.74059237],[418.12750062],[58.3621771],[116.24268406],[146.0743825],[152.05935161],[141.88032816],[119.58679397],[88.60415576],[92.76138108],[142.28139812],[117.56109867],[101.73242965],[50.8549322]
23,[40.59749615],[63.86533724],[107.46768799],[46.86972727],[90.48720396],[215.46021956],[80.02527095],[151.18212247],[47.83519359],[175.33686372],[323.90466569],[21.85442286],[56.47107817],[71.52408644],[120.5663559],[55.58595743],[49.35601127],[134.41320543],[180.30660111],[77.29419699],[80.11503381],[59.8756241],[61.01156641],[92.89011961],[77.67899217],[72.57138914],[154.808015],[37.69801664],[193.03605949],[108.77511502],[138.25539852],[103.50235531],[633.58623943],[119.60670619],[126.22104224],[78.22745183],[147.69787396],[82.67188388],[64.71088437],[38.09978445],[13.70921408],[51.15185149],[88.89285414],[33.40420139],[81.49915083],[420.75259038],[59.34754718],[114.43122687],[142.72131312],[154.02597099],[145.79043974],[121.26020361],[89.02215642],[95.71107486],[143.22114273],[120.64451296],[100.55436262],[51.09639366]
24,[40.14408066],[63.35697708],[110.14580531],[46.27665632],[91.46321998],[207.23973339],[79.35191502],[149.48145244],[46.70467454],[170.34954379],[318.07084921],[21.55501218],[56.44259388],[71.43512973],[118.7856045],[51.24649969],[48.44346813],[133.50099551],[177.01519099],[76.09231949],[80.81640758],[59.48832789],[60.16292478],[90.94769598],[76.24013899],[70.12688472],[156.67254585],[36.78586758],[192.81750195],[109.28638917],[137.58008868],[105.17764697],[622.61199687],[118.86572662],[124.62153542],[77.64930036],[143.03613372],[82.12580322],[63.8863237],[38.00033471],[14.44123533],[50.94655643],[88.81797622],[32.52879513],[81.43373224],[419.91331394],[59.84371604],[110.42350315],[143.31496728],[151.36282484],[146.09703289],[118.84037982],[88.11850187],[91.97733751],[142.23690147],[120.53171999],[98.11503113],[50.71679523]
25,[39.19479235],[62.90734133],[110.0468589],[45.29101123],[90.03792611],[201.5628011],[80.42868065],[146.233427],[44.92895696],[162.98433915],[321.73903517],[20.92601925],[56.42546598],[72.1574304],[120.005222],[51.4997051],[48.77570153],[135.9746692],[169.99792083],[75.52339683],[79.15446975],[60.65484336],[58.62375197],[86.47855545],[76.58789839],[72.88976092],[157.60776951],[36.62534473],[198.9509966],[109.36451291],[136.8011818],[102.96498082],[625.72366848],[116.51688725],[127.81973789],[76.93517864],[143.62601004],[79.00269535],[63.4988489],[38.27705425],[14.43752691],[50.31767666],[91.49380724],[32.26967359],[84.82706431],[440.65114454],[58.46080032],[107.08658143],[141.91991888],[148.4635857],[152.0922331],[121.51572296],[88.04183377],[93.33300246],[140.41305371],[126.57235427],[98.04642675],[49.30559491]
26,[39.8265387],[62.92747447],[111.46232777],[45.34589621],[93.78217869],[196.97274727],[80.83971171],[147.08035567],[46.0562487],[166.91208103],[323.68118891],[21.17805217],[56.69316897],[71.54393517],[120.46861491],[54.84564232],[49.25793357],[137.65498577],[172.75010014],[75.13397816],[79.63770377],[60.31182565],[60.03347618],[89.27983118],[76.78410036],[73.56086807],[158.1987526],[37.62440038],[199.04314949],[113.06832255],[136.51452996],[103.04462426],[642.63153382],[116.52840054],[127.64920415],[77.57743561],[143.08854617],[80.54166008],[63.70893582],[38.72699998],[13.97434745],[50.91880836],[88.57157888],[32.14331694],[85.13763378],[431.24183995],[58.50699249],[110.46446516],[148.35931104],[148.71243442],[151.90769271],[122.40551615],[89.23987551],[93.09010301],[141.62014995],[128.44601388],[101.25591874],[49.25721868]
27,[39.96269093],[61.62895874],[111.61629969],[46.16016575],[93.86577088],[196.66896517],[79.40780738],[147.50190566],[45.91943187],[169.97669454],[317.62675048],[21.41963045],[56.21209567],[70.97064102],[119.6258232],[55.54538276],[48.96955476],[137.94693594],[171.73950145],[74.78128347],[80.25624672],[60.41030452],[60.61576858],[89.1874254],[76.02244151],[73.5746385],[159.24333878],[37.49974447],[200.36885612],[112.78157591],[135.00423746],[100.78599047],[645.11492439],[116.32300192],[127.20782523],[77.0635683],[141.40818797],[81.00944519],[62.72536978],[37.9144578],[13.88152781],[51.46627397],[85.84420782],[32.07168947],[84.74774374],[420.84532417],[57.82585944],[109.47967074],[149.9419564],[149.58088096],[151.30278039],[120.28270036],[88.60390261],[90.66312191],[140.82314376],[127.92104522],[100.91460576],[48.92723193]
28,[40.42548067],[61.70912063],[113.78598537],[46.00409143],[97.38277197],[200.58427433],[79.93801457],[147.47642674],[47.19788888],[174.68256589],[319.35428419],[21.65160022],[56.7099907],[71.54333256],[121.98029519],[57.23247558],[49.52236911],[140.02530704],[175.139704],[74.17076988],[79.99168923],[62.00892109],[61.07226615],[90.68173935],[75.48856917],[74.22515935],[158.76764384],[38.59290549],[202.37706724],[115.08892925],[134.26048098],[105.88879619],[654.26353094],[116.65408695],[127.02486647],[77.68621372],[141.45828083],[82.04737174],[62.79692877],[37.53420739],[13.99593265],[50.99114243],[88.43119939],[31.74119582],[85.66890625],[401.80611064],[58.88877844],[111.21626598],[148.69187888],[149.18751258],[150.51904475],[123.64261003],[89.50067975],[90.87132255],[139.08805937],[128.98368003],[101.08406885],[49.18800191]
29,[39.77610852],[60.48413227],[113.4181935],[45.06898804],[94.81737432],[191.90188793],[79.86890359],[145.17724903],[47.03100004],[171.72236982],[317.39684706],[21.32366215],[56.72315631],[70.91008777],[121.85718048],[56.83218272],[49.51980021],[138.64032553],[172.09315285],[74.13686958],[78.9966556],[61.46457978],[60.23665655],[88.87325714],[74.68289238],[72.38404186],[157.11555975],[38.24047332],[200.13955013],[116.17837224],[131.90729812],[103.56123448],[655.19358556],[115.40635405],[126.0730285],[76.75813488],[140.10305963],[80.89483095],[61.93986221],[36.43911402],[13.95877316],[49.9583391],[87.94469335],[31.48840803],[85.62001513],[400.80861265],[58.55665294],[111.34305274],[150.74741305],[146.15547042],[149.48547557],[122.52107938],[88.21983401],[89.65192455],[135.38897692],[128.46649497],[100.56942574],[49.74178124]
