,Alaska_Air_Group_predictions,Allegion_predictions,American_Airlines_predictions,AMETEK_predictions,A_O_Smith_predictions,Arconic_predictions,Boeing_Company_predictions,C_H_Robinson_Worldwide_predictions,Caterpillar_predictions,Cintas_Corporation_predictions,Copart_predictions,CSX_predictions,Cummins_predictions,Deere_predictions,Delta_Air_Lines_predictions,Dover_predictions,Eaton_Corporation_predictions,Emerson_Electric_Company_predictions,Equifax_predictions,Expeditors_predictions,Fastenal_predictions,FedEx_predictions,Fluor_predictions,Fortune_Brands_Home_Security_predictions,General_Dynamics_predictions,General_Electric_predictions,Grainger_predictions,Harris_predictions,Huntington_Ingalls_Industries_predictions,Ingersoll_Rand_predictions,Jacobs_Engineering_Group_predictions,J_B_Hunt_Transport_predictions,Johnson_Controls_International_predictions,Kansas_City_Southern_predictions,L_3_Communications_Holdings_predictions,Lockheed_Martin_predictions,Masco_predictions,Nielsen_Holdings_predictions,Norfolk_Southern_predictions,Northrop_Grumman_predictions,PACCAR_predictions,Parker_Hannifin_predictions,Pentair_predictions,Quanta_Services_predictions,Raytheon_predictions,Republic_Services_predictions,Robert_Half_International_predictions,Rockwell_Automation_predictions,Rollins_predictions,Roper_Technologies_predictions,Snap_on_predictions,Southwest_Airlines_predictions,Stanley_Black_Decker_predictions,Textron_predictions,TransDigm_Group_predictions,Union_Pacific_predictions,United_Continental_Holdings_predictions,United_Parcel_Service_predictions,United_Rentals_predictions,United_Technologies_predictions,Verisk_Analytics_predictions,Waste_Management_predictions,Xylem_predictions
99,[99.15123736],[73.86686834],[46.84515481],[54.94913199],[50.22652109],[28.00120736],[182.04269077],[79.817251],[94.8422045],[118.52855437],[60.4658359],[49.44011859],[152.01522469],[110.83766923],[50.1276594],[80.28412912],[71.98273031],[60.37806911],[132.77125275],[56.49388949],[51.84589729],[194.3926115],[55.44423894],[58.72749641],[190.00664304],[30.13714405],[249.91119826],[110.48546694],[218.85542198],[80.06394479],[56.36843992],[97.83534816],[42.00378426],[89.49806619],[167.45053939],[268.05141883],[34.07099247],[44.80775491],[122.43168947],[243.05098107],[68.60036928],[157.05213481],[59.06508402],[37.99166459],[153.85510184],[62.06034488],[47.47971973],[153.04967627],[36.54700052],[212.92165874],[170.68193437],[58.90035288],[128.20006579],[48.13073083],[248.95637572],[108.97938044],[75.69071362],[105.91103782],[128.78974597],[112.43704688],[83.9718924],[72.88446401],[48.81285946]
100,[96.5312978],[73.09228651],[45.32290661],[54.53609537],[49.56819743],[27.81764735],[180.9741358],[79.32070185],[95.75598391],[118.65942243],[60.73587973],[49.81180408],[152.20101462],[110.89788206],[48.92897415],[80.34261409],[71.6600999],[60.25079251],[131.9720546],[56.42982137],[52.16481711],[193.90190238],[55.03603081],[57.93676983],[190.76638573],[30.00274383],[252.36401902],[109.97023999],[218.08055155],[79.30970647],[56.40005452],[98.59859598],[41.78128943],[89.21638595],[168.33807574],[267.78292158],[33.50946547],[44.41697482],[122.99879056],[243.16765224],[68.28612067],[157.69242143],[58.83456793],[37.76316099],[153.44739487],[61.96397987],[47.35108494],[152.9692247],[36.32660076],[212.39007442],[168.80296487],[57.66676122],[128.4212216],[48.018576],[247.43346065],[109.35194438],[73.19710759],[106.10339802],[129.68633043],[111.50538567],[82.83635122],[73.02879991],[48.49088403]
101,[95.45980384],[72.93765729],[44.74116519],[54.52506115],[49.69275008],[27.05738899],[182.00152245],[79.01595618],[95.98021604],[118.35687817],[60.61393865],[48.59030759],[152.01950122],[110.14043028],[47.67322938],[79.48160116],[71.63778824],[60.23568305],[131.43159361],[56.14610867],[51.38721085],[193.01053959],[55.01937471],[57.90752301],[191.68191277],[29.84846367],[250.5992929],[109.75072253],[217.96667144],[79.58545364],[56.42971494],[96.5750401],[41.46649368],[88.98745899],[169.14205333],[269.27075658],[33.25106336],[44.49599526],[121.91531822],[244.14435598],[67.53005105],[157.62085938],[58.77987465],[37.47107606],[154.52372602],[62.1094534],[47.53926503],[153.73206274],[36.18635745],[212.10936429],[168.41315646],[56.82184587],[128.02333043],[47.8176954],[243.20210197],[108.31278017],[72.60218106],[105.65743543],[127.92256715],[112.3363167],[81.91862599],[72.72816407],[48.81055857]
102,[95.05416108],[73.20279059],[44.95896626],[54.52189995],[49.48893612],[26.91920597],[181.7736628],[78.83283807],[93.3458654],[118.45413137],[60.60112816],[47.70642204],[151.22457752],[110.56715856],[47.71711834],[77.2585689],[71.84593675],[59.76229167],[132.03134951],[55.94366923],[51.40720788],[192.93615636],[54.68249878],[58.6755764],[190.64279351],[29.80543639],[249.96968611],[110.07963319],[215.433679],[79.19633859],[56.73946311],[96.7885229],[41.16303442],[88.16649637],[167.75168796],[267.83792368],[33.81996103],[44.39105817],[119.94420713],[243.81647605],[67.39692356],[157.68660134],[59.37336515],[37.55461859],[154.12191602],[62.15911188],[48.46682749],[153.11344046],[36.16581514],[210.44046537],[169.16177231],[56.78263525],[128.38739239],[48.05198299],[241.28002431],[106.6621639],[73.58917283],[105.72383628],[124.58767128],[111.713743],[80.76754971],[72.22973929],[47.62580776]
103,[94.89200775],[73.54911496],[43.26939999],[53.79399627],[49.47866864],[26.60455483],[180.5201575],[78.60777163],[91.22988863],[117.97167775],[60.45834458],[47.57581464],[148.79809702],[109.55486723],[47.27666451],[76.34631255],[71.59320854],[59.23232795],[132.74183019],[55.8887723],[50.13438937],[191.36534284],[53.51936534],[59.41770657],[190.36232368],[29.66303431],[243.77819825],[109.99494218],[213.70736614],[78.62099248],[55.84749707],[96.14986425],[40.83644827],[87.33939532],[169.68892442],[268.8846224],[33.71347877],[44.35022779],[119.47532047],[244.27535308],[66.74295603],[156.24618365],[59.15322948],[36.72352775],[154.28539426],[62.32247182],[47.58332353],[152.22915243],[36.04245843],[210.69478891],[168.62043536],[56.3361427],[127.66243437],[47.48086005],[241.89045467],[106.1362644],[72.65339992],[105.9130651],[121.94864527],[112.02697835],[80.16343518],[72.29763265],[47.63484999]
104,[96.51118882],[74.52588678],[43.91639877],[53.65485861],[50.0658384],[26.88538693],[178.74529946],[79.3838455],[92.2725266],[119.04101179],[60.56817156],[47.77927184],[151.5092241],[109.97677502],[47.87662494],[76.95439769],[72.54555151],[59.51509288],[133.39298115],[56.5772155],[50.87455105],[192.16245],[54.71019033],[60.08272867],[190.89096829],[30.30921564],[245.38309957],[110.68860005],[211.70702397],[79.50971262],[56.39711201],[96.69016541],[41.23834589],[87.34946939],[170.50032053],[268.70968077],[33.94859042],[43.72471196],[119.71002806],[243.73260248],[67.76311313],[157.28217966],[60.13074984],[37.31210175],[154.45689174],[62.77017835],[48.14479881],[154.33407329],[36.51097481],[211.40270228],[170.00289173],[55.95274424],[129.25142092],[47.62652399],[232.11701058],[106.20686948],[72.34007208],[106.75746365],[122.81317396],[112.06803233],[80.02211168],[72.98489251],[48.2056438]
105,[96.46513094],[74.74963764],[42.36981005],[54.25468998],[50.47972736],[26.88344546],[179.17514248],[79.33967357],[92.73997789],[119.20447056],[60.62731959],[48.06320814],[152.88730066],[109.95076512],[47.35113132],[77.82304573],[72.72813792],[60.19557045],[133.38174175],[56.79001086],[51.38426369],[193.18296312],[54.71596365],[60.11303402],[191.77117934],[29.8347857],[246.53357811],[110.84277349],[213.5652768],[79.69710305],[56.44450428],[95.24650302],[41.28266971],[87.41924604],[170.40751051],[269.41283029],[33.7087731],[43.48549937],[119.57560778],[244.5591267],[67.90245676],[158.21147675],[60.80580208],[37.67694556],[154.65224156],[63.02017523],[48.33775489],[154.50250874],[36.4574792],[211.23171299],[170.90228172],[54.54743215],[130.68939],[47.3970575],[235.09913571],[106.3516783],[69.84568615],[107.51152428],[124.26325207],[112.35155051],[79.80001035],[73.12238091],[48.56467405]
106,[94.64019545],[74.34868263],[41.09624853],[53.50653242],[50.5225209],[26.65680827],[178.75085861],[78.6170661],[91.92509961],[118.59059166],[60.44855453],[47.86737467],[151.1002913],[109.19941633],[46.28368688],[77.11044168],[71.84735128],[58.97627887],[133.49422701],[56.26431215],[50.75763177],[191.51384447],[54.09218082],[60.01424236],[189.86376286],[29.56333602],[244.53132546],[110.61520094],[211.93711525],[79.07470523],[55.50127587],[94.4088636],[40.88379016],[86.44511904],[170.45407257],[268.11321848],[33.68768519],[43.64891926],[118.42825576],[243.9498163],[67.36067343],[157.24470066],[60.29938095],[37.262713],[154.49293629],[62.9115294],[48.18232715],[152.55144167],[36.55511887],[211.28475138],[169.67689976],[52.89320961],[129.8552639],[47.22425475],[231.91058509],[104.28682844],[66.52355803],[106.80400479],[122.35953856],[111.82171069],[79.35230506],[73.0347452],[48.10233787]
107,[95.41560592],[74.93026879],[42.15678607],[54.17544097],[51.79561416],[27.28675833],[178.78473156],[78.54740379],[93.36246104],[119.46958911],[61.08544799],[47.96801219],[154.24083975],[110.91087014],[47.23832396],[79.20756353],[73.90375661],[60.27253155],[135.34945771],[56.41844631],[51.59930296],[193.2400021],[54.50802472],[61.08182177],[191.79911999],[29.77149115],[247.36670627],[111.86658118],[211.9441393],[80.84584883],[56.35396527],[95.09362738],[41.89889672],[87.52687247],[170.45276647],[269.6153845],[34.38498416],[44.05318853],[117.576021],[244.01395136],[68.84463723],[159.49997745],[62.74405425],[37.69033793],[154.82698574],[63.64002099],[48.6584301],[156.37386731],[36.8863087],[213.89853796],[172.12558097],[54.30543535],[131.01016444],[47.82601507],[232.52438641],[105.52968331],[68.40953901],[107.70822683],[126.66490149],[113.10508589],[80.12196963],[73.80599466],[48.53814677]
108,[94.1959771],[75.23686628],[42.22587586],[54.02426304],[51.82232841],[27.37381227],[178.32530877],[78.24685174],[92.90659911],[119.30652155],[61.33736312],[47.64953564],[153.74869164],[110.72769516],[47.45566772],[79.29435389],[73.30686114],[60.18411135],[134.95643689],[56.17976495],[51.19581634],[193.20161181],[53.9327181],[61.13776008],[190.60270527],[29.72103467],[244.98454651],[111.66773316],[210.17240836],[80.5672961],[55.83019867],[94.46937103],[41.82233123],[85.71320533],[168.06928047],[267.99910524],[34.64931968],[44.01781152],[115.35382153],[240.46563071],[68.83095468],[158.37319193],[62.54743799],[37.45619361],[153.74418064],[63.17932832],[49.38626874],[155.58185803],[36.84328271],[211.26617366],[172.96391722],[54.16978607],[130.99417439],[47.68635058],[237.06312135],[105.33417042],[67.79774335],[107.81356355],[125.17094509],[112.2644937],[80.36347079],[73.19553244],[48.76595982]
109,[93.4863711],[75.55496733],[41.72013661],[54.35905008],[52.18260045],[27.45811914],[180.33131616],[78.98295904],[92.86361306],[124.62115725],[61.51750156],[46.94403339],[154.57389546],[110.40804211],[46.47190687],[79.59922944],[73.40877224],[60.69685244],[136.23741212],[56.40697547],[51.93895138],[194.69389212],[53.59252532],[61.06116994],[193.64820777],[29.90795692],[243.94023586],[112.40472598],[213.99692058],[81.08870732],[55.42808102],[93.9632155],[41.90876072],[84.17054564],[169.28518074],[272.27622605],[34.67948676],[42.67819639],[114.77978497],[244.20342483],[69.47726631],[159.10426284],[62.75029278],[37.25309272],[157.01814019],[63.34978366],[49.54129965],[156.14709238],[36.89977372],[210.98828298],[173.15596458],[53.23688557],[131.45989859],[47.76807074],[240.11951725],[105.91820211],[66.77096915],[108.15278713],[125.3610023],[113.58904745],[81.20029421],[73.57866171],[49.18487613]
110,[94.70606483],[75.18992192],[41.70130803],[54.19206398],[52.10408632],[27.88304317],[179.31163464],[78.95750448],[95.42077653],[124.46736642],[61.8621779],[46.87801089],[154.1448769],[110.93383704],[46.87097745],[79.62502318],[73.1139545],[59.98834366],[135.57164551],[56.29036876],[51.73503484],[192.35789311],[53.2731784],[60.92735474],[191.84041941],[29.74211655],[241.88457495],[112.64629525],[211.70137539],[81.25736955],[55.44804454],[92.87236078],[42.27620795],[83.46511724],[168.20918978],[272.12326668],[34.52073093],[42.7322468],[114.93830093],[243.36477664],[69.08155073],[158.138219],[62.09195531],[37.14395073],[155.82734843],[63.27608071],[49.06368079],[155.75616362],[36.6129572],[210.38045249],[171.65675229],[53.56183175],[131.1985466],[47.63806393],[238.1405268],[104.97346228],[67.50242571],[107.08824336],[125.11591168],[113.37207063],[80.89560504],[73.15611062],[48.87889635]
111,[92.1853473],[74.27884517],[40.36550321],[53.30044223],[51.00093823],[26.73674995],[175.66320853],[78.41509172],[92.52650907],[123.94782893],[60.80593631],[45.70139089],[150.63609208],[109.54953473],[45.59664472],[78.24060932],[72.02384158],[58.85527237],[135.10350034],[55.64583166],[51.19853675],[191.84277495],[52.52120666],[59.80723183],[189.13163284],[29.38442758],[240.1567424],[110.91636963],[207.15149372],[79.33997037],[54.41430266],[91.54937229],[41.38231039],[82.14312937],[167.26742434],[269.2883776],[33.85302193],[41.64842522],[111.44666667],[240.17514198],[67.6370129],[156.92089567],[60.65317256],[35.94039074],[153.94103866],[62.68974943],[48.73089162],[154.23313019],[35.99502082],[208.38214637],[169.35632159],[51.88263429],[129.65173526],[46.8165373],[224.93972969],[103.62220279],[65.3278289],[106.47561253],[119.77568929],[112.24740058],[79.59571662],[72.59525341],[48.12117218]
112,[93.01201418],[74.84146127],[40.3188776],[53.37653994],[51.00086527],[26.43846427],[177.4087415],[78.10628011],[92.2817804],[124.32987317],[61.13888156],[46.37482272],[151.8719731],[109.82360835],[45.75199071],[77.89684068],[72.53893651],[59.04677552],[137.2246444],[55.82373877],[51.69448864],[195.88980435],[52.59989384],[59.7474916],[189.44963011],[29.54597609],[240.03074491],[111.11085941],[208.45836187],[79.59454317],[54.75678151],[91.67633323],[41.75188105],[82.38656595],[169.03402928],[269.44939463],[33.93405396],[41.40584691],[111.93990305],[240.89795586],[67.58329548],[157.44135073],[60.93748978],[36.30271563],[154.48751185],[62.74785726],[48.60772656],[154.67471137],[36.06954865],[208.55379793],[167.05373755],[52.47274428],[130.62183796],[47.09407015],[215.01674546],[104.00038546],[67.0191085],[106.53316147],[120.49755062],[111.87508307],[80.11663461],[72.63942987],[49.19356608]
113,[93.88998772],[74.95671747],[41.51946662],[53.42656798],[51.2711442],[26.82607005],[177.20161475],[77.72425747],[92.23515555],[125.89875551],[61.46341266],[46.13830209],[152.23969135],[109.5999192],[45.94984832],[78.20772404],[72.72739055],[59.01422628],[135.50856811],[55.94031519],[51.00762639],[189.52299614],[52.79782411],[60.18648595],[189.66360176],[29.61109531],[240.72195573],[111.42359784],[208.24895592],[79.75523815],[54.76689542],[90.7821204],[41.56210593],[82.28030417],[168.47175535],[269.45561171],[34.21390826],[41.30454688],[110.57526567],[239.79017586],[67.65133207],[158.16224207],[60.99895525],[36.44832651],[153.08633522],[62.70351064],[48.7327663],[154.14724983],[36.05159426],[207.63352203],[166.32577491],[52.41800373],[131.17733138],[46.92141324],[212.00330188],[103.7801631],[67.61201651],[105.67818698],[120.66657598],[111.7362075],[80.03331244],[72.57536658],[48.95611812]
114,[94.76685331],[75.12970741],[41.82447339],[53.46763699],[51.25222811],[26.76425585],[175.63873565],[77.55298488],[92.13559474],[125.28764199],[61.3277845],[46.32280333],[151.10053968],[108.99120198],[45.99659468],[78.25623706],[73.01578461],[58.65451684],[136.12420951],[55.85155308],[50.82072632],[188.02943567],[51.46258265],[60.44610588],[187.92471641],[29.73199965],[239.46503418],[110.84270874],[205.45783361],[79.26469929],[54.10473659],[90.254002],[41.20280162],[82.61062388],[167.04545449],[267.6536452],[33.99768581],[41.30402446],[110.66887076],[237.29475845],[67.70158598],[156.89061948],[60.77995695],[36.16763242],[151.26512692],[62.55655643],[48.22103527],[153.44912637],[36.09719936],[206.59770286],[165.75431258],[52.62026136],[131.0503335],[46.21314157],[211.25728426],[103.87397321],[67.97493683],[105.04384613],[120.79295272],[111.87296543],[79.72914241],[72.34215672],[49.24181763]
115,[94.89719258],[74.82929765],[41.75512016],[53.52000811],[51.35161264],[26.57177003],[176.49642078],[77.09661526],[91.5788369],[125.22866641],[62.14842105],[46.22700312],[149.79326756],[107.18590082],[46.08279802],[77.92045151],[72.61746292],[58.40894452],[135.53080906],[55.64039129],[49.99621167],[186.88392882],[51.39627634],[60.31251018],[185.47707159],[29.44227207],[237.20665019],[110.87461482],[201.91133845],[78.59445454],[53.67482559],[90.54775467],[41.37116909],[83.84272332],[165.3367933],[267.339934],[33.76779776],[41.06636001],[111.26458523],[235.83174238],[66.57660892],[155.54117319],[61.13309188],[36.07111003],[151.34265267],[62.16634271],[47.17211566],[152.91581998],[35.94330848],[205.01596435],[165.25151793],[52.96041044],[130.85268552],[46.3452193],[215.67808029],[103.91907507],[68.29976934],[104.78941967],[119.86500918],[111.84904676],[79.6737752],[71.90712965],[49.10657789]
116,[96.35212523],[75.18653082],[42.65197527],[53.92142141],[51.30960327],[27.06425656],[177.47960772],[77.57715447],[92.92250188],[126.19438377],[62.44909047],[47.29115592],[151.60496248],[108.46129466],[46.55844574],[79.27600843],[73.27166472],[59.47268444],[136.50677244],[56.39987994],[50.93750773],[189.98383899],[51.91191684],[60.64424042],[188.47272316],[29.63300602],[239.28450477],[111.759016],[202.40897242],[79.67753055],[54.14611177],[92.42259579],[41.74788874],[85.88321109],[166.54457934],[269.19921399],[33.98493603],[41.35325239],[113.36325265],[237.33850275],[67.12401922],[158.36031373],[62.82361731],[36.43375723],[151.99341436],[62.42421509],[47.44775702],[155.20328863],[36.30655086],[207.35265753],[167.9569898],[54.21670431],[132.03434157],[46.96168862],[218.0867013],[105.41148535],[70.8384412],[106.24950734],[123.31842978],[112.76007435],[80.1103217],[72.3364221],[49.67806425]
117,[94.39071042],[75.45383016],[41.96227075],[54.18099332],[50.80867125],[26.23419181],[177.57251758],[77.33515579],[92.93915752],[126.49556726],[62.34163485],[47.3343684],[151.80217834],[108.25587493],[45.97610761],[79.95486503],[73.94805951],[59.61073542],[135.69297863],[56.3684483],[51.21752375],[191.01344371],[52.37544247],[60.91277234],[188.38041647],[29.66814764],[237.75458076],[111.11443307],[202.55519088],[79.863133],[55.18451804],[91.19209372],[42.25745984],[85.66762417],[166.92117038],[268.43505993],[33.9746184],[41.09670048],[113.22255468],[236.9337816],[67.66558694],[159.33520697],[63.06250566],[36.71043468],[151.97216366],[62.38934971],[48.04015363],[154.55626889],[36.64138693],[207.55529069],[167.66996395],[53.5483386],[132.08858745],[47.14051584],[219.10873126],[105.46736657],[69.83124534],[106.07129901],[123.61533034],[112.04074022],[80.46865535],[72.16950331],[49.43706001]
118,[93.84503603],[75.92693021],[42.54875218],[54.12599465],[51.13545361],[26.50983708],[178.13278033],[77.69577548],[93.20859538],[127.05652794],[62.12769103],[47.37804678],[152.11906302],[109.21175242],[46.29106],[80.00451204],[74.25210406],[59.62666873],[136.7537743],[56.56686565],[51.37057113],[194.27683114],[52.71943248],[60.99651145],[189.16117383],[29.87626495],[233.67602584],[111.89586722],[202.89267916],[81.02163561],[55.45207441],[91.94348563],[42.14620242],[86.94066557],[166.759322],[270.8576153],[33.83551871],[41.09916988],[114.29025201],[239.25430175],[67.64969725],[160.24954752],[62.80297872],[37.13236345],[153.29834546],[62.8160624],[48.61763822],[155.44625311],[36.93203447],[208.87321401],[168.52242973],[53.87929618],[132.72656361],[47.35392498],[219.7241856],[106.85928557],[70.73338786],[106.64019546],[124.40346143],[112.52111281],[80.78372772],[72.92928415],[49.89800146]
119,[92.26120477],[75.69321002],[42.33058644],[54.07057692],[51.15705589],[26.45909154],[176.80135023],[77.29905596],[92.77845526],[126.65704482],[61.90667979],[46.63977571],[151.12324225],[108.89864798],[46.00647844],[80.18319499],[74.10470084],[59.76758242],[136.76766686],[56.487812],[51.45170932],[195.2792346],[52.53959713],[60.86423413],[187.05196898],[29.80082203],[232.67678003],[111.31325522],[200.38559824],[81.36321298],[55.32627963],[91.74071601],[42.08237988],[85.56641463],[165.44191359],[267.61339377],[34.0083609],[41.29515639],[111.93277803],[238.05312206],[67.22109313],[160.21021815],[62.65224505],[37.12930826],[152.5266429],[62.85939345],[48.8083516],[155.58699664],[37.1171976],[206.6226918],[168.5652446],[53.8177028],[132.81363492],[47.58534476],[219.85247526],[105.82606689],[70.65979616],[107.29280234],[125.18404306],[112.09333585],[81.13322429],[72.9568283],[50.22910598]
120,[92.49739078],[75.74310312],[42.45969408],[53.64814448],[50.4705901],[26.16803346],[176.65975007],[76.76378107],[92.21449504],[124.94441555],[60.83567355],[46.60798542],[149.66293469],[108.73061004],[46.33558456],[81.25592172],[74.09412239],[59.77479268],[136.11597416],[56.07575357],[51.31835633],[195.47347757],[51.71968946],[60.63543156],[187.98959891],[29.88263886],[231.30895969],[110.29908041],[201.90529918],[81.25944461],[54.58427005],[90.35921033],[41.18059602],[86.04197447],[164.8772932],[268.91171716],[33.42907808],[41.83362317],[113.51618342],[237.96905809],[66.83599984],[159.54246204],[62.10713208],[36.48065345],[151.94757582],[62.54448055],[46.89613725],[155.36679573],[35.89202178],[206.27544277],[167.24607904],[53.99843053],[132.466516],[46.95734368],[218.65290574],[105.47564728],[71.42559426],[106.37947763],[123.68837976],[111.98870298],[79.79186091],[72.67681279],[49.54955793]
121,[90.18178082],[74.89697551],[40.83906769],[53.77204345],[50.11061877],[26.42337782],[178.96821271],[76.88582752],[94.1066674],[124.90855531],[59.93543738],[47.25597522],[150.12099243],[109.55459448],[45.13518749],[81.18008599],[74.8642268],[59.68270116],[135.87827028],[56.54240978],[51.76662912],[196.28934499],[51.89568684],[60.6282929],[187.7008944],[30.01724793],[230.87011198],[110.18591315],[202.26913672],[81.48201554],[54.56082854],[91.98237577],[41.25512209],[86.4155777],[164.75885082],[269.5381136],[33.28907257],[41.69128682],[115.25515121],[237.62920322],[66.64558764],[160.1281718],[62.83805258],[36.3414331],[151.51216866],[62.61254881],[45.95369119],[155.94974218],[36.36480759],[206.89010959],[164.65743324],[53.1464739],[131.98401098],[47.18367281],[223.32997187],[107.11203403],[69.73217788],[106.59072477],[123.84342232],[112.97317189],[80.01612838],[72.56917295],[50.30648583]
122,[90.14066265],[74.18354829],[41.28585987],[53.67672689],[49.67691292],[25.93222479],[176.81605944],[76.46895243],[94.32687017],[123.89440345],[59.66993725],[47.18076501],[149.89239242],[109.22386061],[45.1043079],[80.10629349],[74.6607526],[59.51209755],[136.55520939],[56.47011012],[51.69822248],[195.94000283],[51.77280991],[60.50945381],[186.13506068],[29.9613726],[231.7192667],[109.00911022],[198.92583661],[81.86280421],[54.25136023],[92.39684341],[41.04577897],[86.37192643],[162.56162314],[267.20552774],[33.09776919],[41.84046281],[114.63981239],[236.33778558],[66.79347433],[159.84895522],[62.37338851],[35.32329575],[150.03135659],[62.73338483],[45.7626066],[155.19932784],[36.22866119],[207.25033957],[162.90263634],[53.37205045],[131.15409252],[46.9434935],[224.44793639],[106.66542139],[70.09220581],[106.75185873],[120.99132954],[112.47275196],[79.49892129],[73.27575064],[50.4604558]
123,[89.35587041],[74.78703946],[41.81396223],[54.23934152],[49.90580376],[26.15348534],[177.56624932],[76.35970109],[95.81404197],[123.3388815],[60.01023593],[47.69158727],[150.14701672],[110.48360138],[45.30831644],[80.55484748],[74.75022841],[59.67520898],[136.13908727],[56.46479657],[50.97038061],[196.04323745],[52.31655888],[61.81272791],[186.3609216],[29.9368153],[229.71154119],[109.51865227],[200.34553046],[82.72215555],[54.57437392],[92.319795],[41.17390374],[87.1991293],[162.77927641],[267.29769101],[33.82107746],[41.95738558],[116.01378422],[236.76553798],[67.19222456],[160.29587478],[62.827432],[35.57962683],[150.87892665],[62.68540094],[45.80118097],[155.9529377],[36.35377288],[207.98402124],[164.42204241],[53.42094643],[132.466014],[47.42197885],[226.56372268],[106.9992402],[70.32186847],[106.68853692],[124.04855429],[112.50385418],[79.56969797],[73.13064332],[50.94790525]
124,[89.23356625],[74.79650514],[41.85615899],[54.13593736],[49.84798092],[26.49739295],[179.12151043],[75.78084939],[95.57979138],[122.68085496],[59.81124729],[47.49323653],[149.50612831],[109.28763815],[45.17355038],[80.16192098],[74.47822066],[59.34716018],[136.35679032],[55.82518899],[50.21382833],[195.70017437],[51.90647942],[61.9267592],[188.03625082],[29.99059278],[229.1859451],[110.18078674],[204.00849355],[82.67402668],[54.54217717],[91.05901348],[41.03573497],[87.52565519],[165.69899894],[270.25046297],[33.51616953],[41.66230471],[115.87962018],[238.93543475],[67.1722681],[161.05789274],[62.79557883],[35.84266295],[152.87498914],[62.83475673],[45.25532714],[155.29519021],[36.46388619],[208.26216269],[164.8361105],[54.54866191],[132.37724999],[47.68806556],[228.40824524],[106.94141529],[70.96913519],[104.95670292],[123.40676979],[112.896488],[79.28938273],[73.25562917],[50.8622351]
125,[88.96644761],[74.64350887],[42.36957843],[54.53473356],[50.32645253],[26.53878134],[177.23065889],[76.29098349],[97.05751896],[122.72599958],[60.1581722],[47.69373227],[149.16660059],[109.62043974],[44.95477973],[80.83837455],[75.64693104],[59.62588858],[135.60409054],[56.16625727],[50.44364979],[195.81843837],[52.66739202],[61.98790044],[187.89892738],[30.00601448],[229.36450268],[110.0617034],[204.55481925],[83.29656103],[54.96274091],[93.25329236],[41.1018603],[88.90173554],[166.32940247],[269.24691519],[33.58501782],[41.50186485],[115.44683683],[239.68679113],[67.63810879],[160.46871619],[63.08161974],[35.82291675],[151.27081948],[62.71933197],[45.27783663],[156.13959213],[36.60301211],[208.98436868],[164.77129538],[54.30927011],[132.69862121],[48.17334075],[232.8088282],[107.56349548],[71.54201875],[106.41683516],[126.17685738],[112.88891939],[79.51173591],[72.94616862],[50.79038324]
126,[88.85894232],[75.27573272],[44.05224775],[54.45378953],[50.76998941],[26.5805442],[178.87276694],[75.79828807],[97.16478463],[123.02603539],[32.81152324],[47.27305081],[150.47910113],[111.26027189],[45.31632462],[81.09249581],[75.38655415],[59.71977722],[135.89136966],[56.04705286],[50.37958445],[193.07244981],[52.69534549],[62.03296652],[188.51578485],[30.04525366],[229.56292131],[110.03471232],[205.84633991],[83.66377479],[54.6264299],[91.61729888],[41.23587016],[88.22776969],[167.36263115],[270.61638718],[33.97842871],[41.36793449],[115.27646997],[241.19311671],[67.50977671],[160.76971334],[63.44900393],[35.70489175],[152.35712988],[62.90205433],[45.94525855],[156.11357627],[36.89900039],[207.15921513],[165.22336524],[55.09467529],[132.55628116],[48.03603827],[236.31397821],[107.51754632],[70.69751926],[105.80776413],[126.10411215],[113.19347614],[79.64185783],[72.9172617],[50.68640116]
127,[88.66322996],[75.29920378],[44.02736617],[53.52735387],[49.85257956],[25.83845339],[175.85966179],[74.88192413],[94.8213606],[122.50598193],[26.06058183],[46.47137678],[147.01964237],[109.25693532],[45.07741336],[79.33730245],[74.26444294],[58.38190786],[135.37961602],[55.74201096],[46.30859615],[186.2937719],[51.06072799],[61.74261424],[186.33161583],[29.76630601],[223.39279282],[110.36722459],[203.47331634],[82.30838281],[52.98549195],[90.15729315],[40.90399467],[87.46432917],[166.66899104],[268.47171237],[33.32172256],[41.0133977],[111.7188591],[239.48144346],[65.67651139],[155.37362401],[62.2413893],[34.84882405],[151.31513214],[62.5896654],[44.88511053],[150.40690266],[36.42878975],[205.68101759],[162.70591628],[55.58372258],[132.31820274],[47.48684523],[235.46800268],[105.52228433],[69.90769318],[104.20878726],[121.09382585],[112.1742953],[79.2375276],[72.34122727],[49.47863063]
