,Alaska_Air_Group_predictions,Allegion_predictions,American_Airlines_predictions,AMETEK_predictions,A_O_Smith_predictions,Arconic_predictions,Boeing_Company_predictions,C_H_Robinson_Worldwide_predictions,Caterpillar_predictions,Cintas_Corporation_predictions,Copart_predictions,CSX_predictions,Cummins_predictions,Deere_predictions,Delta_Air_Lines_predictions,Dover_predictions,Eaton_Corporation_predictions,Emerson_Electric_Company_predictions,Equifax_predictions,Expeditors_predictions,Fastenal_predictions,FedEx_predictions,Fluor_predictions,Fortune_Brands_Home_Security_predictions,General_Dynamics_predictions,General_Electric_predictions,Grainger_predictions,Harris_predictions,Huntington_Ingalls_Industries_predictions,Ingersoll_Rand_predictions,Jacobs_Engineering_Group_predictions,J_B_Hunt_Transport_predictions,Johnson_Controls_International_predictions,Kansas_City_Southern_predictions,L_3_Communications_Holdings_predictions,Lockheed_Martin_predictions,Masco_predictions,Nielsen_Holdings_predictions,Norfolk_Southern_predictions,Northrop_Grumman_predictions,PACCAR_predictions,Parker_Hannifin_predictions,Pentair_predictions,Quanta_Services_predictions,Raytheon_predictions,Republic_Services_predictions,Robert_Half_International_predictions,Rockwell_Automation_predictions,Rollins_predictions,Roper_Technologies_predictions,Snap_on_predictions,Southwest_Airlines_predictions,Stanley_Black_Decker_predictions,Textron_predictions,TransDigm_Group_predictions,Union_Pacific_predictions,United_Continental_Holdings_predictions,United_Parcel_Service_predictions,United_Rentals_predictions,United_Technologies_predictions,Verisk_Analytics_predictions,Waste_Management_predictions,Xylem_predictions
10,[73.7218998],[67.8612941],[39.81012552],[45.10037328],[48.37911199],[26.91948192],[137.57913515],[69.12397117],[85.99034691],[106.99789352],[53.44244297],[30.40861424],[126.50167392],[86.70106793],[41.42115302],[68.79708967],[63.30018389],[50.27601924],[131.29050236],[50.25596362],[38.90338162],[172.13595972],[49.79666762],[55.39052453],[151.51201958],[28.91766798],[204.67133553],[91.3593578],[155.88961766],[65.79824668],[50.94916517],[78.77801985],[44.38569569],[90.10001629],[147.08881749],[232.26154515],[33.57381905],[54.8935864],[92.99869403],[216.68142955],[56.35322689],[120.70320353],[58.95310296],[28.45481237],[137.74557231],[50.51698718],[38.68015259],[119.55501214],[28.26396113],[171.67070065],[160.05699235],[42.33324624],[119.6570643],[39.0483937],[267.00398153],[89.7454154],[54.95123406],[108.43199522],[76.67008515],[99.49837693],[82.28529488],[62.58158064],[48.65987227]
11,[72.49757038],[65.40982508],[39.68899468],[44.79557516],[46.72846836],[27.293261],[138.97720393],[69.42655044],[84.4762259],[106.83209371],[52.96086176],[30.86721955],[125.57625958],[86.49873852],[41.27351567],[68.01970485],[63.13753158],[50.0506449],[130.47208147],[50.34641111],[38.60216437],[172.05587022],[49.76930402],[52.45474181],[152.6027299],[28.64437314],[202.97303856],[90.63227635],[156.66476919],[64.57562633],[50.42030772],[78.88636306],[43.93389188],[90.49862008],[147.93793754],[249.26854546],[30.45292809],[45.94649857],[93.25574729],[219.62815254],[54.82287836],[121.27164837],[55.78579455],[28.39035671],[139.63078974],[50.96176679],[38.62408015],[118.5187437],[28.12964424],[171.53556204],[155.91673081],[41.95331606],[117.14779739],[39.10418376],[270.38964907],[89.89555224],[54.65827087],[107.89908228],[76.5604872],[101.36418516],[82.04289081],[62.75618253],[48.09999385]
12,[71.25373798],[65.6601836],[39.31428892],[44.84441163],[45.40383552],[27.82129961],[146.05815167],[67.37787259],[84.11135699],[106.72913977],[52.50418865],[30.40400784],[126.62031197],[87.0800085],[41.42124026],[68.46885632],[64.2173379],[50.41215311],[128.81377399],[50.43462536],[39.0356708],[173.6055376],[50.62208243],[53.00093236],[151.31714299],[28.88269486],[207.65589078],[91.47967783],[159.40165642],[66.3086875],[50.8420887],[80.3398794],[44.05953121],[88.6710266],[148.72818606],[249.78705146],[30.61154714],[46.50079967],[90.05579883],[227.94875183],[55.35722777],[121.83950857],[55.4008883],[28.40715634],[141.11239538],[51.27874853],[39.44413638],[120.29429244],[30.0236045],[169.80616258],[154.7066434],[38.26520549],[116.93394],[39.81706876],[270.80980091],[88.86496681],[54.02286178],[108.54514589],[75.88917941],[101.07623661],[81.34622679],[63.95541611],[48.35803079]
13,[71.10681749],[62.767394],[39.97926134],[44.1779073],[44.87970209],[28.18953173],[142.80951398],[67.49066473],[83.03047147],[105.81244711],[51.77030111],[30.32835672],[126.24380356],[86.96210827],[41.48806538],[67.4758708],[62.26107715],[49.7786996],[123.19543454],[50.75017738],[38.40165131],[174.49925265],[50.59381624],[54.07439149],[150.2652389],[28.62082833],[206.25522724],[88.91570824],[159.41082881],[67.04246745],[50.68074395],[81.07472676],[44.0492625],[89.25473031],[138.48811695],[249.07533919],[30.49962168],[46.09298384],[91.46862628],[225.35213782],[55.32470362],[121.97394742],[54.86243737],[28.19722701],[136.46983542],[50.99470129],[36.90843696],[118.40984042],[30.65530427],[168.56661119],[153.56337991],[39.31286354],[115.20127887],[39.6010837],[269.22560613],[88.72859871],[54.52205619],[108.0936512],[76.32874273],[100.10686651],[81.3097199],[63.43619749],[48.0721763]
14,[71.69179576],[63.87014177],[40.1092674],[44.16344099],[45.02625491],[28.31694064],[143.02645009],[67.61782755],[83.86206132],[106.00111468],[52.54204325],[30.26758579],[126.67643444],[87.13359013],[41.35549931],[67.76931993],[62.38610121],[50.06718204],[122.44777077],[51.25734622],[38.76455624],[174.32544255],[52.02824109],[53.7659275],[151.45630036],[29.24394623],[208.19454041],[89.54022966],[160.21566353],[67.05860589],[51.08268343],[80.95430751],[43.75351175],[88.66329704],[139.54731412],[248.37173642],[30.55682045],[44.93495242],[92.31314379],[228.07565277],[55.41588518],[121.90656167],[55.21474635],[28.52502001],[137.89500684],[51.84820842],[36.59980592],[118.93692485],[30.58788112],[167.94519652],[153.45768926],[39.12882176],[114.7751895],[39.81706231],[271.68215972],[88.2560241],[55.20963096],[107.73761275],[75.44405497],[101.71403294],[81.44859985],[64.00128781],[48.59048831]
15,[72.13588437],[63.83894157],[40.66304425],[44.07262646],[45.13661417],[28.66541525],[142.48567479],[68.2333001],[83.55073734],[106.67726078],[52.56818525],[30.50104918],[127.77875981],[88.3447828],[41.78962252],[66.85137687],[63.63411209],[50.64269265],[124.47671696],[51.43613595],[38.95177454],[174.33974998],[51.90591422],[54.61873673],[150.85221105],[29.08805707],[207.95385412],[89.1651523],[161.45116492],[67.28468635],[51.64261316],[81.61966814],[40.3409303],[87.74521318],[137.35827951],[246.51755176],[30.99091542],[45.58315635],[92.93275366],[228.88888941],[54.9480821],[122.70892385],[55.32742259],[28.74422952],[136.55393478],[52.60334469],[37.46528316],[119.58251551],[30.74693998],[173.03524607],[154.39588016],[40.21668075],[114.0042759],[40.06801565],[272.18787778],[88.07904738],[56.2856906],[107.73285417],[75.71478451],[102.11842981],[81.5982464],[65.65542251],[48.35674622]
16,[71.39423905],[63.69558068],[39.76649581],[44.91854297],[44.67718587],[19.01401721],[142.04048768],[68.44130175],[82.22900096],[104.60818821],[51.95586626],[30.43018222],[122.2698844],[88.01343932],[41.89966239],[66.54917102],[60.81611219],[51.05316122],[123.98446774],[51.0736891],[38.39747911],[171.57779099],[51.78226352],[53.41815649],[150.20604544],[28.88634128],[204.67498053],[92.77625647],[161.6894661],[67.27250002],[50.74785422],[82.01410053],[41.11097062],[86.0114081],[135.99518282],[245.15378948],[30.00077279],[45.23062959],[91.69458281],[228.57228813],[54.59917453],[121.21688416],[54.91362476],[28.36513138],[135.13255858],[51.46189668],[37.16949245],[119.11038427],[30.45082496],[171.63151065],[152.37748452],[39.80251462],[113.85840356],[39.55871645],[270.54838597],[87.7701184],[55.95727318],[106.91075284],[72.88999473],[102.17231091],[80.90846062],[64.12406128],[47.30683362]
17,[71.01037151],[63.15385535],[39.6896447],[44.08525269],[43.99755959],[17.78694406],[140.74790328],[68.43843566],[81.07289267],[102.84858927],[51.8661138],[30.75507139],[121.79245208],[88.1278998],[41.93811516],[66.26508593],[60.88723989],[49.98154001],[122.60157028],[51.01368246],[38.24599189],[172.28936729],[51.39206851],[53.10443942],[149.64425427],[28.49400258],[203.44258789],[93.09105745],[160.16287137],[67.29751911],[50.47049579],[81.5807495],[41.60925797],[87.58838939],[134.85878597],[245.27662094],[29.46031991],[44.72058072],[91.96362668],[228.73664764],[54.55688418],[119.73039623],[53.86391676],[28.48857207],[135.42683809],[51.12746366],[37.29204761],[118.32500094],[30.64043117],[170.12704574],[152.41229546],[39.62367716],[113.65463188],[39.02057006],[266.07360541],[88.57186801],[56.09009941],[106.87637284],[70.97413961],[101.43744782],[82.28389806],[63.7323187],[46.94900767]
18,[69.70641914],[63.34615611],[39.37506988],[44.3047894],[43.80161213],[18.95949502],[140.0600834],[68.89249544],[81.22112686],[103.04498282],[52.01813807],[31.12606885],[121.63199797],[88.2842649],[41.94515603],[66.40414279],[59.43137806],[49.70707849],[123.07571532],[50.90578531],[38.58581894],[173.72971216],[51.67805096],[52.86312609],[150.13527665],[28.26571963],[204.16516183],[92.85652331],[148.90287311],[66.98794082],[50.954123],[80.34099307],[40.81838726],[87.88148636],[133.97376099],[238.77099246],[29.45857141],[43.91736194],[91.73339899],[225.82834445],[54.16234699],[119.10438451],[54.12520747],[28.28897471],[134.16978646],[51.05604311],[37.51698075],[117.42563975],[30.50166493],[170.34553097],[152.72651877],[39.71360326],[114.17210476],[38.99918908],[266.80010724],[88.63141112],[55.93473116],[107.4731867],[72.29493596],[100.98094455],[82.42129139],[63.43300688],[47.238925]
19,[70.30268203],[63.72859302],[39.78030909],[44.29525735],[44.85951932],[18.23802327],[139.58821701],[68.66836446],[82.34993679],[103.10028148],[50.79791552],[30.90022273],[124.61404791],[87.95446431],[42.90553583],[65.53527522],[61.02802925],[49.30637945],[123.68643038],[50.89235899],[39.44860663],[174.91361928],[44.84959195],[52.8790657],[149.89051399],[28.45199994],[205.31413769],[94.44923146],[146.21923658],[68.74732096],[49.19146254],[80.22447855],[40.95659104],[87.91014045],[134.44137284],[236.58285869],[29.80227784],[43.52238934],[91.56726906],[225.45952782],[54.56003861],[120.665921],[54.73612613],[28.07561138],[133.12991438],[51.29312994],[37.43259126],[117.62275666],[30.36503662],[169.89937192],[154.14992564],[40.40905495],[114.6439301],[39.06880024],[267.85852913],[88.64776105],[57.29527398],[106.9905746],[72.01181148],[101.30005106],[81.72365617],[63.39415738],[47.41642659]
