,American_Tower_Corp_predictions,Alexandria_Real_Estate_Equities_predictions,Apartment_Investment_Management_predictions,AvalonBay_Communities_predictions,Boston_Properties_predictions,Crown_Castle_International_predictions,Digital_Realty_Trust_predictions,Duke_Realty_predictions,Equinix_predictions,Equity_Residential_predictions,Essex_Property_Trust_predictions,Extra_Space_Storage_predictions,Federal_Realty_Investment_Trust_predictions,HCP_predictions,Host_Hotels_Resorts_predictions,Iron_Mountain_predictions,Kimco_Realty_predictions,Macerich_predictions,Mid_America_Apartments_predictions,Prologis_predictions,Public_Storage_predictions,Realty_Income_Corporation_predictions,Regency_Centers_Corporation_predictions,SBA_Communications_predictions,Simon_Property_Group_predictions,SL_Green_Realty_predictions,UDR_predictions,Ventas_predictions,Vornado_Realty_Trust_predictions,Weyerhaeuser_predictions
53,[106.12010036],[109.42161043],[44.77314151],[174.5279674],[124.13311303],[87.31796963],[96.47214205],[25.98027034],[357.32873447],[63.04198866],[230.8582698],[74.86325344],[139.87137573],[29.28314714],[18.95517803],[32.5542354],[25.05892772],[68.15672767],[95.54750763],[51.76097935],[218.91883819],[56.55448236],[67.49369508],[104.9443772],[176.25481696],[105.58252938],[35.56850578],[60.89062807],[102.87719425],[30.58383675]
54,[106.3289984],[109.88922891],[44.29767648],[175.83955369],[124.4165864],[87.61702348],[96.45912133],[25.91256015],[356.79694842],[63.24101801],[229.44335508],[75.50839936],[140.29501414],[29.35304752],[18.97011985],[32.46253559],[25.05428442],[69.00568807],[96.46010007],[52.08302093],[220.20376659],[56.41616015],[67.43389197],[105.30634595],[176.09158619],[106.05518333],[35.59669223],[61.55645149],[103.05433492],[30.40923129]
55,[105.88376116],[108.45738496],[44.26111861],[174.11157837],[122.50512088],[86.75591917],[96.00202582],[25.65992865],[353.5765162],[62.90677345],[227.62201675],[74.31896416],[138.8322903],[28.93731281],[18.53977139],[32.11282364],[24.70803022],[68.96230074],[95.94412884],[51.50216429],[218.24868059],[56.05499999],[66.77252782],[104.10598112],[173.92082056],[104.91109267],[35.5131561],[61.07078192],[102.29557549],[29.82984655]
56,[106.43851461],[110.46542367],[44.75052543],[175.60427391],[123.79790366],[86.9728583],[98.65916315],[26.13392194],[357.36230566],[63.65359519],[229.64737068],[75.66002353],[140.13546135],[29.38719377],[18.75803215],[32.37718953],[24.78654117],[69.27522842],[96.65465627],[52.34364703],[220.57924131],[56.706203],[68.0392383],[103.87740829],[175.82970834],[105.08924401],[35.83788202],[61.76787691],[102.88743041],[30.38875476]
57,[105.71279921],[111.22349917],[45.51148974],[177.17679867],[125.79921362],[86.79899728],[98.14039596],[26.58924309],[357.64403357],[64.3150393],[232.60931802],[77.34027146],[142.02736537],[29.75572454],[18.8595465],[32.47636558],[25.16370003],[70.91439559],[98.02724907],[52.76289961],[223.77905825],[57.54166313],[68.9483193],[103.18018495],[177.77684781],[107.47158016],[36.48706564],[62.52298828],[104.40922669],[30.04497806]
58,[106.18679005],[110.72132755],[44.92402123],[176.70899692],[127.14982103],[86.87641938],[99.50128482],[26.60539151],[358.93226907],[63.6122747],[229.38932489],[77.23728635],[143.39039078],[29.78642601],[19.15217877],[33.11387841],[25.39240104],[70.98828082],[97.35217986],[52.81717654],[223.61434882],[57.49328663],[68.88585929],[105.70955989],[182.57343735],[108.57710193],[35.94191071],[62.12184815],[104.74434697],[30.38079862]
59,[106.34009769],[113.31458615],[45.41934629],[177.42354069],[131.12392856],[87.30974022],[102.55552753],[27.23252093],[366.15652719],[64.26424212],[231.02538326],[77.49301442],[144.01577753],[30.51139754],[19.32793975],[33.95603465],[25.97444529],[71.92862851],[98.30244162],[53.75314899],[225.25753878],[58.42005961],[69.98492582],[105.85219674],[184.03253156],[110.70311603],[36.35130782],[62.65198305],[107.69745619],[30.67179876]
60,[106.08774946],[113.11565893],[45.47927106],[178.47026408],[131.60091039],[87.31551956],[105.36213845],[27.12653913],[369.53862649],[65.14470219],[232.93485842],[78.51494068],[145.22141819],[31.25231511],[18.41964246],[34.00220101],[26.07864357],[72.49090823],[98.10321382],[53.75982579],[227.8196544],[60.06105696],[70.17166598],[104.37732216],[184.36496689],[109.31296764],[36.4172235],[63.22740678],[107.49511072],[30.96212519]
61,[105.24054669],[112.38546154],[45.46237924],[180.01585941],[131.40054491],[85.42433361],[103.79336493],[27.04218647],[369.94664812],[65.33792075],[233.90255053],[79.36333246],[144.56110616],[31.25395942],[18.24387756],[33.5184643],[25.8937523],[72.76361707],[98.04230508],[54.18271653],[228.53179035],[59.87621587],[70.34077146],[103.1823076],[186.93255382],[110.70150021],[36.44260014],[63.06897557],[107.36493521],[30.86507259]
62,[105.03885882],[110.91847931],[44.96421195],[177.42968044],[130.09257577],[85.61607152],[102.80610658],[26.89851266],[372.86423633],[64.44310728],[230.83584027],[78.30204944],[142.85107917],[30.78202941],[18.2422388],[33.24906275],[25.56827035],[71.43424362],[97.4127602],[53.67687645],[226.81949353],[59.42499175],[69.35484144],[102.91090399],[186.32339241],[107.46930893],[36.07288837],[63.47217148],[106.02329299],[30.99036465]
63,[103.58895017],[111.11665711],[44.23272892],[176.91621353],[128.82904855],[84.43496618],[102.50317924],[26.76779095],[369.71782637],[63.97979739],[230.26901051],[76.56016852],[141.38112368],[29.98206199],[18.05410693],[33.26854312],[25.14085037],[70.12849262],[97.53381529],[52.53800457],[225.3661807],[58.72912257],[68.77760675],[102.7379328],[184.20725601],[106.22740007],[35.75357302],[61.12318679],[105.04454143],[30.70870158]
64,[103.83611866],[109.64888255],[43.98328746],[175.31351178],[127.12691976],[85.30356001],[102.42881682],[26.53176539],[371.89414429],[63.45441396],[227.11472806],[74.49513785],[140.07625595],[30.44762589],[18.17069025],[33.17674317],[24.95442194],[69.14051719],[94.9024537],[52.32909903],[219.67368536],[58.66185173],[68.23830704],[104.85817075],[182.05828268],[104.91923318],[35.54372044],[61.57449449],[104.05119943],[30.96913321]
65,[104.24542128],[109.37090066],[44.25911211],[176.57277425],[129.24878567],[85.19685909],[102.6151618],[26.6243846],[374.50401067],[64.17575024],[228.4896158],[73.74080484],[140.82137765],[30.39054699],[17.99761358],[33.71337173],[25.36399642],[69.67373639],[96.17562543],[52.75586147],[217.25187149],[59.66271538],[69.05655874],[105.32873471],[183.29981634],[106.27959802],[35.96002742],[61.45791066],[104.62331599],[30.5373197]
66,[103.60859135],[109.52946999],[44.19503305],[176.37346126],[128.58399492],[85.80953886],[102.30290173],[26.61580344],[375.15292439],[63.39255535],[228.06819304],[72.58493994],[140.1906614],[30.17162315],[18.27933776],[33.41348736],[25.34220344],[69.41586353],[95.13002709],[52.27615961],[214.05465056],[58.99211339],[68.88438794],[105.6904025],[184.1093573],[106.32077344],[35.63873621],[61.56770955],[104.30147236],[30.63905689]
67,[105.0578136],[110.63504547],[44.56777184],[176.37321623],[129.50843469],[87.32171645],[103.48679547],[26.57593767],[376.16202125],[63.48428303],[229.59852578],[73.09214694],[141.33514811],[30.70847293],[18.12770474],[33.96192346],[25.55573264],[70.20951453],[96.82259696],[52.51923205],[217.87777741],[60.21376767],[69.72367473],[106.20916034],[185.23143697],[107.99141658],[35.96936175],[61.90350051],[105.46414343],[30.59964693]
68,[105.75138861],[111.02312153],[44.4801462],[176.66110704],[130.31225405],[87.33326901],[104.68887764],[26.81668625],[376.76641787],[63.61560776],[227.99460557],[73.1987257],[141.38246489],[30.53958606],[18.32530641],[34.12512054],[25.49775427],[70.36904666],[96.4133197],[52.84032751],[215.58756663],[59.7244814],[70.00529889],[107.08394169],[186.46279121],[108.83161784],[36.07369308],[62.23088267],[106.21802306],[30.47231808]
69,[104.57377227],[109.93271762],[44.03393836],[175.34261625],[128.42065296],[85.657106],[104.74454231],[26.62820182],[381.43480961],[63.06374675],[226.81749249],[73.19052444],[139.40964358],[29.88912548],[18.19864941],[33.9092289],[24.98495988],[69.19179975],[95.25442949],[52.79228106],[215.26733617],[59.26604857],[68.94720113],[105.73401905],[183.00882307],[107.41568339],[35.71987679],[61.28035088],[105.21550001],[30.19805085]
70,[104.0329501],[111.20115013],[44.8349123],[176.97240703],[129.30954279],[86.66046549],[105.88396082],[26.56824217],[383.24323899],[63.36721626],[228.61173251],[73.44096887],[140.7695136],[30.07151346],[18.34577683],[34.71590732],[25.15400729],[69.95538082],[95.91200168],[52.56744515],[218.16313648],[59.72289713],[69.7961672],[105.37998815],[184.48350724],[108.1157227],[36.10329783],[61.98589565],[105.80966174],[30.2233833]
71,[104.82432556],[113.53934127],[45.19674905],[176.99086632],[130.60920458],[87.27029187],[106.04153549],[26.59114407],[385.24532654],[63.05945677],[231.21499727],[75.12840399],[141.74700958],[30.35613851],[18.22372012],[34.97422198],[25.35692011],[70.0809492],[95.97802694],[52.8756929],[220.48016265],[60.37062529],[71.03108],[104.73302163],[185.31739649],[109.68341522],[36.04439897],[61.93266354],[107.24698943],[30.43423848]
72,[104.73747169],[114.28171037],[45.32279753],[175.68258318],[132.26768391],[87.79329194],[107.52559514],[26.32569293],[389.60916344],[62.35050585],[226.86764065],[75.2580763],[141.12311848],[30.21357852],[18.27748355],[35.3302166],[25.42069423],[70.05492397],[96.74075726],[51.82103995],[222.53261381],[59.74163621],[71.14588222],[104.21193824],[184.20924266],[109.48136349],[35.84343915],[61.98812501],[107.74159698],[31.18068604]
73,[103.92959622],[113.34627443],[44.48010461],[173.60784758],[130.14651917],[87.05800736],[107.33617203],[26.10531584],[383.98915008],[61.7750451],[225.92640978],[73.7786667],[140.6265116],[29.81895737],[18.49176224],[35.34617944],[25.11805616],[69.54649191],[96.74415074],[51.8726332],[218.85503071],[59.62002164],[70.14625374],[103.49735877],[182.18325495],[108.6755832],[35.28567841],[61.21193477],[107.67524321],[32.30041719]
74,[104.25317066],[113.35118269],[44.49066348],[174.23804936],[131.36631999],[88.02381473],[107.67611765],[25.2178229],[384.44652134],[61.62621625],[225.60497234],[73.92261887],[140.90241501],[29.56427288],[18.61868406],[36.17871591],[25.08467089],[69.88015484],[96.85590957],[50.90968939],[218.2944629],[59.87738631],[69.94805848],[105.01289529],[182.23345868],[110.05742209],[35.03961982],[61.03828369],[107.29958491],[31.79113056]
75,[103.91320021],[112.94979912],[44.31635095],[173.23060006],[130.71311857],[86.85794571],[106.37873922],[24.28582639],[383.36082097],[61.08702294],[225.53925792],[73.16978445],[139.88126659],[29.54718697],[18.57104651],[36.20022284],[24.81161684],[67.94458303],[95.72635999],[49.28996339],[216.67048766],[59.4715338],[69.52369007],[104.19380684],[179.65679673],[109.69009102],[34.94441873],[61.09918768],[106.90167644],[31.23514078]
76,[103.07818506],[112.29013572],[43.86967187],[172.20735212],[130.37826242],[86.74575058],[106.61553948],[24.05387216],[387.17737838],[60.74399069],[223.27572476],[72.33373917],[139.23699535],[30.11016659],[17.87786932],[35.79353915],[24.77266006],[67.70812005],[94.7770451],[48.75832221],[215.00055414],[59.29290209],[69.01030835],[104.36997037],[177.68420764],[109.07715349],[34.6762969],[61.42087377],[106.90008555],[31.15817848]
77,[103.44672381],[110.81461816],[44.11623856],[173.35017062],[130.95372376],[87.81791859],[107.78373849],[24.38215141],[385.13614478],[60.8031964],[224.34029372],[71.99167853],[140.4851026],[30.32882401],[18.10374514],[35.81891016],[24.89543494],[68.7009103],[94.97635543],[48.88082621],[215.03975537],[59.66642586],[69.76375933],[105.14803911],[183.7458719],[108.93245995],[34.98880219],[61.61311094],[106.32388999],[31.28804311]
78,[103.38427595],[108.29690526],[43.19820004],[169.82890549],[129.31428433],[86.83867675],[106.35457328],[24.19400327],[381.3983165],[59.95510581],[221.89479061],[71.65010376],[137.6253871],[30.0005051],[17.88192866],[35.95579441],[24.57757378],[68.2398578],[93.78404928],[48.40248776],[213.2973716],[58.24867901],[68.71054426],[103.99085054],[181.76209753],[106.97764432],[34.48588585],[60.59084564],[103.86513793],[31.08107382]
79,[104.1593358],[109.1217103],[44.37588801],[175.28819472],[130.59356285],[87.67281822],[107.03067057],[24.74802587],[383.61462996],[60.76996396],[226.26644552],[72.54898142],[140.21486727],[30.78184784],[17.92593931],[36.20513187],[24.88045177],[68.77225294],[97.83904643],[49.04506014],[215.11980638],[59.54312953],[69.53133637],[104.3330695],[182.53368373],[108.49769495],[35.00910015],[61.82004259],[104.46288774],[31.48859055]
80,[105.22915292],[110.71558702],[44.46776734],[173.77524679],[130.73179894],[88.77654059],[107.79997767],[24.98580806],[385.3959572],[60.38621418],[223.30654273],[73.09175175],[139.75527045],[30.76707472],[18.07984792],[36.6232894],[24.8497121],[69.37106253],[98.12480542],[50.20412509],[216.69553436],[59.79243025],[69.84797646],[105.63605475],[185.32224903],[108.84163044],[34.65696166],[61.62452427],[104.87801796],[32.16969152]
81,[103.77248694],[112.83429614],[44.25927765],[174.76742119],[131.39271646],[87.19554956],[106.93055031],[25.05712101],[381.82559082],[60.55800094],[223.18472802],[73.32055946],[140.10905813],[30.9506967],[17.86633608],[36.69230918],[24.77673292],[69.02808428],[97.88697981],[49.33455008],[215.71832639],[59.88344565],[69.92809949],[104.62295405],[182.5236109],[108.58570061],[34.78920403],[62.00136872],[104.6040304],[31.35268226]
82,[103.37506651],[113.11519848],[44.74665145],[175.79550063],[130.60893493],[87.17832263],[107.24228937],[24.85788424],[380.92035702],[60.6369372],[224.07018582],[73.76732148],[139.39766881],[30.72738923],[18.00682376],[36.72491524],[24.30263423],[67.36527084],[97.34787286],[48.76009593],[216.54820944],[60.10688934],[69.30641205],[104.71798853],[178.85794178],[107.28044004],[34.93121612],[61.76076102],[104.76792438],[32.13896673]
83,[104.25898211],[114.6138273],[45.34804031],[178.38980804],[131.60097922],[87.69801159],[107.82258082],[25.18823662],[384.58275194],[61.41927563],[228.11001076],[74.25894517],[140.53875087],[30.94699776],[18.35446333],[36.81255513],[24.62118867],[67.24553875],[97.73321096],[49.43606244],[219.96475514],[60.60322986],[70.0885867],[106.76863261],[180.7720186],[108.5602641],[35.71520556],[62.3432479],[105.29750405],[32.42478429]
84,[105.97068176],[115.04182369],[45.12263246],[178.39737574],[131.97487311],[88.00117785],[107.86100652],[25.12827004],[386.16938708],[61.3617795],[226.65632065],[74.59482874],[141.98971169],[30.64927598],[18.3491044],[37.03358312],[24.79582357],[68.44163184],[97.95855724],[49.45107298],[218.53637565],[60.63016752],[70.9239748],[107.92027797],[182.28924002],[109.01781691],[35.3966083],[61.77905674],[105.41887357],[33.20424037]
85,[105.52779508],[114.51386762],[45.78337313],[179.8609739],[134.02905042],[87.47328149],[107.20584213],[25.27474781],[386.48718549],[61.89329268],[228.38634427],[75.07030812],[142.88628017],[30.7008399],[18.33402165],[37.40841457],[25.05894228],[68.29895914],[98.5882278],[50.14020727],[219.86904983],[61.35122154],[71.30118743],[107.00111749],[181.94373035],[109.82270973],[35.72512492],[61.81337601],[106.49303661],[33.2116357]
86,[107.46181149],[114.29073584],[45.52857885],[178.74772538],[134.67828054],[90.26664592],[107.34630103],[25.32062783],[386.66304968],[62.11410618],[226.99456032],[74.89154201],[142.89010677],[30.85516156],[18.56997101],[37.64324449],[24.90687213],[67.68503304],[98.4639889],[49.89001328],[220.20722709],[61.66280744],[71.23659376],[109.43016092],[181.49335684],[110.26440943],[35.30825586],[62.8321845],[106.45857526],[33.85410367]
87,[106.82178262],[115.10583788],[45.37152031],[178.50304983],[135.72473426],[90.40810315],[105.26773502],[25.11264242],[382.6342575],[62.01019099],[226.16316406],[73.4654507],[141.10922175],[30.35509972],[18.77039284],[37.05967686],[24.68405337],[67.20932142],[98.84086914],[49.98805874],[216.87382602],[60.77794061],[70.16232115],[108.73709185],[181.04956511],[111.12002135],[35.37456562],[61.585914],[109.12454833],[33.26674003]
88,[107.167847],[115.34949475],[44.71610905],[177.96421488],[135.87174288],[90.01589183],[104.61897657],[24.9726428],[381.2226888],[61.68206927],[225.57018091],[73.50736768],[140.21427647],[30.40910414],[18.59647511],[37.2673635],[24.13530975],[67.22058017],[98.23407946],[49.39236035],[217.12310265],[60.35598602],[69.32045567],[108.3796271],[178.67683476],[111.20342433],[35.27883408],[61.71803689],[109.03772544],[33.67384579]
89,[107.58845926],[115.87471507],[45.21723858],[179.04774085],[136.803227],[90.26767572],[103.16859757],[25.2994953],[373.59404127],[61.9258683],[227.91811908],[74.94560898],[140.68513834],[31.03439984],[18.56764705],[36.9917345],[24.24197101],[66.80915669],[99.54189562],[50.22892687],[220.91728666],[60.66661],[69.59932937],[108.62389727],[179.21481596],[110.77379359],[35.48478487],[62.61154025],[110.04906654],[33.52734419]
90,[108.2786473],[116.41495534],[45.02310615],[178.67597489],[137.15126905],[89.33499491],[104.45601988],[25.22335447],[375.47423295],[61.61742544],[228.18682706],[77.53244086],[140.81583937],[31.07491242],[18.38347119],[37.14054526],[24.33998603],[66.38964755],[99.69566983],[50.14917369],[226.08997533],[60.85026537],[69.7958123],[108.57481682],[181.18582576],[111.32059729],[35.60757693],[62.14722825],[109.77270654],[33.48579664]
91,[111.11736706],[118.62097679],[45.83892846],[181.02313455],[138.83376726],[89.98097682],[104.73497572],[25.54780312],[372.09838414],[62.40387511],[230.9367457],[78.57966784],[142.45056826],[31.4310488],[18.7298847],[37.74798581],[24.67044848],[67.85893868],[100.63210159],[50.80425948],[227.86937187],[61.53899507],[70.51912479],[110.83402173],[185.14508219],[112.373059],[35.96147771],[62.77624598],[110.9284029],[34.046299]
92,[111.14105224],[118.53863547],[45.44310842],[180.87154297],[138.60241528],[90.62768684],[103.68804118],[25.29530635],[374.19724698],[61.91941903],[229.71437161],[77.97357632],[141.42039326],[31.67517107],[18.31874962],[37.13958031],[24.34648337],[67.24184784],[100.40158006],[50.27060288],[226.21188349],[61.08681647],[69.99869015],[111.74397035],[184.58193393],[112.46310006],[35.68798459],[62.7171994],[109.8306074],[33.72973556]
93,[112.1924955],[118.9718358],[45.99885093],[182.68690059],[139.16359394],[91.44208538],[106.03122851],[25.62524017],[371.10910012],[62.73574319],[231.61249527],[79.18086902],[142.48366086],[32.20924957],[18.00531857],[36.9561326],[24.48624619],[67.35496671],[101.62549948],[50.64928344],[227.22170044],[63.03162907],[70.97888025],[111.33902689],[184.87773628],[112.03637123],[36.20589061],[63.57952646],[109.99111006],[33.66934298]
94,[112.75522954],[120.23148535],[46.13138447],[183.19648129],[138.08281321],[92.54143242],[107.86841941],[25.79601378],[380.3628675],[62.75550441],[232.53820426],[79.5569375],[142.24930143],[32.71185479],[18.01406721],[36.90143342],[24.37915331],[67.23568323],[102.13267971],[51.08701988],[228.66687516],[63.17805056],[71.195608],[110.91228518],[184.4225825],[111.7788979],[36.19758251],[64.97768518],[110.14416774],[33.46869071]
95,[113.52876212],[120.6616735],[46.4842074],[183.52089044],[139.95284351],[92.61482977],[107.5811219],[26.02220082],[377.03494933],[63.24513227],[234.3722335],[79.6398023],[142.44932297],[32.7635565],[18.25669845],[36.62254477],[24.46424265],[67.97220657],[102.78219216],[51.6532206],[228.13263197],[63.23407762],[71.72493128],[112.70157845],[186.55172903],[112.79218451],[36.36933624],[65.41157961],[110.72678334],[33.95115083]
96,[114.73335435],[119.3449332],[46.56678207],[183.88367917],[139.03239789],[93.49682205],[108.01751726],[25.62220792],[375.92283924],[63.04590929],[234.82792929],[79.16454324],[140.72277518],[32.81964521],[17.96053086],[36.36098017],[24.2502922],[67.34734944],[102.78507075],[51.00079567],[227.48955366],[61.17000137],[70.35919007],[116.00197176],[184.48892177],[112.70879783],[36.51498908],[65.06260435],[109.87123713],[33.70788415]
97,[113.95932243],[118.18080851],[46.01116328],[183.40973682],[137.91208681],[92.96938641],[108.05913341],[25.70507968],[378.17947707],[63.05181094],[232.826391],[79.88901002],[139.21240574],[32.15106502],[18.40526319],[36.48584104],[23.76331889],[67.74410506],[102.59551406],[51.04891898],[229.52432859],[60.75243476],[68.47998355],[115.56118281],[182.49121539],[113.77363306],[36.44247416],[64.30738782],[109.28345973],[34.10367485]
98,[114.79079612],[117.09099488],[45.54396448],[182.94417878],[135.61346572],[92.70702826],[107.44665313],[26.03509077],[372.88124978],[63.27430175],[231.90087699],[79.45202949],[136.98407964],[32.11044395],[18.61649772],[36.36860431],[23.5313398],[66.88777727],[101.37239872],[51.07902415],[226.99182064],[60.61278711],[69.24463481],[115.14559185],[181.19858878],[111.494555],[36.39808167],[65.07030525],[108.85017631],[34.22350079]
99,[115.65268881],[117.73824414],[45.40902405],[181.33756582],[135.66432241],[91.65641528],[108.49784297],[26.22494719],[376.33124912],[62.38292274],[230.76112812],[79.12458671],[135.33148015],[32.19859564],[18.35277605],[36.36932176],[23.38787959],[66.59035714],[101.09425097],[51.19028475],[226.63861736],[60.35891773],[67.81712047],[114.6280346],[179.62450915],[112.37764552],[35.91661332],[63.61744668],[108.80411075],[34.12209242]
100,[114.94103007],[117.55246791],[45.26469818],[182.78848427],[135.60826415],[92.02823851],[107.66554845],[25.79370619],[377.99081889],[62.46430582],[231.47297114],[79.46934634],[134.4950298],[31.40446436],[18.48864235],[36.13253109],[23.16953751],[65.78088679],[100.77676498],[50.55939596],[228.09632],[59.5549691],[66.69406835],[115.21191251],[178.78512287],[112.79864534],[36.1659389],[62.71259077],[108.27280187],[33.71488359]
101,[114.59555017],[117.2168571],[45.46649039],[183.1537766],[135.81740979],[91.56335443],[107.6257687],[25.88393155],[375.4139819],[62.59412163],[233.71732707],[79.0303874],[133.5345108],[31.25043823],[18.1691789],[35.78128815],[22.74779239],[65.25606778],[100.8383805],[50.59712588],[228.13013987],[59.8598019],[65.74860293],[115.46659609],[177.30382191],[112.24038212],[36.24194939],[62.67193298],[107.86503217],[33.4417512]
102,[113.29051643],[115.61819327],[44.67890714],[181.68029857],[134.14976461],[90.66659259],[104.21378016],[25.52494615],[363.25213435],[62.6828626],[230.79019005],[78.64881131],[130.59693654],[30.22573405],[18.14414098],[34.74043086],[22.23270096],[63.74878456],[99.99956902],[49.92016077],[223.68275462],[57.57469717],[64.86044293],[114.71463032],[174.67055996],[110.6886436],[35.9412128],[61.0769429],[105.86119804],[33.59626904]
103,[113.0958656],[113.73571354],[43.73263199],[178.90775607],[132.11557577],[90.44193249],[104.30135817],[25.18885518],[377.36541482],[62.12523131],[226.09991952],[76.0782674],[127.56453599],[29.6519186],[17.81907582],[34.06257063],[21.57460482],[63.13884793],[98.09507771],[49.34226305],[222.34175709],[57.19724511],[62.95671913],[116.61609437],[169.27119354],[108.89814663],[35.20764154],[60.00832663],[104.13530596],[33.17503499]
104,[113.55968589],[108.64237278],[43.44541361],[177.84780055],[130.5703291],[90.36359151],[103.97584827],[25.27364878],[379.59519423],[62.00775375],[224.46715041],[74.61510743],[127.16230204],[29.70467815],[17.93565098],[34.21858388],[21.64050229],[63.47531782],[97.1167639],[49.42246186],[220.10422132],[57.37607792],[62.60961616],[117.915289],[168.16121563],[106.70869656],[34.92189959],[60.47743128],[103.18016537],[33.29336091]
105,[114.42227801],[109.16680744],[43.10846012],[178.05332524],[130.6957752],[90.68900124],[103.29918114],[25.07305017],[380.09146418],[62.59550219],[224.19881669],[73.06116138],[128.47493691],[29.74320071],[17.86437893],[33.98871862],[21.8578628],[63.25925845],[97.81889362],[49.29287592],[217.18154857],[57.87649317],[63.74955305],[117.8461953],[168.81096681],[106.4091294],[35.16342502],[59.63188442],[102.79863297],[33.35286304]
106,[114.04839369],[108.14319522],[43.12719411],[178.66776175],[130.09661277],[89.6546535],[102.40291777],[24.9265047],[380.95641355],[62.33730045],[225.05863075],[74.22557186],[129.56080628],[29.43116181],[17.74341378],[33.97883377],[22.20695646],[63.03798067],[99.0246694],[49.36837341],[219.48402108],[57.61965468],[64.8525298],[115.9079266],[167.15623737],[105.64547396],[35.1081736],[59.26681257],[102.44809584],[33.29237099]
107,[115.23569905],[110.6807101],[44.44304927],[183.42933281],[133.1491395],[89.90580538],[104.76058039],[25.53350338],[383.61594068],[63.35433624],[231.97366851],[75.66105968],[132.7974678],[30.1219287],[18.37301824],[34.52362663],[22.8153569],[64.95646133],[101.32678417],[50.7305215],[223.4204245],[59.32880481],[66.76700734],[116.50673502],[169.68593623],[108.76171056],[36.10302624],[60.17519902],[104.85472086],[33.94180603]
108,[115.16284592],[109.64732605],[44.13615934],[185.00534014],[132.42927814],[89.63335775],[103.28101376],[25.49300237],[377.99114733],[63.34962385],[233.0642488],[74.78146826],[132.76354104],[30.00527435],[18.22343973],[34.57566775],[22.79249305],[64.57109917],[101.31696039],[50.64278895],[220.46677864],[59.03496368],[66.43225243],[116.17230778],[169.45797517],[108.12023599],[36.06385424],[60.4319745],[104.30895139],[33.73453895]
109,[116.07435476],[110.38953271],[44.2305828],[185.8890852],[133.1749679],[89.90263918],[103.0352494],[25.61915353],[376.01906301],[63.4161972],[233.12943113],[75.39368836],[134.76019661],[30.13448331],[18.43522615],[35.09319243],[22.78769745],[64.17782392],[101.81228781],[51.02418578],[222.59926999],[59.97842484],[66.92841104],[115.83305212],[167.97087872],[109.35633057],[36.17800871],[60.46189145],[105.17789297],[33.17065659]
110,[115.96051192],[109.87099646],[44.11581682],[185.00465155],[133.03226894],[90.89009058],[103.78625032],[25.79716896],[384.47329349],[63.19988511],[233.29956333],[75.35242158],[134.2807206],[30.16880422],[18.35201432],[34.89309499],[22.54582916],[64.20988709],[101.14978008],[51.50597646],[223.83205905],[59.42602603],[66.78131434],[117.04591524],[168.03257251],[108.82553251],[36.10599179],[60.53610267],[104.07973561],[33.41135629]
111,[116.83526282],[110.91178065],[44.48619152],[185.54442096],[132.6366651],[90.8108194],[103.5271901],[25.65969989],[383.52572225],[63.06079706],[233.81684108],[75.42091844],[134.92651789],[30.0041398],[17.95937798],[34.53933163],[22.58659189],[64.30263433],[101.14839175],[50.41840379],[224.39729635],[60.19253666],[66.75070101],[117.23090873],[169.1823433],[106.95980266],[36.16555796],[60.8380857],[102.3674168],[33.02324594]
112,[118.28284892],[111.42322014],[44.53756057],[186.21241445],[132.27547868],[91.69732558],[104.79333664],[25.7422363],[387.54032673],[63.38933906],[235.40412489],[75.47272496],[133.04895106],[30.54056415],[18.0992646],[35.03189831],[22.12262949],[62.7830679],[101.32013201],[50.39308851],[225.90366453],[59.93165021],[66.34580726],[116.99584537],[165.41191759],[105.66412077],[36.12455813],[62.50802296],[101.42926608],[33.1572792]
113,[119.09584644],[112.21253449],[44.73728028],[186.79236942],[133.92570042],[93.00893462],[104.85424721],[26.01077379],[387.76608688],[63.16786784],[236.85903687],[75.55108238],[134.9384055],[30.57766071],[18.03497343],[35.04973652],[22.503168],[63.53659612],[101.99037648],[50.87679428],[226.03358547],[59.73689701],[67.31864687],[118.02599352],[167.40851422],[107.62206819],[36.4053725],[63.17123566],[102.29139508],[33.51268234]
114,[119.33314564],[111.35074312],[44.76760825],[186.73662171],[132.50212554],[93.82380345],[103.76025973],[26.19191023],[387.89928461],[62.95249835],[236.751582],[75.05620776],[134.76055118],[30.61972497],[18.05907238],[34.73874883],[22.58798602],[63.84389546],[101.9811823],[51.06675218],[222.8565162],[59.4573115],[67.12156247],[118.36554594],[168.12142969],[106.8173865],[36.42088477],[63.86157159],[100.91808642],[33.09498391]
115,[119.98290796],[110.4282377],[44.20813183],[185.02151078],[131.37106129],[93.89702483],[102.84656826],[25.61478016],[383.9935001],[62.2600127],[233.64417508],[74.43606402],[132.8972978],[30.80909903],[17.99814677],[34.59600366],[22.00144823],[63.03803979],[101.16952562],[49.80586347],[220.89522204],[59.10337747],[66.46538571],[117.87542471],[166.17542776],[105.47074391],[36.09559872],[64.14341279],[100.23784716],[33.55715724]
