,Air_Products_Chemicals_predictions,Albemarle_Corp_predictions,Avery_Dennison_predictions,Ball_predictions,Celanese_predictions,CF_Industries_Holdings_predictions,Eastman_Chemical_predictions,Ecolab_predictions,FMC_Corporation_predictions,Freeport_McMoRan_predictions,International_Paper_predictions,LyondellBasell_predictions,Martin_Marietta_Materials_predictions,The_Mosaic_Company_predictions,Newmont_Mining_Corporation_predictions,Nucor_predictions,Packaging_Corporation_of_America_predictions,Sealed_Air_predictions,Sherwin_Williams_predictions,Vulcan_Materials_predictions
318,[167.97503845],[116.14164261],[121.40709816],[38.72255885],[113.10092361],[40.17184064],[98.13860728],[139.65060314],[89.90754265],[19.97028405],[63.59948471],[120.01812821],[227.3147203],[26.45763475],[39.48698983],[68.77733411],[127.56853333],[49.10720148],[431.43384707],[135.09782124]
319,[168.68272159],[113.17064481],[120.5903018],[37.75137656],[111.02596925],[40.63640261],[97.8404122],[140.26892187],[89.79254699],[20.00993308],[63.42696082],[118.9451907],[226.82926306],[26.62262724],[39.62314904],[68.98040878],[127.30919242],[48.98293772],[427.54746821],[133.15337241]
320,[169.6589744],[113.23539421],[119.82070825],[38.38978131],[110.50856593],[41.12018879],[97.98319342],[137.81745422],[88.79990851],[19.49326108],[63.24656022],[118.28459452],[231.60006663],[27.31870363],[40.28232461],[68.99449403],[126.52511284],[49.02778942],[429.38693532],[135.03139259]
321,[170.94772694],[112.78674397],[120.22503928],[38.809549],[110.11215401],[41.45635229],[98.61979345],[137.43857237],[89.75260879],[19.5722826],[63.63806352],[118.88783285],[232.20025947],[27.15099991],[41.49708543],[69.05180418],[126.20608739],[48.90867503],[429.52407682],[135.41878362]
322,[174.07685528],[117.27432872],[121.07757077],[39.18179865],[112.5592183],[40.19586481],[100.25369137],[138.45467547],[92.03075977],[19.79700068],[63.46270571],[120.79825947],[238.3513031],[26.64430418],[40.78648561],[68.26286312],[125.78143506],[49.10031663],[425.33331958],[138.49041117]
323,[169.89845549],[114.67014622],[121.07271375],[38.12869319],[111.35669446],[42.00533386],[102.35595756],[138.14032666],[91.99633831],[19.52207787],[64.73279128],[121.54083808],[239.72906127],[27.68267936],[41.16779138],[69.51123926],[126.97218382],[48.98837023],[424.00842834],[140.99332123]
324,[166.77279534],[111.95555655],[118.72270357],[37.63817745],[111.14626908],[41.90093082],[101.3163995],[137.55927087],[91.39445035],[19.62318381],[65.09982033],[120.82858797],[236.96027797],[27.64354382],[40.1710076],[69.0671106],[126.1052924],[48.56161693],[421.10054579],[138.87862519]
325,[168.12542389],[111.08374216],[117.54051749],[37.56212397],[109.78623595],[41.78741181],[100.0098859],[137.67010132],[91.59906513],[19.08310111],[64.25200871],[118.74379423],[235.87268628],[27.1226882],[40.15506429],[66.91105438],[124.7139502],[48.19788258],[421.71382792],[140.04841901]
326,[168.24956089],[111.23979933],[122.78011613],[38.25179377],[108.34808077],[42.28840326],[99.08524545],[137.72489846],[91.3283306],[19.47945861],[62.76473604],[119.86907386],[228.10212215],[27.33250024],[40.48220397],[66.90826312],[125.62907553],[47.41023572],[417.44577013],[135.51291522]
327,[167.11078415],[109.41174065],[120.28082512],[38.33636503],[106.92353023],[41.36297157],[98.37953386],[138.47891393],[89.1588678],[19.45802327],[61.70846082],[117.71591508],[224.54712227],[26.82839546],[40.32484149],[66.27579693],[123.80015456],[47.09269084],[412.7942009],[134.56836649]
328,[162.96328113],[105.58209482],[117.9713236],[37.46305132],[105.24742378],[39.69922515],[99.31106834],[137.13373002],[85.6310554],[17.87103461],[62.25624639],[112.2429716],[217.43298379],[25.98750188],[39.07827398],[64.31610941],[123.06687019],[46.25279258],[403.70434699],[131.26779669]
329,[156.17818712],[104.95783181],[113.97095097],[36.53122234],[100.73833903],[38.01459575],[97.2206467],[132.3063195],[82.99654293],[17.5706348],[59.59977813],[108.90876172],[209.48456049],[24.74257624],[37.97253905],[62.55590517],[117.31348152],[44.60307158],[393.88794893],[125.49757347]
330,[160.24251256],[107.45809969],[115.10350362],[36.92327649],[103.47774862],[38.89852248],[99.00209873],[132.09078212],[85.10481005],[18.76607198],[59.52394842],[114.3547938],[210.95544246],[25.11613831],[37.68085564],[63.46359695],[118.82586841],[44.28739583],[404.53221651],[127.16011252]
331,[158.07276285],[106.88805605],[114.87268665],[39.27556054],[101.98292698],[39.27895825],[99.0233705],[133.35934725],[83.80743614],[17.8567454],[59.23021821],[110.6837712],[219.35723292],[25.21924646],[36.98747907],[62.91993581],[117.54165804],[44.29530269],[403.30275152],[128.17908079]
332,[153.12340727],[105.55877049],[110.76926538],[38.3864766],[97.91906322],[37.19380802],[93.75818667],[127.89565742],[80.72552314],[17.14874478],[56.32211574],[105.86640155],[208.5705937],[24.01599476],[36.60740493],[60.52885334],[112.05518575],[42.73886769],[389.11664267],[121.61740103]
333,[158.2134892],[107.74251717],[111.5390675],[37.89864691],[100.14053948],[37.47457705],[94.70919146],[128.7856315],[82.87204411],[17.55126531],[56.94619501],[107.216077],[215.14337784],[24.40382457],[36.75347475],[61.74169296],[113.31950251],[41.71503903],[398.42516768],[125.47229633]
334,[159.25691452],[111.55179922],[115.56484368],[37.5340932],[101.08518995],[38.28842587],[97.30851477],[130.30025737],[85.16810411],[17.52052357],[57.91616914],[109.85835703],[212.08218704],[25.22757253],[36.86689454],[63.271995],[116.94035629],[42.39367669],[402.55996493],[126.77808922]
335,[159.88454273],[108.67649525],[116.61632206],[37.7136875],[101.34692523],[38.78654364],[98.06258779],[129.18736523],[81.61847796],[17.84458579],[58.29560702],[109.76798668],[218.92792388],[25.11627467],[37.00060333],[64.21659012],[116.16721275],[41.73190636],[406.39516534],[129.28199486]
336,[163.81993304],[115.10257793],[119.17726433],[39.09620056],[102.97178213],[40.7318648],[100.26483198],[131.78125057],[85.64461766],[19.20812227],[58.39072397],[109.99720602],[222.44944668],[25.88047766],[39.30965229],[65.78887342],[117.6902052],[42.87850349],[401.31903599],[133.45873038]
337,[163.39913743],[111.90183991],[118.52319761],[39.57112592],[102.48272382],[40.14258371],[100.05288579],[131.43861918],[83.11150809],[18.70805933],[58.94494043],[108.51593269],[216.38088291],[25.37664086],[39.01832962],[68.54451194],[119.42454564],[42.56145424],[402.92138193],[126.60966726]
338,[163.16296446],[114.7640598],[117.3797108],[39.18981882],[102.47830763],[41.6729894],[100.26380175],[131.63851631],[83.66585683],[18.38880443],[58.05124223],[108.5662849],[214.22088336],[26.8111771],[38.5362416],[67.62604064],[118.99413174],[42.23394952],[397.03379954],[125.05945595]
339,[160.73111632],[113.14038412],[117.10487291],[39.13570751],[102.37551601],[42.4715769],[101.01905881],[130.04812638],[82.14040813],[18.68220201],[58.33762138],[109.18064953],[212.13469853],[27.43342656],[38.32007294],[66.97454905],[119.17359355],[42.14666339],[397.65151548],[122.11816782]
340,[162.47350672],[113.38157452],[118.50114441],[39.51588795],[102.65300824],[42.76976376],[101.47369782],[129.5282143],[83.5111017],[19.11327303],[58.31680269],[110.89143407],[212.50825821],[27.37872101],[37.6634727],[66.79511207],[118.85562537],[41.96395185],[398.64485473],[122.41624159]
341,[164.18413888],[118.86139299],[119.10218162],[39.69650207],[103.99007422],[43.97268865],[103.44312554],[130.89535947],[85.72293027],[19.58894901],[59.56884817],[111.60839442],[211.81644902],[28.81795733],[38.64631408],[66.74943128],[119.41660638],[42.64836185],[398.47929791],[121.80584019]
342,[165.63356379],[110.34591937],[119.98093278],[40.0632832],[103.93215087],[42.451204],[104.21984641],[131.89880316],[83.57466158],[19.53243879],[60.52625807],[110.41750579],[211.40138666],[28.10526012],[39.21285499],[67.9523024],[121.74292179],[42.74718492],[404.06471739],[121.89298601]
343,[160.93518726],[100.62570472],[118.0784024],[39.93096532],[100.91514958],[41.04930877],[101.17458371],[130.47381041],[78.52215161],[18.51203451],[59.67567692],[108.16210296],[204.02771463],[26.2298597],[38.24060551],[65.47495965],[119.39898442],[42.45445397],[401.69730478],[117.8829588]
344,[160.94891003],[94.9802109],[116.24083416],[39.49031101],[103.34998015],[41.52480261],[100.37399919],[128.87331529],[78.84884152],[18.47149026],[58.27320275],[108.20900342],[204.37471433],[26.4590384],[38.24958573],[67.51847116],[118.53364086],[41.86955608],[397.44454054],[117.3765991]
345,[159.49776651],[94.25062303],[115.49354238],[39.39955839],[104.57515867],[41.67915389],[100.62809263],[128.0576642],[79.50169656],[18.26764713],[58.40553088],[107.34936298],[204.30522451],[26.72908748],[37.96395043],[67.78569761],[117.39789162],[43.04782419],[390.82482494],[117.77207894]
346,[163.3883015],[97.01397046],[115.1322279],[39.91017406],[106.39987023],[44.41186871],[103.17088216],[129.96587846],[80.61763159],[18.17685128],[59.0600861],[108.8395296],[205.84815829],[27.96913061],[38.25211281],[67.95665331],[117.07942588],[43.85305592],[393.29675244],[117.80132787]
347,[164.27082976],[101.11581638],[114.63953241],[40.52750402],[107.27623303],[42.95190886],[105.90327233],[130.92225281],[82.48699245],[18.74840861],[57.80591947],[109.85293385],[208.76653893],[27.65197513],[38.79335986],[67.93746168],[119.0379568],[44.42750937],[400.43752047],[119.45836364]
348,[164.74522853],[100.48758333],[115.80854498],[40.71368943],[107.36235053],[41.71032038],[106.21988355],[132.63343412],[82.76466296],[18.08941815],[54.96563005],[109.33517664],[208.17450771],[27.25052593],[37.74002671],[69.35296164],[118.15600194],[43.83902668],[407.43750226],[119.05449073]
349,[167.1447576],[99.43827176],[115.43800486],[41.00056603],[106.77197618],[40.75214244],[105.86970879],[134.20142552],[82.2546464],[17.83946321],[54.83019121],[109.34383396],[207.12838857],[27.32007213],[37.77337082],[67.67689259],[116.68024697],[43.87025244],[404.58705022],[119.27746457]
350,[171.02804697],[101.67497103],[117.37710405],[41.77466402],[108.59458152],[41.34306937],[109.15892518],[134.74264745],[83.63867461],[18.42771616],[55.33836207],[112.28756718],[209.16834043],[28.27529921],[37.71952823],[67.24546392],[119.73895437],[44.59698369],[420.74312273],[121.18040532]
351,[170.96374435],[102.87742911],[116.36384215],[41.61018081],[107.63012705],[41.68668645],[110.81242962],[136.6542897],[83.82420251],[18.54881527],[55.12678588],[111.05643907],[209.75524488],[27.51198068],[37.94385029],[67.59010587],[120.27226419],[44.61896271],[415.14584914],[120.95020007]
352,[171.14891267],[103.34152465],[116.09941315],[41.61006097],[107.96377674],[40.14262195],[109.46114459],[136.73954377],[83.78208184],[18.49393625],[54.8995253],[110.27407268],[210.51090266],[27.61878771],[38.18757092],[67.4203792],[120.2482499],[44.77177839],[415.0930545],[121.75500873]
353,[168.87631335],[100.23764668],[114.87904976],[40.93601331],[106.00397544],[40.15557745],[107.47340803],[136.27497962],[82.69963162],[18.65076581],[54.7309119],[108.7661533],[206.72345209],[27.08408366],[38.19964012],[66.17932018],[118.51719348],[44.22360694],[409.17641599],[120.44876624]
354,[169.05017806],[97.78685072],[114.469755],[40.966178],[105.92804223],[38.7971963],[106.87992426],[136.74757918],[81.06655879],[18.35533817],[54.45785693],[107.5179093],[205.6267236],[26.34782301],[37.38766903],[66.18980601],[117.70553082],[44.12211964],[410.67833992],[118.11939254]
355,[169.52875229],[98.20422563],[111.79218212],[40.59733494],[106.73915221],[38.13627721],[107.80442193],[138.03490783],[82.38274366],[18.33115255],[54.55534678],[107.37740263],[207.26207975],[26.10713071],[37.46725643],[66.47511633],[118.54957158],[44.07652827],[409.14445611],[117.31003685]
356,[166.74675764],[96.86701277],[111.13996459],[40.23315061],[105.82452826],[37.50995083],[106.62691799],[136.49427425],[81.20652895],[18.01269687],[53.26033408],[106.93322694],[204.68354115],[25.55309024],[37.45528813],[65.37928958],[116.85224377],[43.83404739],[405.92643145],[115.03541278]
357,[165.8371961],[95.4996664],[110.92688681],[39.90394966],[101.50431616],[37.77031661],[106.16915324],[136.69858456],[80.00455624],[18.485056],[53.19649762],[107.61677088],[204.49779899],[24.99418402],[37.28814523],[64.33349152],[116.49199713],[43.7107866],[406.14188645],[114.36459588]
358,[166.16031221],[97.64037388],[110.31152746],[39.81872497],[104.20089879],[38.48305896],[107.45556284],[136.51905751],[80.43391466],[19.21866482],[53.49805436],[111.33246135],[206.74298806],[25.27668127],[38.18902937],[65.24532275],[117.64515446],[42.94252323],[405.37149011],[114.87924233]
359,[161.18243042],[93.96650871],[105.9219093],[39.14404332],[100.4132931],[37.03609642],[104.03931393],[134.21717333],[77.22540839],[17.99954076],[51.54651891],[106.4831521],[201.83689717],[24.61148678],[37.59849562],[61.09396635],[113.29046293],[41.89193808],[394.17240148],[113.67216537]
360,[158.27160109],[93.43741988],[103.35492687],[38.78568346],[97.1566409],[36.74979099],[102.91171503],[132.49799658],[75.57199849],[17.46266943],[50.07948164],[104.52596196],[206.00525439],[24.2340391],[38.76883497],[59.55528544],[109.18918384],[41.13549205],[389.24502518],[115.70386086]
361,[160.81379579],[94.26158356],[106.16383032],[39.30800098],[98.29633813],[37.20101359],[105.19371194],[134.84107657],[76.01308211],[17.69497409],[52.28592618],[105.27634317],[209.06705586],[24.676823],[39.78821665],[60.35688594],[114.19805378],[42.02565946],[394.46376556],[116.59801432]
