,Air_Products_Chemicals_predictions,Albemarle_Corp_predictions,Avery_Dennison_predictions,Ball_predictions,Celanese_predictions,CF_Industries_Holdings_predictions,Eastman_Chemical_predictions,Ecolab_predictions,FMC_Corporation_predictions,Freeport_McMoRan_predictions,International_Paper_predictions,LyondellBasell_predictions,Martin_Marietta_Materials_predictions,The_Mosaic_Company_predictions,Newmont_Mining_Corporation_predictions,Nucor_predictions,Packaging_Corporation_of_America_predictions,Sealed_Air_predictions,Sherwin_Williams_predictions,Vulcan_Materials_predictions
253,[153.41913748],[137.47784455],[100.84124406],[42.24508449],[107.12841988],[35.64999639],[88.3540931],[133.85252424],[92.87977827],[14.50528405],[57.26009027],[97.62431854],[206.16882912],[21.20541039],[38.37795702],[57.51394264],[115.53387799],[44.18240966],[383.85116685],[117.96694476]
254,[153.50497887],[138.98218323],[101.98660482],[42.33951231],[107.44425797],[36.59997022],[88.70970165],[134.07858626],[93.72841846],[14.74132348],[57.39386424],[97.79975183],[204.60548926],[21.7743331],[38.56720642],[58.41200414],[115.71895297],[44.48278827],[386.00633578],[116.34604508]
255,[153.26835255],[140.34398546],[102.15426965],[42.17082555],[107.15276508],[36.67325451],[87.94441413],[134.38092915],[95.06136834],[15.28310222],[57.76251075],[97.78125983],[205.79153906],[21.86326028],[38.04257325],[57.24921024],[117.0947165],[44.68703229],[384.26847488],[117.43496957]
256,[153.52242464],[139.56478094],[101.67924191],[41.97956306],[104.23000096],[36.80445458],[87.31900781],[132.69209877],[94.42393892],[14.89726992],[58.14897743],[98.239064],[203.40415877],[20.98462111],[38.4019349],[57.03416101],[116.85406313],[44.30019706],[383.05145484],[117.08070912]
257,[153.21332987],[139.65123387],[100.56173588],[42.10431402],[104.11885955],[36.63496046],[88.01346678],[131.79632484],[94.10898483],[14.77232077],[58.01655258],[98.2571118],[203.60970952],[21.18174599],[37.87838782],[57.22226855],[116.39385885],[44.10787961],[384.14830424],[116.97209279]
258,[152.91039176],[139.42465707],[98.9688247],[41.92632778],[105.43363728],[36.12079571],[88.79915111],[131.90026633],[94.18597415],[14.76169757],[57.60622176],[99.41047937],[209.68958932],[21.0724134],[37.87108464],[58.57823984],[116.62654214],[44.15991693],[387.71073552],[120.11930469]
259,[154.27034286],[140.96072662],[99.87534084],[42.29207712],[105.80788651],[36.81223988],[88.8927629],[132.81100705],[94.60075984],[14.80082656],[58.16970521],[98.89699627],[216.33722867],[21.37747457],[37.80791522],[60.07569384],[118.4090256],[45.16955482],[389.84949301],[121.50768897]
260,[153.62031158],[138.53835347],[99.09550434],[42.88754396],[105.15488074],[36.08406381],[88.69758826],[132.63292806],[94.1872719],[14.80109273],[58.2947488],[98.50743541],[213.06942951],[20.98304521],[37.39397447],[59.5599458],[118.25162618],[44.86387327],[386.89861756],[121.01811448]
261,[153.97216942],[138.79911434],[99.07103062],[42.89179215],[105.74384936],[37.43581448],[90.40327588],[132.31624269],[94.19247835],[15.23622796],[58.69349254],[100.97769276],[216.66002059],[21.66154306],[37.17763252],[59.78891204],[118.58334128],[44.64310724],[389.05192643],[123.85622333]
262,[154.49845995],[138.39822839],[103.85754802],[42.45821138],[104.53504644],[37.49316827],[90.675452],[132.52563904],[93.26129812],[14.6694512],[57.98271513],[99.77747286],[211.93671763],[21.50870127],[36.80548016],[58.97193073],[118.20267608],[44.54933882],[392.63786789],[122.3184589]
263,[161.49755444],[139.28668722],[104.67624865],[42.72245617],[106.1829133],[37.22603414],[91.07822157],[132.68161084],[93.191263],[14.64239298],[58.00327201],[101.22463062],[217.44932204],[21.10003092],[35.87333193],[59.66815389],[118.64767068],[44.76479534],[396.75199117],[123.07387155]
264,[160.98307074],[139.18401172],[106.1155713],[42.74201865],[105.01390397],[36.92152966],[92.96249027],[132.03906385],[92.50675157],[14.06589187],[57.9370131],[98.8763953],[216.93905902],[20.93810643],[35.84461219],[59.51501689],[117.07666227],[44.61799389],[397.3844346],[122.55780917]
265,[160.26450716],[139.63812957],[104.97495431],[42.62991914],[104.97400118],[37.18459685],[91.85390937],[131.02228797],[92.37141963],[13.88623157],[57.28368842],[106.08248928],[218.20316254],[20.82248668],[36.17455779],[58.50961986],[115.64278662],[44.14677095],[394.59107822],[122.01788819]
266,[159.31450721],[141.00057774],[106.28286143],[42.92873334],[104.25903534],[37.78813021],[90.83653872],[130.77767675],[92.87664913],[13.97765989],[57.24770628],[103.57063115],[216.71088257],[22.38102235],[36.10737167],[57.82109304],[116.29544011],[44.23753278],[395.36545171],[121.87336882]
267,[159.69808725],[142.51258035],[106.97900358],[42.68084633],[105.52932623],[37.82594912],[90.89205311],[131.33238174],[91.86229734],[14.40286798],[57.73171407],[103.16658512],[217.49227159],[22.57066556],[35.73830082],[58.71055175],[116.73349773],[43.96977372],[395.93556089],[121.10057405]
268,[159.46539698],[136.84330162],[108.51131485],[41.80544035],[106.83281741],[38.36014185],[91.07981375],[131.26903013],[90.13045829],[14.23612605],[57.58374962],[103.36464278],[208.89685956],[22.40775527],[36.49344119],[58.4909815],[116.24297235],[43.93276356],[392.61151026],[124.34758537]
269,[159.359704],[139.99462541],[108.03355836],[41.7658349],[106.15872721],[38.40252129],[91.3914798],[131.39435714],[91.21779626],[14.11605076],[57.10654953],[105.54747785],[212.25761661],[22.39233541],[36.01963015],[58.07697937],[115.74008649],[44.10869287],[397.13116884],[126.35193667]
270,[159.81640238],[143.01347109],[107.11152237],[41.04371862],[106.84664871],[36.65183986],[90.67173751],[131.0075468],[93.56087492],[14.53637046],[55.26662386],[106.0079189],[210.05711829],[22.5467848],[36.0813873],[57.68693946],[111.59768471],[43.65559657],[394.1693799],[122.59588859]
