,Affiliated_Managers_Group_predictions,AFLAC_predictions,Allstate_Corp_predictions,American_Express_predictions,American_International_Group_predictions,Ameriprise_Financial_predictions,Aon_predictions,Arthur_J_Gallagher_predictions,Assurant_predictions,Bank_of_America_predictions,The_Bank_of_NewYork_predictions,BBT_predictions,Berkshire_Hathaway_predictions,BlackRock_predictions,Capital_One_Financial_predictions,Cboe_Global_Markets_predictions,Charles_Schwab_Corporation_predictions,Chubb_predictions,Cincinnati_Financial_predictions,Citigroup_predictions,CME_Group_predictions,Comerica_predictions,Discover_Financial_Services_predictions,ETrade_predictions,Everest_Re_Group_predictions,Fifth_Third_Bancorp_predictions,First_Republic_Bank_predictions,Franklin_Resources_predictions,Goldman_Sachs_Group_predictions,Hartford_Financial_predictions,Huntington_Bancshares_predictions,Intercontinental_Exchange_predictions,Invesco_predictions,JPMorgan_Chase_predictions,KeyCorp_predictions,Lincoln_National_predictions,Loews_predictions,MT_Bank_predictions,Marsh_McLennan_predictions,Moodys_predictions,Morgan_Stanley_predictions,MSCI_predictions,Nasdaq_predictions,Northern_Trust_predictions,Peoples_United_Financial_predictions,PNC_Financial_Services_predictions,Principal_Financial_Group_predictions,Progressive_predictions,Prudential_Financial_predictions,Regions_Financial_predictions,State_Street_predictions,SunTrust_Banks_predictions,SVB_Financial_predictions,T_Rowe_Price_Group_predictions,Torchmark_predictions,US_Bancorp_predictions,Unum_Group_predictions,Wells_Fargo_predictions,Zions_Bancorp_predictions
10,[142.54309124],[70.03130153],[67.8111417],[66.96509964],[60.32546711],[97.88529915],[110.12004083],[48.54843197],[83.48556834],[16.75012134],[43.33970804],[38.87862689],[143.89519099],[343.40731689],[75.32121098],[64.39848908],[32.19114315],[122.20108226],[72.00543966],[49.54170153],[103.6023288],[51.67579192],[56.37157856],[28.8521436],[194.00852847],[21.27154921],[76.37250234],[34.65904788],[174.9481559],[42.94724239],[10.09899378],[266.67700281],[30.08609224],[68.80958331],[13.06157778],[48.75784691],[40.84374101],[118.65095684],[64.96497585],[103.23366355],[33.29979951],[83.2534173],[66.2653319],[70.96877621],[16.18295476],[92.80962235],[52.98992999],[31.93870441],[83.56239447],[10.59479599],[71.41005086],[45.43151638],[127.18211388],[66.69198669],[63.63826409],[43.96167758],[35.82059916],[45.47006528],[32.37626058]
11,[141.55907675],[69.70613608],[67.77843174],[66.48815753],[60.62731085],[97.15132803],[107.81469617],[48.42822532],[82.51380648],[16.70066439],[43.30723818],[38.85030409],[143.57943958],[341.96632742],[75.27402895],[64.01041993],[31.72876729],[122.66473479],[71.8388748],[49.56044159],[103.38285326],[51.78521311],[56.09584803],[28.03532499],[201.13383799],[21.23702206],[75.40954148],[34.81346085],[175.50483404],[42.72366669],[10.18262084],[267.02777906],[29.55700265],[68.78186949],[13.84267251],[48.21208995],[40.86601995],[118.83139317],[62.86968933],[102.39016673],[33.32780352],[83.30529906],[66.47013259],[70.32494476],[16.25349575],[92.91521879],[52.94093554],[31.88873371],[82.91840955],[10.61938193],[70.79956897],[45.13772257],[123.55951349],[66.02303072],[63.19104492],[43.78255912],[35.28358956],[45.70698059],[32.02636347]
12,[140.87002192],[69.84572776],[67.98020663],[66.39872215],[61.10743251],[90.07714312],[108.34049486],[48.52166911],[81.99078577],[16.87471934],[43.58328312],[39.07086945],[144.00658477],[340.5277704],[75.39441659],[63.48540023],[32.14727555],[127.01075338],[70.92675521],[50.01929566],[102.93540347],[52.024197],[56.88517609],[28.43134472],[203.22160429],[21.66953638],[75.54380511],[35.09114423],[177.00513324],[43.45259621],[10.69812808],[266.32124947],[29.70049473],[69.14523253],[14.08615873],[48.95943163],[40.94290215],[120.08661675],[63.32453684],[102.58318648],[33.57539591],[82.99315846],[64.75671907],[71.55488912],[16.22538127],[94.1609377],[53.0181053],[31.97612472],[83.9270959],[10.75385661],[70.19745376],[45.63782005],[124.62771405],[66.32280997],[63.17333265],[44.22723463],[35.37094433],[46.12786678],[32.17419239]
13,[138.71326933],[70.17312716],[67.60876381],[66.87248244],[61.38402984],[91.11628693],[108.50442967],[48.14509785],[80.23932226],[16.8915907],[43.67869791],[39.31696923],[144.39791179],[340.57516594],[74.74004929],[62.1443884],[32.1722416],[126.78059137],[69.77476357],[49.89210244],[100.30896025],[52.30321048],[56.66963418],[28.57602369],[201.47170943],[21.79148781],[75.38618219],[34.34897034],[177.67141625],[43.05922392],[10.70758532],[266.22676092],[29.04595457],[69.18713425],[14.24591005],[49.71012553],[41.01370148],[121.82239982],[63.22117808],[102.55603153],[33.79868823],[79.5615064],[64.14607655],[72.35619849],[16.45106776],[95.38729211],[53.55076442],[31.62647445],[84.72375005],[10.83675708],[70.82581628],[45.70353043],[124.6873278],[63.82844401],[63.31292995],[44.66851542],[36.24306336],[46.34402051],[32.36932866]
14,[137.74519374],[68.53248723],[67.55873354],[66.40908289],[61.26326771],[89.09797588],[111.56239204],[48.32149947],[80.00522576],[16.67055379],[43.49752195],[39.12520773],[144.07066367],[339.89034069],[74.64082252],[63.36452551],[31.91214167],[127.70337672],[70.25748998],[49.56001113],[99.99201098],[51.98110815],[56.55874449],[28.33405314],[201.21057433],[21.5871527],[74.68678012],[34.16243782],[177.0738322],[44.20831946],[10.55708243],[267.72679816],[28.55773557],[69.1202463],[14.01625588],[49.43216865],[40.99689473],[121.88595713],[63.65199504],[101.13635092],[33.50839586],[78.95486285],[64.1256401],[72.39656229],[16.16502861],[95.0504913],[55.20476242],[31.48487743],[84.44259668],[10.63873966],[70.44732965],[45.23445686],[122.54613726],[64.12490886],[63.34973726],[44.62523272],[35.16422865],[46.19359896],[32.07584673]
15,[132.51723584],[68.8797708],[67.89246985],[66.4108081],[61.65981914],[88.80239152],[110.74516709],[48.2337916],[80.56213152],[16.50751239],[43.28585546],[39.20441098],[144.27638682],[341.36529798],[74.01374566],[63.24939833],[31.72488851],[126.68533537],[70.75645998],[49.13396556],[100.16922242],[52.11920039],[56.31507683],[28.17747323],[202.88775422],[21.77481337],[74.56904617],[33.5645645],[178.11203539],[43.98408497],[10.60080472],[270.28543808],[28.05879355],[69.2659907],[14.09042483],[49.11476017],[42.96283408],[122.59556066],[63.32247868],[100.6759431],[33.57753147],[80.09973042],[64.12670853],[72.36129409],[16.27468668],[95.5508557],[54.52746704],[31.51718424],[84.74205203],[10.72575366],[70.26759332],[45.27016431],[122.68243788],[63.97511963],[63.38858297],[44.73804624],[35.46307709],[45.99069403],[32.26199009]
16,[134.62642288],[68.37947537],[67.30367745],[66.20232],[60.67238063],[87.93664474],[108.65798248],[47.67801952],[79.53529074],[16.61521814],[43.43034467],[39.01349326],[143.72749524],[341.02182457],[73.26014431],[63.20872514],[31.64869487],[125.76367785],[69.54160988],[48.93143791],[99.7061007],[52.09034127],[56.06010076],[28.12429768],[203.5859245],[21.83063016],[74.36421004],[33.72184455],[178.00804122],[44.13028334],[10.55989023],[263.80568095],[28.05274621],[68.95644739],[14.11234753],[48.77427588],[42.25092702],[122.63109899],[62.91720052],[99.09087497],[33.32949861],[79.37137183],[63.54145784],[72.65020395],[16.22849285],[95.42128054],[54.181555],[31.28248519],[84.1008165],[10.83263383],[70.66141006],[45.30332465],[120.15496971],[63.98216206],[63.30554966],[44.40950794],[35.33514557],[45.9780316],[32.20518657]
17,[131.55672831],[68.53749865],[67.35287063],[65.37357804],[60.60267237],[86.76735978],[107.43071385],[47.28861139],[78.77212869],[16.47214301],[42.86362554],[38.63785996],[143.36259937],[338.70913136],[72.64332585],[62.78363767],[31.09185053],[124.76813634],[68.67464375],[48.54022386],[101.24190691],[50.34514492],[55.74272812],[27.53821356],[204.85711441],[21.6046125],[73.73683006],[33.11460019],[176.61855187],[44.06514716],[10.34226619],[264.94407873],[27.67769949],[68.72651426],[13.95359117],[48.41507137],[41.86629423],[121.75186087],[62.97804399],[98.11569202],[32.92135793],[79.0856797],[63.74703149],[71.97711491],[16.15686716],[94.75318203],[53.44436676],[31.10551499],[83.77980239],[10.49565168],[69.93508518],[44.74829492],[117.70437324],[63.11683381],[63.28815224],[44.01396175],[35.64390487],[45.25692935],[30.90377799]
18,[133.07546462],[68.84535716],[68.06815815],[65.33168004],[58.14846518],[87.64108892],[108.72567837],[47.67549145],[80.31574834],[16.51282818],[43.11108347],[38.54925295],[143.67534166],[341.1454811],[72.35410206],[63.05127673],[31.15749703],[124.53855917],[69.07416047],[48.22579525],[102.9512723],[50.65567364],[56.03970093],[27.62687232],[205.70792065],[21.43286535],[72.94623131],[33.47066689],[176.1855332],[43.74612486],[10.26844761],[269.08359482],[27.87004157],[68.40359173],[13.99122826],[51.4044869],[41.68379305],[121.47059189],[63.65496301],[98.16876739],[32.83866562],[79.02353832],[64.16731683],[72.45654778],[16.24847657],[94.96582513],[53.32562184],[31.35236199],[86.5985417],[10.48848255],[70.42049567],[44.99720519],[118.16861984],[63.67063419],[63.76936456],[44.0766468],[36.37788769],[45.41170025],[31.30407533]
19,[132.3931842],[68.59850135],[66.86827774],[65.49515249],[57.54184696],[87.75943714],[107.97812476],[47.55329595],[79.85656229],[16.55460289],[42.98450451],[38.2747771],[143.12617203],[345.65083289],[73.17804865],[63.43143988],[30.92522635],[123.2296155],[68.29452517],[48.20170001],[102.86083906],[50.52946535],[56.08166042],[27.6867188],[205.32716881],[21.21150072],[72.92673505],[33.75020844],[175.96701753],[43.31074406],[10.16690063],[102.57576915],[27.84481195],[67.80813514],[14.04411382],[50.27235443],[41.37575767],[121.81218129],[63.92869471],[97.68062692],[32.79309661],[79.41766539],[64.69910404],[72.03885715],[16.21961397],[94.6478315],[53.19180606],[31.10553101],[85.71240613],[10.51132317],[70.33148144],[44.86675436],[118.69564619],[63.67603676],[63.62078357],[43.96140969],[35.74854289],[44.60309533],[31.3191517]
20,[132.91108731],[69.59059486],[66.85385976],[67.07116181],[59.34243003],[91.26953141],[111.61243177],[48.59055997],[80.04634978],[17.02591068],[44.0911705],[39.40088135],[146.50624876],[357.46062028],[74.90072278],[63.72228077],[32.26206459],[124.59233792],[69.04700978],[49.9015566],[104.72709896],[52.12908147],[57.73767419],[28.55724097],[207.09265988],[21.9468],[74.78720044],[34.46848657],[181.45788324],[44.45741825],[10.46762166],[62.14623108],[28.50166078],[69.98612619],[14.54575085],[52.20499119],[41.9120176],[124.85969955],[65.03039618],[99.80104438],[34.08055659],[81.0024619],[65.38975322],[74.13345367],[16.7196638],[96.44839341],[54.35514746],[31.45872038],[88.69919989],[10.98666247],[72.45050294],[46.27065291],[124.65609088],[64.30489181],[64.83679749],[44.96721582],[36.53282538],[45.49606081],[32.36824715]
