,Affiliated_Managers_Group_predictions,AFLAC_predictions,Allstate_Corp_predictions,American_Express_predictions,American_International_Group_predictions,Ameriprise_Financial_predictions,Aon_predictions,Arthur_J_Gallagher_predictions,Assurant_predictions,Bank_of_America_predictions,The_Bank_of_NewYork_predictions,BBT_predictions,Berkshire_Hathaway_predictions,BlackRock_predictions,Capital_One_Financial_predictions,Cboe_Global_Markets_predictions,Charles_Schwab_Corporation_predictions,Chubb_predictions,Cincinnati_Financial_predictions,Citigroup_predictions,CME_Group_predictions,Comerica_predictions,Discover_Financial_Services_predictions,ETrade_predictions,Everest_Re_Group_predictions,Fifth_Third_Bancorp_predictions,First_Republic_Bank_predictions,Franklin_Resources_predictions,Goldman_Sachs_Group_predictions,Hartford_Financial_predictions,Huntington_Bancshares_predictions,Intercontinental_Exchange_predictions,Invesco_predictions,JPMorgan_Chase_predictions,KeyCorp_predictions,Lincoln_National_predictions,Loews_predictions,MT_Bank_predictions,Marsh_McLennan_predictions,Moodys_predictions,Morgan_Stanley_predictions,MSCI_predictions,Nasdaq_predictions,Northern_Trust_predictions,Peoples_United_Financial_predictions,PNC_Financial_Services_predictions,Principal_Financial_Group_predictions,Progressive_predictions,Prudential_Financial_predictions,Regions_Financial_predictions,State_Street_predictions,SunTrust_Banks_predictions,SVB_Financial_predictions,T_Rowe_Price_Group_predictions,Torchmark_predictions,US_Bancorp_predictions,Unum_Group_predictions,Wells_Fargo_predictions,Zions_Bancorp_predictions
86,[166.90021563],[70.92130641],[79.59384009],[78.91459266],[66.15391345],[126.40873987],[115.84803606],[55.57617165],[94.75345662],[23.454051],[46.14879025],[46.99657137],[165.71516708],[385.88040385],[89.07945141],[79.34757771],[40.7129025],[133.81864579],[71.70502795],[59.09107751],[121.4201866],[69.89557521],[69.63174819],[36.13256021],[232.69431267],[26.74315418],[96.5453455],[41.55724901],[246.45871192],[48.04623724],[13.8163402],[58.81634291],[32.12368798],[88.30595859],[18.47261094],[71.11030958],[46.80585133],[166.84537313],[71.43228655],[109.09438369],[45.30489833],[92.88959892],[70.70387843],[86.39283174],[18.87093519],[124.47348867],[62.04610681],[37.60302693],[109.72609254],[15.19328302],[79.33244617],[58.21837362],[180.87140515],[69.79026823],[75.82466437],[54.16486334],[48.23641216],[57.13965458],[44.17615103]
87,[167.439505],[70.98632653],[79.75867199],[79.40543888],[66.86399887],[127.88916832],[115.78410488],[55.53145485],[95.25980425],[24.08039151],[46.81876098],[47.85323201],[166.80205033],[385.0008649],[90.17186002],[79.47641392],[41.29515109],[133.94400492],[72.39853389],[59.79172884],[121.20438849],[72.12397776],[70.88173544],[36.9156485],[233.4201325],[27.59045834],[96.37896879],[42.05164763],[249.5315933],[48.45346263],[14.11430063],[58.41941331],[31.94100156],[89.51019817],[18.87605747],[72.2362507],[46.95063735],[168.10705109],[71.94699412],[109.22607236],[46.100007],[94.25886835],[70.74983111],[87.55326752],[19.09917387],[126.05735585],[62.00097967],[37.4394389],[110.3789026],[15.50332691],[81.45600632],[59.64436332],[185.65608831],[69.78494828],[76.12637756],[54.51779492],[48.50987611],[57.94400384],[45.12334544]
88,[170.15680248],[70.98354243],[80.63648362],[79.55936103],[60.86602444],[128.91947415],[116.5564431],[55.79834051],[96.15838438],[24.58943398],[47.41748849],[48.2161392],[167.24899767],[392.74314542],[90.91133202],[80.27755622],[42.15311075],[134.49886307],[72.83412691],[60.49884694],[122.13468225],[73.25596306],[70.93009743],[37.48431487],[234.20494398],[27.52091601],[96.79892147],[42.71354038],[250.64608897],[48.51962731],[14.20956631],[58.80666495],[32.6976444],[90.62971554],[19.07029913],[73.1237356],[47.22012492],[169.0464408],[72.59701152],[109.87314759],[46.4692117],[94.74263291],[71.23635244],[88.67105195],[19.13740073],[127.69011515],[62.68092769],[38.4656833],[111.66709863],[15.5481583],[81.86565179],[59.96647045],[185.71661372],[71.49772954],[76.9433435],[55.10840361],[49.14837293],[58.50713448],[45.26819516]
89,[167.45936436],[71.10829003],[80.76666267],[79.45995951],[62.2363803],[129.15655803],[117.28424067],[56.49016986],[96.45463084],[24.58685208],[47.02969139],[47.96347338],[167.62998301],[391.68966855],[90.47829726],[80.31586546],[41.6339581],[135.72475581],[73.16355964],[60.30438863],[121.94361164],[72.49965686],[70.84046635],[37.14577707],[235.46244268],[27.58950055],[95.7467236],[42.22845447],[249.3658237],[48.57401166],[14.16673169],[58.41383987],[32.52689136],[90.48901726],[18.97483035],[72.73224168],[47.00604053],[167.51277149],[73.242115],[110.15303756],[46.09689926],[94.11744359],[71.31590892],[87.21897193],[19.27578216],[126.94119431],[62.55589777],[38.6299377],[112.07013197],[15.61549439],[80.68539194],[59.8207804],[184.63579639],[71.28242012],[77.36985513],[54.97324135],[49.10289362],[58.08991647],[44.90585895]
90,[168.39519003],[71.07387606],[80.4618841],[79.67743837],[62.47120106],[128.90611741],[117.5186683],[57.01486687],[96.70238],[24.52260605],[47.15182125],[47.94598954],[168.50077457],[388.98519728],[91.81769349],[81.0154297],[41.53857024],[136.23630673],[72.75512705],[60.12193004],[122.62360708],[72.39703127],[71.27298531],[37.12824784],[235.06434115],[27.53200775],[95.6216879],[42.51047375],[250.34376286],[48.35424715],[14.13051832],[58.2072293],[32.54812955],[90.15280775],[18.95913088],[71.696605],[46.96996648],[167.98305921],[73.5027445],[112.90547442],[46.12408858],[94.19815178],[71.58733808],[87.21259821],[19.1772183],[126.80792212],[62.0893569],[38.57520278],[111.09230041],[15.3725884],[80.6129546],[59.51958916],[184.52591393],[71.11582603],[77.10613718],[54.85241585],[48.49407127],[58.06606398],[44.62687158]
91,[170.89469215],[71.42880392],[80.58649817],[79.93957613],[64.0775764],[130.79674367],[115.48250057],[56.14253219],[97.99019343],[24.77861619],[47.50584053],[47.98827942],[168.91921375],[390.00739463],[92.79244533],[80.56863309],[41.78025422],[136.76744777],[72.91968777],[60.52946804],[121.19081308],[72.69282552],[71.27642344],[37.3008159],[234.18347487],[27.56044394],[95.74382385],[42.95599878],[251.8807267],[48.91100471],[14.19713137],[57.74569244],[33.11884676],[90.97054486],[19.04808044],[72.24716136],[47.08341314],[167.87136983],[72.9253909],[112.72487671],[46.54523029],[94.49794831],[71.37858139],[88.0525654],[19.2515459],[127.45524011],[62.43978839],[38.91819041],[111.19662775],[15.43851748],[80.49210809],[59.73982533],[187.06990451],[71.08579055],[77.24216568],[55.16930633],[48.56364844],[58.21621797],[44.8725401]
92,[169.13983778],[71.14583704],[80.64746522],[79.82341499],[63.61840023],[130.64859261],[115.63383907],[56.11402996],[98.42687149],[24.77245405],[47.28241468],[48.17258614],[169.57046112],[390.51288432],[92.88476267],[80.57463515],[41.61424562],[137.73092029],[72.95655475],[60.58652031],[122.4454182],[71.98135134],[71.1879952],[37.36802457],[235.01480365],[27.50471159],[95.81182838],[42.77891979],[251.88167008],[48.66649532],[14.19402289],[57.5237804],[33.35717721],[91.05672549],[18.92052453],[71.70243138],[47.11866148],[168.16550731],[72.95588966],[113.71466004],[46.51868667],[95.0422733],[71.31108567],[87.50781077],[19.24645372],[127.77239364],[62.80584396],[38.91758283],[110.53693691],[15.3048957],[80.26476949],[59.78742749],[188.25397738],[71.51048362],[77.48856344],[55.30613915],[48.30937872],[58.38670531],[44.7387819]
93,[169.29382363],[71.73183169],[80.61405422],[80.04874495],[63.98297454],[130.55259609],[116.33050244],[56.4779605],[98.85322539],[24.5913356],[47.36897006],[48.54503045],[170.10995],[390.84871424],[93.41172856],[80.27590289],[41.29153113],[139.06227409],[73.37042289],[60.65675226],[122.62928284],[72.00899673],[71.47411803],[37.0857358],[235.29138892],[27.47940072],[95.9027443],[42.93808978],[251.22293455],[48.83404381],[14.18744734],[57.87530235],[33.00173047],[91.21726572],[19.08347481],[71.69546814],[47.42678252],[169.87053971],[73.57496139],[113.04514909],[46.61944391],[95.0752471],[71.47839211],[87.80497721],[19.26477117],[128.23824136],[62.88478774],[39.14152751],[110.89599171],[15.35582655],[79.83989116],[59.85712464],[189.37494487],[71.94064417],[77.5564997],[55.42848638],[48.68462433],[58.51663233],[44.88398094]
94,[167.85091103],[71.68301287],[80.90939712],[79.71354533],[63.54470463],[129.73914908],[116.77792091],[56.97501668],[98.72985261],[24.22818367],[47.09204965],[48.09631808],[170.24694499],[389.36469986],[92.5290081],[79.78237709],[41.12482882],[138.42296789],[73.48160347],[59.50763897],[122.65897141],[71.19722794],[71.22617144],[36.8066814],[235.18406994],[27.32600236],[95.35497974],[42.6619727],[247.30329636],[48.62248929],[14.1847633],[58.07379516],[32.61526845],[90.30087004],[18.73574517],[70.86736648],[47.21027351],[168.62319927],[73.57570806],[113.25889503],[45.49779355],[95.61882091],[71.50443351],[86.99846316],[19.25651371],[126.95880029],[62.78087666],[39.03753315],[110.04804302],[15.20036836],[78.94967274],[59.30392789],[188.27860062],[71.91317518],[77.54631903],[55.1044815],[48.50846609],[57.80225035],[44.54329594]
95,[168.88645613],[72.34663926],[81.3591358],[80.169044],[63.96135911],[131.13617536],[116.36964594],[56.99502525],[98.13083279],[24.60048546],[47.13912153],[48.20682837],[170.62131878],[391.03013263],[93.7120094],[78.96569887],[41.7130566],[137.65553874],[73.12166627],[60.10622882],[122.92535912],[71.7475011],[71.65751961],[37.2419939],[233.37069977],[27.59481198],[95.4500247],[43.40188106],[249.39091209],[48.93145624],[14.21664929],[57.50971807],[32.61984486],[90.48084877],[18.86550803],[70.80612433],[47.09211205],[168.1203935],[73.47727614],[112.0281587],[45.86650643],[95.55879293],[71.21324298],[87.63229211],[19.27440733],[128.14002348],[62.7805149],[38.9483919],[110.95636886],[15.32711394],[79.26695777],[59.73436187],[191.96239963],[72.05629037],[77.46612413],[55.29940986],[48.82414799],[58.10197857],[45.16916469]
96,[167.89886806],[72.30493097],[82.13817008],[80.04115998],[63.92618829],[131.53119728],[115.62083103],[56.94206198],[98.9840848],[24.67057295],[47.15915471],[48.22215937],[171.39208278],[387.57349552],[93.8260365],[78.08994293],[40.49283163],[138.18733942],[73.00612511],[59.73319027],[121.54172739],[71.28470696],[71.15249487],[34.5307763],[235.21676234],[27.43678539],[93.88735951],[42.98009564],[248.23444404],[48.89205475],[14.14354752],[56.93331299],[32.18438116],[90.64098163],[18.77426793],[70.18658798],[46.95760024],[166.97798003],[73.47489177],[111.47276613],[45.68706667],[94.60595546],[71.14265215],[87.34940493],[19.20569726],[127.29114603],[62.54481811],[39.19275327],[110.60384256],[15.26616861],[79.73521084],[59.49774934],[190.83018702],[71.17826449],[77.52712723],[55.00983686],[48.84757695],[57.87319713],[44.87454921]
97,[169.35439612],[72.96912829],[82.64444086],[82.00443333],[64.66436483],[134.52953451],[117.57584411],[57.75878053],[100.89587454],[25.57895118],[48.55178119],[49.74420068],[176.82787167],[397.78201036],[96.21053578],[79.3636921],[42.85866289],[140.49891415],[75.10527106],[61.71455381],[126.80465354],[74.76704197],[72.4293614],[36.1892737],[238.75775266],[28.80982315],[96.98234238],[43.48376645],[252.95882822],[49.66594226],[14.67719224],[58.64357141],[32.47020709],[93.77503874],[19.37405297],[72.32201096],[47.80530351],[172.33302799],[74.68333203],[113.24324267],[46.88978544],[95.95652945],[72.18794081],[89.57911073],[19.69049278],[130.83049857],[64.01788999],[39.92522754],[113.72744085],[15.94983333],[81.74653469],[61.52970163],[198.04621983],[72.53815157],[78.6663197],[56.44028946],[49.88137864],[59.81915562],[46.66187914]
98,[168.10778427],[72.13805618],[81.76837058],[79.97842736],[63.89510002],[131.47971423],[116.49415786],[56.83100446],[99.88252385],[25.19890467],[47.93078299],[48.49551809],[175.90953334],[391.68207174],[94.23472693],[78.33323628],[42.38684225],[138.42246433],[74.31629581],[60.50112316],[124.66452922],[72.53256121],[71.07958327],[35.25859233],[237.17704871],[27.69000598],[95.79940261],[42.78912895],[251.18382746],[48.99574889],[14.26419658],[58.30064758],[32.3714729],[92.08667353],[18.87021931],[70.75563188],[47.24577992],[167.00488701],[74.14273339],[112.44132213],[46.31853225],[94.94852241],[71.31837795],[88.2200267],[19.23486459],[127.73621681],[62.71215497],[39.66294379],[111.90303653],[15.29413809],[80.27445048],[59.63800529],[192.00201652],[71.66570161],[77.8821612],[55.48114361],[48.64031093],[58.64481308],[44.85864105]
99,[168.69011032],[72.26748725],[81.83785072],[79.83161162],[64.22638172],[133.17498435],[116.52962126],[56.79341177],[99.82336131],[25.48725892],[47.97962559],[48.68533046],[175.63650284],[390.6051134],[93.99189079],[78.29479953],[42.41495191],[138.75618772],[74.08301567],[61.1382197],[124.06069974],[73.50888267],[71.40441773],[35.39825379],[236.22027062],[27.8516937],[97.04389861],[42.70496207],[252.93654877],[49.19879869],[14.43186946],[58.5589051],[32.35284522],[92.93116385],[19.09509586],[71.09935822],[47.71865061],[168.51083536],[74.24909969],[112.92652397],[46.84287194],[95.61686308],[71.1812257],[88.8158554],[19.38317764],[127.8478154],[63.599324],[39.84056658],[112.44928493],[15.41521482],[80.25925772],[60.12672383],[194.11455997],[71.37915789],[78.19249792],[55.59067415],[49.0545239],[58.94714842],[45.48679853]
100,[167.08302078],[72.15175233],[81.41975823],[79.48479255],[63.75143003],[132.2180813],[115.64141919],[56.35894237],[99.52335978],[25.21874954],[47.89887577],[48.21903976],[175.26303059],[387.62267069],[92.9328323],[77.90771663],[42.2336294],[137.55587753],[73.21786997],[60.14274721],[124.12212303],[73.29693266],[70.83100673],[35.3738293],[232.95060106],[27.56557509],[96.90326817],[42.29980756],[252.01357802],[48.78932942],[14.29448383],[58.75864154],[32.17073335],[91.699662],[18.99105134],[69.86202485],[47.41852822],[166.76882995],[73.79599962],[112.18707473],[46.57146976],[94.72099455],[71.29360371],[87.59205718],[19.19457804],[127.61855547],[63.36121494],[39.40777721],[111.83014878],[15.20930069],[79.51629799],[59.63030342],[194.28544434],[70.95032725],[77.90192989],[55.25358873],[48.88072478],[58.52412179],[45.23361431]
101,[166.4575309],[72.00989571],[81.58731514],[79.48915634],[63.55416926],[132.25438948],[115.71192775],[56.39622907],[99.68760792],[25.21148085],[47.67808797],[47.98778666],[175.54307862],[385.42486211],[92.87825389],[78.12982782],[41.60051764],[137.7323023],[73.32566987],[60.55190775],[123.58330291],[72.59864527],[70.98495986],[35.03168853],[231.65877437],[27.3507882],[95.17914972],[42.39333989],[250.98288767],[48.7176042],[14.26388695],[58.43858463],[31.94816079],[91.51466007],[18.77563544],[69.12009587],[47.4842111],[166.94469564],[73.74245855],[112.68597764],[46.28873176],[95.56041585],[71.10703348],[88.49620212],[19.10683376],[127.43090389],[63.02922437],[39.41877528],[111.23099717],[15.23431458],[79.67316787],[59.72625417],[192.97079632],[70.98107453],[78.04189292],[55.06319297],[48.71327719],[58.34581662],[45.3050119]
102,[166.3661305],[71.91630325],[81.17387851],[79.10654985],[63.43816238],[132.60040829],[115.71953257],[56.13750983],[99.53352504],[25.27579055],[48.23553153],[48.0454662],[175.09229738],[384.9355636],[92.47256754],[78.37279839],[41.87627074],[136.90919031],[72.73357348],[61.12332751],[123.27330011],[72.47107381],[71.41729604],[34.95910953],[233.18396835],[27.41906191],[95.97319108],[42.54754591],[250.2475268],[48.58051631],[14.18599692],[59.15364329],[32.20992163],[91.24227764],[18.83154315],[69.30083429],[47.24956152],[166.8664061],[72.99292716],[112.71501868],[46.43345435],[94.49542579],[70.7747086],[88.95494419],[18.88443315],[127.75983236],[63.14326931],[39.30205317],[111.18086492],[15.23482399],[79.94916718],[59.50824196],[193.59688459],[71.27413977],[77.59898287],[54.93883831],[48.81928883],[58.25438676],[45.32565375]
103,[165.21989989],[72.10502051],[81.63160313],[79.3202762],[63.29232342],[132.72310021],[116.46176142],[56.28303418],[100.02018308],[25.36006674],[47.91963124],[48.11096143],[175.44174488],[384.49193725],[92.17812824],[78.64080995],[42.24489478],[137.55055095],[73.40900669],[61.57095649],[123.81656178],[72.51197584],[71.31749313],[34.84788015],[232.78421441],[27.50354645],[96.22829182],[42.41629408],[250.3037274],[49.29274799],[14.2215051],[59.80635214],[32.2618476],[91.66530494],[18.83925806],[69.05113951],[47.14838349],[166.62692396],[73.18238337],[112.56137437],[46.68816007],[94.53397257],[71.07958809],[89.46845156],[18.93974412],[127.54971641],[63.05907859],[39.39274744],[111.03648145],[15.20640083],[79.93585031],[59.36055191],[193.90509732],[70.70025384],[78.20294288],[54.98060668],[48.82919919],[58.73899373],[45.2852141]
104,[163.9025861],[72.04746837],[82.04992545],[79.39568982],[63.14023949],[132.13567317],[117.90504219],[56.68819153],[99.70389883],[25.32511552],[48.20537899],[47.73218349],[175.10003188],[384.81321402],[92.24734356],[79.65297092],[42.5126369],[137.82262063],[73.9087729],[61.50823627],[123.80659014],[72.18909176],[71.5515656],[35.18393088],[235.16359017],[27.16976185],[96.37274304],[42.57628222],[248.48992574],[49.66952307],[14.19624991],[60.0541871],[31.79187053],[91.37068325],[18.59164799],[69.05170683],[47.21016551],[166.32035341],[73.70113418],[111.98255133],[46.52007424],[94.91778249],[71.03931076],[89.30225604],[18.95045954],[126.59400665],[63.56228538],[39.52277406],[111.12039395],[15.13919147],[79.92524096],[58.99192727],[193.61075019],[71.34065401],[78.32537362],[54.98807031],[48.83548765],[58.87548441],[44.92180598]
105,[163.82381483],[72.06815396],[82.13956857],[79.18064918],[63.20304728],[132.62810925],[118.89359745],[57.0508947],[99.45316887],[25.31634755],[48.35296207],[47.71123321],[175.45226268],[385.0630728],[91.81813985],[80.27498826],[43.00095103],[137.61112269],[73.94448021],[61.52879904],[124.84263517],[72.04382587],[71.32814052],[35.75477611],[234.96008017],[26.97696666],[96.26794327],[42.52895752],[248.22303527],[49.54934087],[14.21890975],[60.18135537],[31.64783694],[91.44567139],[18.56161588],[69.1207835],[47.16439879],[165.59580004],[74.27101816],[112.19750896],[46.28242413],[95.42597093],[70.83903058],[89.82982564],[18.99351805],[126.48140027],[63.59510205],[39.68467137],[111.63579738],[15.12695045],[79.52322465],[58.81498096],[194.16804801],[71.83282872],[78.38204994],[54.96105492],[48.5510367],[58.72104458],[45.06647116]
106,[164.30971006],[71.83332493],[82.15264643],[79.73128002],[62.93436481],[132.38657249],[118.26640157],[56.8643812],[99.50347441],[25.3292501],[48.26569661],[47.54928368],[174.85026468],[383.45977516],[91.80036551],[80.42201857],[42.72323838],[137.35215237],[74.1155192],[61.40570058],[124.57833261],[71.5174383],[71.81115891],[35.51434337],[234.83077936],[26.7665582],[96.17520385],[42.42454769],[247.82881662],[49.72776263],[14.08405743],[59.99844986],[31.55763779],[91.5307901],[18.48017431],[68.97135834],[47.21730332],[166.06772362],[74.22845187],[112.12455199],[46.20351661],[96.48884431],[70.7229444],[89.69525568],[18.960966],[126.30263682],[63.03770536],[39.7708595],[111.12036693],[15.09472971],[79.1479857],[58.70523839],[194.30880112],[71.21556667],[78.39883341],[55.02252137],[48.42510302],[58.75758585],[44.47923878]
107,[165.93563768],[72.35962357],[82.60669038],[79.17184122],[63.25124724],[133.78612715],[118.88137423],[57.03385945],[99.09160555],[25.18198358],[48.34936662],[47.05149792],[174.78808465],[388.20327382],[89.90852223],[80.22810445],[42.71793792],[138.30318243],[74.96879892],[60.82063039],[124.77640564],[71.03817469],[70.64680376],[35.25435102],[236.31652998],[26.46039073],[94.59603033],[42.97730151],[246.90486615],[49.79752169],[13.94304604],[60.184191],[32.53893064],[91.78674569],[18.34028988],[68.98838376],[47.52438994],[163.854194],[74.33827812],[113.00002723],[45.8521415],[99.48954114],[70.88330266],[89.55526128],[18.78928529],[125.38439065],[63.83587103],[40.18526481],[111.38896044],[15.00511103],[79.6936733],[57.94911488],[191.79881688],[71.68687863],[78.61802084],[54.97681555],[48.18721262],[58.70628565],[44.10871184]
108,[165.95728636],[72.40071247],[82.91315696],[79.77953075],[62.93124464],[134.66910542],[119.19648841],[56.86609044],[98.64737601],[25.24175406],[48.48198353],[47.35618883],[174.21127116],[389.90959725],[90.29714911],[80.4941499],[43.50221448],[137.78154128],[74.74963749],[61.20634958],[124.81229397],[71.96369722],[71.00113155],[35.83062538],[235.59512684],[26.6847821],[95.47497337],[43.90689092],[248.32094173],[48.86662457],[13.9323018],[61.29353773],[32.69434883],[91.6827],[18.49831801],[69.35340747],[47.36330671],[164.71500478],[74.68427107],[113.55773267],[46.38288661],[97.67816755],[71.19246594],[90.03329846],[18.89154868],[125.82015421],[64.16374326],[40.03921218],[111.63991224],[15.06158066],[80.64186272],[58.46482861],[195.02414678],[71.89612],[78.70274904],[55.05102896],[48.34277219],[59.34944459],[44.38771611]
109,[162.56116841],[72.54848339],[82.86490884],[79.21471539],[62.47823998],[131.63747745],[118.96315256],[56.94089914],[99.0006335],[24.84885742],[47.90957146],[46.84348716],[173.06789631],[383.2070763],[88.21132325],[80.63370155],[42.93234883],[138.19667614],[75.21617625],[60.31429572],[124.64522521],[71.36785597],[70.33320453],[35.44981471],[236.17874074],[26.35954909],[95.10849183],[42.18061677],[244.03264236],[48.90328758],[13.73862104],[61.19161819],[31.2105823],[90.70306826],[18.35341134],[67.9963283],[47.22412375],[162.15884495],[75.16899135],[111.97662328],[45.01925336],[97.32352723],[70.92087373],[88.6363663],[18.82122591],[124.49523994],[63.47068118],[40.35205587],[110.00030062],[15.05128154],[78.55594571],[57.73373413],[197.26480819],[69.44041565],[78.63003586],[54.71113559],[47.7976812],[58.66172706],[43.75261376]
110,[161.94704473],[72.20952178],[82.39123077],[78.78856035],[62.36161566],[130.42214002],[118.17033036],[56.87955269],[97.75618099],[24.44721298],[47.23893197],[46.27688304],[172.2598699],[380.69104804],[86.87630535],[80.55941094],[42.29926],[137.09648791],[74.28050672],[59.65013252],[124.01720185],[70.67346736],[69.89793493],[34.91599633],[235.29595949],[26.20065085],[94.00681561],[42.04765137],[242.08885683],[48.31920095],[13.5376629],[60.82230082],[31.03386408],[90.06569815],[18.09776815],[67.00457644],[46.8621913],[161.25055645],[75.04287705],[112.39390768],[44.61075611],[97.19951282],[70.82166753],[88.09929464],[18.6600575],[123.92582659],[63.17282274],[40.21610153],[109.17652946],[14.88588567],[77.80077875],[57.34532113],[188.57515255],[69.23943963],[78.42375934],[54.27486876],[47.81256332],[57.66519113],[43.25432341]
111,[159.10463901],[71.40652126],[81.76211113],[77.47900212],[61.84260584],[125.47379004],[117.63925122],[56.02368815],[95.52063374],[22.94984399],[46.45281829],[44.01521956],[169.84738186],[375.17336314],[83.635537],[79.64911159],[40.52830603],[136.2463766],[72.93736872],[58.00280267],[120.46440785],[66.28834506],[67.62626843],[33.70169371],[233.71044694],[24.90773713],[91.37934357],[41.16628947],[232.86814688],[47.87226256],[12.70085734],[59.8369116],[30.21524749],[87.38432525],[16.91756585],[63.45774929],[46.49425279],[155.29634547],[74.22977678],[110.73288747],[42.64582674],[95.53909488],[69.80255347],[86.30731007],[17.8706906],[119.01121796],[61.30946325],[40.0736469],[106.01415933],[14.09422872],[76.246603],[54.39334591],[174.51933808],[68.5706501],[76.62455815],[52.74043677],[45.96219496],[55.85579084],[40.77348931]
112,[159.31375817],[71.65137185],[81.47567453],[77.65476635],[61.3296182],[125.20178362],[117.85762173],[56.05972897],[95.56556074],[22.97974121],[46.22221153],[44.21588316],[169.51725128],[375.8079426],[83.79177359],[79.75221273],[40.09156522],[136.67096534],[72.76732853],[57.84474097],[119.24690755],[67.08264458],[67.6383871],[33.66689791],[234.62663351],[24.87138272],[91.17792799],[41.47160655],[230.95138624],[47.94224387],[12.8216503],[59.60234586],[30.16295919],[87.68841084],[17.20951054],[63.13430906],[46.26656062],[155.15091577],[74.47889448],[111.34165732],[42.20983888],[96.29021941],[69.82055606],[86.73605723],[17.82422172],[118.71747494],[61.97714434],[39.79150317],[105.50387029],[14.20092287],[76.94142982],[54.29807201],[176.36881883],[68.94362671],[76.51733165],[52.67862717],[45.82576262],[55.43485599],[40.7763865]
113,[159.04395867],[72.03222407],[81.37583887],[77.88508378],[61.37619877],[125.68530481],[117.62985525],[56.32534339],[95.47813599],[23.067938],[46.33631636],[44.39078456],[170.00230512],[375.73062906],[83.85993626],[79.90815254],[40.19263169],[136.75247563],[72.7506448],[58.09129623],[119.1474172],[67.24370063],[67.47783497],[33.85553576],[234.05215033],[25.10775886],[90.82541234],[41.42596897],[232.12516783],[47.63749584],[13.02142527],[59.64674846],[30.2185028],[87.46308058],[17.25651976],[63.84522086],[46.37220259],[155.10584162],[74.67096308],[112.19201863],[42.72143678],[97.19807284],[69.75271017],[86.83718867],[17.89670349],[119.42949738],[62.23140247],[39.6109592],[105.67324862],[14.1991504],[77.31512407],[55.01312361],[177.97373976],[68.09360619],[76.56857441],[52.66073639],[46.11073082],[55.37094815],[40.85810772]
114,[158.906437],[72.06604904],[81.09924213],[78.23148756],[60.98666684],[125.47505082],[117.65036535],[56.539759],[95.23842987],[23.16133046],[46.28300178],[44.47081254],[168.94548559],[374.76240763],[83.91990365],[79.52753471],[40.05785448],[136.16342135],[71.89267639],[58.14266029],[119.86986405],[67.23486994],[67.27065589],[33.69556666],[233.66012069],[24.89201307],[91.17141117],[41.28411346],[228.72660728],[47.44741752],[13.12127508],[59.64838403],[30.13382204],[87.53994982],[17.25757524],[63.81426134],[46.08559493],[155.26349055],[74.64638394],[112.54116903],[42.53531981],[97.68992953],[69.96560432],[85.82610908],[18.05971485],[119.63828153],[62.22920842],[39.54750307],[105.57056371],[14.23879937],[77.26852584],[54.94184923],[178.31433258],[67.86177924],[76.62167336],[52.70135524],[45.82795207],[55.99224733],[40.99794777]
115,[159.07877167],[71.84573937],[81.14239516],[77.6200469],[61.00002296],[125.47034659],[118.24509817],[56.53701121],[94.61195854],[23.08232984],[46.27774362],[44.17631047],[167.6030125],[375.23412217],[82.15395587],[79.15447164],[39.51008638],[136.65148589],[71.64300442],[58.41892357],[118.4049416],[66.78832516],[66.86609002],[33.6016027],[232.08618444],[24.75920055],[90.50848054],[41.07065966],[225.3267637],[47.51441084],[13.01278743],[59.20729994],[30.00537856],[87.33682832],[17.24272055],[63.56865609],[45.9701239],[154.42380439],[74.60455095],[111.54917493],[41.65184582],[96.73183359],[69.03874846],[85.14193596],[17.87511382],[118.50882583],[62.18465577],[39.48104807],[104.63042509],[14.11557941],[78.12816362],[54.50511423],[179.47332377],[67.57768503],[76.35455013],[52.28872078],[45.49171651],[55.44581366],[40.86687274]
116,[163.83332012],[72.28250993],[81.9033245],[78.66964627],[61.84780703],[128.51872247],[118.93028942],[57.02171819],[95.52809351],[23.52271615],[47.03381756],[44.91840571],[168.33077934],[380.52621091],[84.25126267],[79.17065496],[40.44079173],[138.03764745],[72.46864002],[59.46309277],[118.78793029],[68.02303941],[67.90635167],[34.25802032],[233.87537092],[25.26512908],[92.77375211],[41.90803353],[229.39074348],[47.69500053],[13.22662202],[59.60700271],[30.77348004],[88.66746824],[17.48416722],[64.19379084],[46.46919522],[156.12038908],[74.94431184],[111.30620068],[42.55411523],[96.57323832],[69.2046741],[86.28477335],[18.09870024],[120.22435978],[62.96901928],[39.86747272],[105.78129004],[14.41361704],[79.38716334],[55.15930654],[182.16099155],[68.40144127],[76.90493657],[52.73440244],[46.15586425],[56.00912366],[41.33419605]
