,Advance_Auto_Parts_predictions,Amazon_predictions,AutoZone_predictions,Best_Buy_Co_predictions,BlockHR_predictions,BorgWarner_predictions,Carmax_predictions,Carnival_predictions,Chipotle_Mexican_Grill_predictions,D_R_Horton_predictions,Darden_Restaurants_predictions,Dollar_General_predictions,Dollar_Tree_predictions,eBay_predictions,Expedia_Group_predictions,Ford_Motor_predictions,Gap_predictions,Garmin_predictions,General_Motors_predictions,Genuine_Parts_predictions,Goodyear_Tire_Rubber_predictions,Hanesbrands_predictions,Harley_Davidson_predictions,Hasbro_predictions,Home_Depot_predictions,Kohls_predictions,L_Brands_predictions,Leggett_Platt_predictions,Lennar_predictions,LKQ_predictions,Lowes_Cos_predictions,Macys_predictions,Marriott_Int_predictions,Mattel_predictions,McDonalds_predictions,MGM_Resorts_International_predictions,Mohawk_Industries_predictions,Newell_Brands_predictions,Nike_predictions,Nordstrom_predictions,Norwegian_Cruise_Line_predictions,OReilly_Automotive_predictions,Polo_Ralph_Lauren_predictions,Pulte_Homes_predictions,PVH_Corp_predictions,Ross_Stores_predictions,Starbucks_predictions,Target_predictions,Tiffany_predictions,TJX_Companies_predictions,Tractor_Supply_Company_predictions,Ulta_Beauty_predictions,Under_Armour_Class_A_predictions,V_F_Corp_predictions,Whirlpool_predictions,Wynn_Resorts_predictions,Yum_Brands_predictions
10,[141.06047087],[839.52610367],[753.43570066],[39.4630677],[23.47219106],[35.45565573],[51.50358228],[46.99289785],[412.50692389],[29.32364221],[63.32987474],[68.24020552],[76.07082024],[29.169366],[127.47099755],[12.19927676],[26.50522554],[48.87225617],[33.03147925],[90.87142326],[31.6733158],[24.48762778],[56.78398106],[83.80871094],[127.81655795],[44.44690264],[73.21981386],[45.08582151],[41.74392104],[33.0526521],[70.9766674],[36.63092295],[67.39322843],[33.1486073],[113.50661448],[26.29023823],[198.36885881],[52.48879717],[51.85256686],[54.74091291],[38.19930843],[279.49095824],[98.26971672],[19.08665575],[108.73807781],[63.38154146],[54.11154613],[68.22222665],[73.80469518],[74.10451679],[64.44020133],[252.63476034],[37.80798843],[53.08246326],[170.47143318],[96.42384077],[87.78846843]
11,[144.01768572],[835.72165343],[751.15098249],[39.25391963],[23.00942041],[34.92473305],[50.8770961],[46.88922374],[405.26550113],[28.82477413],[61.86811325],[68.12456876],[75.77938449],[28.99564688],[127.97564186],[11.82135644],[26.59178942],[49.51067065],[31.53011534],[90.74870079],[31.1078421],[23.77464316],[56.43803828],[83.37316911],[123.25146994],[43.54375653],[72.75765307],[45.11497269],[41.18514662],[32.96726678],[68.61173539],[35.93346009],[67.28552396],[32.48178095],[112.73773986],[26.04656862],[185.92738747],[51.6326653],[51.00200741],[54.09799271],[37.65934335],[280.36325089],[97.68361043],[18.598782],[105.2784656],[63.11566672],[53.63966335],[67.96046392],[73.35758901],[73.6564627],[63.131644],[247.59666117],[32.60928947],[53.05239953],[152.68954787],[95.45323935],[85.73330711]
12,[143.84982493],[821.54916657],[751.75717057],[39.29646037],[22.80603004],[35.33392719],[51.57958713],[47.14211925],[367.22959442],[28.6236257],[61.24483343],[68.32309277],[76.89000895],[28.86430038],[125.20259362],[11.86716491],[26.98998312],[49.74585289],[31.50119604],[91.25623425],[31.2053772],[23.83612324],[56.45352673],[82.59950921],[122.94493542],[43.7117585],[72.7391501],[44.83274712],[41.27613867],[33.26198353],[67.41205071],[35.94560084],[66.744487],[31.89361842],[112.15834898],[26.1601118],[187.6885374],[50.98829944],[51.97725425],[54.01082677],[38.08119956],[277.43799281],[98.20331152],[18.61171907],[105.67396209],[63.4839302],[53.59936492],[68.63108089],[73.52901157],[74.02670484],[63.18300622],[246.19003932],[31.89634224],[54.15162185],[149.91282255],[95.59215749],[85.86600335]
13,[139.03751199],[818.52520137],[728.24069216],[38.46833127],[22.66712944],[35.43924834],[50.65120527],[46.57029461],[368.97635605],[28.0748717],[61.54250713],[67.46946089],[74.42729141],[28.78102639],[126.54801601],[11.72006772],[26.63302619],[47.84742665],[31.28149089],[89.06091318],[31.09012001],[23.73022109],[55.46344722],[82.96381031],[122.58065169],[43.68657325],[72.79922566],[44.41556403],[40.36295513],[31.83861133],[67.22172367],[35.24400152],[66.91917464],[31.36453138],[112.07940868],[25.94540293],[185.54646959],[50.27772084],[51.82892721],[52.65804409],[35.54073421],[253.43346721],[97.5548209],[18.18572511],[105.01753956],[62.29934359],[53.54752912],[67.57918889],[72.76145779],[73.2398792],[62.09025052],[240.60567569],[31.35858748],[54.42807336],[148.2091145],[93.98812197],[85.45901602]
14,[140.8820646],[777.30614278],[734.64364222],[38.80483324],[22.74129616],[35.58339715],[49.7423704],[48.40613258],[369.76638895],[28.6558835],[62.49597151],[68.38735498],[75.21528151],[28.56198343],[131.90687057],[11.71508799],[27.13349722],[47.88198081],[31.35083672],[89.9178387],[28.26185361],[25.74673682],[56.11289114],[83.22105938],[123.56404956],[44.08557773],[73.69792038],[45.65796191],[41.34233572],[32.11299353],[67.04577099],[35.53804501],[67.4712313],[31.72541943],[112.1462989],[26.09955419],[185.45606837],[49.4999567],[51.96351134],[52.6983851],[38.5408041],[264.26212927],[98.03756997],[18.54017783],[105.9391076],[62.28732467],[53.51565194],[68.93333561],[73.23414974],[73.54084647],[61.90978999],[242.65073788],[30.98981716],[54.33789764],[150.66634024],[94.09337524],[85.76549142]
15,[139.89310794],[790.95338185],[744.18549591],[38.92007456],[22.93964172],[35.83830309],[49.97425012],[49.01195045],[362.29267178],[28.75315984],[64.51326112],[69.00883158],[75.71451087],[28.48667772],[129.36782296],[11.73933131],[27.58411558],[48.3674905],[31.60758239],[90.47149872],[28.8691199],[25.623667],[56.96661363],[83.38625674],[122.1851856],[43.73964939],[72.27330294],[45.88150615],[41.69416307],[32.2378305],[66.83375632],[36.4402868],[68.7477072],[31.51998098],[112.61158067],[26.17083342],[184.22609253],[48.13953732],[50.10730841],[52.11362403],[38.60572608],[265.16204947],[97.98013114],[18.57949021],[107.20525111],[62.52141028],[53.03861939],[68.60771682],[73.36655093],[73.74404279],[62.61995148],[244.10937474],[31.22782728],[54.12960715],[149.74577162],[94.41163583],[86.35714767]
16,[139.64884292],[788.39790985],[734.67189453],[38.64832056],[22.35165018],[35.24987908],[48.63169094],[48.44050681],[360.80676825],[28.67277955],[64.29540223],[69.02070731],[74.70949686],[28.35154351],[125.81872175],[11.59793486],[26.88672702],[49.01258229],[31.47929757],[89.01107075],[27.95982622],[24.90469063],[56.34514553],[82.31959013],[119.93428704],[43.67861165],[66.49242025],[45.52819546],[41.22373795],[31.98115441],[65.74316381],[36.81987805],[68.34616519],[31.02650842],[112.26838621],[26.43042816],[179.16781897],[48.4536536],[49.63947542],[50.88930638],[37.7691645],[264.18295249],[98.58159846],[18.64059202],[106.47013003],[62.11235383],[52.4810127],[67.83247924],[72.74109313],[72.66554096],[64.44051076],[240.49516771],[30.45194484],[53.9446289],[150.43758704],[98.10817686],[62.19205696]
17,[138.50585451],[767.28330797],[739.04275218],[38.40206767],[22.36524971],[34.71151606],[48.77012817],[48.28018354],[369.29134476],[28.62297799],[64.62694142],[69.71524238],[75.53740227],[28.22953285],[122.59216312],[11.37502723],[26.83315715],[48.13656519],[31.42812786],[88.63266832],[27.97740948],[24.05086197],[55.98018743],[81.26115307],[120.61182476],[43.1501854],[65.57672853],[45.12946701],[40.93239916],[31.85287764],[66.57833787],[36.90513399],[68.386688],[30.86418721],[112.4191578],[25.89823888],[178.97560834],[47.63770875],[49.72161778],[50.95563006],[37.39605829],[263.08398691],[97.63426192],[18.30014369],[106.78391491],[62.10539805],[52.94033272],[68.31397789],[72.42809243],[72.7496691],[65.72232147],[239.26164484],[30.76389376],[53.90447596],[150.79832555],[96.42610282],[61.49875385]
18,[139.00434203],[765.93985473],[739.2930574],[38.11300409],[22.12766282],[34.17257591],[49.62934295],[48.1816577],[374.63343886],[28.33295761],[63.9611436],[68.52009363],[74.06226183],[28.03432246],[125.94731185],[11.3336993],[25.59040323],[47.3859749],[31.02249007],[87.79473751],[27.94678668],[23.54049159],[55.84668619],[81.4324566],[120.22224],[42.69576171],[65.30378223],[44.97630801],[40.72831908],[31.17795364],[66.64514204],[36.89118637],[69.15960177],[29.96930666],[111.74168032],[25.78963113],[176.98815097],[47.83590762],[49.65593763],[50.29807676],[37.29881998],[262.15519185],[97.56559862],[18.02147817],[102.62758266],[61.26695344],[51.77282802],[66.67159744],[72.00167936],[71.96246255],[65.63629404],[232.20589114],[30.19683835],[53.45712002],[150.94089189],[87.42095357],[61.31933594]
19,[136.1043905],[756.90753823],[731.92440698],[38.19876728],[21.97364143],[34.02012806],[50.47029864],[48.04385977],[370.44113262],[28.76659381],[63.9698355],[68.61277605],[73.58122098],[27.92399126],[125.71594539],[11.33503672],[25.67288987],[47.02444738],[31.14601297],[87.61598088],[27.82811968],[23.72285602],[55.90112552],[81.10648188],[120.96287055],[42.78874392],[64.85017724],[45.07426851],[41.39084592],[31.37624105],[66.26839291],[36.8369326],[69.67180081],[30.48535392],[111.08513239],[26.42984934],[190.93615666],[47.62174751],[49.88704171],[50.33293843],[37.09140566],[261.53077693],[98.36946385],[18.24416904],[104.33548916],[61.40180203],[52.6984162],[66.69204945],[72.95035085],[72.07713787],[65.34985674],[228.45564777],[30.76533787],[53.54811742],[152.73159145],[87.62242194],[60.37972596]
