,Advance_Auto_Parts_predictions,Amazon_predictions,AutoZone_predictions,Best_Buy_Co_predictions,BlockHR_predictions,BorgWarner_predictions,Carmax_predictions,Carnival_predictions,Chipotle_Mexican_Grill_predictions,D_R_Horton_predictions,Darden_Restaurants_predictions,Dollar_General_predictions,Dollar_Tree_predictions,eBay_predictions,Expedia_Group_predictions,Ford_Motor_predictions,Gap_predictions,Garmin_predictions,General_Motors_predictions,Genuine_Parts_predictions,Goodyear_Tire_Rubber_predictions,Hanesbrands_predictions,Harley_Davidson_predictions,Hasbro_predictions,Home_Depot_predictions,Kohls_predictions,L_Brands_predictions,Leggett_Platt_predictions,Lennar_predictions,LKQ_predictions,Lowes_Cos_predictions,Macys_predictions,Marriott_Int_predictions,Mattel_predictions,McDonalds_predictions,MGM_Resorts_International_predictions,Mohawk_Industries_predictions,Newell_Brands_predictions,Nike_predictions,Nordstrom_predictions,Norwegian_Cruise_Line_predictions,OReilly_Automotive_predictions,Polo_Ralph_Lauren_predictions,Pulte_Homes_predictions,PVH_Corp_predictions,Ross_Stores_predictions,Starbucks_predictions,Target_predictions,Tiffany_predictions,TJX_Companies_predictions,Tractor_Supply_Company_predictions,Ulta_Beauty_predictions,Under_Armour_Class_A_predictions,V_F_Corp_predictions,Whirlpool_predictions,Wynn_Resorts_predictions,Yum_Brands_predictions
57,[169.24309041],[749.39560128],[791.71332097],[42.65873828],[22.97404305],[39.41483141],[64.40941911],[52.06048312],[377.37447597],[27.32868609],[72.80352745],[74.06937942],[77.20087643],[29.65613292],[113.35043574],[12.11784287],[22.41323092],[48.50501095],[34.83033589],[95.4608288],[30.84062523],[21.49808759],[58.280171],[77.81207342],[134.15434243],[49.37068427],[65.85988196],[48.94509001],[42.9671498],[30.63653808],[71.22158536],[35.77394201],[82.7295091],[27.54288652],[121.76254448],[28.88929477],[199.73091336],[44.63609041],[50.77472239],[47.96480448],[42.55414837],[278.93094328],[90.19746073],[18.36375417],[90.17946153],[65.60011174],[55.51524754],[72.22914042],[77.3639706],[75.26290256],[75.81631103],[255.34342643],[28.97098309],[53.33154697],[181.87170272],[86.4065549],[63.3209405]
58,[170.65743268],[754.61506583],[791.05442861],[42.76706515],[22.93023216],[40.02739971],[64.82511493],[52.20204176],[374.58667467],[27.5831192],[72.11524324],[74.18926199],[77.49064243],[29.80654812],[112.50319034],[12.62259593],[23.44251228],[49.2211053],[35.15575088],[95.63030296],[31.20174294],[22.06334844],[58.91104721],[79.75011661],[134.44241209],[49.77820303],[66.54919701],[49.35422161],[42.88555741],[31.00971347],[70.99971945],[35.19835814],[82.5865104],[28.52602595],[119.68456738],[29.53926999],[202.05796612],[45.04679284],[51.96153352],[47.59239314],[42.83442321],[280.97159668],[90.57307281],[18.55850158],[90.9096133],[65.62412566],[55.33789975],[72.79229126],[77.8073583],[75.51399104],[75.89155769],[256.87140989],[29.8257704],[53.36445143],[182.94080922],[87.34506649],[63.22656429]
59,[172.04391714],[759.18136935],[794.55212417],[43.76477317],[23.35910674],[40.8562095],[66.78875495],[52.85692066],[382.22972813],[28.17705064],[72.08276524],[76.07285448],[79.55254152],[29.72215484],[113.840327],[13.23882146],[24.20825061],[49.84692199],[37.19349163],[97.14926839],[32.06660278],[22.52784411],[59.49140694],[80.81227879],[135.65559112],[51.84694722],[67.38472728],[49.99111612],[43.99459002],[31.24370419],[71.86951191],[35.81056746],[82.37165879],[29.26700729],[119.59927021],[29.46420998],[205.81435828],[46.59910857],[53.02090541],[48.87009299],[44.76256581],[282.34383719],[90.42791983],[18.97153903],[91.9406727],[66.53911875],[55.94506779],[73.72698791],[79.26126089],[76.5139655],[76.78926578],[261.17269961],[30.45971559],[53.71861503],[185.42629693],[90.07731488],[63.43351027]
60,[171.79086443],[781.66646016],[792.16522033],[42.61565666],[23.65567437],[40.79072377],[66.35546236],[53.68022019],[391.735524],[28.31451389],[72.32359729],[74.42893441],[78.04614334],[29.97370293],[114.85709085],[12.74956581],[23.30255882],[49.48775046],[36.39650746],[96.6615374],[31.59557375],[22.53760237],[59.5431642],[83.55281361],[133.80583802],[42.26862355],[62.06895302],[49.05224882],[44.39725375],[31.26928153],[71.14267602],[30.72734442],[81.86427336],[31.05151515],[119.76627773],[29.37957199],[204.2977865],[46.53186974],[52.97316688],[45.64417175],[44.39003013],[282.77677259],[88.95398979],[18.91410562],[92.8167884],[65.68468243],[56.43204891],[72.48500555],[76.67147219],[76.17775388],[75.69847066],[264.43760306],[30.18682907],[53.26014806],[185.94186974],[91.2988634],[63.63155503]
61,[169.83398912],[796.4644967],[793.81831675],[42.81302156],[23.9830985],[41.09230207],[65.42749426],[53.61200954],[398.21665903],[27.88542211],[71.55907843],[73.58431806],[77.07844552],[30.98345091],[116.58034156],[12.73449172],[23.26923068],[49.03097886],[35.91078719],[96.31749075],[31.81003969],[22.37790425],[59.02807075],[82.8109379],[133.69382907],[41.69010671],[61.08839717],[48.55834545],[43.66405683],[31.67068108],[70.9851929],[30.83768408],[82.33211611],[30.36954981],[120.80943648],[29.48863001],[204.51355813],[46.94780943],[53.90421807],[45.40497812],[44.28325163],[282.00503234],[88.43727508],[18.46027975],[92.87417969],[65.31671344],[57.06556159],[71.56014398],[77.25639762],[75.9341694],[75.12497822],[263.24905993],[30.3908536],[53.17459684],[186.07424766],[92.1324963],[64.37246197]
62,[169.79921346],[795.9529088],[790.97548686],[43.31028116],[23.57303092],[40.79958176],[65.22607688],[53.67307369],[394.50569261],[28.00648954],[71.5586888],[73.77930109],[77.29636242],[30.66644059],[117.15184487],[12.6021806],[23.75011638],[48.08607232],[35.97784888],[96.04357552],[31.81433095],[22.11766096],[58.13965542],[82.66367227],[134.53439917],[40.89997109],[61.50239957],[48.00759272],[43.58170514],[31.18480606],[71.1206369],[30.18707173],[82.30305283],[30.48784737],[120.43725588],[29.11534313],[203.6180498],[46.83968337],[53.34591541],[45.26441546],[44.39124239],[279.78337751],[86.96646403],[18.5265815],[92.17981584],[65.42812876],[58.11957458],[71.54369666],[76.73384819],[76.0619537],[75.30688541],[260.67922723],[30.34101558],[52.92337222],[181.7548792],[92.41351568],[64.52293828]
63,[169.95706801],[794.17397937],[793.77687242],[43.87890565],[23.67330362],[40.71440996],[65.66376586],[54.16504896],[414.02393476],[28.14618692],[72.23311614],[74.06265371],[77.85575863],[30.24584367],[117.48222467],[12.85444141],[23.93740279],[47.95065234],[37.38298402],[97.20410114],[32.08428891],[22.35050069],[58.53158717],[83.00590286],[136.09235793],[40.98157766],[61.22910427],[48.03522015],[43.69887885],[31.25836142],[71.18612419],[30.16500971],[82.01275114],[29.7261955],[120.27780904],[29.7006377],[203.39200107],[46.86255905],[53.09217725],[45.46818306],[45.31144718],[281.59480993],[87.87791777],[18.6803663],[93.74802582],[66.75524449],[57.84405639],[71.46598983],[77.21341095],[76.70539719],[76.32512649],[262.64301756],[30.62685982],[53.23168018],[183.86352008],[94.57592362],[64.91623069]
64,[173.38886129],[799.17863914],[792.84843936],[43.40885469],[23.68771994],[40.10020731],[66.91361683],[54.47886706],[412.72204831],[28.59855835],[72.86558616],[73.4411854],[77.83479999],[30.39005636],[117.00573458],[12.67005728],[23.70694782],[48.28682577],[37.99835117],[97.48986053],[31.21486551],[21.8588878],[58.05948669],[82.41251591],[135.66157441],[40.64782051],[61.19603648],[47.46437959],[44.00862716],[31.16305436],[71.33806582],[29.82645502],[82.83124571],[29.47618391],[120.92016595],[28.93828555],[202.30119564],[46.87162174],[52.68033608],[44.88416811],[45.700158],[281.58321046],[86.47845757],[18.85229474],[92.18607469],[66.52723667],[58.05105328],[71.54578727],[77.69039595],[76.26401316],[76.59388223],[262.66100674],[30.45944889],[52.56671628],[183.20662479],[92.78206386],[64.42574062]
65,[174.38804596],[814.8980119],[790.55036185],[44.2554175],[23.77252128],[39.92334691],[66.82461202],[53.67179744],[409.36297655],[28.65072101],[73.74209003],[73.74515641],[77.58138264],[30.28648277],[117.99820562],[12.5728118],[23.9543882],[48.38889957],[37.45815643],[98.20651645],[30.50916685],[21.87536984],[58.4086262],[83.49203814],[135.10966107],[41.26725131],[60.70057505],[46.98709997],[44.45689921],[31.62152617],[71.60751318],[29.93674556],[81.96552931],[29.56279785],[122.11253584],[28.68769263],[201.90912811],[47.1558191],[52.37621718],[44.95563899],[45.30607404],[281.66513932],[86.41992375],[18.99719393],[93.1408308],[66.57507531],[57.99144469],[71.18455477],[80.59156283],[75.95517198],[75.98590879],[261.17644321],[30.2946837],[51.84788931],[183.78751589],[91.7342596],[64.64748946]
66,[174.80500834],[817.87889657],[781.27162364],[43.81015281],[23.76377828],[40.2734035],[67.20310951],[53.50972125],[409.94751704],[28.52980427],[73.42875862],[73.04803916],[77.19347591],[30.26671045],[118.85969555],[12.63036648],[23.63618697],[48.52404613],[37.3012363],[98.6003186],[30.66933093],[21.99087698],[58.68736548],[83.84003839],[135.20478088],[40.77224219],[60.68000847],[47.01637864],[44.45303604],[31.80955858],[72.15592267],[29.824949],[82.68922734],[29.52303298],[121.48191361],[28.5922979],[202.53763511],[46.96964675],[52.89920231],[44.27358445],[44.98422991],[279.52387081],[86.07934667],[19.16936717],[89.27067285],[66.88946047],[57.84833606],[70.2315995],[81.83183394],[75.9551347],[75.98945446],[261.52794553],[29.98890772],[51.36836166],[184.79615022],[90.33509206],[64.63024624]
67,[173.22368492],[808.99117391],[782.47408531],[44.91972096],[23.81014737],[39.78455319],[66.47370785],[53.08004372],[405.10634635],[28.59614922],[72.98119939],[74.34474719],[79.57550337],[30.26789988],[118.63517246],[12.60458543],[24.13274796],[47.9322096],[37.30369235],[97.54205775],[30.86214298],[22.80737001],[58.91311274],[85.10966246],[135.97749725],[41.35199953],[61.15460385],[47.22821064],[44.39192399],[31.61222629],[72.38944129],[29.86343585],[82.37093747],[31.00612569],[122.79134945],[28.69116599],[201.88953583],[47.80962812],[53.60666401],[44.31304375],[44.80271663],[279.10615408],[89.5351974],[19.14149494],[94.65939005],[67.09682037],[57.96068214],[71.03200686],[79.78759439],[76.75292667],[77.28799598],[263.39194133],[30.07140389],[52.16467998],[185.43468259],[92.2993508],[64.18356619]
68,[174.11757299],[807.01415483],[779.81571472],[44.73790538],[23.66131371],[39.76054501],[65.69871584],[53.64208404],[409.9487958],[28.51558856],[73.215374],[72.38820042],[77.26842705],[30.34953128],[119.3156462],[12.39408156],[23.94874045],[47.76321701],[37.47476676],[99.35514502],[30.6235693],[21.94235816],[58.48117431],[84.56067055],[136.17869392],[41.18676885],[61.86048119],[47.43046127],[44.29467468],[31.86498866],[71.42434935],[29.39740237],[83.107559],[30.41544381],[122.70262322],[28.65074021],[204.2235434],[47.4516128],[53.18862414],[44.32811257],[45.74071443],[281.072623],[89.26120332],[19.20059543],[93.2951218],[66.88652414],[58.41738208],[66.79946823],[79.95503114],[76.68104545],[76.50356698],[265.75432313],[29.24619451],[51.01595494],[186.00822474],[91.93604721],[64.35524218]
69,[171.70059304],[810.3088434],[770.67625597],[43.67159052],[23.28578193],[39.79805552],[66.51955242],[53.52788092],[408.58368443],[28.04888363],[72.67980971],[71.19988175],[76.21307192],[30.67388562],[118.79291808],[12.42340101],[23.86961646],[47.61866745],[37.29417885],[99.00992427],[30.39057369],[22.02786246],[58.20621968],[83.85400672],[135.40858987],[40.23418935],[60.9181768],[47.49022217],[43.72213665],[31.46670235],[71.59979511],[29.42251597],[84.49973092],[30.05631869],[122.19041104],[28.71524438],[205.80999715],[45.91177051],[52.90127401],[42.90345926],[45.54453271],[275.49751603],[88.37686011],[18.92821995],[91.50676822],[65.95402408],[57.87390954],[65.70099961],[78.94020531],[75.19863568],[74.81282087],[266.26091966],[29.15625592],[51.50860227],[185.27473877],[90.82766288],[64.02389473]
70,[171.62732789],[809.50177768],[771.40816542],[43.3743096],[23.14670216],[39.82774801],[66.64975692],[53.3590115],[405.24366451],[28.33142947],[73.38916765],[71.04657602],[76.80022547],[30.59183576],[120.02966176],[12.35343227],[24.15494766],[47.88656778],[36.98739718],[99.84774765],[30.50133114],[22.26513529],[58.59059994],[84.12899061],[135.75652824],[40.52442939],[61.30087847],[47.72846288],[43.88022823],[31.61747697],[71.76808908],[29.65162422],[84.48210148],[29.89448069],[122.31487951],[28.74081555],[207.14791561],[46.30382456],[53.20961914],[44.5650008],[45.64321761],[274.44119691],[88.55043858],[19.13066121],[93.21284038],[66.0008165],[57.63131703],[64.04313078],[79.50918769],[75.5088716],[75.09604539],[266.25343858],[28.94642782],[51.85756886],[185.65109872],[90.56150531],[64.5845861]
71,[168.00411968],[818.43717992],[742.01384517],[43.54076481],[22.91006904],[39.50184235],[67.16916407],[53.79388446],[407.58913715],[28.69481469],[73.02621424],[70.28036423],[75.31773075],[30.24882674],[119.97061628],[12.30189633],[23.75261591],[48.18750266],[36.63107138],[96.30679596],[30.47868824],[22.46356116],[59.22502852],[83.90587278],[138.21633711],[40.08926947],[61.23203023],[47.48113213],[43.76172789],[31.65201269],[72.57328099],[29.58950034],[84.38841597],[30.23982413],[121.40742158],[28.49165602],[209.428743],[46.36134754],[53.20416971],[44.44472884],[45.98970471],[266.05671472],[89.00785833],[19.19432022],[91.57323844],[65.11293481],[57.72886608],[63.9015109],[78.67230635],[74.70480683],[74.70506248],[266.14585442],[28.37239899],[52.06174535],[187.02220996],[92.5184597],[64.36830697]
72,[168.4709681],[823.1785556],[738.70719209],[44.17390233],[23.10960124],[40.38808049],[68.23833006],[54.4723982],[417.63582388],[30.56561306],[73.66045356],[71.81090711],[76.9735595],[29.97817671],[120.3074191],[12.63306939],[24.15913685],[49.08375549],[37.01440058],[96.93659866],[31.08282044],[22.59015633],[59.64221028],[85.43076228],[137.91647629],[40.2175385],[61.49705656],[48.45838154],[46.38318818],[31.48124765],[74.05523328],[29.9627485],[84.47203923],[31.25006059],[121.11467333],[29.06799374],[214.77345293],[47.30883711],[53.40567871],[44.7899719],[46.8741739],[267.8548028],[90.15102302],[20.33606663],[93.24923393],[66.12325702],[58.41723385],[64.15647701],[79.35988738],[74.74940772],[75.19442304],[269.01099548],[28.51282364],[52.67313282],[188.88953876],[93.93116732],[65.3015183]
73,[167.65700664],[836.83124339],[737.91676479],[44.65406238],[23.05720667],[41.31809967],[68.18004947],[55.7936355],[419.35036062],[31.2273129],[73.58386968],[71.90483082],[76.98722701],[30.19674492],[120.82122456],[12.81084196],[24.3081275],[49.740742],[38.34949083],[97.64124775],[31.67135231],[23.76023889],[59.91502349],[86.68287161],[137.46216302],[40.19699258],[61.86562349],[48.62826427],[46.86180728],[31.61595351],[73.08365953],[30.12608511],[85.67928038],[31.56352525],[121.85210215],[29.60776629],[215.12663225],[46.92666498],[53.83051584],[45.06990145],[48.05535257],[266.70179319],[91.08202543],[20.37574783],[94.88421737],[65.94018876],[58.65730841],[64.87760855],[80.30702966],[75.38560366],[75.28937896],[272.28801768],[29.25763932],[52.51740524],[190.15900981],[96.19058802],[65.51004218]
74,[165.40123014],[839.23936741],[730.09684898],[45.23450698],[22.91436176],[40.81576929],[67.69150122],[56.8520311],[418.62282134],[31.38505596],[73.60951631],[71.75405493],[76.08875079],[31.66045037],[121.2761516],[12.33742425],[23.88692085],[49.05374894],[37.48544028],[97.13077197],[31.77695667],[23.5398809],[60.05653386],[81.61398931],[138.69099393],[40.22365954],[61.25625842],[48.0944846],[46.63724771],[31.58021093],[73.21590471],[29.90781429],[85.89779677],[25.65892967],[121.89618917],[29.48417818],[215.4342387],[46.36219906],[53.60205249],[44.30455252],[49.26705814],[263.13283378],[89.92704712],[21.16674242],[93.13131525],[65.57593661],[58.42443586],[64.06528236],[79.86411518],[75.14162273],[74.99565452],[272.55421848],[29.03705765],[51.94725839],[174.33639338],[95.25118658],[65.26286274]
75,[164.77981988],[835.32024369],[732.13204716],[43.46566475],[22.19922978],[40.38703055],[67.48682441],[56.19686142],[415.9578807],[30.97775057],[73.57467634],[70.41095569],[74.13489399],[32.39005134],[122.0330712],[12.48054419],[22.5455096],[48.98437358],[36.9424257],[96.91633839],[31.30658611],[22.81177514],[59.04107286],[83.03346611],[138.25804883],[39.00717011],[59.00134463],[47.45698045],[45.79568723],[31.47438781],[73.24033646],[29.08884246],[86.13047],[26.57587765],[122.89297538],[29.82152245],[215.02625285],[46.14906835],[53.15518602],[42.8951869],[48.94043976],[264.09448227],[87.85554131],[21.17559656],[90.39536525],[65.3138559],[56.13203318],[63.75999682],[79.14376521],[74.3051518],[74.37079232],[271.38731819],[29.07221107],[50.74879483],[171.14770922],[102.6553245],[65.83634966]
76,[164.73219305],[830.03565079],[725.37804112],[44.27717162],[21.93147419],[40.48527607],[66.89933944],[55.59258427],[417.53214942],[30.80732551],[73.85771013],[72.04831661],[75.27034953],[32.11326509],[121.48166645],[12.35694782],[22.79023234],[47.33824378],[36.31545645],[97.04494008],[31.26323521],[23.23315567],[57.98534088],[83.37837921],[138.49671887],[39.6913086],[58.68938042],[47.26881589],[45.38141706],[31.84359532],[73.50672747],[29.49789648],[85.26329265],[26.18104736],[123.01891567],[28.98557945],[215.56588453],[46.29381016],[53.07362399],[43.69255098],[48.07469028],[262.31188791],[88.12024226],[21.37721356],[92.18301199],[65.37987653],[55.90099933],[64.17325395],[78.00407151],[74.08762984],[74.42607108],[270.30445519],[28.82981981],[51.3293427],[175.44892585],[102.40290717],[65.63667082]
77,[164.21265655],[824.26075842],[725.31155733],[44.47880503],[21.45911605],[40.77747409],[66.75685576],[55.30350766],[421.25098194],[29.96222216],[73.3321339],[73.62772884],[77.25337095],[31.81716787],[121.60496108],[12.35077211],[22.9931782],[48.32262349],[36.62843869],[96.74774742],[32.37287425],[23.60170884],[57.15356974],[82.32312749],[137.68840536],[39.78225707],[60.26551642],[47.73231371],[44.66003062],[31.90220413],[73.18789687],[29.46784342],[84.65430467],[26.56773547],[122.57912216],[28.8375578],[215.91670254],[47.44835933],[52.87301564],[44.20380393],[47.10114299],[262.40729997],[88.18193179],[21.47127377],[93.45701621],[66.09875738],[55.24034658],[64.4691643],[78.77337068],[74.95656925],[73.69280568],[272.56930053],[21.08889668],[51.54990143],[174.80164269],[101.19172541],[65.52890645]
78,[160.66978258],[833.62563545],[716.49304732],[44.53347836],[21.13400638],[41.04173514],[65.23235607],[55.45576994],[420.10282356],[29.7488244],[72.27455949],[73.34832138],[76.25875607],[32.12650093],[120.75407544],[12.32285753],[22.57926691],[48.15724797],[36.14349049],[96.41419634],[32.22590525],[23.19238149],[56.77515047],[82.37984357],[137.52512249],[39.43971997],[58.77036845],[48.52295648],[44.95666581],[31.71441513],[72.38914568],[29.17468228],[84.66206993],[25.42885575],[122.46104971],[28.5124568],[215.95635985],[47.37727331],[52.98475911],[43.68042376],[48.25660807],[255.03321434],[87.45375751],[21.20167074],[89.91265834],[65.86299934],[53.95446152],[63.59998976],[77.94404366],[74.74141853],[72.38634986],[269.98229298],[21.62576152],[50.70042299],[173.72991318],[97.37224429],[64.85575671]
79,[162.75660189],[841.54637429],[724.86983565],[44.29389924],[21.10892634],[40.48073762],[65.07358961],[55.411412],[423.23664035],[29.87262227],[71.69672561],[73.75138355],[77.38211082],[31.90901728],[120.73482249],[12.27066243],[22.7620616],[49.81747015],[35.69394699],[96.65625591],[32.08710048],[22.66153864],[56.43463735],[82.51106283],[137.07545276],[39.77798993],[59.1555333],[48.15969275],[44.87519676],[31.73802603],[72.00492616],[30.71100862],[84.59634434],[25.7671616],[123.2595726],[28.87561372],[216.11076588],[47.87023767],[52.75287558],[43.50957253],[47.58057018],[256.95550055],[76.38488268],[21.26582983],[89.78258195],[65.63073506],[53.82299397],[63.72552451],[78.22623683],[74.88870021],[73.6243777],[270.82581633],[20.53693982],[50.73493705],[171.59867991],[97.33651522],[65.68369076]
80,[162.6838334],[809.93394375],[726.11150545],[44.74590562],[21.40216582],[40.55217082],[65.73587944],[55.37285873],[403.48855739],[29.88951853],[71.8366315],[73.13423778],[76.77338763],[32.05465625],[121.66842972],[12.57907006],[22.92986288],[49.82906968],[36.36596158],[97.10325138],[31.99916027],[18.86112767],[56.57128401],[82.59643364],[138.09128545],[40.14222319],[59.67640561],[48.74023814],[45.16838012],[31.93704898],[73.28555146],[32.67597286],[85.50846401],[25.78684544],[124.25438907],[28.88379958],[215.45554913],[46.72897719],[52.31845703],[43.91789219],[47.78008785],[260.13107177],[75.84101076],[21.38058067],[87.2947562],[65.93608769],[55.02558044],[63.75715465],[80.4754295],[75.36914076],[73.35230844],[272.38716636],[20.85196721],[49.56906224],[173.71950963],[96.95134362],[66.18494277]
81,[160.07266839],[806.66776578],[720.32391992],[43.95729856],[21.60343518],[40.54160101],[65.12682684],[55.53768257],[395.82036908],[29.49940312],[72.27888707],[72.23766882],[74.97144018],[31.9996781],[122.21594653],[12.52267569],[22.98983997],[50.22374657],[36.85953321],[97.2421043],[32.2131307],[19.31378086],[56.69384113],[93.85049157],[136.50889813],[39.21246804],[59.11361624],[48.62719149],[44.80731157],[31.49042743],[72.70241481],[31.80698347],[85.69174447],[25.92685683],[124.44440707],[29.10375005],[213.49875603],[44.11160605],[52.79317341],[42.88963793],[47.45886966],[258.29604282],[75.52400126],[21.30153931],[88.17321974],[66.31968541],[55.69523989],[63.42584131],[78.35605774],[75.33848673],[73.32296324],[273.39265608],[20.74120734],[49.40198179],[172.62635624],[97.08498473],[66.26509355]
82,[159.68583351],[815.09312522],[722.58154684],[43.56201274],[21.48335376],[40.07206543],[65.90742462],[55.46309454],[398.3788207],[29.4495764],[71.83847168],[72.86878463],[75.33347826],[32.38497359],[122.39237298],[12.32023895],[22.72446535],[49.50208996],[35.00978312],[97.04031902],[32.27739917],[19.23428177],[56.61301628],[94.09782975],[136.77336715],[39.15344885],[58.26371279],[48.63399605],[44.6227069],[30.9098305],[72.30688147],[31.30426297],[85.87478657],[25.84155961],[124.60282385],[28.5050377],[214.19966932],[45.99077628],[52.7649322],[42.73061547],[47.79088539],[261.99709434],[76.48107799],[21.25528849],[85.68692561],[66.34511185],[55.18513045],[63.55333887],[78.35519903],[75.21013032],[73.18963745],[272.59700559],[20.40132485],[48.43452465],[173.32688906],[96.89223351],[66.4159601]
83,[162.8654689],[822.20774606],[739.93609117],[43.86591586],[21.16329989],[40.43674907],[66.76598757],[55.62505637],[403.40633485],[29.88656697],[73.34721674],[74.98662709],[76.68310341],[33.18389034],[122.79279572],[12.37268361],[23.26837075],[48.83264505],[35.12818285],[99.0529435],[32.14646179],[19.9778404],[56.80264097],[96.47596781],[138.10919978],[40.77864709],[58.6634838],[48.2341563],[45.21673009],[30.62454458],[72.51369048],[31.99102034],[86.34547144],[25.92162183],[124.68850763],[28.68046929],[214.17710713],[46.01646018],[53.8528402],[44.50337149],[47.84390412],[271.31595823],[77.74581618],[21.26558854],[87.1808792],[67.63903274],[55.1595831],[64.76239361],[78.96159831],[75.47835084],[72.9866379],[272.94808295],[21.04288649],[49.12986896],[173.96224692],[97.06029216],[66.53799692]
84,[164.484668],[821.08361931],[746.14308781],[44.72842663],[21.11076374],[40.63586829],[67.42996639],[56.30379327],[416.01078253],[30.09783441],[75.00571328],[77.61045689],[79.41762743],[33.04836999],[123.24951527],[12.37375249],[23.95264314],[49.14772899],[35.11883719],[99.6105273],[33.23337041],[20.27789652],[56.70407027],[97.98895975],[138.61723906],[41.9962684],[58.94154824],[48.97248759],[45.16149174],[31.20922917],[73.4530277],[32.30926763],[86.84635631],[25.79130628],[124.50334171],[28.58368877],[214.94936507],[46.51484221],[55.27816713],[45.4223755],[48.07508893],[274.31172986],[77.81494849],[21.40355841],[87.19408211],[68.12154866],[55.77295621],[66.34685797],[80.46839505],[76.07639447],[73.52757129],[273.13486461],[21.62633059],[49.56298804],[174.06242036],[98.70410435],[67.34587551]
85,[163.98041165],[827.36517172],[740.55407989],[44.66623214],[21.04442035],[41.61960885],[67.55914566],[56.22093347],[412.93663163],[30.80540074],[76.25130441],[76.79624379],[78.01861326],[33.59718025],[122.64313157],[12.51826605],[24.3864512],[49.81317163],[35.15162824],[99.89963333],[33.81611142],[20.77380229],[57.29455618],[97.5377573],[139.91389895],[42.00074636],[58.87795326],[48.9464461],[46.83021393],[31.21291059],[74.02368394],[31.97053013],[86.50708606],[25.70245531],[125.8656752],[28.56981015],[222.79060507],[47.11701047],[56.15735194],[44.89151712],[47.78375595],[271.68623781],[79.66666713],[21.61763163],[89.91106592],[68.75665863],[56.1967604],[65.6182861],[81.32050979],[76.93267778],[74.24890262],[270.1358129],[21.49141558],[50.30808555],[174.4741625],[98.77731022],[67.92200942]
86,[162.76529491],[837.00445755],[736.7610516],[43.98505496],[20.85858169],[41.72045438],[67.50206929],[56.47565033],[413.8813208],[30.39001696],[76.12117392],[76.29755342],[77.76167436],[33.72114826],[119.43015135],[12.5669152],[23.63069642],[50.35344374],[35.54296467],[99.97500606],[35.80125749],[20.3514035],[57.09087762],[98.22022358],[139.86836653],[41.39265506],[57.81755691],[48.67712253],[46.64936129],[31.3795002],[73.93140048],[32.60308952],[87.38656289],[25.88545346],[125.53206501],[29.22169819],[223.45436606],[46.86219226],[56.03524336],[44.41152277],[47.91453237],[268.98827528],[79.19105639],[21.51405054],[89.12776913],[68.00921324],[56.06713334],[64.90775565],[81.57246792],[76.81724875],[73.22738631],[268.29994263],[21.21117698],[50.3630926],[175.42582173],[98.77702152],[68.04047407]
87,[164.56466025],[836.70920551],[735.57070812],[45.30863238],[20.94897056],[41.4855729],[68.22496444],[56.34449771],[418.73169987],[30.18134914],[76.35400986],[77.18597688],[80.01138234],[33.58091125],[119.82206803],[12.65239982],[24.13772434],[50.23276681],[37.30041993],[99.59077012],[35.91493863],[20.76315276],[57.69304996],[97.85859132],[141.40920946],[42.65943173],[58.12248619],[48.25256365],[46.15705584],[31.65360314],[75.67772898],[32.64902511],[87.92609037],[25.65475334],[125.84131674],[28.57868089],[224.28225296],[47.53796545],[56.46608737],[45.4784309],[47.78022276],[270.02617836],[79.43629366],[21.49031916],[90.1159112],[68.67817279],[56.52360477],[65.79221128],[82.94383821],[77.89333089],[73.33784653],[271.82471757],[21.66307892],[50.72296949],[174.8786135],[97.47764293],[68.50090022]
88,[163.66100302],[842.52439029],[739.56918058],[45.88735551],[20.78453346],[41.88241823],[68.59326609],[56.45335687],[422.91499103],[30.75888573],[75.87709897],[77.17519146],[78.52951905],[33.98287312],[121.19145042],[12.62570816],[24.34051483],[50.79816701],[37.05846153],[100.12263949],[36.1596618],[21.02228],[57.22655343],[97.90841645],[142.20212459],[42.80896232],[58.2617054],[48.31247026],[46.92392323],[31.89892512],[76.83902051],[32.7392139],[89.53521856],[25.9924157],[126.508315],[29.73695708],[222.67377789],[47.14858728],[56.64238976],[46.06602982],[47.96100922],[270.8386554],[78.90830787],[21.61998808],[89.83777438],[68.88688936],[56.8215175],[65.74924282],[83.15247092],[78.11599048],[72.71297842],[274.14353517],[21.77527561],[50.42782899],[177.02019947],[99.60980751],[68.58535883]
89,[160.98982692],[844.56326769],[738.06976467],[45.38832732],[20.57657396],[41.34772016],[68.29630126],[56.05551653],[424.5869617],[30.42080992],[75.87033699],[76.08489555],[78.03938683],[33.49110191],[120.21690148],[12.52518865],[24.08732939],[50.94027744],[36.96920932],[99.22657023],[36.10176028],[20.77263798],[56.44308316],[97.70949306],[141.42998345],[41.5327581],[57.43582773],[48.3631767],[46.09072734],[31.98562616],[76.30179994],[31.80097683],[89.45781443],[25.61621185],[126.70726363],[26.61410866],[221.90865347],[46.88134599],[56.25279155],[44.13314602],[47.61666242],[267.07007167],[78.31969486],[21.34225941],[88.06733234],[68.26096708],[56.70583213],[65.16637868],[82.99174081],[76.91867376],[70.8693966],[272.20411014],[21.54854402],[50.2762421],[176.70543359],[96.70467866],[68.41530941]
