,Activision_Blizzard_predictions,ATT_predictions,CBS_predictions,CenturyLink_predictions,Comcast_predictions,Discovery_Class_A_predictions,Discovery_Class_C_predictions,Dish_predictions,Electronic_Arts_predictions,Facebook_predictions,Interpublic_Group_predictions,Netflix_predictions,News_Corp_Class_A_predictions,News_Corp_Class_B_predictions,Omnicom_Group_predictions,Take_Two_Interactive_predictions,Twitter_predictions
24,[39.52302507],[36.49824309],[57.68838381],[23.77796608],[66.33627302],[26.3561254],[25.71654735],[55.60946578],[77.64093944],[119.144099],[22.08585753],[114.69101681],[12.05827596],[12.29489984],[81.25902629],[47.93728092],[18.40868549]
25,[37.80606405],[36.09397996],[58.8146942],[24.30708064],[67.15646774],[28.25137668],[27.26517161],[53.82817259],[76.57244271],[115.49149961],[22.18317781],[113.1243837],[12.22502844],[12.54179686],[83.07903585],[46.73215006],[19.00613254]
26,[38.62205786],[36.84279788],[59.2373425],[24.71608142],[66.85251001],[27.70108494],[26.64097088],[54.87861823],[77.86408301],[117.78411323],[22.98713602],[113.39171948],[11.96896607],[12.31621658],[83.87565315],[46.65331858],[18.88118884]
27,[38.96062608],[37.15387229],[59.44009729],[24.48750423],[67.39733792],[27.49992265],[26.54115185],[54.630532],[79.03380519],[116.93392616],[23.15689335],[114.7746967],[12.01969012],[12.34040807],[84.90657032],[46.72660668],[18.63955206]
28,[39.95500099],[37.44411728],[60.05105383],[24.22693045],[68.43350195],[27.9743325],[27.0796013],[55.76806202],[79.71091731],[117.92422064],[24.1121286],[114.62753978],[11.98249145],[12.34791793],[87.1501823],[48.44117349],[18.43312577]
29,[38.42336595],[37.51604462],[59.97262033],[24.79965316],[68.29168805],[27.33548169],[26.59511086],[55.80263031],[78.96100429],[116.95787428],[23.60179477],[114.82175794],[11.84720027],[12.16913756],[84.95209169],[47.860659],[18.59418425]
30,[38.48817103],[37.73402468],[60.31843008],[25.54664397],[68.23061241],[27.46848575],[26.63540583],[56.21174887],[78.20014194],[121.87237041],[23.92288241],[117.53870628],[11.72965448],[12.04829805],[86.47133704],[47.98510341],[18.56897463]
31,[37.25359487],[38.56697979],[60.89894816],[25.1839494],[69.01815677],[27.39546474],[26.54731702],[56.03594377],[77.77979431],[121.51709774],[24.30288726],[117.59148465],[11.66894563],[11.98976723],[87.36857616],[47.40317635],[18.58961339]
32,[37.31651051],[38.74929504],[60.01894353],[24.34246796],[68.9054431],[27.23573686],[26.39086949],[55.68216475],[79.55391629],[120.41127345],[24.4128504],[117.30463373],[11.79205996],[12.09174567],[87.95435872],[48.20454156],[18.17352036]
33,[37.30612049],[39.22252519],[60.94949782],[24.68293278],[69.20999986],[27.47287465],[26.70955738],[55.93079741],[79.29807932],[120.20360375],[24.55760678],[117.00645698],[11.79685498],[12.10141349],[88.42179939],[48.93655723],[17.97796041]
34,[37.4012507],[39.51957822],[60.41063418],[24.61996108],[68.28696733],[27.1294211],[26.50411745],[56.13816088],[78.75153321],[120.66805105],[24.56263134],[116.60019689],[11.83957105],[12.10295293],[88.18848555],[48.45854301],[18.22352533]
35,[37.98480818],[39.50335625],[61.04880556],[24.18983113],[70.20604205],[27.55883672],[27.04277752],[57.75610648],[81.53365995],[121.07801921],[24.36333093],[117.16998642],[11.53246714],[11.89169642],[88.44560251],[50.05316067],[18.14255188]
36,[36.65065915],[38.58365778],[60.69809565],[23.51231766],[69.43917971],[27.01466735],[26.38008741],[57.40713915],[79.21713313],[118.49084187],[24.08538043],[116.62709077],[11.5399264],[11.93384182],[86.98724361],[49.21143655],[18.44163979]
