,Activision_Blizzard_predictions,ATT_predictions,CBS_predictions,CenturyLink_predictions,Comcast_predictions,Discovery_Class_A_predictions,Discovery_Class_C_predictions,Dish_predictions,Electronic_Arts_predictions,Facebook_predictions,Interpublic_Group_predictions,Netflix_predictions,News_Corp_Class_A_predictions,News_Corp_Class_B_predictions,Omnicom_Group_predictions,Take_Two_Interactive_predictions,Twitter_predictions
108,[49.13770533],[42.44587251],[67.32336052],[23.31266164],[37.66422424],[28.07371405],[27.34124066],[63.21737405],[90.14118192],[140.10260777],[24.61487117],[143.98066702],[12.63257874],[12.88675118],[84.84245304],[58.63720223],[15.10926622]
109,[49.17940285],[42.64191054],[66.96954938],[23.64937776],[37.43214463],[27.92377173],[27.27726452],[63.87771788],[89.62431773],[139.94051105],[24.58319106],[144.85525989],[12.65242621],[12.96887001],[84.96208889],[58.0865047],[15.00600725]
110,[49.0183258],[42.39737273],[66.86687966],[23.62933439],[37.45840519],[27.65695293],[27.10629904],[63.00270503],[89.24225039],[140.00346422],[24.30640806],[145.46876337],[12.62058136],[12.88578684],[84.64492185],[58.02477297],[15.01624259]
111,[48.30870303],[42.08778341],[65.98018442],[23.3197983],[37.04317186],[27.34598027],[26.74036312],[61.8768558],[88.52407534],[138.60702331],[24.09055245],[142.15286621],[12.4975126],[12.82619095],[84.40455039],[56.80778912],[14.52508607]
112,[48.76088389],[41.63043921],[66.14882171],[22.79292225],[37.01742359],[27.45841118],[26.92397227],[61.65598087],[88.95379153],[139.74368699],[24.38490655],[142.44968914],[12.51015929],[12.94859655],[84.6419856],[57.67075329],[14.86257983]
113,[48.79285144],[41.66161334],[66.67572711],[22.64019747],[37.2149733],[27.59657372],[27.08967259],[61.90489844],[88.74730053],[139.79536502],[24.29672569],[141.55392774],[12.54379743],[12.93890371],[84.5391039],[57.82868314],[14.88257358]
114,[49.14697144],[41.70335609],[66.91650475],[22.77596548],[37.36703303],[27.46220349],[26.99200787],[62.02846564],[89.52004324],[140.44432824],[24.16220119],[141.82554507],[12.54109991],[12.94624703],[84.37905594],[58.16017342],[15.07282175]
115,[49.31872485],[41.51337449],[67.53152748],[22.60041919],[37.09380566],[27.55921878],[27.05514753],[62.19094275],[89.09566367],[140.34985578],[24.03681843],[143.72220938],[12.58131626],[12.95047459],[84.20656545],[58.69935645],[14.96597418]
116,[49.75729964],[41.5676389],[67.7605597],[22.52241725],[37.06569649],[27.60197586],[27.13532194],[62.93521852],[89.84264976],[141.8354846],[24.51230352],[144.81599538],[12.84040079],[13.24637406],[85.24656136],[58.72333549],[14.82600949]
117,[50.12750887],[41.45183156],[68.26272644],[23.11799681],[37.20455206],[27.97246965],[27.43919535],[62.97042136],[89.83451115],[142.73047718],[24.52949552],[146.11083437],[12.99650234],[13.45179952],[85.11045663],[58.81363953],[14.95895899]
118,[50.193256],[41.78706679],[69.32836709],[23.39185603],[37.49569393],[28.62760522],[27.99960684],[63.21516492],[90.33648773],[142.37062266],[24.57282155],[147.66924184],[13.23887398],[13.70371622],[85.90325486],[58.89752607],[14.84350893]
119,[49.90527869],[41.54980374],[69.36835327],[23.54583067],[37.57947061],[29.00225848],[28.25113712],[63.47301695],[89.5462694],[141.97460404],[24.55848801],[147.45397861],[12.99434556],[13.49564178],[86.13071449],[59.24945552],[14.89122399]
120,[49.60100071],[41.58423337],[68.92338206],[23.57723671],[37.53789339],[28.84270388],[28.13037822],[63.05304254],[89.15213924],[142.40350753],[24.41710959],[146.62119228],[12.76015803],[13.21576233],[85.79899139],[58.80676772],[14.77767883]
121,[49.12550885],[41.68413265],[69.18259864],[23.9451604],[37.77149532],[29.18271219],[28.52122301],[63.50976549],[89.38002223],[141.90964274],[24.51522403],[145.23316468],[12.76146026],[13.13216583],[85.79866915],[57.98858178],[14.62164145]
122,[49.27897842],[41.52533687],[69.45945404],[24.18874354],[37.31303333],[29.2713238],[28.49331865],[62.82892772],[88.46861674],[141.97084457],[24.4487037],[143.41674091],[12.59787159],[13.01700783],[85.5982186],[57.94204022],[14.47839468]
123,[49.40086732],[40.5758439],[68.91958702],[24.44084028],[38.11398176],[29.19906078],[28.53090567],[63.20410762],[88.71905679],[141.32067519],[24.37368822],[143.54152179],[12.57203387],[12.95027479],[85.61058576],[58.09076917],[14.32860963]
124,[49.64237081],[40.58073403],[68.70956416],[24.51784526],[38.02350283],[29.14251524],[28.52321058],[62.50962852],[88.85209106],[140.92175905],[24.23523453],[142.85476202],[12.51778773],[12.90964619],[85.70457297],[58.57089258],[14.24196465]
125,[49.09775763],[40.38102308],[68.18826731],[24.85875261],[37.62897588],[29.10415621],[28.52757673],[63.68578144],[88.85350736],[141.2299666],[24.17084241],[143.60565318],[12.52112171],[12.89969622],[85.07347638],[58.57335929],[14.30600217]
126,[49.15650318],[40.35687423],[68.03424458],[24.87120199],[37.21036669],[28.96058887],[28.41657348],[63.50571531],[89.83432158],[140.10489825],[24.48294611],[144.02046187],[12.50162417],[12.847621],[84.82367276],[58.4686929],[14.26527162]
127,[48.70103409],[40.57316699],[67.16904832],[25.12822633],[37.25972279],[28.61308504],[28.06003269],[64.04328364],[90.01502367],[139.683138],[24.51073931],[143.53752628],[12.48491336],[12.95424015],[84.66302844],[57.94646891],[14.35839704]
128,[48.50537777],[40.2902589],[66.48087394],[25.0983174],[37.13028551],[28.21772897],[27.65651043],[62.3025034],[89.03021947],[139.61129827],[24.53519257],[142.6342336],[12.32451041],[12.68909349],[84.5135997],[57.59054363],[14.24464343]
129,[48.8577214],[40.30938787],[67.14116416],[25.28715186],[37.18710108],[28.42870875],[27.87203244],[58.7408855],[89.27545605],[141.69226141],[25.05717434],[146.96470911],[12.40166567],[12.84679117],[86.05534295],[58.56415954],[14.31493895]
130,[49.17597336],[40.23911419],[68.34645385],[25.0320868],[37.5894658],[28.54091248],[27.96076602],[58.09868452],[89.2527574],[141.08281652],[24.92065874],[142.96829479],[12.32571602],[12.69690323],[83.68405938],[59.37948705],[14.36880213]
131,[49.36611662],[40.27072816],[68.62621945],[25.29131261],[37.51406157],[28.84432555],[28.30259358],[59.68116043],[89.78559341],[142.1899191],[25.08718366],[139.6227794],[12.41936152],[12.83303143],[83.69764893],[60.44944649],[14.45638672]
132,[49.95110146],[40.36751864],[68.74344161],[25.48967507],[37.98515439],[29.25985633],[28.68795086],[59.91661208],[91.38765008],[143.86567876],[25.16270416],[140.93679888],[12.96181729],[13.38605077],[83.87189979],[61.9538429],[14.58048394]
133,[49.860073],[39.92632567],[66.84330089],[25.28602333],[38.150424],[29.07131924],[28.57597391],[59.64570474],[92.00995006],[143.69904978],[24.44513405],[142.65095596],[12.87612369],[13.2780825],[83.46070768],[62.14341009],[14.5491076]
134,[50.87051091],[40.02468688],[65.96509473],[25.45666474],[37.97754595],[29.31737066],[28.83973682],[60.32957225],[92.86650726],[145.36548725],[24.62892531],[143.51405695],[13.03941817],[13.35919023],[83.25659966],[62.44341687],[14.62466928]
135,[51.30510335],[39.91390813],[66.3222762],[25.93934475],[38.47667116],[29.21377268],[28.70461324],[62.56875461],[92.95942178],[146.56413038],[24.58503623],[151.72339348],[13.07447563],[13.44810571],[83.50000828],[62.52999582],[14.57911997]
136,[51.35247404],[40.48367988],[66.89066892],[25.83344236],[38.77781021],[29.29246984],[28.70110942],[63.26052936],[93.49147736],[146.51275597],[24.34006332],[149.58202618],[12.8911107],[13.19794419],[83.07447688],[62.65578153],[15.66629716]
137,[51.92046349],[39.90201477],[66.4122099],[25.77487762],[39.57962576],[29.32673441],[28.6596956],[65.05061169],[94.28129296],[147.62124851],[24.10064993],[152.797512],[12.96075902],[13.19692244],[83.1084792],[63.15611088],[16.50592978]
138,[52.22157181],[39.63027069],[66.6031919],[25.65651312],[39.18011034],[28.705389],[27.88490247],[64.29163647],[94.86998933],[150.38707627],[23.61656998],[151.67911808],[12.6948309],[12.98576153],[82.17052349],[62.89619769],[16.4118688]
139,[52.69383321],[39.057412],[66.60316302],[25.34999658],[39.14710049],[27.90700894],[27.10407454],[62.8774369],[94.82164265],[152.52314588],[23.67885725],[155.16919513],[12.72624465],[12.98199228],[82.7036174],[63.96158906],[17.3531431]
140,[53.0364508],[38.96897238],[65.68470696],[25.98644428],[39.32735829],[27.89253387],[27.144478],[63.17367946],[94.24906617],[152.56591801],[23.92861058],[155.99467248],[12.62365529],[12.90562635],[82.87697045],[64.11026005],[17.9987198]
141,[52.85807238],[38.39343872],[63.50612554],[25.3743657],[38.50004592],[26.7069785],[26.09932992],[60.26611757],[94.1503096],[151.53114366],[24.14545363],[155.30877672],[12.55278221],[12.84174413],[83.02830782],[64.00801149],[18.41364641]
142,[53.13944882],[38.01219325],[63.82836142],[23.65550989],[38.26517837],[26.55772747],[25.9872415],[60.21328123],[94.87671539],[150.83842164],[23.94878166],[156.92514044],[12.5823566],[12.85950215],[82.91511813],[63.75654557],[18.38767226]
143,[53.82235382],[38.57759279],[65.09014621],[23.66911267],[39.01549622],[27.06698634],[26.45319253],[61.64062957],[95.89575393],[150.48581492],[24.26591925],[156.28505789],[12.68179576],[12.99744001],[83.63664776],[65.26019604],[18.4763598]
144,[53.97749523],[38.60575728],[63.42964392],[24.88183533],[39.19827132],[27.15633254],[26.41333025],[61.30398183],[95.74637049],[151.38276941],[24.14586244],[156.15377549],[12.79419483],[13.10506006],[83.72148959],[65.11187788],[18.19038252]
145,[54.63078256],[38.23449907],[63.71525149],[24.98848296],[39.07797322],[26.60967922],[25.94761839],[61.31608362],[96.07336952],[150.69885257],[24.45523219],[157.15911958],[13.11479725],[13.40928776],[84.02143565],[65.16405909],[18.26702871]
146,[55.93897612],[38.43063906],[62.4181274],[25.11353306],[39.08386749],[26.04007623],[25.3803611],[61.6241687],[108.80287122],[150.34410058],[24.52798712],[159.98567966],[12.69995653],[13.03636799],[84.04010894],[68.51232012],[18.47007242]
147,[55.7060122],[38.44277963],[62.77784346],[24.38964916],[39.23560434],[26.25175336],[25.62802895],[61.61535434],[108.37627141],[150.16621692],[24.5491314],[158.18420957],[12.65941083],[12.98034864],[84.01129464],[68.39452041],[18.33268961]
148,[56.05920248],[38.5138041],[62.1796797],[24.63529638],[38.95862499],[25.98695601],[25.37441609],[61.37724492],[109.04681822],[150.53629188],[24.43951069],[160.55432816],[12.71057278],[13.04516736],[83.19821624],[68.12835321],[18.5643563]
149,[56.4113561],[38.58654994],[62.10936132],[24.81435844],[38.95051146],[25.93743533],[25.17485495],[61.51105767],[110.57729608],[150.34136752],[24.37102716],[159.64648888],[12.85427597],[13.27256509],[82.39803102],[69.20415837],[19.12075879]
150,[56.77478807],[38.18438196],[61.19970445],[24.74148171],[38.80633006],[25.5290758],[24.76615228],[62.29024656],[111.36578627],[149.8764965],[24.21009109],[159.2237339],[12.95305138],[13.32080023],[81.94287312],[69.93015709],[19.40824069]
151,[54.3814652],[37.43254449],[60.39764099],[24.5421398],[38.06877522],[25.01870137],[24.29153414],[62.77761653],[104.98408865],[144.8398975],[23.92388671],[152.94796093],[12.64837355],[13.039146],[81.71692097],[66.87647247],[18.29420391]
152,[55.31994739],[37.9513199],[60.35512978],[24.59177388],[38.66206745],[25.11826132],[24.46944914],[62.53613385],[107.1498156],[147.91458326],[24.17577356],[155.67180642],[12.69498148],[13.04577106],[82.33506167],[68.73342646],[18.36741206]
153,[55.82399556],[38.26819135],[61.61160179],[24.87603702],[38.85590427],[25.79774266],[25.12640643],[63.55477291],[107.47074516],[148.75310926],[24.32287577],[156.70320207],[12.80935907],[13.18239434],[83.26985126],[67.43010937],[18.23822936]
154,[57.05082697],[38.29463677],[62.04258853],[24.93064687],[39.46050097],[26.13789414],[25.40551429],[63.74723033],[108.58360543],[148.33888736],[24.6174962],[156.95639625],[13.11039363],[13.55144295],[83.70085341],[68.85789992],[18.38294308]
155,[57.7885678],[38.29492301],[61.54213799],[25.18813642],[39.78651867],[25.55260241],[24.902021],[63.87792417],[109.77124589],[147.89156533],[24.30088989],[157.57578701],[13.16388193],[13.50986182],[82.99050128],[72.90380639],[18.21536995]
156,[58.45454261],[38.13625424],[61.62420219],[24.92526036],[40.30657911],[25.39350697],[24.80449781],[63.28158615],[112.31344912],[150.19833446],[24.43085123],[157.45267947],[13.21193853],[13.65082813],[83.14387076],[77.2474037],[17.90673882]
157,[59.17924938],[38.2354844],[61.54125702],[24.91925905],[40.32324314],[25.51685157],[24.9327327],[63.92723419],[113.8373031],[152.13169347],[24.69904902],[162.76397631],[13.20459285],[13.59088469],[83.53692012],[78.81699231],[17.90090115]
158,[58.28037415],[38.11647915],[61.57424339],[24.79136449],[40.88435336],[25.77397054],[25.16270438],[64.10021084],[112.04992722],[152.04582965],[24.71930011],[161.97887654],[13.39906835],[13.77404352],[83.33414612],[76.76730549],[18.15456038]
159,[58.65549303],[38.57410194],[61.52631151],[24.98243003],[41.09011873],[26.13747823],[25.48283407],[63.64042749],[112.89638769],[152.18948301],[24.69399239],[162.96017859],[13.28338175],[13.64833896],[83.40685368],[75.30671535],[18.39323302]
160,[58.59698579],[38.53196138],[61.10933957],[24.93952621],[41.66935693],[26.42541969],[25.77597486],[63.78712118],[113.01261453],[151.47208918],[24.92446339],[162.6851963],[13.36703076],[13.68230546],[83.67228661],[76.04277603],[18.28185829]
161,[59.55828207],[38.89273127],[61.72637101],[25.90778504],[41.65052556],[26.65684248],[26.0010345],[65.24150441],[113.85906929],[151.65626039],[25.16037568],[162.78832285],[13.57843645],[14.01527308],[85.1670791],[78.09953819],[18.44267052]
162,[59.6630756],[38.85730011],[61.27096046],[25.82182519],[41.96233507],[26.40243921],[25.77793736],[66.08393455],[114.83185366],[153.87241877],[25.2091123],[164.89670207],[13.5571452],[13.92564105],[85.10452067],[77.91743884],[18.22877172]
163,[59.8275179],[38.81664424],[60.39283087],[25.81161152],[41.79577927],[26.12092991],[25.55129513],[66.19147881],[114.70803671],[153.79606988],[25.05976961],[164.74290854],[13.44013408],[13.80020724],[84.54119998],[77.52162897],[18.15250768]
164,[59.88969092],[38.71526272],[60.85933079],[25.83727883],[41.68805684],[26.08233853],[25.44078181],[64.47713245],[113.70176275],[152.67261121],[24.27264598],[164.91148823],[13.47417269],[13.90281109],[82.7803018],[77.63618912],[17.55006482]
165,[60.53866756],[38.76412377],[61.09768266],[25.76001836],[41.88288885],[26.32738416],[25.55280888],[64.91767637],[115.50084377],[153.14440466],[23.74506876],[165.31014504],[13.34188614],[13.76982226],[80.94481258],[79.62836654],[17.36513107]
166,[60.55031455],[38.49875808],[60.39333798],[25.98556038],[40.91065538],[25.99706809],[25.21113489],[63.89810201],[114.24558698],[154.99434841],[23.80252154],[165.63189455],[13.50147546],[13.94947347],[80.33805269],[79.40928462],[17.54649785]
167,[58.17273464],[38.80378396],[60.74687009],[26.1023667],[40.66223034],[26.0266041],[25.19713737],[65.16557426],[110.47888415],[149.67046694],[24.11979683],[157.81830458],[13.66126344],[14.1144474],[81.45605191],[75.48874293],[16.91668769]
168,[57.01132256],[39.08200284],[62.55886032],[26.60794011],[40.98063611],[26.52858377],[25.55758095],[64.95300176],[109.1278201],[148.39046589],[24.33453996],[151.49368482],[13.65773115],[14.0334802],[81.49303384],[74.0737427],[17.0271858]
169,[58.02042065],[38.69019029],[61.82941528],[27.24362386],[41.20650457],[26.33782654],[25.46074975],[66.08671206],[109.98720805],[151.32405275],[24.42249735],[152.72623728],[13.56276016],[13.95188811],[81.80190413],[74.64656023],[16.92454747]
170,[58.42399999],[38.71073522],[60.89224029],[27.26031076],[41.09149418],[26.1948712],[25.35424673],[64.78706334],[110.29564209],[150.75046574],[24.50290799],[152.09627206],[13.56836896],[13.99020022],[82.29771179],[74.55048255],[16.72073905]
171,[58.96445642],[38.83114607],[61.46527177],[26.90186807],[41.4320286],[26.34545019],[25.46832854],[65.3371382],[111.1545732],[149.70860398],[24.37422468],[151.58868595],[13.59865812],[14.0358969],[82.84339884],[74.58277525],[16.82113204]
172,[58.84000557],[38.9872107],[62.0958775],[25.64847427],[41.26575709],[26.42791385],[25.52603713],[64.42480207],[110.76525232],[150.70606313],[24.41942977],[152.05928538],[13.72281702],[14.1498349],[83.28212355],[74.43711407],[16.60760252]
173,[60.29382608],[38.91303785],[62.27780816],[25.38838653],[41.78395909],[26.35348242],[25.47949062],[65.05862278],[113.76909332],[153.10411316],[24.85341829],[153.13147701],[13.7843069],[14.25712332],[83.62999073],[74.088551],[16.98520538]
174,[60.08528136],[38.65205894],[60.73501696],[24.70498739],[40.36710855],[25.43681555],[24.65365361],[63.17987256],[113.47054276],[152.26371494],[24.38668911],[151.76339738],[13.4764383],[13.9842858],[82.49459715],[73.21361667],[16.87951695]
175,[60.69270613],[38.13054108],[62.53043724],[24.4648819],[40.23256608],[25.50291646],[24.72105217],[63.3262406],[113.23335482],[153.80379094],[24.19515551],[154.77485712],[13.52471822],[13.94205446],[82.65079178],[73.22815304],[17.65810228]
176,[61.17093049],[38.09845595],[62.38541327],[24.39750632],[39.94624384],[25.45806929],[24.7713426],[63.00824643],[112.66855887],[153.44974991],[24.1372019],[154.51906138],[13.44166523],[13.94257281],[82.22549773],[73.13693823],[18.07743926]
177,[60.37535956],[37.95585075],[63.67959661],[24.42488474],[39.46863718],[25.69936445],[24.96652672],[63.97851009],[110.5103525],[155.10379449],[24.3003528],[157.77324125],[13.57464683],[14.0363481],[82.4568546],[72.9674898],[18.38284685]
178,[60.33354987],[38.18167987],[64.34903659],[24.56647562],[39.60390018],[26.15953231],[25.41730981],[63.85842161],[112.09668185],[153.64519918],[24.68902931],[157.06942242],[13.67863285],[14.11375721],[82.67925549],[73.7704141],[18.22131277]
179,[58.4073306],[37.69217933],[64.02219706],[24.55056847],[39.24128306],[26.04439719],[25.32209702],[63.84788599],[108.31028428],[150.53874334],[24.69783453],[150.84089276],[13.64804619],[14.09836407],[83.0541163],[71.24359948],[17.96236094]
180,[58.96844486],[37.95347453],[65.17976719],[24.86754768],[39.85604143],[26.06212627],[25.33247739],[64.75071671],[109.13103365],[153.51683524],[24.98656021],[153.30078452],[13.85716272],[14.30436937],[83.70686098],[73.40351144],[17.84733068]
181,[57.69921494],[37.60525877],[63.51477558],[24.11577219],[38.8624001],[25.92338279],[25.17891694],[62.59610373],[106.88589796],[151.49879067],[24.69496425],[149.84073201],[13.58422619],[14.03170274],[83.34425695],[72.60319401],[17.57993296]
182,[57.69254602],[37.75337048],[63.86757501],[23.87106182],[38.88164071],[25.7381337],[25.12503328],[62.83945529],[105.77905186],[151.02563978],[24.61836074],[149.38309849],[13.68742714],[14.14370952],[82.9592658],[73.32164005],[17.8197465]
183,[56.43422713],[38.11102628],[64.06229338],[23.99942791],[38.35963134],[26.13123487],[25.45600874],[62.84681174],[105.911129],[148.59076213],[25.0812004],[145.8786177],[13.89890695],[14.30676097],[83.09767973],[72.46931272],[17.63076299]
184,[57.2184546],[38.14317048],[63.28285767],[23.71373535],[38.68120529],[26.00515881],[25.38313351],[62.82495918],[106.89542833],[150.63921762],[25.1457108],[147.53703891],[13.70275182],[14.1209005],[83.25165923],[73.07481074],[17.77207246]
185,[56.732015],[37.15533687],[62.16729838],[23.92550206],[38.26055693],[25.69739731],[25.0035179],[63.45953399],[106.05676614],[149.17134841],[24.82270095],[145.95372924],[13.24015123],[13.64908808],[81.69446069],[73.38140503],[17.87662891]
186,[58.07078263],[36.95382708],[62.77526513],[23.57949498],[38.54642095],[25.75979666],[25.09366533],[63.88388311],[107.75477025],[151.50762623],[24.73436661],[149.98885511],[13.316261],[13.74760161],[81.5470225],[74.45367442],[17.94005407]
187,[58.54900915],[36.82078127],[63.58719124],[23.45930941],[38.76995852],[26.16764819],[25.40841525],[64.30773589],[107.94249407],[153.68173478],[24.85517084],[152.21057985],[13.13171661],[13.52734417],[81.07901667],[74.68912026],[18.03000398]
188,[57.96007471],[36.63309623],[63.79712924],[23.24701485],[38.74583015],[26.12269921],[25.40681143],[64.76985098],[108.40339356],[155.19154358],[24.60215614],[153.98737008],[13.26080899],[13.74964864],[80.82452541],[75.72435093],[18.52439907]
189,[60.97897383],[36.84608484],[63.44293708],[22.45413154],[39.01394085],[26.09666563],[25.43335369],[65.16814783],[110.95033307],[158.72209348],[24.51487227],[158.30341461],[13.23109951],[13.63151514],[80.41734344],[77.33958817],[19.14653979]
190,[60.40558302],[36.20066865],[63.09847738],[22.83254577],[39.2965985],[26.09256676],[25.43507783],[64.61893559],[108.79843343],[159.10864036],[24.5796502],[157.73492344],[13.22253986],[13.68366104],[80.85953305],[76.16927512],[19.24785552]
191,[60.76656269],[36.30883755],[63.90638232],[23.00389647],[39.17991083],[26.13036639],[25.4750477],[66.04034674],[109.08208051],[159.66788603],[24.71190193],[160.82858414],[13.58686271],[14.02478804],[81.25757547],[76.30562943],[19.52854781]
192,[60.58292768],[36.37892078],[64.54290073],[22.85207085],[39.17871286],[26.32744447],[25.49673234],[65.80806598],[109.43721252],[159.65438317],[24.88421458],[161.27164186],[13.66842948],[14.07956369],[81.53015944],[76.07020591],[19.78754266]
193,[61.26069312],[36.01131464],[64.23668359],[22.30296846],[39.16219734],[25.97404024],[25.28995469],[65.55333498],[110.18130268],[162.97388799],[24.89664294],[183.21938329],[13.62492364],[14.05495989],[81.10983686],[77.33729268],[19.85874663]
194,[61.36996605],[36.12472744],[65.01686452],[22.71133331],[39.32229069],[27.10651744],[26.16032432],[65.05879848],[111.91256537],[164.28652943],[24.82944072],[182.80412502],[13.9362165],[14.35431043],[80.77236309],[78.54863933],[20.03184028]
195,[61.12585479],[36.5247614],[65.78405088],[23.2358221],[39.48248465],[26.53367985],[25.65513821],[65.09157528],[112.0676126],[164.37288406],[25.42777459],[183.25179414],[13.93986013],[14.32667923],[82.5585741],[78.0434354],[20.40614925]
196,[61.01584947],[36.53404043],[65.83435763],[23.33564154],[39.61725204],[26.43873101],[25.40334222],[64.73032689],[112.27272698],[164.30041962],[25.51873924],[187.86448555],[13.91210865],[14.43856091],[82.69481718],[79.30177823],[20.05164591]
197,[61.4568987],[36.22053181],[66.30983655],[22.70420449],[39.45320036],[26.46113844],[25.46486868],[64.36043023],[113.7914737],[166.09694981],[25.56100922],[187.68232745],[13.98780204],[14.45749859],[82.25060739],[79.57265106],[19.93007197]
198,[61.00706481],[36.20209483],[66.05951334],[22.97952917],[39.73249241],[25.80663584],[24.95258949],[64.46907327],[113.59449259],[165.4084183],[22.22772057],[186.76416139],[14.10015543],[14.52661797],[79.60445954],[80.72902046],[19.88528056]
199,[62.62474133],[38.07991021],[66.62882933],[22.83928096],[39.33380321],[26.52781885],[25.48812355],[64.2804145],[118.22061822],[165.60408943],[21.51185921],[188.78908971],[14.22518707],[14.6005486],[78.95643368],[81.53833606],[19.55147832]
200,[61.26411839],[39.49361448],[67.51901546],[23.6261206],[39.40437652],[26.32884757],[25.0932544],[63.90286576],[117.60389415],[170.65683597],[21.57356049],[182.48967414],[14.26879861],[14.69161873],[78.86015473],[79.6563251],[16.98578806]
201,[61.49493659],[38.98434714],[67.42911977],[23.23571859],[39.51798671],[26.70542507],[25.40847801],[63.96330116],[118.25475511],[172.62658446],[21.84377864],[184.03978744],[14.38813157],[14.80206312],[79.01537892],[80.17977177],[16.6689733]
202,[61.88462322],[38.95002262],[65.92191459],[23.24579787],[40.44469841],[24.55722625],[23.0727193],[64.03953415],[116.73794798],[168.83498186],[21.52213911],[181.39916456],[14.29862563],[14.68709164],[78.76652977],[79.51905447],[16.10349209]
203,[62.33857718],[38.84369826],[66.12281603],[23.37139194],[40.34371135],[24.26925844],[22.82633673],[65.55264616],[116.5819187],[169.66307727],[21.71322136],[182.02780736],[14.4203657],[14.84930732],[79.12832611],[79.92152187],[16.27892586]
204,[61.58349616],[38.26757218],[64.7288036],[23.72942863],[39.97286759],[24.99934576],[23.82590681],[63.92966424],[116.97032051],[169.62554128],[21.68940631],[180.45791644],[14.26559516],[14.73993617],[78.82968538],[79.68731298],[16.29848006]
205,[63.87613685],[38.28694002],[64.88700755],[22.34630561],[39.6773567],[24.61638175],[23.43371179],[61.08563742],[118.97868589],[168.80528736],[21.83505163],[179.1209008],[14.23252289],[14.6326963],[79.59307364],[88.67024343],[16.14354083]
206,[62.15477072],[38.44058812],[63.60175485],[22.51014441],[39.56908311],[23.70954131],[22.57050816],[60.65158368],[117.44485391],[169.8063182],[21.30802587],[180.07817031],[14.12400962],[14.6064438],[79.18049218],[87.77817489],[16.28410906]
207,[61.42667454],[38.38648679],[65.67507591],[21.86941966],[39.9174019],[24.25120273],[22.98720545],[59.71397109],[116.58836426],[171.47616606],[21.1549649],[178.15370578],[14.22467552],[14.58346516],[78.68580125],[90.6664175],[16.09106845]
208,[61.56751526],[38.36450309],[65.26974866],[21.81007846],[40.63962298],[23.51844689],[22.30767143],[59.91021311],[116.20112328],[171.23751597],[21.17165242],[175.65714455],[14.17693886],[14.54985016],[78.77576485],[91.6151723],[16.08491178]
209,[60.25009893],[38.17873556],[66.2682731],[21.71976392],[40.72833217],[22.9017647],[21.80184515],[58.17996052],[113.85112719],[167.28836975],[20.81836996],[169.02800364],[13.66089752],[13.98504517],[77.99804916],[87.06650883],[15.69654429]
210,[60.86607365],[38.10407808],[66.69867541],[21.64903276],[41.09365036],[22.89434345],[21.8624958],[58.55343839],[115.80167253],[168.21980166],[20.66977802],[171.44666747],[13.42942675],[13.79187912],[77.82536309],[89.28186386],[15.83662642]
211,[61.8840366],[38.52019382],[66.27383053],[21.98645924],[41.89686584],[22.80382413],[21.65121103],[58.72313379],[117.34169888],[171.28708975],[21.17621438],[170.77079368],[13.35845421],[13.79672942],[78.32892008],[90.42042367],[16.03768121]
212,[61.96919886],[38.15252695],[66.73824095],[20.44196802],[41.47307063],[22.69827012],[21.45278146],[58.17573145],[117.62587541],[171.18317732],[21.00090314],[168.4024278],[13.29522255],[13.68157755],[78.32650206],[90.88158451],[15.91440391]
213,[62.90905005],[38.24616782],[66.48039],[20.94705004],[41.20325884],[22.56160647],[21.29296186],[58.50290194],[119.61400913],[169.83906286],[21.03381331],[169.73551905],[13.26696367],[13.67704012],[78.66380769],[92.21709955],[16.11371022]
214,[61.48473859],[37.55614167],[65.72761115],[19.33911781],[40.23890124],[22.16849314],[20.95704939],[56.86865223],[116.31064411],[166.89957724],[20.63790708],[165.87244641],[13.24363539],[13.65979445],[77.67137942],[90.99920514],[15.80621894]
215,[62.00743756],[37.3838317],[64.84742437],[19.15423684],[40.48807066],[22.4144628],[21.18036085],[56.89934721],[116.8391964],[167.71954254],[20.53135918],[166.4779888],[13.26807941],[13.74615849],[76.87060016],[91.86568722],[15.90408022]
216,[61.85323368],[37.58400971],[64.97935654],[19.28033004],[40.82003472],[22.27315441],[21.03298478],[56.63263127],[116.87484022],[168.25829524],[20.61237249],[166.48407208],[13.30803948],[13.75143921],[76.88423241],[92.11139185],[16.05059971]
217,[64.06568824],[38.02618222],[65.58997507],[19.90437868],[41.35111675],[22.40590684],[21.13996979],[57.52338536],[119.06952227],[169.86095725],[20.93361986],[169.16895293],[13.38990655],[13.80033344],[78.08835003],[94.65915679],[16.53035032]
218,[64.07878298],[37.92662648],[64.75308812],[20.40331801],[40.64783545],[22.43411603],[21.15870673],[57.2713989],[118.54741168],[168.72647036],[19.57053317],[168.70366197],[13.17211112],[13.48857349],[73.06503326],[94.70032576],[16.91085668]
219,[63.4553469],[37.66457621],[64.07576283],[19.99370252],[40.09575468],[22.42873878],[21.1655975],[57.32668396],[117.8781925],[167.68591034],[19.97752097],[167.90040166],[13.19173038],[13.59042119],[73.18515479],[95.02575566],[16.81859329]
220,[62.74397376],[37.99122926],[63.86704066],[20.22011519],[40.18863581],[22.59165476],[21.33753898],[56.59430044],[116.99205883],[166.48368594],[20.26462227],[165.71789585],[13.42259392],[13.75317023],[72.89109491],[94.77056206],[16.56749003]
